,3prime,tAI,max_5_UTR_length,TCGA-A2-A0T6,TCGA-A2-A0T6.1
ALDH18A1,838.0,0.380333742,511.0,0.007009,-0.692572565
ALDH3A2,2525.0,0.42484639,221.0,0.013606,-0.072679946
ALDH6A1,4647.0,0.38708374,724.0,0.906691,0.366259458
ALG1,2498.0,0.432230555,181.0,-0.496988,-0.618355346
ALG5,380.0,0.362014155,67.0,-0.199069,-0.417920457
ALOX5AP,976.0,0.392577632,248.0,1.295559,0.19666525
AMBRA1,1041.0,0.36170155,362.0,0.22584,-0.509431166
AMPD2,903.0,0.389224108,566.0,-0.056002,0.211892945
AMPD3,1695.0,0.423686063,472.0,0.564195,-0.273339804
ANAPC13,1361.0,0.393644021,731.0,-0.363551,-0.261826213
ANAPC5,235.0,0.390209877,197.0,-0.225709,0.090897858
ANKLE2,1737.0,0.418251419,90.0,0.15175,0.006031536
ANKRD16,135.0,0.465649334,543.0,-0.279438,0.091134531
ANKRD35,249.0,0.402949835,108.0,0.265133,0.042660959
ANXA2,496.0,0.429738522,160.0,-0.028208,0.37777961
ANXA5,1441.0,0.418050335,165.0,0.445241,0.545980636
AP1B1,1153.0,0.424070668,187.0,-0.218699,-0.001943644
AP1M1,914.0,0.463388599,173.0,0.18085,-0.04285142
APBA1,3797.0,0.387421148,276.0,0.91525,-0.238409134
APIP,427.0,0.433104693,127.0,-0.434609,-0.727949773
APOBEC3C,1979.0,0.381716897,103.0,0.39707,-0.158127502
APOBEC3G,322.0,0.410940579,404.0,0.191282,-0.675245763
APOL2,1195.0,0.42932248,477.0,-0.154333,-1.040385284
ARF6,2971.0,0.462806813,621.0,0.261944,-0.019060512
ARFIP2,2430.0,0.403729309,291.0,0.084854,0.120514003
ARHGAP17,2624.0,0.371011524,117.0,-0.216563,0.039677445
ARHGAP30,773.0,0.384451823,645.0,1.211005,-0.311338115
ARHGEF10,1378.0,0.370244255,202.0,0.451124,0.260104683
ARID2,3145.0,0.362288628,128.0,0.452988,0.155591962
ARID3A,3881.0,0.411693449,290.0,0.155856,-0.674516806
ARIH2,3112.0,0.397061561,878.0,0.005353,0.107439306
ARL8A,1065.0,0.409602486,171.0,-0.34574,0.050704265
ARRB1,6041.0,0.39512759,224.0,-0.739249,-0.224959817
ASF1B,950.0,0.395794233,172.0,-1.898657,-1.850631777
ASS1,1357.0,0.394201053,356.0,-0.757188,-1.031324041
ATPAF1,3039.0,0.439253133,510.0,0.076051,-0.027372006
ATRIP,162.0,0.417082642,462.0,-0.178565,-0.350053968
AXL,1863.0,0.417061167,376.0,0.906452,0.310895239
B4GALT7,4483.0,0.433879574,93.0,0.055679,0.214673889
BAG1,2764.0,0.431693656,501.0,-0.220361,0.253870066
BAG3,537.0,0.387438444,306.0,-0.18404,-0.198395516
BASP1,971.0,0.520859146,259.0,0.831479,-0.001533857
BBS7,1531.0,0.408023089,184.0,0.11439,-0.166799694
BCAT2,364.0,0.445598481,657.0,-0.186286,0.097117413
BCKDHB,3082.0,0.419736544,88.0,-0.098751,0.040784157
BCL2,5279.0,0.374049285,493.0,-0.08239,-0.36791188
BCL2L13,4109.0,0.411790332,769.0,-0.51101,-0.477473252
BID,4193.0,0.428633517,498.0,-0.922364,-0.306921887
BLVRA,3376.0,0.414260839,177.0,-0.708845,-0.278513648
BOLA2,40.0,0.43059393,513.0,-0.725436,-0.304299184
BOLA3,383.0,0.406657227,38.0,-0.75997,-0.300542303
BRD2,787.0,0.377809737,2066.0,-0.173758,-0.074576477
BRD3,3285.0,0.401150236,188.0,0.44466,0.220232806
BSPRY,1091.0,0.380011644,48.0,0.668559,0.558089473
BST2,411.0,0.444557266,81.0,0.339959,-0.391219339
BUB3,1535.0,0.421992618,242.0,-0.149376,0.103625856
C1QB,152.0,0.436596666,340.0,0.324206,0.020237502
C1QC,327.0,0.41150294,283.0,0.331961,-0.171212088
C2CD3,671.0,0.360398895,227.0,0.335551,0.119211666
C3,5088.0,0.430632158,93.0,1.988577,0.516695828
CAP1,1134.0,0.406948565,416.0,0.381625,0.12705426
CAPN1,720.0,0.455130071,197.0,-0.221311,0.188885941
CAPRIN1,5632.0,0.374918508,189.0,0.149662,-0.421005353
CAPZB,5180.0,0.446052528,622.0,0.415432,0.07194451
CARD16,437.0,0.41300235,27.0,-0.220339,-0.705726046
CARHSP1,4898.0,0.362100245,360.0,-0.786304,-0.942618795
CASC3,1778.0,0.370720542,295.0,0.104608,-0.5490955
CASP1,750.0,0.424742838,44.0,0.441295,-0.054279556
CASP8,1794.0,0.376118708,303.0,-0.315075,-0.183387803
CAT,629.0,0.397270122,89.0,0.174592,-0.489089467
CBL,8368.0,0.375957197,142.0,0.722094,-0.007447118
CBLL1,3286.0,0.400851504,467.0,0.172504,-0.215980172
CBR3,54.0,0.445176236,228.0,-0.904883,-0.32114728
CBS,4385.0,0.477784031,626.0,-1.345696,-1.738481541
CBX5,10815.0,0.390902295,318.0,0.180328,0.590613943
CBX8,2504.0,0.36735217,118.0,-0.363281,0.267292129
CCDC115,2169.0,0.385110507,452.0,-0.024651,-0.524743729
CCDC58,2462.0,0.421830022,75.0,-0.63862,0.034988667
CCDC88C,1302.0,0.396031427,154.0,0.062583,-0.344647239
CCL5,886.0,0.462166288,68.0,0.925917,-0.696068105
CCNA2,1206.0,0.409154498,373.0,-2.237203,-0.734736124
CCNDBP1,2336.0,0.44393643,231.0,0.638644,0.210278362
CCS,4244.0,0.460896681,43.0,-0.935865,-0.067049882
CCT3,238.0,0.457984718,231.0,-0.359852,-0.253810641
CCT4,1361.0,0.393363555,164.0,-0.351037,-0.300197928
CD14,128.0,0.416321757,392.0,0.731937,0.025277676
CD209,3046.0,0.440000747,67.0,2.541667,0.429462811
CD36,2894.0,0.410517795,414.0,2.230352,0.699100873
CD40,982.0,0.429065654,90.0,0.103793,-0.508118862
CD44,3115.0,0.39995987,434.0,0.100083,-0.617151554
CD63,923.0,0.512738356,403.0,-0.1229,-0.418836015
CD74,635.0,0.427357309,187.0,0.741989,-0.543707666
CDC25C,437.0,0.364786128,387.0,-2.983417,-0.383670496
CDC26,271.0,0.395637029,359.0,-0.239681,0.301372564
CDC34,560.0,0.46431386,199.0,-0.131761,0.20064244
CDC42EP3,3941.0,0.420378821,1009.0,0.819902,0.237475887
CDCA3,816.0,0.351209268,820.0,-2.833838,-1.523003993
CDCA8,1353.0,0.384295288,290.0,-1.827892,-0.376418654
CDIPT,1864.0,0.442654716,541.0,-0.427496,-0.693559615
CDK1,2313.0,0.398329505,154.0,-1.927033,-1.030553394
CDK19,4557.0,0.421511824,180.0,-0.44609,-0.0363767
CDK2AP1,766.0,0.439144625,522.0,-0.746243,-0.172279333
CDK5RAP2,367.0,0.371069462,192.0,0.823274,0.254867605
CDK5RAP3,284.0,0.469750898,1791.0,-0.231205,-0.090132006
CDKAL1,1365.0,0.417875209,167.0,0.027303,-0.143414148
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.291976,-0.185215426
CDKN2C,2247.0,0.381912025,1216.0,-0.646396,0.193831428
CEBPD,1714.0,0.430497143,44.0,0.656721,0.41635923
CENPH,1478.0,0.418392258,87.0,-0.499365,-0.564676393
CENPV,301.0,0.385948267,62.0,-0.557522,-0.368615264
CEP55,939.0,0.397841874,304.0,-2.313936,-0.866110088
CETN2,868.0,0.433727498,47.0,-0.096705,0.100479775
CFL1,677.0,0.502791,234.0,-0.332649,-0.355726713
CHAC2,786.0,0.395629742,277.0,-0.941068,-0.344500326
CHCHD4,3528.0,0.445497334,326.0,-0.378479,-0.245984647
CHMP4A,296.0,0.447100154,262.0,-0.209853,-0.051614254
CHMP5,1241.0,0.442987983,200.0,-0.423005,0.032213862
CHMP6,980.0,0.489861105,78.0,0.10779,0.490279262
CHST11,4211.0,0.430763246,498.0,1.215566,-1.208934394
CHTF8,2425.0,0.424551152,142.0,-0.198591,-1.1874008
CIAPIN1,1024.0,0.451663323,242.0,-0.373426,-0.375684338
CISD2,5376.0,0.433298698,107.0,-0.526755,-0.423065232
CKAP4,2872.0,0.386259817,84.0,0.094106,0.026182
CKS2,300.0,0.317949998,98.0,-1.654034,-0.861927131
CLCC1,5185.0,0.369704467,150.0,-0.015877,-0.391590887
CLCN7,1698.0,0.459147749,110.0,-0.375567,-0.613194519
CLIC1,290.0,0.4571302,573.0,-0.300802,0.086538164
CLK2,350.0,0.410673686,925.0,0.111589,-0.273788769
CLK3,1233.0,0.4268607,461.0,-0.163787,-0.361510551
CLPTM1,458.0,0.383990827,351.0,0.028944,-0.512350937
CLTA,288.0,0.450950874,514.0,-0.361648,-0.609397542
CLTB,319.0,0.48548545,210.0,0.033383,0.183691481
CLTC,3104.0,0.384957863,443.0,0.213374,-0.111278588
CNBP,6850.0,0.433298698,206.0,-0.092606,-0.414022654
CNPY2,123.0,0.392778455,553.0,-0.583282,0.04241715
CNPY3,1042.0,0.459231502,584.0,-0.259296,-0.082483133
COG3,1967.0,0.414689223,142.0,-0.019798,-0.120019313
COMMD1,306.0,0.423842833,138.0,-0.249095,0.407130301
COMMD3,431.0,0.360487018,35.0,0.116015,0.24144021
COMMD5,498.0,0.445713337,399.0,-0.207006,0.410999165
COMMD6,1375.0,0.396967837,328.0,-0.081978,0.751454471
COMMD9,2340.0,0.418062772,89.0,-0.168374,0.254964291
COPB1,446.0,0.381738818,307.0,0.191647,-0.149703132
COPE,165.0,0.478760693,55.0,-0.256798,-0.005469559
COQ6,671.0,0.374062527,159.0,-0.430989,-0.161262476
COQ7,5700.0,0.42379098,133.0,-0.275816,-0.283724894
CORO1A,112.0,0.457388252,435.0,0.960514,-0.575453615
COX17,1735.0,0.484254073,86.0,-0.77479,-0.789627047
COX5A,860.0,0.429944966,140.0,-0.759987,-0.48416038
COX7A2,302.0,0.441893926,98.0,-0.783253,-0.313439667
CPM,5262.0,0.406054343,75.0,0.49418,-0.402728171
CPSF4,923.0,0.452412439,277.0,-0.299281,-0.113350315
CPT1A,2761.0,0.374132033,170.0,-0.239408,-0.825769196
CPT2,602.0,0.431256564,515.0,-0.279152,-0.294387976
CRCP,8457.0,0.390198146,145.0,-0.202411,0.382842864
CRKL,3904.0,0.422225684,509.0,-0.404129,-0.081997827
CRTAP,5601.0,0.446308827,120.0,0.5383,0.756904853
CRTC3,3205.0,0.355982524,186.0,0.583713,0.365561098
CRYL1,462.0,0.386242786,79.0,0.097559,0.637605716
CSRP1,1183.0,0.493833101,217.0,0.186334,-0.090366488
CST3,2762.0,0.475763324,186.0,-0.49883,0.152923715
CSTF2,1931.0,0.372934478,58.0,-0.311459,-0.281385188
CTBP1,800.0,0.464034004,393.0,-0.019376,0.375662627
CTNNA1,1216.0,0.412513324,1103.0,0.779829,-0.302490858
CTNNB1,1106.0,0.432073699,448.0,0.651718,-0.406428607
CTNNBIP1,2448.0,0.394834327,307.0,-0.902387,0.002387895
CTPS2,1870.0,0.416273085,744.0,-0.390134,0.178897201
CTSG,119.0,0.369503415,37.0,3.19664,0.256818438
CTSH,1072.0,0.446467856,1192.0,0.14809,0.382745726
CUEDC1,2047.0,0.374410739,719.0,0.038729,0.125821088
CUX1,1040.0,0.395555213,127.0,-0.422591,-0.156340361
CXCL10,814.0,0.410287201,105.0,0.146781,-0.878957476
CXCL9,2323.0,0.403736618,74.0,0.595182,-1.079607627
CYBB,2544.0,0.418993019,61.0,1.204516,-1.092717663
CYP2S1,1051.0,0.420869286,58.0,0.350854,-0.312780014
CYTH4,1837.0,0.406296106,377.0,1.045986,-0.234431241
DAB2,1757.0,0.368483127,531.0,1.183552,0.277823407
DAGLB,721.0,0.377719723,170.0,-0.330884,-0.45590172
DAP3,768.0,0.366492687,184.0,-0.222517,-0.504370604
DAPP1,2082.0,0.348655603,90.0,-0.758592,0.103669234
DBI,233.0,0.467027529,479.0,-0.589027,-0.230557487
DCAF8,1877.0,0.380310979,212.0,0.231116,0.037936675
DCP1A,4153.0,0.411936399,381.0,0.451188,0.016716046
DCPS,4731.0,0.375605648,329.0,-0.166482,0.29105968
DCTN5,10597.0,0.443116252,177.0,-0.117191,0.256623046
DDAH2,653.0,0.361046801,1104.0,0.015043,0.50921312
DDB2,1223.0,0.43604051,195.0,-0.654638,0.323603948
DDX23,713.0,0.445931172,91.0,-0.169175,0.11274361
DDX31,1870.0,0.361830896,544.0,0.116969,-0.061927535
DDX47,438.0,0.379294484,22.0,-0.021014,-0.105988139
DDX54,1704.0,0.467316231,28.0,-0.22302,0.148574924
DDX56,586.0,0.438032149,643.0,-0.607217,-0.128953678
DDX59,217.0,0.413095257,243.0,-0.085819,-0.179244597
DHODH,3463.0,0.371608285,21.0,-0.866432,-0.381430307
DHPS,121.0,0.474111752,121.0,0.003165,0.012127692
DHX15,459.0,0.379133957,168.0,0.252489,0.012478526
DHX34,591.0,0.384465978,349.0,-0.285193,-0.26972904
DHX58,357.0,0.440330409,223.0,-0.414306,-0.395179673
DIABLO,719.0,0.425893605,1182.0,-0.341909,0.2839111
DMAP1,63.0,0.471306,301.0,-0.237191,0.084508826
DMXL2,1274.0,0.389901613,225.0,0.09559,-0.172697388
DNAJA4,1736.0,0.398301408,169.0,-0.259773,-0.251962815
DNAJC19,1326.0,0.403482491,259.0,-0.319026,-0.539150789
DNAJC25,1212.0,0.430964931,56.0,-0.396531,-0.246510931
DNAJC8,969.0,0.416719859,33.0,0.256541,0.111539175
DNM1,1255.0,0.393835111,116.0,0.447679,0.558496831
DNTTIP2,3564.0,0.408096853,58.0,0.095777,0.084361507
DOCK11,3681.0,0.373818855,63.0,1.413857,0.162874114
DOCK2,524.0,0.446250827,52.0,1.424932,-0.116727585
DOK2,438.0,0.384043737,481.0,0.679773,-0.200892952
DPCD,197.0,0.459155016,389.0,-0.038292,0.248270531
DPF2,2501.0,0.393394442,133.0,-0.010989,0.217441021
DPH1,1310.0,0.448716064,341.0,-0.082227,-0.451411504
DPH5,784.0,0.413363166,165.0,-0.435926,-0.202967709
DPY30,562.0,0.438431353,279.0,-0.635051,0.261532238
DPYSL2,2472.0,0.430530829,431.0,0.066541,0.271068715
DRAP1,142.0,0.432809908,245.0,-0.412818,0.204189434
DRG1,4594.0,0.444150091,131.0,-0.667631,-0.042015091
DSN1,5330.0,0.392894937,373.0,-0.266924,0.205549227
DSTN,2786.0,0.375776803,438.0,0.485834,0.46562675
DTL,2265.0,0.372315747,921.0,-1.830098,-0.242331806
DTX3L,3456.0,0.408848169,89.0,0.081852,-0.509086566
DUSP12,374.0,0.419884133,34.0,-0.399355,-0.030256511
DUT,1937.0,0.36471409,109.0,-0.698956,-0.652097509
DYNLT1,514.0,0.420362019,78.0,-0.921387,0.072639598
EBAG9,1437.0,0.39438748,402.0,-0.383945,0.07552842
ECH1,191.0,0.389477111,85.0,0.165243,-0.086173569
ECHDC2,2269.0,0.400166641,752.0,0.211934,0.501871877
ECM1,322.0,0.43792189,199.0,0.444849,0.921499026
EDEM2,76.0,0.379021051,100.0,-0.381896,0.559035958
EEA1,5374.0,0.405861636,265.0,0.620034,0.756141532
EEF1A2,286.0,0.417272363,329.0,-2.604089,-0.661768329
EFTUD2,1331.0,0.444646836,398.0,-0.031911,0.094233491
EHD1,3363.0,0.446314898,447.0,0.309836,-0.062845253
EIF2AK2,8063.0,0.394727306,557.0,0.307415,-0.350432277
EIF2B3,1058.0,0.383118637,239.0,-0.290832,0.054146425
EIF3F,5840.0,0.435728237,33.0,-0.054502,0.087953788
EIF3L,1718.0,0.380710116,245.0,-0.122121,0.074067077
EIF4A3,1120.0,0.381528282,222.0,0.184506,0.070712711
ELAVL1,4910.0,0.437605432,167.0,-0.208615,0.05834325
EMG1,248.0,0.433768095,143.0,-0.185696,0.134794413
EMILIN2,2605.0,0.379592019,159.0,0.635267,-0.165968498
ENDOD1,7728.0,0.376426787,118.0,-0.185268,-0.059034024
ENOSF1,2904.0,0.382279782,622.0,0.518153,0.931133416
ENY2,2576.0,0.41756619,146.0,-0.491311,0.206331858
EPSTI1,2106.0,0.391777705,469.0,0.396566,-0.910303412
ERCC1,2342.0,0.45058755,188.0,0.349912,-0.048659296
ERCC6L,4809.0,0.354829683,623.0,-1.877373,-0.343396995
ERH,415.0,0.383837906,71.0,-0.088673,-0.022992774
ERLIN1,2041.0,0.444737514,478.0,0.375748,0.043861949
ERP29,1277.0,0.401191178,118.0,-0.330129,0.080924017
ETV6,4356.0,0.398240844,274.0,-0.023418,0.002100544
EXOC4,1232.0,0.388187525,35.0,0.279371,0.155333976
EXOC8,6907.0,0.436106501,127.0,-0.009549,0.109811624
EXOSC1,536.0,0.430105347,451.0,-0.334233,0.26027757
EXOSC2,3902.0,0.431273517,32.0,-0.450755,0.040825729
F8A1,571.0,0.46317284,15.0,-0.419485,-0.005958386
FAAH,2043.0,0.384592892,82.0,-0.322557,-0.482137612
FAF1,4425.0,0.401181969,453.0,-0.139888,-0.076793774
FAM122A,4542.0,0.40477622,33.0,0.515851,0.729957743
FAM168A,6285.0,0.395008865,285.0,1.085557,0.837254638
FAM177A1,2165.0,0.411149627,459.0,0.102947,0.022927498
FAM192A,1824.0,0.379195199,1475.0,-0.48715,-0.369458939
FAM20B,4428.0,0.4357945,293.0,-0.164836,-0.020232384
FAM32A,1091.0,0.408676074,42.0,-0.067205,-0.029882761
FAM50A,286.0,0.482889735,110.0,-0.505425,-0.127711614
FBP1,248.0,0.397353747,331.0,-0.063226,0.360584618
FBXL20,9338.0,0.383104745,254.0,0.090909,-0.074072799
FBXO4,526.0,0.393825218,58.0,0.083856,0.220224503
FBXO6,503.0,0.42307306,166.0,-0.393092,-0.545700605
FCER1G,305.0,0.4202976,25.0,0.809687,-0.779734624
FCGRT,309.0,0.433069976,486.0,-0.023663,0.077589083
FCHO1,270.0,0.372951657,283.0,-0.040883,-1.576506853
FDPS,72.0,0.456397562,392.0,-0.612728,-0.420530012
FDXR,596.0,0.384661194,188.0,-0.494918,-0.385988034
FEN1,1340.0,0.407867196,413.0,-1.287381,-0.744568535
FERMT3,399.0,0.435119014,149.0,0.81519,-0.283891886
FGD2,907.0,0.441856308,171.0,0.580231,-0.007536612
FGFR1OP2,1663.0,0.396595515,353.0,0.141713,0.431992252
FGL2,3460.0,0.40966218,40.0,1.170297,-0.055756769
FKBP1A,1132.0,0.428443098,174.0,-0.383847,0.106738689
FKBPL,24.0,0.377510344,270.0,-0.576836,0.65335062
FLOT1,422.0,0.472159534,339.0,-0.219108,-0.267493269
FN3K,442.0,0.389857108,61.0,-0.182944,-0.149154034
FN3KRP,3667.0,0.380720834,50.0,-0.704244,-0.514999042
FOXJ3,3176.0,0.401878681,312.0,0.080775,-0.155021105
FOXK2,3108.0,0.440496276,171.0,-0.295379,-0.02194242
FOXRED1,443.0,0.438630908,167.0,-0.261067,-0.278740347
FSCN1,1184.0,0.396100853,132.0,0.465268,0.092458815
FTH1,530.0,0.425357612,235.0,-0.110048,-0.134799202
FTL,1031.0,0.428438948,199.0,0.121168,-0.888362657
FTSJ1,638.0,0.457521275,569.0,0.078057,0.16418298
FTSJ3,698.0,0.388239396,646.0,0.03416,-0.169841088
FXN,6365.0,0.40465004,220.0,-0.107553,-0.6180514
GABARAPL2,564.0,0.431291441,136.0,-0.145525,0.403017489
GABPB1,1320.0,0.423118524,469.0,0.073368,-0.582084034
GALK1,292.0,0.455574511,63.0,-0.301654,-0.019249173
GANAB,989.0,0.425909644,1027.0,-0.015927,0.085972919
GAS6,315.0,0.393865445,183.0,1.312231,0.248367257
GAS7,6619.0,0.423630168,311.0,1.921995,0.659347909
GBE1,708.0,0.404013874,283.0,0.328049,0.299302231
GBP1,1735.0,0.42614962,220.0,0.191751,-0.784519259
GBP2,5058.0,0.440134196,314.0,0.025144,-0.269018192
GBP4,4106.0,0.42983554,116.0,0.286681,-0.358595672
GBP5,1753.0,0.421901204,537.0,1.254914,-0.866485188
GCH1,2011.0,0.419329122,161.0,-0.418576,-0.275876689
GFOD2,622.0,0.396604754,295.0,-0.079527,-0.574543356
GGA2,5408.0,0.377812588,83.0,-0.034994,-0.043402028
GGCX,5211.0,0.417836117,106.0,0.173036,-0.525848109
GIGYF1,2212.0,0.443456438,1210.0,0.151078,0.187931378
GINS3,1415.0,0.387351931,208.0,-0.744544,-1.432227218
GLA,1699.0,0.378726947,110.0,-0.73741,0.944867781
GLE1,1357.0,0.383457083,114.0,-0.173942,0.213158601
GLRX,1188.0,0.430296645,211.0,-0.657449,-0.660524079
GLRX3,3557.0,0.41418463,539.0,-0.432774,-0.142492192
GLUD1,1558.0,0.392454008,1132.0,0.345787,0.14521253
GLYR1,2033.0,0.39940414,57.0,-0.061099,0.1603808
GMEB1,4582.0,0.43446142,142.0,0.246896,0.145962123
GMPPA,198.0,0.434966364,375.0,-0.398809,-0.038345529
GMPR,3984.0,0.435743929,114.0,-0.244699,-0.189410923
GMPR2,464.0,0.453637396,704.0,0.268884,0.832914207
GNAI1,1947.0,0.435804474,356.0,0.465759,-0.128800462
GNG7,3803.0,0.398730372,237.0,1.149877,0.226406495
GNPDA1,1360.0,0.395964134,67.0,0.061547,0.46901565
GOLGA2,1243.0,0.401070546,13.0,0.221545,-0.339243109
GON4L,926.0,0.418089888,175.0,0.740177,-0.096146725
GOSR1,5968.0,0.408103421,237.0,0.242136,-0.322800814
GOSR2,3258.0,0.374298057,541.0,0.116336,-0.267842812
GOT2,1054.0,0.444803236,129.0,-0.621215,-0.251999176
GPS2,97.0,0.431122181,76.0,-0.027814,0.427154757
GPX7,626.0,0.395840774,39.0,0.82003,0.786644108
GRAMD1A,299.0,0.411657297,748.0,-0.368787,-0.289433906
GRB2,2292.0,0.4413596,358.0,-0.07752,-0.112116756
GSTM4,2467.0,0.390909061,314.0,0.37687,-0.238786756
GTF2A2,1070.0,0.420716795,404.0,-0.141963,-0.188176653
GTF2E2,604.0,0.365750105,273.0,-0.095725,-0.194931871
GTF3C2,932.0,0.372227001,397.0,0.04222,0.044943905
GTPBP1,2894.0,0.424954603,154.0,-0.315432,-0.210551618
GTPBP3,1032.0,0.436547413,95.0,-0.250963,0.149069585
GTSE1,680.0,0.368527868,212.0,-2.625942,-0.38139899
HADH,818.0,0.383558671,219.0,-0.244115,-0.258282689
HADHA,615.0,0.383558671,130.0,0.228798,0.081881089
HAUS5,3319.0,0.378752573,51.0,0.090625,0.309700636
HAUS8,346.0,0.37535995,111.0,-0.302296,0.093770932
HCCS,1274.0,0.398607648,275.0,-0.052017,-0.407803788
HCK,337.0,0.440224323,364.0,0.665727,-0.271869694
HDAC1,591.0,0.390040122,63.0,-0.505983,0.19516185
HDDC3,763.0,0.387287166,29.0,-0.334123,0.168555211
HDGF,1342.0,0.465394593,322.0,-0.367683,-0.013893984
HDLBP,2343.0,0.397687311,375.0,0.279166,0.050137948
HEATR3,1385.0,0.384091545,883.0,-0.527641,-0.533109391
HEBP2,9119.0,0.359416339,297.0,-0.523832,0.390832174
HECA,3704.0,0.443714129,285.0,-0.154161,0.092375121
HECTD3,3914.0,0.446742268,98.0,0.213228,0.215957254
HERC2,726.0,0.429958504,109.0,0.437917,-0.080324067
HERC5,379.0,0.393838904,153.0,-0.560056,-0.511804556
HIP1,4874.0,0.430847644,52.0,0.222959,-0.142532895
HLA-A,4150.0,0.424443523,84.0,-0.123425,-0.56672647
HLA-C,420.0,0.421684519,65.0,-0.308478,-1.007963468
HLA-DRA,409.0,0.420807891,109.0,1.089943,0.307124861
HLA-E,1459.0,0.413523771,126.0,0.360497,-0.463320567
HLA-F,121.0,0.407256461,124.0,-0.210852,-0.732566223
HMBOX1,3560.0,0.369177113,482.0,1.195669,-0.610745917
HMBS,266.0,0.451934812,299.0,-0.808634,-0.411252936
HMGB2,3775.0,0.450826504,193.0,-1.337656,-0.904460107
HMGCS1,3661.0,0.374424323,345.0,-0.221513,-0.72276264
HMOX1,616.0,0.436401717,107.0,-0.328682,-0.116157503
HNRNPA0,7504.0,0.386421138,284.0,0.28089,-0.098052636
HNRNPD,1688.0,0.420386111,318.0,-0.05698,-0.407506317
HNRNPL,1102.0,0.449817015,176.0,-0.203478,-0.078677327
HNRNPU,4156.0,0.432126199,218.0,0.093864,0.029631858
HNRNPUL1,2135.0,0.394022965,339.0,0.395799,0.452319523
HNRNPUL2,2674.0,0.436897081,229.0,0.033672,0.077461764
HSBP1,3274.0,0.4454546,174.0,-0.558004,0.476233754
HSD11B1,4482.0,0.426649415,154.0,1.912262,0.159294415
HSD17B7,398.0,0.431983247,99.0,-0.515491,-0.434501009
HSP90AB1,313.0,0.39509298,251.0,-0.670163,-0.432429294
HSPA1L,428.0,0.464100714,183.0,-0.388812,0.238988162
HSPA4L,7877.0,0.413794867,342.0,-0.713876,-0.183174904
HSPB11,107.0,0.34538245,284.0,-0.260718,0.023475584
HTRA2,571.0,0.421976635,602.0,-0.122193,0.246462535
HTT,3901.0,0.373695076,145.0,-0.13545,0.000263246
HUS1,2068.0,0.374612864,131.0,0.080153,0.363599653
HYI,310.0,0.378597605,196.0,-0.233454,0.821595167
HYOU1,1409.0,0.403839016,234.0,-0.091373,-0.594796078
ICAM1,1537.0,0.426062071,319.0,1.037979,-0.08549422
IER3IP1,3342.0,0.438740024,97.0,-0.365683,-0.558419648
IFI16,254.0,0.415211655,290.0,0.315083,-0.143729153
IFI30,213.0,0.431523306,62.0,-0.179823,-0.573435887
IFI35,160.0,0.418462024,223.0,-0.206502,0.105484641
IFI44,267.0,0.403888008,124.0,-0.174458,-0.960786987
