,3prime,tAI,max_5_UTR_length,TCGA-AR-A1AV,TCGA-AR-A1AV.1
CAT,629.0,0.397270122,89.0,-0.201642,-0.406944429
CBL,8368.0,0.375957197,142.0,-0.144652,0.017592933
CBLL1,3286.0,0.400851504,467.0,0.103127,-0.316921393
CBR3,54.0,0.445176236,228.0,-1.014475,-0.36952053
CBS,4385.0,0.477784031,626.0,-3.824764,-1.156187613
CBX5,10815.0,0.390902295,318.0,0.776361,-0.008333354
CBX8,2504.0,0.36735217,118.0,-0.704605,-0.062670138
CCDC115,2169.0,0.385110507,452.0,-0.360624,0.455673311
CCDC125,2554.0,0.359965106,322.0,0.972016,0.945903933
CCDC58,2462.0,0.421830022,75.0,-0.550646,-0.481153918
CCDC88C,1302.0,0.396031427,154.0,0.100384,-0.014576188
CCL5,886.0,0.462166288,68.0,-2.549795,-0.585310838
CCNA2,1206.0,0.409154498,373.0,-0.916991,0.425163725
CCNB2,168.0,0.374401461,184.0,-0.761146,0.479013232
CCNDBP1,2336.0,0.44393643,231.0,0.721501,0.271905294
CCS,4244.0,0.460896681,43.0,-0.74469,-0.305537839
CCT3,238.0,0.457984718,231.0,0.549408,-0.34291278
CCT4,1361.0,0.393363555,164.0,-0.256641,-0.311973626
CD14,128.0,0.416321757,392.0,-1.137104,-0.41260481
CD209,3046.0,0.440000747,67.0,-0.937398,0.335502345
CD36,2894.0,0.410517795,414.0,0.633016,-0.460560833
CD40,982.0,0.429065654,90.0,-1.283056,-0.415842583
CD44,3115.0,0.39995987,434.0,-0.201581,-0.543733695
CD63,923.0,0.512738356,403.0,-0.020821,0.023720592
CD74,635.0,0.427357309,187.0,-0.937853,-0.215899847
CDC25C,437.0,0.364786128,387.0,-0.400555,0.644369032
CDC26,271.0,0.395637029,359.0,-0.572056,0.305372068
CDC34,560.0,0.46431386,199.0,0.090213,-0.122651494
CDC42EP3,3941.0,0.420378821,1009.0,-0.724366,0.570755745
CDCA8,1353.0,0.384295288,290.0,-0.824263,0.861389432
CDIPT,1864.0,0.442654716,541.0,0.221629,0.322574181
CDK1,2313.0,0.398329505,154.0,-0.681613,-0.505286281
CDK19,4557.0,0.421511824,180.0,0.18295,0.072323026
CDK5RAP2,367.0,0.371069462,192.0,0.044964,0.234101509
CDK5RAP3,284.0,0.469750898,1791.0,0.340729,-0.348941976
CDKAL1,1365.0,0.417875209,167.0,0.373258,-0.029807759
CDKN2AIPNL,3639.0,0.409801696,53.0,0.511268,-0.120429772
CDKN2C,2247.0,0.381912025,1216.0,-1.641363,-0.735215967
CEBPD,1714.0,0.430497143,44.0,-1.784623,0.504356549
CENPH,1478.0,0.418392258,87.0,0.265572,0.660092634
CENPV,301.0,0.385948267,62.0,-4.19229,-0.616455662
CEP55,939.0,0.397841874,304.0,-0.569653,-0.301057465
CES3,2100.0,0.377378956,446.0,2.816317,1.263347842
CETN2,868.0,0.433727498,47.0,-0.169985,-0.253677808
CFL1,677.0,0.502791,234.0,-0.659361,-0.096970285
CHAC2,786.0,0.395629742,277.0,-1.486218,0.288648999
CHCHD4,3528.0,0.445497334,326.0,-0.463327,0.318343873
CHMP4A,296.0,0.447100154,262.0,0.071684,0.293592489
CHMP5,1241.0,0.442987983,200.0,0.181932,-1.122818305
CHMP6,980.0,0.489861105,78.0,-0.543621,-0.726801938
CIAPIN1,1024.0,0.451663323,242.0,0.50269,-0.166235421
CISD2,5376.0,0.433298698,107.0,-0.62708,-1.202504968
CKAP4,2872.0,0.386259817,84.0,0.146381,-0.33818911
CKS2,300.0,0.317949998,98.0,-0.788985,-0.377781856
CLCC1,5185.0,0.369704467,150.0,-0.289149,-0.323395726
CLCN7,1698.0,0.459147749,110.0,0.315579,-0.240610943
CLIC1,290.0,0.4571302,573.0,-0.446404,-0.310247092
CLK3,1233.0,0.4268607,461.0,0.144029,0.328153486
CLPTM1,458.0,0.383990827,351.0,-0.120572,-0.007325401
CLTA,288.0,0.450950874,514.0,-0.442629,-1.112635721
CLTB,319.0,0.48548545,210.0,-0.05481,0.226277176
CLTC,3104.0,0.384957863,443.0,0.378469,0.001301728
CNBP,6850.0,0.433298698,206.0,-0.772497,-0.514659937
CNPY2,123.0,0.392778455,553.0,0.222253,0.020425312
CNPY3,1042.0,0.459231502,584.0,-0.385464,-0.380296605
COG3,1967.0,0.414689223,142.0,0.535636,0.071965801
COMMD1,306.0,0.423842833,138.0,-0.795976,-0.572997989
COMMD3,431.0,0.360487018,35.0,0.171676,0.651372666
COMMD5,498.0,0.445713337,399.0,-0.701907,-0.261785324
COMMD6,1375.0,0.396967837,328.0,-0.573513,-0.565175742
COMMD9,2340.0,0.418062772,89.0,-0.892739,0.049108873
COPB1,446.0,0.381738818,307.0,0.545065,0.303882919
COPE,165.0,0.478760693,55.0,-0.061811,0.148992946
COQ6,671.0,0.374062527,159.0,0.098318,0.097840468
COQ7,5700.0,0.42379098,133.0,0.82131,-0.744060399
CORO1A,112.0,0.457388252,435.0,-1.414692,-0.104035783
COX17,1735.0,0.484254073,86.0,0.07812,0.550928262
COX5A,860.0,0.429944966,140.0,-0.206822,-0.388790125
COX7A2,302.0,0.441893926,98.0,0.094305,-0.994989054
CPM,5262.0,0.406054343,75.0,0.679323,-0.910384842
CPSF4,923.0,0.452412439,277.0,-0.41745,-0.719224957
CPT1A,2761.0,0.374132033,170.0,0.507369,-0.25669211
CPT2,602.0,0.431256564,515.0,0.451174,-0.049195535
CRCP,8457.0,0.390198146,145.0,0.650871,0.691597581
CRKL,3904.0,0.422225684,509.0,-0.596083,-0.473222477
CRTAP,5601.0,0.446308827,120.0,0.046777,-0.404772267
CRTC3,3205.0,0.355982524,186.0,0.626447,0.011206546
CRY2,2337.0,0.383442872,132.0,-0.408757,-0.942386645
CRYL1,462.0,0.386242786,79.0,0.505087,0.083956334
CSRP1,1183.0,0.493833101,217.0,-0.37768,-0.32821697
CST3,2762.0,0.475763324,186.0,-0.416952,-0.280382293
CSTF2,1931.0,0.372934478,58.0,0.610685,0.202845272
CTBP1,800.0,0.464034004,393.0,-0.416257,-0.044994756
CTNNA1,1216.0,0.412513324,1103.0,0.830166,0.117505157
CTNNB1,1106.0,0.432073699,448.0,0.281209,-0.479611132
CTNNBIP1,2448.0,0.394834327,307.0,-0.060625,0.14504199
CTPS2,1870.0,0.416273085,744.0,0.755129,-0.114707585
CTSG,119.0,0.369503415,37.0,-1.155261,-1.369631242
CTSH,1072.0,0.446467856,1192.0,-2.382926,-0.04812468
CUEDC1,2047.0,0.374410739,719.0,0.105073,-0.049486405
CUX1,1040.0,0.395555213,127.0,0.713455,0.206440279
CXCL10,814.0,0.410287201,105.0,-1.888488,0.14071564
CXCL9,2323.0,0.403736618,74.0,-1.111848,-0.255726754
CYBB,2544.0,0.418993019,61.0,-0.43606,-0.255354804
CYTH4,1837.0,0.406296106,377.0,-0.858491,-0.039544261
DAB2,1757.0,0.368483127,531.0,-0.280307,-0.202615081
DAGLB,721.0,0.377719723,170.0,0.136773,0.495340664
DAP3,768.0,0.366492687,184.0,0.206383,0.103143101
DAPP1,2082.0,0.348655603,90.0,0.172255,0.103988749
DBI,233.0,0.467027529,479.0,0.162074,-0.101302208
DCAF8,1877.0,0.380310979,212.0,0.937231,0.721933542
DCP1A,4153.0,0.411936399,381.0,0.151082,0.116979993
DCPS,4731.0,0.375605648,329.0,-0.798628,-0.089589384
DCTN5,10597.0,0.443116252,177.0,0.644161,-0.244306263
DDAH2,653.0,0.361046801,1104.0,-0.547131,-0.182712826
DDB2,1223.0,0.43604051,195.0,-0.172317,0.260300759
DDX23,713.0,0.445931172,91.0,0.553607,0.075399079
DDX31,1870.0,0.361830896,544.0,0.051775,0.273094943
DDX47,438.0,0.379294484,22.0,-0.319583,0.263654077
DDX54,1704.0,0.467316231,28.0,0.402893,-0.72605984
DDX56,586.0,0.438032149,643.0,0.029873,0.070804354
DDX59,217.0,0.413095257,243.0,0.891388,0.514857181
DHODH,3463.0,0.371608285,21.0,0.405631,-0.465870297
DHPS,121.0,0.474111752,121.0,0.100572,-0.701636914
DHX15,459.0,0.379133957,168.0,0.245202,0.35550064
DHX34,591.0,0.384465978,349.0,-0.016292,0.033802273
DHX58,357.0,0.440330409,223.0,-0.036471,0.009169902
DIABLO,719.0,0.425893605,1182.0,0.24258,-0.408076661
DMAP1,63.0,0.471306,301.0,-0.127213,0.085707522
DMXL2,1274.0,0.389901613,225.0,0.611505,0.090348347
DNAJA4,1736.0,0.398301408,169.0,0.356841,0.471942047
DNAJC19,1326.0,0.403482491,259.0,0.003439,0.079166173
DNAJC25,1212.0,0.430964931,56.0,-0.272994,-0.455308249
DNAJC8,969.0,0.416719859,33.0,0.019055,0.308201661
DNM1,1255.0,0.393835111,116.0,-0.411205,0.009147685
DNTTIP2,3564.0,0.408096853,58.0,0.137072,0.137560522
DOCK11,3681.0,0.373818855,63.0,-0.511611,-0.057659158
DOCK2,524.0,0.446250827,52.0,-0.223612,-0.007810662
DOK2,438.0,0.384043737,481.0,-1.252881,0.343464522
DPCD,197.0,0.459155016,389.0,-0.719421,0.03694704
DPF2,2501.0,0.393394442,133.0,-0.809002,0.187049195
DPH1,1310.0,0.448716064,341.0,0.226701,0.1582092
DPH5,784.0,0.413363166,165.0,-0.252299,-0.110401798
DPY30,562.0,0.438431353,279.0,-0.427511,-2.145887195
DPYSL2,2472.0,0.430530829,431.0,-0.695383,-0.49667729
DRAP1,142.0,0.432809908,245.0,-1.133406,-0.23572829
DRG1,4594.0,0.444150091,131.0,-0.763776,-0.278303028
DSN1,5330.0,0.392894937,373.0,0.065375,0.280547296
DSTN,2786.0,0.375776803,438.0,0.248915,-0.294156868
DTL,2265.0,0.372315747,921.0,0.646391,0.244693108
DTX3L,3456.0,0.408848169,89.0,-0.12765,-0.140156959
DUSP12,374.0,0.419884133,34.0,-0.114593,0.489428435
DUT,1937.0,0.36471409,109.0,-0.261752,0.356275088
DYNLT1,514.0,0.420362019,78.0,-0.210505,-0.454614545
EBAG9,1437.0,0.39438748,402.0,-0.51206,1.67645112
ECH1,191.0,0.389477111,85.0,-0.286826,-0.202203067
ECHDC2,2269.0,0.400166641,752.0,0.009712,1.380565636
ECM1,322.0,0.43792189,199.0,2.788517,0.672484866
EDEM2,76.0,0.379021051,100.0,-0.104377,0.395061256
EEA1,5374.0,0.405861636,265.0,1.125228,0.087924498
EEF1A2,286.0,0.417272363,329.0,0.201687,1.01789697
EFTUD2,1331.0,0.444646836,398.0,0.530675,-0.143616884
EHD1,3363.0,0.446314898,447.0,-1.344598,-0.21585973
EIF2AK2,8063.0,0.394727306,557.0,-0.314878,-0.75980121
EIF2B3,1058.0,0.383118637,239.0,-0.136928,-0.02357043
EIF3F,5840.0,0.435728237,33.0,-0.695966,-0.175723077
EIF3L,1718.0,0.380710116,245.0,-1.013385,-0.285044251
EIF4A3,1120.0,0.381528282,222.0,-0.178956,-0.184277939
ELAVL1,4910.0,0.437605432,167.0,-0.118911,-0.589733521
EMG1,248.0,0.433768095,143.0,-0.795212,-0.063301085
EMILIN2,2605.0,0.379592019,159.0,-0.726791,-0.217971923
ENDOD1,7728.0,0.376426787,118.0,-0.288676,-0.51733791
ENOSF1,2904.0,0.382279782,622.0,-0.292881,-0.641367867
ENY2,2576.0,0.41756619,146.0,-0.7175,0.203759068
EPSTI1,2106.0,0.391777705,469.0,-1.29648,0.09332443
ERCC1,2342.0,0.45058755,188.0,-0.571122,0.161774214
ERCC6L,4809.0,0.354829683,623.0,-0.540436,0.248884693
ERH,415.0,0.383837906,71.0,-0.439058,-1.48996292
ERLIN1,2041.0,0.444737514,478.0,-0.014445,-0.34206492
ERP29,1277.0,0.401191178,118.0,-0.050833,-0.882732726
ETV6,4356.0,0.398240844,274.0,-0.520421,-0.351957125
EXOC4,1232.0,0.388187525,35.0,0.669347,0.1555769
EXOC8,6907.0,0.436106501,127.0,0.663071,-0.009071612
EXOSC1,536.0,0.430105347,451.0,-0.072805,-1.131888439
EXOSC2,3902.0,0.431273517,32.0,-0.201219,-0.212152
F8A1,571.0,0.46317284,15.0,-0.313589,-0.363777617
FAAH,2043.0,0.384592892,82.0,0.640063,0.2203923
FAF1,4425.0,0.401181969,453.0,-0.12124,0.069227162
FAM122A,4542.0,0.40477622,33.0,-0.02694,0.627599179
FAM168A,6285.0,0.395008865,285.0,0.170698,-0.80703002
FAM177A1,2165.0,0.411149627,459.0,0.086838,0.660784848
FAM192A,1824.0,0.379195199,1475.0,0.671977,0.293739584
FAM20B,4428.0,0.4357945,293.0,0.708874,0.48084091
FAM32A,1091.0,0.408676074,42.0,-0.14899,0.173751139
FAM50A,286.0,0.482889735,110.0,-0.666866,-0.620124311
FBP1,248.0,0.397353747,331.0,-0.115876,-0.537650833
FBXL20,9338.0,0.383104745,254.0,0.472998,-0.976823002
FBXO4,526.0,0.393825218,58.0,0.32638,0.313745088
FBXO6,503.0,0.42307306,166.0,-0.694222,-0.6451261
FCER1G,305.0,0.4202976,25.0,-0.593766,-1.162214753
FCGRT,309.0,0.433069976,486.0,-0.501473,-0.514635192
FCHO1,270.0,0.372951657,283.0,-2.897976,0.341682411
FDPS,72.0,0.456397562,392.0,0.212544,-0.265468152
FDXR,596.0,0.384661194,188.0,0.041394,0.001491027
FEN1,1340.0,0.407867196,413.0,0.158474,0.205814044
FERMT3,399.0,0.435119014,149.0,-0.904749,-0.035395711
FGD2,907.0,0.441856308,171.0,-0.359323,0.184149961
FGFR1OP2,1663.0,0.396595515,353.0,0.30235,-0.17585225
FGL2,3460.0,0.40966218,40.0,-1.022262,-0.377355921
FKBP1A,1132.0,0.428443098,174.0,-0.00207,0.104391353
FKBPL,24.0,0.377510344,270.0,-0.436851,0.835226184
FLOT1,422.0,0.472159534,339.0,-0.183385,-0.532977728
FN3K,442.0,0.389857108,61.0,-0.145799,-0.481744206
FN3KRP,3667.0,0.380720834,50.0,-0.240558,0.037065874
FOXJ3,3176.0,0.401878681,312.0,0.238336,0.807985404
FOXK2,3108.0,0.440496276,171.0,0.064089,0.114784484
FOXRED1,443.0,0.438630908,167.0,-0.414363,-0.010630314
FSCN1,1184.0,0.396100853,132.0,-0.474523,-0.131303894
FTH1,530.0,0.425357612,235.0,-1.185456,-0.319766017
FTL,1031.0,0.428438948,199.0,-0.289213,-0.016506149
FTSJ1,638.0,0.457521275,569.0,-0.249238,0.3556233
FTSJ3,698.0,0.388239396,646.0,0.060547,-0.132403672
FXN,6365.0,0.40465004,220.0,-0.125411,0.890600544
GABARAPL2,564.0,0.431291441,136.0,0.442431,0.553641935
GABPB1,1320.0,0.423118524,469.0,-0.174376,-0.230273668
GALK1,292.0,0.455574511,63.0,-0.400396,-0.254201688
GANAB,989.0,0.425909644,1027.0,-0.242257,-0.252002893
GAS6,315.0,0.393865445,183.0,-1.629677,-0.388240021
GAS7,6619.0,0.423630168,311.0,-0.248939,0.110101713
GBE1,708.0,0.404013874,283.0,-0.286626,0.19364089
GBP1,1735.0,0.42614962,220.0,-1.226987,-0.557900719
GBP2,5058.0,0.440134196,314.0,-0.885979,0.119342386
GBP4,4106.0,0.42983554,116.0,-1.48421,0.108443793
GBP5,1753.0,0.421901204,537.0,-1.569503,-0.456789495
GFOD2,622.0,0.396604754,295.0,0.393493,-0.363822744
GGA2,5408.0,0.377812588,83.0,1.155242,0.550328706
GGCX,5211.0,0.417836117,106.0,-0.35314,-1.504017197
GIGYF1,2212.0,0.443456438,1210.0,0.115823,0.431459178
GINS3,1415.0,0.387351931,208.0,0.826756,0.120084223
GLA,1699.0,0.378726947,110.0,-0.037993,-0.342756703
GLE1,1357.0,0.383457083,114.0,0.209287,0.043646883
GLRX,1188.0,0.430296645,211.0,0.472533,-0.34044343
GLRX3,3557.0,0.41418463,539.0,-0.057659,-0.518077018
GLUD1,1558.0,0.392454008,1132.0,-0.072388,0.623699001
GLYR1,2033.0,0.39940414,57.0,1.124285,-0.059575595
GMEB1,4582.0,0.43446142,142.0,0.407764,0.078845561
GMPPA,198.0,0.434966364,375.0,-0.02931,0.324441538
GMPR,3984.0,0.435743929,114.0,-1.512154,-0.421457512
GMPR2,464.0,0.453637396,704.0,-0.093558,-0.235415278
GNAI1,1947.0,0.435804474,356.0,-0.993571,-0.580018342
GNG7,3803.0,0.398730372,237.0,-1.070698,0.450459383
GNPDA1,1360.0,0.395964134,67.0,-0.078431,-0.42977965
GOLGA2,1243.0,0.401070546,13.0,0.285968,-0.067759404
GON4L,926.0,0.418089888,175.0,1.0234,1.649621629
GOSR1,5968.0,0.408103421,237.0,0.409367,-0.545239476
GOSR2,3258.0,0.374298057,541.0,0.120436,-1.197710938
GOT2,1054.0,0.444803236,129.0,1.664925,0.121735438
GPS2,97.0,0.431122181,76.0,-0.185382,0.177909027
GPX7,626.0,0.395840774,39.0,-0.929642,-0.415059613
GRAMD1A,299.0,0.411657297,748.0,0.93157,0.416977108
GRB2,2292.0,0.4413596,358.0,0.084294,-0.642001559
GSTM4,2467.0,0.390909061,314.0,-0.191676,-0.752186068
GTF2A2,1070.0,0.420716795,404.0,-0.433653,-0.228550329
GTF2E2,604.0,0.365750105,273.0,-0.434193,0.226062881
GTF3C2,932.0,0.372227001,397.0,0.208343,0.153353891
GTPBP1,2894.0,0.424954603,154.0,-0.377271,-0.109815519
GTPBP3,1032.0,0.436547413,95.0,0.355322,-0.055293127
HADH,818.0,0.383558671,219.0,0.67643,-0.799136462
HADHA,615.0,0.383558671,130.0,-0.281048,-0.217922825
HAUS5,3319.0,0.378752573,51.0,0.272732,0.300654061
HAUS8,346.0,0.37535995,111.0,-0.567582,-0.487840291
HCCS,1274.0,0.398607648,275.0,-0.162019,-0.513676882
HCK,337.0,0.440224323,364.0,-0.809786,-0.332711536
HDAC1,591.0,0.390040122,63.0,-0.5079,-0.359284211
HDDC3,763.0,0.387287166,29.0,0.131248,0.719234299
HDGF,1342.0,0.465394593,322.0,-0.027526,0.703419154
HDLBP,2343.0,0.397687311,375.0,0.049507,0.389653761
HEATR3,1385.0,0.384091545,883.0,1.559451,0.096179418
HEBP2,9119.0,0.359416339,297.0,-0.535022,-0.613028183
HECA,3704.0,0.443714129,285.0,0.09827,-0.283357614
HECTD3,3914.0,0.446742268,98.0,0.139999,0.025353923
HERC2,726.0,0.429958504,109.0,0.594109,0.205536306
HERC5,379.0,0.393838904,153.0,-2.912332,-0.060220019
HERC6,651.0,0.398146132,183.0,-2.803192,0.182952808
HIP1,4874.0,0.430847644,52.0,1.280255,0.086809668
HLA-A,4150.0,0.424443523,84.0,-1.885046,-1.128131475
HLA-C,420.0,0.421684519,65.0,-0.379374,-0.553320378
HLA-DRA,409.0,0.420807891,109.0,-0.820573,-0.359466138
HLA-E,1459.0,0.413523771,126.0,-0.80775,0.407946739
HLA-F,121.0,0.407256461,124.0,-1.090729,-0.416809676
HMBOX1,3560.0,0.369177113,482.0,0.880854,-1.013842022
HMBS,266.0,0.451934812,299.0,-0.730237,0.034463516
HMGB2,3775.0,0.450826504,193.0,-0.48644,-0.017507726
HMGCS1,3661.0,0.374424323,345.0,0.814871,0.109305201
HMOX1,616.0,0.436401717,107.0,0.391038,0.037056917
HNRNPA0,7504.0,0.386421138,284.0,-0.043323,0.194042519
HNRNPD,1688.0,0.420386111,318.0,-0.196889,-0.240787017
HNRNPL,1102.0,0.449817015,176.0,-0.111052,-0.161336161
HNRNPU,4156.0,0.432126199,218.0,0.574712,-0.100469857
HNRNPUL1,2135.0,0.394022965,339.0,0.007167,0.007887735
HNRNPUL2,2674.0,0.436897081,229.0,-0.544236,-0.265777726
HSBP1,3274.0,0.4454546,174.0,0.846623,1.019945072
HSD11B1,4482.0,0.426649415,154.0,-0.962444,0.031023988
HSD17B7,398.0,0.431983247,99.0,1.307279,-0.26222793
HSP90AB1,313.0,0.39509298,251.0,0.842793,-0.032727034
HSPA1L,428.0,0.464100714,183.0,-0.452843,-0.456125272
HSPA4L,7877.0,0.413794867,342.0,-1.270718,-0.274937669
HSPB11,107.0,0.34538245,284.0,-0.49324,0.782031326
HTRA2,571.0,0.421976635,602.0,-0.677057,0.304878438
HTT,3901.0,0.373695076,145.0,0.73066,0.09663801
HUS1,2068.0,0.374612864,131.0,-0.135718,0.196551997
HYI,310.0,0.378597605,196.0,-1.037507,-0.244144286
HYOU1,1409.0,0.403839016,234.0,-0.355733,-0.588306539
ICAM1,1537.0,0.426062071,319.0,-0.285035,0.143994719
IER3IP1,3342.0,0.438740024,97.0,-0.988492,1.05192901
IFI16,254.0,0.415211655,290.0,-0.936733,0.068252374
IFI30,213.0,0.431523306,62.0,-0.54401,0.278926888
IFI35,160.0,0.418462024,223.0,-0.408544,0.193341746
IFI44,267.0,0.403888008,124.0,-1.763067,-0.011512935
IFI44L,5058.0,0.403608012,200.0,-2.964096,-0.056793813
IFIH1,121.0,0.412344512,377.0,-1.842889,-0.312556743
IFIT1,2775.0,0.411248073,495.0,-2.276422,-0.38846982
IFIT2,1901.0,0.420797646,175.0,-1.523395,-0.217500669
IFIT3,843.0,0.417440574,529.0,-1.552642,-0.498333894
IFIT5,2354.0,0.414819429,231.0,-0.498188,-0.186257634
IFITM1,159.0,0.431550176,180.0,-0.537309,0.827331229
