,3prime,tAI,max_5_UTR_length,TCGA-A2-A0EY,TCGA-A2-A0EY.1
CDKAL1,1365.0,0.417875209,167.0,0.453193,0.015291338
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.708613,0.022154591
CDKN2C,2247.0,0.381912025,1216.0,-0.534163,-0.153190251
CEBPD,1714.0,0.430497143,44.0,0.923696,0.097243861
CENPH,1478.0,0.418392258,87.0,-0.842929,-0.237989925
CENPV,301.0,0.385948267,62.0,0.579376,-0.267234577
CEP55,939.0,0.397841874,304.0,0.398219,-0.249385593
CES3,2100.0,0.377378956,446.0,5.355687,1.153055982
CETN2,868.0,0.433727498,47.0,1.007631,-0.012229979
CFL1,677.0,0.502791,234.0,0.654642,-0.044167573
CHAC2,786.0,0.395629742,277.0,0.1263,-0.50698115
CHCHD4,3528.0,0.445497334,326.0,-0.096818,-0.236868602
CHMP4A,296.0,0.447100154,262.0,0.680384,0.267973871
CHMP5,1241.0,0.442987983,200.0,1.072373,0.732423192
CHMP6,980.0,0.489861105,78.0,0.010157,0.219544589
CHST11,4211.0,0.430763246,498.0,-0.048694,0.257507887
CHTF8,2425.0,0.424551152,142.0,-0.182254,0.011537361
CIAPIN1,1024.0,0.451663323,242.0,-0.148768,-0.013370014
CISD2,5376.0,0.433298698,107.0,-0.50807,-0.215186678
CKAP4,2872.0,0.386259817,84.0,0.384222,0.668505363
CKS2,300.0,0.317949998,98.0,-0.613652,-0.162944054
CLCC1,5185.0,0.369704467,150.0,-0.625257,0.019244081
CLCN7,1698.0,0.459147749,110.0,0.421102,0.407486311
CLIC1,290.0,0.4571302,573.0,-0.153013,-0.445792349
CLK2,350.0,0.410673686,925.0,-0.280124,2.530296398
CLK3,1233.0,0.4268607,461.0,0.212412,0.085484284
CLPTM1,458.0,0.383990827,351.0,0.327983,0.020517182
CLTA,288.0,0.450950874,514.0,0.645914,0.554305838
CLTB,319.0,0.48548545,210.0,-0.341699,0.005598775
CLTC,3104.0,0.384957863,443.0,0.382228,-0.007803564
CNBP,6850.0,0.433298698,206.0,-0.360197,0.13859693
CNPY2,123.0,0.392778455,553.0,-0.160902,0.050788614
CNPY3,1042.0,0.459231502,584.0,0.438405,0.06441121
COG3,1967.0,0.414689223,142.0,0.720723,0.228537216
COMMD1,306.0,0.423842833,138.0,0.916488,0.294498704
COMMD3,431.0,0.360487018,35.0,0.734964,0.129490312
COMMD5,498.0,0.445713337,399.0,0.567762,0.163484766
COMMD6,1375.0,0.396967837,328.0,0.600838,0.351394006
COMMD9,2340.0,0.418062772,89.0,-0.623246,0.15002514
COPB1,446.0,0.381738818,307.0,-0.299793,0.2030294
COPE,165.0,0.478760693,55.0,0.565767,0.099985398
COQ6,671.0,0.374062527,159.0,-0.316449,-0.10675189
COQ7,5700.0,0.42379098,133.0,0.440442,-0.336372276
CORO1A,112.0,0.457388252,435.0,0.467507,0.072400515
COX17,1735.0,0.484254073,86.0,0.006943,-0.281347088
COX5A,860.0,0.429944966,140.0,-0.586939,-0.497563884
COX7A2,302.0,0.441893926,98.0,0.150129,-0.351440647
CPM,5262.0,0.406054343,75.0,0.045117,0.26344737
CPSF4,923.0,0.452412439,277.0,-0.025136,-0.135945961
CPT1A,2761.0,0.374132033,170.0,0.924123,0.142597069
CPT2,602.0,0.431256564,515.0,-0.304795,-0.402671944
CRCP,8457.0,0.390198146,145.0,0.774356,0.680774263
CRKL,3904.0,0.422225684,509.0,0.406253,0.065856549
CRTAP,5601.0,0.446308827,120.0,-0.794429,0.020428487
CRTC3,3205.0,0.355982524,186.0,-0.655387,-0.062832717
CRYL1,462.0,0.386242786,79.0,1.648688,0.936055663
CSRP1,1183.0,0.493833101,217.0,-0.379399,-0.103516578
CST3,2762.0,0.475763324,186.0,-1.387171,-0.485779441
CSTF2,1931.0,0.372934478,58.0,-0.281742,0.176542764
CTBP1,800.0,0.464034004,393.0,0.18196,-0.159177552
CTNNA1,1216.0,0.412513324,1103.0,-0.23638,0.102270563
CTNNB1,1106.0,0.432073699,448.0,-0.274802,0.188917124
CTNNBIP1,2448.0,0.394834327,307.0,0.420865,-0.022883428
CTPS2,1870.0,0.416273085,744.0,0.998219,0.318494241
CTSG,119.0,0.369503415,37.0,1.243142,-0.054099976
CTSH,1072.0,0.446467856,1192.0,0.42552,0.600108713
CUEDC1,2047.0,0.374410739,719.0,0.189584,-0.235816865
CUX1,1040.0,0.395555213,127.0,0.922857,0.342837348
CXCL10,814.0,0.410287201,105.0,-0.169177,-0.393913934
CXCL9,2323.0,0.403736618,74.0,0.819728,-1.391599769
CYBB,2544.0,0.418993019,61.0,0.478136,-0.110474256
CYP2S1,1051.0,0.420869286,58.0,-0.476187,-0.278403308
CYTH4,1837.0,0.406296106,377.0,0.292796,0.372255424
DAB2,1757.0,0.368483127,531.0,-0.076162,0.397603008
DAGLB,721.0,0.377719723,170.0,0.343139,0.574882193
DAP3,768.0,0.366492687,184.0,0.470642,-0.078401195
DAPP1,2082.0,0.348655603,90.0,0.403394,0.128931577
DBI,233.0,0.467027529,479.0,1.211748,0.411248935
DCAF12,1967.0,0.42050769,342.0,0.615537,0.140217145
DCAF8,1877.0,0.380310979,212.0,0.00865,0.085301927
DCP1A,4153.0,0.411936399,381.0,-0.068596,-0.078848143
DCPS,4731.0,0.375605648,329.0,0.074698,-0.309521125
DCTN5,10597.0,0.443116252,177.0,0.34867,0.102517069
DDAH2,653.0,0.361046801,1104.0,-0.517462,0.055862705
DDB2,1223.0,0.43604051,195.0,-1.164293,-0.23708251
DDX23,713.0,0.445931172,91.0,0.197107,0.064010256
DDX31,1870.0,0.361830896,544.0,0.579984,-0.001137394
DDX47,438.0,0.379294484,22.0,-0.071293,-0.218296223
DDX54,1704.0,0.467316231,28.0,0.080084,-0.085048571
DDX56,586.0,0.438032149,643.0,-0.139331,-0.255903605
DDX59,217.0,0.413095257,243.0,-0.288725,-0.203400525
DHODH,3463.0,0.371608285,21.0,-0.106454,-0.075437265
DHPS,121.0,0.474111752,121.0,0.271564,0.016553723
DHX15,459.0,0.379133957,168.0,0.023216,-0.117356592
DHX34,591.0,0.384465978,349.0,0.349276,-0.157068873
DHX58,357.0,0.440330409,223.0,-1.067,-0.500300158
DIABLO,719.0,0.425893605,1182.0,-0.342572,-0.434698668
DMAP1,63.0,0.471306,301.0,-0.709662,-0.148347886
DMXL2,1274.0,0.389901613,225.0,-0.481901,-0.218997208
DNAJA4,1736.0,0.398301408,169.0,-0.167508,-0.513066279
DNAJC14,1509.0,0.37755465,204.0,0.200385,1.46589992
DNAJC19,1326.0,0.403482491,259.0,0.333728,0.156410203
DNAJC25,1212.0,0.430964931,56.0,-0.965002,0.041804387
DNAJC8,969.0,0.416719859,33.0,-0.461262,-0.146207647
DNM1,1255.0,0.393835111,116.0,-1.202846,-0.34725594
DNTTIP2,3564.0,0.408096853,58.0,-0.622028,-0.13692039
DOCK11,3681.0,0.373818855,63.0,-0.161578,-0.07283056
DOCK2,524.0,0.446250827,52.0,0.790603,0.047114325
DOK2,438.0,0.384043737,481.0,0.257732,0.09299641
DPCD,197.0,0.459155016,389.0,0.915125,0.257262143
DPF2,2501.0,0.393394442,133.0,0.313631,0.072806099
DPH1,1310.0,0.448716064,341.0,-0.009622,-0.145533825
DPH5,784.0,0.413363166,165.0,-0.103849,-0.04089256
DPY30,562.0,0.438431353,279.0,0.047061,-0.185841118
DPYSL2,2472.0,0.430530829,431.0,-0.811981,0.034818573
DRAP1,142.0,0.432809908,245.0,0.400815,0.092166686
DRG1,4594.0,0.444150091,131.0,0.026845,-0.07098376
DSN1,5330.0,0.392894937,373.0,0.371613,0.249180195
DSTN,2786.0,0.375776803,438.0,0.049707,-0.034881838
DTL,2265.0,0.372315747,921.0,0.041105,-0.22427629
DTX3L,3456.0,0.408848169,89.0,-0.671107,-0.205468978
DUSP12,374.0,0.419884133,34.0,-0.031784,0.112590106
DUT,1937.0,0.36471409,109.0,-1.046075,-0.572761494
DYNLT1,514.0,0.420362019,78.0,0.795935,0.064620103
EBAG9,1437.0,0.39438748,402.0,-0.271662,0.150156401
ECH1,191.0,0.389477111,85.0,-0.041828,-0.288679157
ECHDC2,2269.0,0.400166641,752.0,-0.165655,-0.113526657
ECM1,322.0,0.43792189,199.0,1.018025,0.136030075
EDEM2,76.0,0.379021051,100.0,0.521402,-0.036058588
EEA1,5374.0,0.405861636,265.0,0.713794,0.464355539
EEF1A2,286.0,0.417272363,329.0,-0.059276,-0.317932346
EFTUD2,1331.0,0.444646836,398.0,0.162018,-0.104071452
EHD1,3363.0,0.446314898,447.0,0.77734,0.240208013
EIF2AK2,8063.0,0.394727306,557.0,-0.749789,-0.396125701
EIF2B3,1058.0,0.383118637,239.0,-0.430731,-0.096715686
EIF3F,5840.0,0.435728237,33.0,-0.776128,-0.091242573
EIF3L,1718.0,0.380710116,245.0,-0.317576,0.052136706
EIF4A3,1120.0,0.381528282,222.0,0.165049,-0.202261794
ELAVL1,4910.0,0.437605432,167.0,0.454186,0.159503902
EMG1,248.0,0.433768095,143.0,0.338614,-0.165141993
EMILIN2,2605.0,0.379592019,159.0,-0.226553,0.07496698
ENDOD1,7728.0,0.376426787,118.0,2.015683,0.833799612
ENOSF1,2904.0,0.382279782,622.0,-1.056662,-0.686067997
ENY2,2576.0,0.41756619,146.0,0.2537,0.11059549
EPSTI1,2106.0,0.391777705,469.0,-0.66312,-0.265404667
ERCC1,2342.0,0.45058755,188.0,-0.323175,0.046589125
ERCC6L,4809.0,0.354829683,623.0,-0.233116,-0.124897136
ERH,415.0,0.383837906,71.0,-0.496912,0.081928122
ERLIN1,2041.0,0.444737514,478.0,0.342495,0.275526226
ERP29,1277.0,0.401191178,118.0,0.057429,0.061684917
ETV6,4356.0,0.398240844,274.0,0.486984,0.12553615
EXOC4,1232.0,0.388187525,35.0,-0.317419,0.179546306
EXOC8,6907.0,0.436106501,127.0,-0.106651,0.202735512
EXOSC1,536.0,0.430105347,451.0,-0.17203,-0.110362412
EXOSC2,3902.0,0.431273517,32.0,0.484608,-0.005051996
F8A1,571.0,0.46317284,15.0,0.755648,-0.013140122
FAAH,2043.0,0.384592892,82.0,-1.547433,-0.264059205
FAF1,4425.0,0.401181969,453.0,-0.533563,-0.187644467
FAM122A,4542.0,0.40477622,33.0,-0.296805,-0.312510184
FAM168A,6285.0,0.395008865,285.0,0.587355,0.673850732
FAM177A1,2165.0,0.411149627,459.0,-0.521896,0.01718453
FAM192A,1824.0,0.379195199,1475.0,-0.022773,0.006095018
FAM20B,4428.0,0.4357945,293.0,0.254255,0.07580407
FAM32A,1091.0,0.408676074,42.0,0.419145,0.106732429
FAM50A,286.0,0.482889735,110.0,0.604455,-0.222713591
FBP1,248.0,0.397353747,331.0,0.359215,-0.059850223
FBXL20,9338.0,0.383104745,254.0,3.118475,0.66553484
FBXO4,526.0,0.393825218,58.0,-0.870445,-0.176175696
FBXO6,503.0,0.42307306,166.0,0.340247,0.044854142
FCER1G,305.0,0.4202976,25.0,-0.125017,0.433716726
FCGRT,309.0,0.433069976,486.0,0.526674,0.031718722
FCHO1,270.0,0.372951657,283.0,-0.635102,0.827945007
FDPS,72.0,0.456397562,392.0,0.231995,-0.110437073
FDXR,596.0,0.384661194,188.0,-0.390285,-0.777546917
FEN1,1340.0,0.407867196,413.0,0.523439,-0.210459599
FERMT3,399.0,0.435119014,149.0,0.484328,0.046696821
FGD2,907.0,0.441856308,171.0,0.160409,-0.033862773
FGFR1OP2,1663.0,0.396595515,353.0,-0.053395,0.179034624
FGL2,3460.0,0.40966218,40.0,-0.006942,0.13078029
FKBP1A,1132.0,0.428443098,174.0,1.13073,0.356366043
FKBPL,24.0,0.377510344,270.0,0.722185,0.638607878
FLOT1,422.0,0.472159534,339.0,0.595609,-0.249297577
FN3K,442.0,0.389857108,61.0,-0.422967,-0.347277442
FN3KRP,3667.0,0.380720834,50.0,-0.073863,-0.110174183
FOXJ3,3176.0,0.401878681,312.0,-0.23838,-0.280410293
FOXK2,3108.0,0.440496276,171.0,0.016026,0.022090078
FOXRED1,443.0,0.438630908,167.0,0.941165,0.357234557
FSCN1,1184.0,0.396100853,132.0,-0.745938,-0.064351228
FTH1,530.0,0.425357612,235.0,0.553809,0.299854763
FTL,1031.0,0.428438948,199.0,0.458234,0.363130238
FTSJ1,638.0,0.457521275,569.0,0.382665,0.052011722
FTSJ3,698.0,0.388239396,646.0,0.12119,-0.079665587
FXN,6365.0,0.40465004,220.0,-0.557362,-0.518332918
GABARAPL2,564.0,0.431291441,136.0,-0.801315,0.031875424
GABPB1,1320.0,0.423118524,469.0,-0.145922,-0.034764961
GALK1,292.0,0.455574511,63.0,-0.341158,-0.068044318
GANAB,989.0,0.425909644,1027.0,0.667327,0.188872807
GAS6,315.0,0.393865445,183.0,-0.898524,-0.13545777
GAS7,6619.0,0.423630168,311.0,-0.57764,-0.027511215
GBE1,708.0,0.404013874,283.0,-0.983425,-0.184239317
GBP1,1735.0,0.42614962,220.0,-0.87765,-0.149855192
GBP2,5058.0,0.440134196,314.0,-0.940685,-0.022399616
GBP4,4106.0,0.42983554,116.0,-0.623622,-0.14924079
GBP5,1753.0,0.421901204,537.0,0.96769,0.173875624
GCH1,2011.0,0.419329122,161.0,2.208621,0.529174881
GFOD2,622.0,0.396604754,295.0,0.070345,0.553891069
GGA2,5408.0,0.377812588,83.0,0.190146,0.016187377
GGCX,5211.0,0.417836117,106.0,0.502288,0.069383796
GIGYF1,2212.0,0.443456438,1210.0,-0.100737,0.049313721
GINS3,1415.0,0.387351931,208.0,1.356901,-0.234916773
GLA,1699.0,0.378726947,110.0,-0.604771,1.020018892
GLE1,1357.0,0.383457083,114.0,0.691234,0.045602788
GLRX,1188.0,0.430296645,211.0,-0.061797,-0.360775249
GLRX3,3557.0,0.41418463,539.0,-0.059675,-0.056239291
GLUD1,1558.0,0.392454008,1132.0,-0.247893,-0.386474917
GLYR1,2033.0,0.39940414,57.0,0.635452,-0.025942294
GMEB1,4582.0,0.43446142,142.0,0.229204,-0.322202938
GMPPA,198.0,0.434966364,375.0,0.730193,0.00638006
GMPR,3984.0,0.435743929,114.0,1.431421,0.104622373
GMPR2,464.0,0.453637396,704.0,0.098893,-0.084364947
GNAI1,1947.0,0.435804474,356.0,-1.074343,0.21069276
GNG7,3803.0,0.398730372,237.0,-0.753564,-0.153745994
GNPDA1,1360.0,0.395964134,67.0,-0.179751,-0.016323106
GOLGA2,1243.0,0.401070546,13.0,0.686376,0.226075676
GOSR1,5968.0,0.408103421,237.0,-0.180729,0.349629522
GOSR2,3258.0,0.374298057,541.0,-0.239025,0.143300599
GOT2,1054.0,0.444803236,129.0,-0.00679,-0.111382355
GPS2,97.0,0.431122181,76.0,0.055,0.230609636
GPSM2,4697.0,0.401967226,496.0,0.000837,-0.190206473
GPX7,626.0,0.395840774,39.0,-0.661817,0.045332518
GRAMD1A,299.0,0.411657297,748.0,-0.113361,0.302926638
GRB2,2292.0,0.4413596,358.0,-0.347389,-0.151983119
GSTM4,2467.0,0.390909061,314.0,-0.655021,-1.726750553
GTF2A2,1070.0,0.420716795,404.0,-0.539579,0.246183774
GTF2E2,604.0,0.365750105,273.0,0.063325,0.068063432
GTF3C2,932.0,0.372227001,397.0,0.218264,-0.026871471
GTPBP1,2894.0,0.424954603,154.0,0.224026,0.034229864
GTPBP3,1032.0,0.436547413,95.0,0.430308,-0.393529241
GTSE1,680.0,0.368527868,212.0,0.029851,-0.179296485
GTSF1,222.0,0.36097632,86.0,-0.281835,-0.688697189
HADH,818.0,0.383558671,219.0,0.431146,-0.006989013
HADHA,615.0,0.383558671,130.0,-0.660576,-0.355336368
HAUS5,3319.0,0.378752573,51.0,-0.053566,0.138144789
HAUS8,346.0,0.37535995,111.0,0.43261,0.180058026
HCCS,1274.0,0.398607648,275.0,0.100506,0.106661928
HCK,337.0,0.440224323,364.0,0.454221,0.055138748
HDAC1,591.0,0.390040122,63.0,-0.50425,-0.496173526
HDDC3,763.0,0.387287166,29.0,0.710655,0.424254802
HDGF,1342.0,0.465394593,322.0,0.656824,-0.033040882
HDLBP,2343.0,0.397687311,375.0,0.282229,0.078578658
HEATR3,1385.0,0.384091545,883.0,0.195707,-0.196717415
HEBP2,9119.0,0.359416339,297.0,0.079224,0.229052798
HECA,3704.0,0.443714129,285.0,0.340714,0.118601664
HECTD3,3914.0,0.446742268,98.0,-0.109764,-0.045246502
HERC2,726.0,0.429958504,109.0,-0.925632,-0.107192343
HERC5,379.0,0.393838904,153.0,-1.822056,-0.158826382
HERC6,651.0,0.398146132,183.0,-2.989472,-0.798955081
HIP1,4874.0,0.430847644,52.0,0.648357,0.257942927
HLA-A,4150.0,0.424443523,84.0,-0.577133,0.49301087
HLA-C,420.0,0.421684519,65.0,0.670056,0.128800341
HLA-DRA,409.0,0.420807891,109.0,0.520785,0.398379276
HLA-E,1459.0,0.413523771,126.0,-0.153268,-0.052796976
HLA-F,121.0,0.407256461,124.0,-0.53731,-0.026967974
HMBOX1,3560.0,0.369177113,482.0,0.386094,0.317965502
HMBS,266.0,0.451934812,299.0,1.037266,0.096358702
HMGB2,3775.0,0.450826504,193.0,-0.741709,-0.460419447
HMGCS1,3661.0,0.374424323,345.0,0.02926,-0.338218202
HMOX1,616.0,0.436401717,107.0,-0.174972,0.126577923
HNRNPA0,7504.0,0.386421138,284.0,-0.338352,-0.275226546
HNRNPD,1688.0,0.420386111,318.0,-0.135934,-0.161951261
HNRNPL,1102.0,0.449817015,176.0,0.016344,-0.21661702
HNRNPU,4156.0,0.432126199,218.0,-0.156353,-0.076470693
HNRNPUL1,2135.0,0.394022965,339.0,0.756669,0.058121969
HNRNPUL2,2674.0,0.436897081,229.0,0.485077,0.13992187
HSBP1,3274.0,0.4454546,174.0,-0.273256,-0.062940196
HSD17B7,398.0,0.431983247,99.0,0.249788,0.126913189
HSP90AB1,313.0,0.39509298,251.0,-0.228773,-0.131254573
HSPA1L,428.0,0.464100714,183.0,0.318093,0.119533572
HSPA4L,7877.0,0.413794867,342.0,-1.992989,-0.344584961
HSPB11,107.0,0.34538245,284.0,-1.16993,-0.519364422
HTRA2,571.0,0.421976635,602.0,-0.05713,-0.209875411
HTT,3901.0,0.373695076,145.0,0.264232,0.146551625
HUS1,2068.0,0.374612864,131.0,0.012064,-0.054440903
HYI,310.0,0.378597605,196.0,-1.394322,-0.46965756
HYOU1,1409.0,0.403839016,234.0,1.153765,0.238186278
ICAM1,1537.0,0.426062071,319.0,0.757602,0.201649233
IER3IP1,3342.0,0.438740024,97.0,0.470405,-0.333944222
IFI16,254.0,0.415211655,290.0,-0.467359,0.05874347
IFI30,213.0,0.431523306,62.0,0.628186,-0.258053877
IFI35,160.0,0.418462024,223.0,-1.579349,-0.408910383
