,3prime,tAI,max_5_UTR_length,TCGA-BH-A0DG,TCGA-BH-A0DG.1
CDCA3,816.0,0.351209268,820.0,0.881388,-0.000278965
CDCA8,1353.0,0.384295288,290.0,0.9711,-0.390073674
CDIPT,1864.0,0.442654716,541.0,0.330799,0.069888553
CDK1,2313.0,0.398329505,154.0,-0.516008,0.037441099
CDK19,4557.0,0.421511824,180.0,0.243525,-0.025402943
CDK2AP1,766.0,0.439144625,522.0,0.108608,0.158014276
CDK5RAP2,367.0,0.371069462,192.0,-0.403959,-0.301393309
CDK5RAP3,284.0,0.469750898,1791.0,-1.124991,0.081212904
CDKAL1,1365.0,0.417875209,167.0,-0.211732,-0.335703407
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.105301,0.089299571
CDKN2C,2247.0,0.381912025,1216.0,-0.640472,-0.00923891
CENPH,1478.0,0.418392258,87.0,-1.269874,-0.198824701
CENPV,301.0,0.385948267,62.0,-1.774705,-0.500224138
CEP55,939.0,0.397841874,304.0,0.079338,-0.019370722
CES3,2100.0,0.377378956,446.0,1.472013,-0.089029787
CETN2,868.0,0.433727498,47.0,-0.462502,-0.063719805
CFL1,677.0,0.502791,234.0,0.317415,-0.062456709
CHAC2,786.0,0.395629742,277.0,-0.051554,0.093450901
CHCHD4,3528.0,0.445497334,326.0,-0.11864,0.117197184
CHMP4A,296.0,0.447100154,262.0,0.310487,0.439841231
CHMP5,1241.0,0.442987983,200.0,-0.179197,-0.009223654
CHMP6,980.0,0.489861105,78.0,-0.057108,0.398520489
CHST11,4211.0,0.430763246,498.0,0.256819,-0.031610069
CHTF8,2425.0,0.424551152,142.0,0.6818,0.1538659
CIAPIN1,1024.0,0.451663323,242.0,0.247159,-0.098621893
CISD2,5376.0,0.433298698,107.0,-0.038572,0.285710552
CKAP4,2872.0,0.386259817,84.0,0.270929,-0.008067127
CKS2,300.0,0.317949998,98.0,0.284072,-0.029887643
CLCC1,5185.0,0.369704467,150.0,-1.016198,-0.384020905
CLCN7,1698.0,0.459147749,110.0,-0.123834,-0.293145633
CLIC1,290.0,0.4571302,573.0,0.150842,-0.034393858
CLK2,350.0,0.410673686,925.0,-0.183888,-0.092130562
CLK3,1233.0,0.4268607,461.0,-0.617347,-0.290781521
CLPTM1,458.0,0.383990827,351.0,0.694921,0.051338885
CLTA,288.0,0.450950874,514.0,0.02969,0.0872611
CLTB,319.0,0.48548545,210.0,-0.496227,0.371700748
CLTC,3104.0,0.384957863,443.0,0.960174,0.081062752
CNBP,6850.0,0.433298698,206.0,-0.545599,-0.126795695
CNPY2,123.0,0.392778455,553.0,0.009237,0.15795874
CNPY3,1042.0,0.459231502,584.0,0.137771,0.623850802
COG3,1967.0,0.414689223,142.0,0.015359,0.240817742
COMMD1,306.0,0.423842833,138.0,-0.137961,0.084913621
COMMD3,431.0,0.360487018,35.0,0.589322,-0.068994355
COMMD5,498.0,0.445713337,399.0,0.034321,0.071595825
COMMD6,1375.0,0.396967837,328.0,-0.088187,-0.227364714
COMMD9,2340.0,0.418062772,89.0,0.225775,0.072081383
COPB1,446.0,0.381738818,307.0,0.449347,0.127248067
COPE,165.0,0.478760693,55.0,0.21382,0.015348346
COQ6,671.0,0.374062527,159.0,0.219297,-0.169754585
COQ7,5700.0,0.42379098,133.0,-0.812068,-0.295740059
CORO1A,112.0,0.457388252,435.0,0.465522,-0.129129873
COX17,1735.0,0.484254073,86.0,0.003889,-0.240466739
COX5A,860.0,0.429944966,140.0,0.058419,-0.127300599
COX7A2,302.0,0.441893926,98.0,0.017509,-0.274765528
CPM,5262.0,0.406054343,75.0,0.171283,-0.619477044
CPSF4,923.0,0.452412439,277.0,-0.001477,-0.095988163
CPT1A,2761.0,0.374132033,170.0,0.237498,-0.503804576
CPT2,602.0,0.431256564,515.0,0.441128,0.093875303
CRKL,3904.0,0.422225684,509.0,-0.00442,-0.02579163
CRTAP,5601.0,0.446308827,120.0,0.064339,0.207329969
CRTC3,3205.0,0.355982524,186.0,0.316022,0.146552208
CRY2,2337.0,0.383442872,132.0,0.155448,-0.164143675
CRYL1,462.0,0.386242786,79.0,-0.00276,-0.058493833
CSRP1,1183.0,0.493833101,217.0,0.045075,0.184875334
CST3,2762.0,0.475763324,186.0,0.353645,-0.120456719
CSTF2,1931.0,0.372934478,58.0,0.009271,0.053052156
CTBP1,800.0,0.464034004,393.0,-0.035532,0.061762808
CTNNA1,1216.0,0.412513324,1103.0,0.390362,0.13424613
CTNNB1,1106.0,0.432073699,448.0,0.101167,0.043652117
CTNNBIP1,2448.0,0.394834327,307.0,-0.510036,-0.239917973
CTPS2,1870.0,0.416273085,744.0,1.692139,1.216301641
CTSG,119.0,0.369503415,37.0,1.584572,-0.400019271
CTSH,1072.0,0.446467856,1192.0,-0.219846,-0.163861184
CUEDC1,2047.0,0.374410739,719.0,1.844333,1.202348248
CUX1,1040.0,0.395555213,127.0,0.793926,0.433329107
CXCL10,814.0,0.410287201,105.0,0.055907,-0.685310618
CYBB,2544.0,0.418993019,61.0,0.521262,-0.613840449
CYP2S1,1051.0,0.420869286,58.0,0.619723,-0.123846975
CYTH4,1837.0,0.406296106,377.0,0.476238,-0.044833162
DAB2,1757.0,0.368483127,531.0,1.027888,0.194571717
DAGLB,721.0,0.377719723,170.0,0.204815,0.369266256
DAP3,768.0,0.366492687,184.0,0.267318,0.114260672
DAPP1,2082.0,0.348655603,90.0,-0.445709,-0.32201684
DBI,233.0,0.467027529,479.0,-0.25538,-0.32357145
DCAF8,1877.0,0.380310979,212.0,-0.017945,0.224663194
DCP1A,4153.0,0.411936399,381.0,-0.428576,-0.135849416
DCPS,4731.0,0.375605648,329.0,-0.258937,-0.35852574
DCTN5,10597.0,0.443116252,177.0,0.444308,0.229657475
DDAH2,653.0,0.361046801,1104.0,-0.651006,-0.036161483
DDB2,1223.0,0.43604051,195.0,0.010611,0.234864403
DDX23,713.0,0.445931172,91.0,0.106713,0.241588631
DDX31,1870.0,0.361830896,544.0,0.075595,0.20762193
DDX47,438.0,0.379294484,22.0,-0.708844,-0.311967909
DDX54,1704.0,0.467316231,28.0,-0.15752,0.426449501
DDX56,586.0,0.438032149,643.0,0.21905,-0.054423714
DDX59,217.0,0.413095257,243.0,-0.173497,0.128740865
DHODH,3463.0,0.371608285,21.0,-0.735977,-0.081269737
DHPS,121.0,0.474111752,121.0,0.358602,0.013150471
DHX15,459.0,0.379133957,168.0,-0.011198,0.197369115
DHX34,591.0,0.384465978,349.0,0.75378,0.479132866
DHX58,357.0,0.440330409,223.0,-0.931905,-0.192852839
DIABLO,719.0,0.425893605,1182.0,-0.137777,-0.359305317
DMAP1,63.0,0.471306,301.0,-0.195457,0.002185719
DMXL2,1274.0,0.389901613,225.0,-0.183903,-0.012564358
DNAJA4,1736.0,0.398301408,169.0,0.356926,0.252860841
DNAJC14,1509.0,0.37755465,204.0,0.101016,-0.149115196
DNAJC19,1326.0,0.403482491,259.0,-0.484947,0.27166778
DNAJC25,1212.0,0.430964931,56.0,-0.697049,-0.164686429
DNAJC8,969.0,0.416719859,33.0,-0.609558,-0.175505551
DNM1,1255.0,0.393835111,116.0,1.016505,0.312710119
DNTTIP2,3564.0,0.408096853,58.0,-0.392366,0.031200109
DOCK11,3681.0,0.373818855,63.0,0.894953,0.085132136
DOCK2,524.0,0.446250827,52.0,0.911764,-0.005213306
DOK2,438.0,0.384043737,481.0,0.426897,-0.294063301
DPCD,197.0,0.459155016,389.0,-0.953305,-0.55016479
DPF2,2501.0,0.393394442,133.0,0.244844,-0.156229021
DPH1,1310.0,0.448716064,341.0,0.513612,-0.096462365
DPH5,784.0,0.413363166,165.0,0.151477,-0.56845767
DPY30,562.0,0.438431353,279.0,-0.206533,0.017962848
DPYSL2,2472.0,0.430530829,431.0,0.445617,-0.12978217
DRAP1,142.0,0.432809908,245.0,-0.121243,0.051295192
DRG1,4594.0,0.444150091,131.0,0.159705,-0.261762694
DSN1,5330.0,0.392894937,373.0,-0.016901,0.18736456
DSTN,2786.0,0.375776803,438.0,-0.708263,-0.435025641
DTL,2265.0,0.372315747,921.0,-0.020628,-0.223868366
DTX3L,3456.0,0.408848169,89.0,0.4314,0.169156316
DUSP12,374.0,0.419884133,34.0,-0.347275,0.23251711
DUT,1937.0,0.36471409,109.0,-0.804542,-0.445707832
DYNLT1,514.0,0.420362019,78.0,0.232149,0.138157091
EBAG9,1437.0,0.39438748,402.0,-0.287182,0.009746895
ECH1,191.0,0.389477111,85.0,-0.180863,-0.389692752
ECHDC2,2269.0,0.400166641,752.0,0.209332,-0.351146765
ECM1,322.0,0.43792189,199.0,0.556408,-0.108272222
EDEM2,76.0,0.379021051,100.0,-0.10526,-0.010554841
EEA1,5374.0,0.405861636,265.0,-0.463453,0.089743343
EEF1A2,286.0,0.417272363,329.0,-4.029918,-1.365165318
EFTUD2,1331.0,0.444646836,398.0,-0.311205,0.066651597
EHD1,3363.0,0.446314898,447.0,0.03567,-0.077572554
EIF2AK2,8063.0,0.394727306,557.0,0.274639,0.211593032
EIF2B3,1058.0,0.383118637,239.0,-0.443554,-0.058059042
EIF3F,5840.0,0.435728237,33.0,0.37458,0.032080141
EIF3L,1718.0,0.380710116,245.0,0.19507,0.056535197
EIF4A3,1120.0,0.381528282,222.0,0.063842,0.284941131
ELAVL1,4910.0,0.437605432,167.0,0.130002,0.076277569
EMG1,248.0,0.433768095,143.0,0.201618,0.103843569
EMILIN2,2605.0,0.379592019,159.0,0.586088,-0.106466538
ENDOD1,7728.0,0.376426787,118.0,-0.593099,-0.333189214
ENOSF1,2904.0,0.382279782,622.0,-0.895143,-0.46563843
ENY2,2576.0,0.41756619,146.0,-0.438886,0.042629825
EPSTI1,2106.0,0.391777705,469.0,0.737458,0.157274166
ERCC1,2342.0,0.45058755,188.0,0.301597,0.04631429
ERCC6L,4809.0,0.354829683,623.0,0.039429,0.254989152
ERH,415.0,0.383837906,71.0,-0.002065,0.142392783
ERLIN1,2041.0,0.444737514,478.0,-0.236337,0.078625593
ERP29,1277.0,0.401191178,118.0,-0.383435,-0.101740731
ETV6,4356.0,0.398240844,274.0,-0.1354,-0.087525709
EXOC4,1232.0,0.388187525,35.0,-0.482015,0.004083772
EXOC8,6907.0,0.436106501,127.0,-0.038224,0.179670951
EXOSC1,536.0,0.430105347,451.0,0.292226,-0.16352085
EXOSC2,3902.0,0.431273517,32.0,-0.140864,-0.16377559
F8A1,571.0,0.46317284,15.0,0.480558,-0.327903666
FAAH,2043.0,0.384592892,82.0,1.303807,0.609788946
FAF1,4425.0,0.401181969,453.0,-0.620321,-0.29114446
FAM122A,4542.0,0.40477622,33.0,0.147148,0.051333097
FAM168A,6285.0,0.395008865,285.0,1.012321,0.063757662
FAM177A1,2165.0,0.411149627,459.0,0.385207,0.64315462
FAM192A,1824.0,0.379195199,1475.0,0.245229,0.211699005
FAM20B,4428.0,0.4357945,293.0,-0.315595,0.044993606
FAM32A,1091.0,0.408676074,42.0,0.092883,0.097800873
FAM50A,286.0,0.482889735,110.0,-0.592346,0.018947933
FBP1,248.0,0.397353747,331.0,0.649343,-0.288838173
FBXO4,526.0,0.393825218,58.0,-0.627428,-0.155017943
FBXO6,503.0,0.42307306,166.0,0.577807,-0.012054865
FCER1G,305.0,0.4202976,25.0,0.581791,-0.416182339
FCGRT,309.0,0.433069976,486.0,0.077138,-0.254850067
FDPS,72.0,0.456397562,392.0,1.707879,0.965953276
FDXR,596.0,0.384661194,188.0,1.743384,0.945591088
FEN1,1340.0,0.407867196,413.0,0.367274,0.482691065
FERMT3,399.0,0.435119014,149.0,0.564379,-0.338378166
FGD2,907.0,0.441856308,171.0,0.602275,-0.109793207
FGFR1OP2,1663.0,0.396595515,353.0,0.052417,0.002062907
FGL2,3460.0,0.40966218,40.0,0.435957,0.072749489
FKBP1A,1132.0,0.428443098,174.0,0.113408,0.245249494
FKBPL,24.0,0.377510344,270.0,-0.329405,-0.12680636
FLOT1,422.0,0.472159534,339.0,-0.129315,-0.395379387
FN3K,442.0,0.389857108,61.0,0.614331,0.586928026
FN3KRP,3667.0,0.380720834,50.0,0.233593,0.593644613
FOXJ3,3176.0,0.401878681,312.0,-0.026059,-0.042151938
FOXK2,3108.0,0.440496276,171.0,0.474823,0.447178758
FOXRED1,443.0,0.438630908,167.0,-0.480015,-0.180373997
FSCN1,1184.0,0.396100853,132.0,0.864357,0.026846964
FTH1,530.0,0.425357612,235.0,-0.147538,-0.185383504
FTL,1031.0,0.428438948,199.0,0.640786,-0.256287062
FTSJ1,638.0,0.457521275,569.0,0.151182,0.061801437
FTSJ3,698.0,0.388239396,646.0,1.094586,0.389642109
FXN,6365.0,0.40465004,220.0,0.034268,0.311796008
GABARAPL2,564.0,0.431291441,136.0,0.159205,0.229611121
GABPB1,1320.0,0.423118524,469.0,-0.275726,-0.02436139
GALK1,292.0,0.455574511,63.0,1.432968,0.818628685
GANAB,989.0,0.425909644,1027.0,-0.009663,-0.062553562
GAS6,315.0,0.393865445,183.0,-0.171295,0.016289507
GAS7,6619.0,0.423630168,311.0,0.875269,0.329455729
GBE1,708.0,0.404013874,283.0,-0.41328,-0.146706962
GBP1,1735.0,0.42614962,220.0,0.07073,-0.516818957
GBP2,5058.0,0.440134196,314.0,-0.350836,-0.40871658
GBP4,4106.0,0.42983554,116.0,0.189868,-0.485104758
GBP5,1753.0,0.421901204,537.0,0.608586,-0.944197838
GFOD2,622.0,0.396604754,295.0,0.113512,-0.55290041
GGA2,5408.0,0.377812588,83.0,-0.359234,-0.219360579
GGCX,5211.0,0.417836117,106.0,0.376333,-0.434678924
GIGYF1,2212.0,0.443456438,1210.0,-0.385532,-0.096979931
GINS3,1415.0,0.387351931,208.0,0.4866,-0.22227018
GLA,1699.0,0.378726947,110.0,0.000172,-0.209887587
GLE1,1357.0,0.383457083,114.0,-0.09294,0.077417589
GLRX,1188.0,0.430296645,211.0,-0.340854,-0.526413629
GLRX3,3557.0,0.41418463,539.0,-0.212296,0.01885355
GLUD1,1558.0,0.392454008,1132.0,-0.196253,-0.025494741
GLYR1,2033.0,0.39940414,57.0,-0.501218,-0.207352861
GMEB1,4582.0,0.43446142,142.0,-0.147473,-0.126161162
GMPPA,198.0,0.434966364,375.0,0.613114,-0.065651985
GMPR,3984.0,0.435743929,114.0,-0.469802,-0.234262299
GMPR2,464.0,0.453637396,704.0,0.227715,0.349037914
GNAI1,1947.0,0.435804474,356.0,0.482319,0.144540106
GNG7,3803.0,0.398730372,237.0,0.061151,0.017031495
GNPDA1,1360.0,0.395964134,67.0,0.097874,-0.408507943
GOLGA2,1243.0,0.401070546,13.0,-0.121563,-0.003327826
GON4L,926.0,0.418089888,175.0,0.129661,0.154258643
GOSR1,5968.0,0.408103421,237.0,-0.535419,-0.268722919
GOSR2,3258.0,0.374298057,541.0,-0.328001,-0.282079234
GOT2,1054.0,0.444803236,129.0,0.698296,-0.043453034
GPS2,97.0,0.431122181,76.0,0.633673,0.29270663
GPSM2,4697.0,0.401967226,496.0,-0.766861,-0.69815159
GPX7,626.0,0.395840774,39.0,0.900798,0.405378374
GRAMD1A,299.0,0.411657297,748.0,0.433433,-0.055013992
GRB2,2292.0,0.4413596,358.0,1.41829,0.661461519
GSTM4,2467.0,0.390909061,314.0,-0.321532,-0.341209915
GTF2A2,1070.0,0.420716795,404.0,-0.197197,0.040428942
GTF2E2,604.0,0.365750105,273.0,-0.574586,-0.025590599
GTF3C2,932.0,0.372227001,397.0,0.080562,-0.048632697
GTPBP1,2894.0,0.424954603,154.0,0.208402,-0.056695508
GTPBP3,1032.0,0.436547413,95.0,-0.848936,0.033088132
GTSE1,680.0,0.368527868,212.0,0.725755,0.01012025
GTSF1,222.0,0.36097632,86.0,7.646776,1.966058232
HADH,818.0,0.383558671,219.0,0.072543,-0.043319205
HADHA,615.0,0.383558671,130.0,-0.216064,-0.3060418
HAUS5,3319.0,0.378752573,51.0,-1.071483,-0.047044093
HAUS8,346.0,0.37535995,111.0,-0.138107,-0.167300845
HCCS,1274.0,0.398607648,275.0,-0.132764,-0.163846176
HCK,337.0,0.440224323,364.0,0.205997,-0.30395948
HDAC1,591.0,0.390040122,63.0,-0.547315,-0.280789141
HDDC3,763.0,0.387287166,29.0,0.22377,0.009299218
HDGF,1342.0,0.465394593,322.0,0.121739,0.285262158
HDLBP,2343.0,0.397687311,375.0,0.474898,0.209736747
HEATR3,1385.0,0.384091545,883.0,0.360972,0.073964825
HEBP2,9119.0,0.359416339,297.0,0.153243,0.225592868
HECA,3704.0,0.443714129,285.0,0.051276,0.297916778
HECTD3,3914.0,0.446742268,98.0,0.023861,0.188829465
HERC2,726.0,0.429958504,109.0,0.133412,0.182172531
HERC5,379.0,0.393838904,153.0,0.507465,0.168583008
HERC6,651.0,0.398146132,183.0,1.050063,0.179635102
HIP1,4874.0,0.430847644,52.0,0.231182,0.032131836
HLA-A,4150.0,0.424443523,84.0,0.110313,-0.955508519
HLA-C,420.0,0.421684519,65.0,-0.122453,-0.186259939
HLA-DRA,409.0,0.420807891,109.0,0.490589,-0.878905286
HLA-E,1459.0,0.413523771,126.0,0.022228,0.109870778
HLA-F,121.0,0.407256461,124.0,-0.042812,-0.135280712
HMBOX1,3560.0,0.369177113,482.0,0.172936,-0.92917526
HMBS,266.0,0.451934812,299.0,-0.727743,-0.325630457
HMGB2,3775.0,0.450826504,193.0,-0.511626,-0.344094165
HMGCS1,3661.0,0.374424323,345.0,1.725886,0.794831622
HMOX1,616.0,0.436401717,107.0,0.489406,-0.404120774
HNRNPA0,7504.0,0.386421138,284.0,-0.232602,0.154245454
HNRNPD,1688.0,0.420386111,318.0,-0.44398,-0.162115951
HNRNPL,1102.0,0.449817015,176.0,0.053045,0.067479304
HNRNPU,4156.0,0.432126199,218.0,-0.168765,0.104838465
HNRNPUL1,2135.0,0.394022965,339.0,0.148659,0.005368565
HNRNPUL2,2674.0,0.436897081,229.0,-0.280822,0.038841207
HSBP1,3274.0,0.4454546,174.0,-0.00171,-0.034021305
HSD17B7,398.0,0.431983247,99.0,1.099301,0.759106773
HSP90AB1,313.0,0.39509298,251.0,-0.217334,-0.433310296
HSPA1L,428.0,0.464100714,183.0,-0.396252,-0.57008385
HSPA4L,7877.0,0.413794867,342.0,-1.345285,-0.231350608
HSPB11,107.0,0.34538245,284.0,-0.340276,-0.100867773
HTRA2,571.0,0.421976635,602.0,-0.03724,0.01152704
HTT,3901.0,0.373695076,145.0,0.268813,0.100329719
HUS1,2068.0,0.374612864,131.0,-0.204269,0.191011254
HYI,310.0,0.378597605,196.0,0.072348,-0.138940938
HYOU1,1409.0,0.403839016,234.0,-0.50399,-0.204542812
ICAM1,1537.0,0.426062071,319.0,-0.235305,-0.542492666
IER3IP1,3342.0,0.438740024,97.0,-0.288257,-0.081067167
IFI16,254.0,0.415211655,290.0,0.375867,0.013643526
IFI30,213.0,0.431523306,62.0,0.74102,-0.321199971
IFI35,160.0,0.418462024,223.0,0.01863,0.154997943
IFI44,267.0,0.403888008,124.0,0.90419,-0.561466308
IFI44L,5058.0,0.403608012,200.0,1.014956,-0.686223131
IFIH1,121.0,0.412344512,377.0,0.393348,0.068083244
IFIT1,2775.0,0.411248073,495.0,1.523534,0.157229134
IFIT2,1901.0,0.420797646,175.0,0.765156,0.326260143
IFIT3,843.0,0.417440574,529.0,0.636727,0.392327288
IFIT5,2354.0,0.414819429,231.0,0.217241,0.294921119
IFITM1,159.0,0.431550176,180.0,0.646926,0.056011002
IFT27,109.0,0.4030938,426.0,0.43745,0.246867241
IGFBP3,1605.0,0.43060006,132.0,0.823273,-0.038209857
IGFBP7,558.0,0.392734536,34.0,0.387069,0.279160807
