,3prime,tAI,max_5_UTR_length,TCGA-AN-A04A,TCGA-AN-A04A.1
CD36,2894.0,0.410517795,414.0,-1.777041,-0.806477303
CD40,982.0,0.429065654,90.0,-0.490706,-0.047842007
CD44,3115.0,0.39995987,434.0,0.179421,-0.065323355
CD63,923.0,0.512738356,403.0,0.516117,0.89230886
CD74,635.0,0.427357309,187.0,-0.881554,-0.356026775
CDC25C,437.0,0.364786128,387.0,-0.173891,0.135261539
CDC26,271.0,0.395637029,359.0,0.074293,0.248405658
CDC34,560.0,0.46431386,199.0,0.262905,0.253748904
CDC42EP3,3941.0,0.420378821,1009.0,-0.374881,0.264980701
CDCA8,1353.0,0.384295288,290.0,-0.079545,-0.344405974
CDIPT,1864.0,0.442654716,541.0,0.81698,0.968462653
CDK1,2313.0,0.398329505,154.0,-0.657558,-0.606277137
CDK19,4557.0,0.421511824,180.0,-0.180577,0.071322354
CDK2AP1,766.0,0.439144625,522.0,0.698349,0.176153916
CDK5RAP2,367.0,0.371069462,192.0,-0.331667,-0.133585526
CDK5RAP3,284.0,0.469750898,1791.0,-1.230818,-0.05547038
CDKAL1,1365.0,0.417875209,167.0,0.328678,0.336933894
CDKN2AIPNL,3639.0,0.409801696,53.0,1.004768,0.650784897
CDKN2C,2247.0,0.381912025,1216.0,-0.934077,-0.009424282
CEBPD,1714.0,0.430497143,44.0,-1.418276,-0.142218119
CENPV,301.0,0.385948267,62.0,0.313642,0.559692353
CEP55,939.0,0.397841874,304.0,-0.170687,-0.311743542
CES3,2100.0,0.377378956,446.0,-1.101704,-0.409634096
CETN2,868.0,0.433727498,47.0,0.954999,0.725728176
CFL1,677.0,0.502791,234.0,0.375604,-0.245230763
CHAC2,786.0,0.395629742,277.0,0.26009,-0.315445195
CHCHD4,3528.0,0.445497334,326.0,0.273621,0.57328031
CHMP4A,296.0,0.447100154,262.0,0.565368,0.130252476
CHMP5,1241.0,0.442987983,200.0,-0.066962,0.132404672
CHMP6,980.0,0.489861105,78.0,-0.682182,-0.256544539
CHTF8,2425.0,0.424551152,142.0,0.584514,-0.020231727
CIAPIN1,1024.0,0.451663323,242.0,0.795147,0.106858247
CISD2,5376.0,0.433298698,107.0,0.174438,0.115176172
CKAP4,2872.0,0.386259817,84.0,0.208981,0.163256468
CKS2,300.0,0.317949998,98.0,-0.191064,0.018877569
CLCC1,5185.0,0.369704467,150.0,-1.040401,-0.315318712
CLCN7,1698.0,0.459147749,110.0,0.191103,-0.33308514
CLIC1,290.0,0.4571302,573.0,0.193974,-0.220972695
CLK3,1233.0,0.4268607,461.0,0.35326,0.227668821
CLPTM1,458.0,0.383990827,351.0,0.189672,-0.015056182
CLTA,288.0,0.450950874,514.0,0.512449,0.071483927
CLTB,319.0,0.48548545,210.0,0.535781,0.422915857
CLTC,3104.0,0.384957863,443.0,1.39029,0.008077254
CNBP,6850.0,0.433298698,206.0,0.12331,-0.208085088
CNPY2,123.0,0.392778455,553.0,0.339064,0.324117059
CNPY3,1042.0,0.459231502,584.0,-0.544577,-0.169542604
COG3,1967.0,0.414689223,142.0,-0.453888,0.07140968
COMMD1,306.0,0.423842833,138.0,-0.366439,0.083734904
COMMD3,431.0,0.360487018,35.0,0.461048,-0.428736466
COMMD5,498.0,0.445713337,399.0,0.366171,-0.206950003
COMMD6,1375.0,0.396967837,328.0,0.051346,-0.527701353
COMMD9,2340.0,0.418062772,89.0,-0.393115,-0.02751978
COPB1,446.0,0.381738818,307.0,-0.113825,0.055524084
COPE,165.0,0.478760693,55.0,-0.320444,-0.132936271
COQ6,671.0,0.374062527,159.0,-0.234041,-0.040139101
COQ7,5700.0,0.42379098,133.0,-0.133083,0.264234218
CORO1A,112.0,0.457388252,435.0,-0.312688,-0.62185196
COX17,1735.0,0.484254073,86.0,0.364091,0.914368167
COX5A,860.0,0.429944966,140.0,1.11612,0.32849683
COX7A2,302.0,0.441893926,98.0,0.024179,-0.552366315
CPM,5262.0,0.406054343,75.0,-0.843773,-1.082349438
CPSF4,923.0,0.452412439,277.0,-0.562947,-0.04228939
CPT1A,2761.0,0.374132033,170.0,-0.415182,-0.31406342
CPT2,602.0,0.431256564,515.0,-0.416134,-0.473945703
CRCP,8457.0,0.390198146,145.0,-0.299881,0.037123141
CRKL,3904.0,0.422225684,509.0,0.528982,-0.12148228
CRTAP,5601.0,0.446308827,120.0,0.328003,0.28035466
CRTC3,3205.0,0.355982524,186.0,1.289216,0.365222897
CRY2,2337.0,0.383442872,132.0,-0.309765,0.171959949
CRYL1,462.0,0.386242786,79.0,-0.209979,-0.261682302
CSRP1,1183.0,0.493833101,217.0,0.248475,0.186657081
CST3,2762.0,0.475763324,186.0,-0.146684,-0.353422055
CSTF2,1931.0,0.372934478,58.0,-0.430142,-0.144742464
CTBP1,800.0,0.464034004,393.0,0.032912,-0.20123633
CTNNA1,1216.0,0.412513324,1103.0,0.305519,0.389507024
CTNNB1,1106.0,0.432073699,448.0,0.078312,-0.135548001
CTNNBIP1,2448.0,0.394834327,307.0,-0.640873,0.038269793
CTPS2,1870.0,0.416273085,744.0,0.249708,-0.02748582
CTSG,119.0,0.369503415,37.0,-0.262595,-0.865237855
CTSH,1072.0,0.446467856,1192.0,-0.848959,0.166618735
CUEDC1,2047.0,0.374410739,719.0,1.538922,-0.210660168
CUX1,1040.0,0.395555213,127.0,0.155007,-0.000239785
CXCL10,814.0,0.410287201,105.0,-0.426723,-0.268848102
CXCL9,2323.0,0.403736618,74.0,-0.752754,-0.722571009
CYBB,2544.0,0.418993019,61.0,-0.750259,-0.702745061
CYP2S1,1051.0,0.420869286,58.0,-0.158609,-0.043587431
CYTH4,1837.0,0.406296106,377.0,-0.510901,-0.104329582
DAB2,1757.0,0.368483127,531.0,0.483837,0.069037623
DAGLB,721.0,0.377719723,170.0,-0.2436,-0.127881987
DAP3,768.0,0.366492687,184.0,0.149167,-0.339525452
DAPP1,2082.0,0.348655603,90.0,-1.254333,-0.490881839
DBI,233.0,0.467027529,479.0,-1.117833,-0.88749598
DCAF8,1877.0,0.380310979,212.0,-0.28065,0.103242829
DCP1A,4153.0,0.411936399,381.0,-0.111556,0.330777734
DCPS,4731.0,0.375605648,329.0,-0.443501,-0.406949736
DCTN5,10597.0,0.443116252,177.0,0.691718,0.350166043
DDAH2,653.0,0.361046801,1104.0,0.30062,-0.001082044
DDB2,1223.0,0.43604051,195.0,0.342892,0.579331247
DDX23,713.0,0.445931172,91.0,0.25653,0.132441523
DDX31,1870.0,0.361830896,544.0,0.331259,0.697144173
DDX47,438.0,0.379294484,22.0,-0.392104,-0.071343959
DDX54,1704.0,0.467316231,28.0,0.26223,0.096329463
DDX56,586.0,0.438032149,643.0,0.151891,0.17561836
DDX59,217.0,0.413095257,243.0,-0.510873,-0.095985247
DHODH,3463.0,0.371608285,21.0,0.302855,-0.306075621
DHPS,121.0,0.474111752,121.0,-0.176244,-0.247932989
DHX15,459.0,0.379133957,168.0,-0.186838,-0.003250731
DHX34,591.0,0.384465978,349.0,0.140964,0.125920629
DHX58,357.0,0.440330409,223.0,-0.849271,-0.482561299
DIABLO,719.0,0.425893605,1182.0,0.359209,-0.187210618
DMAP1,63.0,0.471306,301.0,-0.725543,0.202742765
DMXL2,1274.0,0.389901613,225.0,-1.073817,-0.061043254
DNAJA4,1736.0,0.398301408,169.0,1.647015,1.069748717
DNAJC19,1326.0,0.403482491,259.0,-0.602327,0.166046158
DNAJC25,1212.0,0.430964931,56.0,-0.345331,0.298912782
DNAJC8,969.0,0.416719859,33.0,0.15419,0.216112597
DNM1,1255.0,0.393835111,116.0,0.468746,0.143890307
DNTTIP2,3564.0,0.408096853,58.0,-0.110328,0.285534514
DOCK11,3681.0,0.373818855,63.0,-0.441663,0.040942312
DOCK2,524.0,0.446250827,52.0,-1.141224,-0.393840083
DOK2,438.0,0.384043737,481.0,-0.438996,-0.256230992
DPCD,197.0,0.459155016,389.0,0.105751,0.199213506
DPF2,2501.0,0.393394442,133.0,-0.139541,0.04749257
DPH1,1310.0,0.448716064,341.0,0.006555,0.060159898
DPH5,784.0,0.413363166,165.0,0.22963,-0.494503136
DPY30,562.0,0.438431353,279.0,0.330855,-1.010597257
DPYSL2,2472.0,0.430530829,431.0,0.796731,-0.19028669
DRAP1,142.0,0.432809908,245.0,0.169853,-0.049946778
DRG1,4594.0,0.444150091,131.0,0.640321,0.147703534
DSN1,5330.0,0.392894937,373.0,-0.622824,-0.104987071
DSTN,2786.0,0.375776803,438.0,0.459366,0.189481532
DTL,2265.0,0.372315747,921.0,0.6449,-0.503411186
DTX3L,3456.0,0.408848169,89.0,0.398441,0.214022555
DUSP12,374.0,0.419884133,34.0,-0.673628,-0.039440293
DUT,1937.0,0.36471409,109.0,-0.30164,-0.202242895
DYNLT1,514.0,0.420362019,78.0,0.133368,-0.122984224
EBAG9,1437.0,0.39438748,402.0,0.99408,0.359433894
ECH1,191.0,0.389477111,85.0,-0.27884,-0.22179639
ECHDC2,2269.0,0.400166641,752.0,-2.737269,-0.49263328
ECM1,322.0,0.43792189,199.0,1.368881,0.398607332
EDEM2,76.0,0.379021051,100.0,-0.191253,0.100375045
EEA1,5374.0,0.405861636,265.0,-0.203008,0.182721116
EEF1A2,286.0,0.417272363,329.0,3.966775,1.475763213
EFTUD2,1331.0,0.444646836,398.0,0.180275,0.063240137
EHD1,3363.0,0.446314898,447.0,-0.654933,-0.393956481
EIF2AK2,8063.0,0.394727306,557.0,0.244689,-0.13164011
EIF2B3,1058.0,0.383118637,239.0,-0.344117,0.035761904
EIF3F,5840.0,0.435728237,33.0,-0.159396,-0.051074637
EIF3L,1718.0,0.380710116,245.0,0.84987,0.118694107
EIF4A3,1120.0,0.381528282,222.0,-0.191244,-0.049393514
ELAVL1,4910.0,0.437605432,167.0,-0.026404,-0.360296694
EMG1,248.0,0.433768095,143.0,-0.541454,0.048638937
EMILIN2,2605.0,0.379592019,159.0,-0.425265,-0.481105255
ENDOD1,7728.0,0.376426787,118.0,0.382684,0.258636996
ENOSF1,2904.0,0.382279782,622.0,-1.719445,-0.767403989
ENY2,2576.0,0.41756619,146.0,0.961517,0.47856479
EPSTI1,2106.0,0.391777705,469.0,0.985491,-0.230394419
ERCC1,2342.0,0.45058755,188.0,-0.249079,-0.334107582
ERCC6L,4809.0,0.354829683,623.0,-0.658421,-0.637926278
ERH,415.0,0.383837906,71.0,1.037024,-0.201525186
ERLIN1,2041.0,0.444737514,478.0,-0.452884,0.172281856
ERP29,1277.0,0.401191178,118.0,0.020326,-0.78553268
ETV6,4356.0,0.398240844,274.0,-0.52051,-0.181547077
EXOC4,1232.0,0.388187525,35.0,0.01687,0.068372947
EXOC8,6907.0,0.436106501,127.0,-0.123684,0.055410625
EXOSC1,536.0,0.430105347,451.0,0.290927,-0.15000904
EXOSC2,3902.0,0.431273517,32.0,0.260271,-0.560796613
F8A1,571.0,0.46317284,15.0,0.586894,-0.320650466
FAAH,2043.0,0.384592892,82.0,0.398158,0.084893093
FAF1,4425.0,0.401181969,453.0,-0.228463,-0.219122655
FAM122A,4542.0,0.40477622,33.0,0.136828,0.053420221
FAM168A,6285.0,0.395008865,285.0,-0.037126,-0.1980293
FAM177A1,2165.0,0.411149627,459.0,0.455752,0.394757594
FAM192A,1824.0,0.379195199,1475.0,0.108409,0.165128846
FAM20B,4428.0,0.4357945,293.0,-0.325613,0.152508038
FAM32A,1091.0,0.408676074,42.0,-0.166912,0.671687115
FAM50A,286.0,0.482889735,110.0,0.861513,0.16437869
FBP1,248.0,0.397353747,331.0,0.246836,-0.100632645
FBXL20,9338.0,0.383104745,254.0,-0.064373,-0.04727025
FBXO4,526.0,0.393825218,58.0,-0.234129,0.114616075
FBXO6,503.0,0.42307306,166.0,-1.097519,-0.977416701
FCER1G,305.0,0.4202976,25.0,-0.347415,-0.398478917
FCGRT,309.0,0.433069976,486.0,-0.787396,-0.470707545
FCHO1,270.0,0.372951657,283.0,1.17108,-0.132887739
FDPS,72.0,0.456397562,392.0,0.084367,-0.534645939
FDXR,596.0,0.384661194,188.0,-0.086957,-0.602412414
FEN1,1340.0,0.407867196,413.0,0.094182,-0.136226292
FERMT3,399.0,0.435119014,149.0,-0.989318,-0.475656606
FGD2,907.0,0.441856308,171.0,-1.08333,-0.387624876
FGFR1OP2,1663.0,0.396595515,353.0,-0.073427,0.009226528
FGL2,3460.0,0.40966218,40.0,-0.843728,-0.67971441
FKBP1A,1132.0,0.428443098,174.0,0.53486,0.020784451
FKBPL,24.0,0.377510344,270.0,-0.053944,-0.240524181
FLOT1,422.0,0.472159534,339.0,0.546427,-0.409160723
FN3K,442.0,0.389857108,61.0,-0.736256,-0.749163671
FN3KRP,3667.0,0.380720834,50.0,-0.970611,-0.542726647
FOXJ3,3176.0,0.401878681,312.0,0.418738,0.544388829
FOXK2,3108.0,0.440496276,171.0,-0.114891,0.200118881
FOXRED1,443.0,0.438630908,167.0,-0.521033,-0.018861473
FSCN1,1184.0,0.396100853,132.0,0.414256,-0.14649189
FTH1,530.0,0.425357612,235.0,-0.220829,-0.191939234
FTL,1031.0,0.428438948,199.0,0.331616,-0.458255965
FTSJ1,638.0,0.457521275,569.0,0.262639,0.011619009
FTSJ3,698.0,0.388239396,646.0,1.41703,0.550083567
FXN,6365.0,0.40465004,220.0,-0.182752,0.410124071
GABARAPL2,564.0,0.431291441,136.0,0.562127,0.301706205
GABPB1,1320.0,0.423118524,469.0,0.186195,-0.081114942
GALK1,292.0,0.455574511,63.0,-0.529957,-0.489021607
GANAB,989.0,0.425909644,1027.0,0.005628,-0.276913308
GAS6,315.0,0.393865445,183.0,0.618055,0.321767382
GAS7,6619.0,0.423630168,311.0,-0.012043,0.299999914
GBE1,708.0,0.404013874,283.0,0.090387,0.08199568
GBP1,1735.0,0.42614962,220.0,-0.257708,-0.580987808
GBP2,5058.0,0.440134196,314.0,-0.037254,-0.201318429
GBP4,4106.0,0.42983554,116.0,-1.052872,-0.516421807
GBP5,1753.0,0.421901204,537.0,-0.397443,-0.576767054
GCH1,2011.0,0.419329122,161.0,0.295198,0.254429801
GFOD2,622.0,0.396604754,295.0,0.581248,0.070134834
GGA2,5408.0,0.377812588,83.0,-0.041406,-0.177674771
GGCX,5211.0,0.417836117,106.0,-0.125665,-0.241528163
GIGYF1,2212.0,0.443456438,1210.0,-0.98733,-0.161592634
GINS3,1415.0,0.387351931,208.0,-0.350147,-1.527244397
GLA,1699.0,0.378726947,110.0,-0.957933,-0.275222545
GLE1,1357.0,0.383457083,114.0,0.234976,-0.129430651
GLRX,1188.0,0.430296645,211.0,-0.356481,-1.772207923
GLRX3,3557.0,0.41418463,539.0,0.500696,-0.270096296
GLUD1,1558.0,0.392454008,1132.0,0.218729,0.03169336
GLYR1,2033.0,0.39940414,57.0,-0.14692,0.047504406
GMEB1,4582.0,0.43446142,142.0,-0.045103,0.026339345
GMPPA,198.0,0.434966364,375.0,-0.211614,-0.22493451
GMPR,3984.0,0.435743929,114.0,0.27263,-0.416719163
GMPR2,464.0,0.453637396,704.0,0.377931,-0.071757415
GNAI1,1947.0,0.435804474,356.0,-0.659941,-0.726116281
GNG7,3803.0,0.398730372,237.0,-1.062187,0.397443948
GNPDA1,1360.0,0.395964134,67.0,-0.157829,-0.403497231
GOLGA2,1243.0,0.401070546,13.0,0.540507,0.129631512
GON4L,926.0,0.418089888,175.0,-0.345771,-0.20401124
GOSR1,5968.0,0.408103421,237.0,-0.416981,-0.397820761
GOSR2,3258.0,0.374298057,541.0,-0.363006,-0.833099751
GOT2,1054.0,0.444803236,129.0,0.500703,0.148634288
GPS2,97.0,0.431122181,76.0,-0.385913,0.32080406
GPSM2,4697.0,0.401967226,496.0,-0.719934,0.603088746
GPX7,626.0,0.395840774,39.0,0.123958,-0.343874827
GRAMD1A,299.0,0.411657297,748.0,0.456071,0.521515041
GRB2,2292.0,0.4413596,358.0,-0.323671,-0.578082266
GSTM4,2467.0,0.390909061,314.0,-0.974653,0.580771727
GTF2A2,1070.0,0.420716795,404.0,-0.085595,-0.452337697
GTF2E2,604.0,0.365750105,273.0,-0.036638,0.39993748
GTF3C2,932.0,0.372227001,397.0,0.087643,0.409020742
GTPBP1,2894.0,0.424954603,154.0,0.083303,0.073862106
GTPBP3,1032.0,0.436547413,95.0,-0.794256,-0.392205874
GTSE1,680.0,0.368527868,212.0,-0.070263,-0.085304408
HADH,818.0,0.383558671,219.0,-0.37498,-0.493282192
HADHA,615.0,0.383558671,130.0,0.224457,-0.16631113
HAUS5,3319.0,0.378752573,51.0,-0.605878,-1.006060186
HAUS8,346.0,0.37535995,111.0,-0.954195,-0.441570619
HCCS,1274.0,0.398607648,275.0,0.56707,0.472383562
HCK,337.0,0.440224323,364.0,-0.780915,-0.517059043
HDAC1,591.0,0.390040122,63.0,0.419774,0.379800546
HDDC3,763.0,0.387287166,29.0,0.243397,0.413157128
HDGF,1342.0,0.465394593,322.0,0.339542,0.247016657
HDLBP,2343.0,0.397687311,375.0,0.279512,0.163341771
HEATR3,1385.0,0.384091545,883.0,0.10454,-0.103413313
HEBP2,9119.0,0.359416339,297.0,-0.137754,-0.293488742
HECA,3704.0,0.443714129,285.0,-0.197792,0.144604817
HECTD3,3914.0,0.446742268,98.0,-0.348176,-0.304896718
HERC2,726.0,0.429958504,109.0,-0.365391,-0.10854742
HERC5,379.0,0.393838904,153.0,-0.156869,-0.005893092
HIP1,4874.0,0.430847644,52.0,0.144389,0.060453644
HLA-A,4150.0,0.424443523,84.0,0.406615,-0.258808829
HLA-C,420.0,0.421684519,65.0,0.084557,-0.212623146
HLA-DRA,409.0,0.420807891,109.0,-1.003453,-0.878974543
HLA-E,1459.0,0.413523771,126.0,-0.402237,-0.444167237
HLA-F,121.0,0.407256461,124.0,-0.618216,-1.042585659
HMBS,266.0,0.451934812,299.0,-0.824134,-0.548592608
HMGB2,3775.0,0.450826504,193.0,-0.040982,0.290563564
HMGCS1,3661.0,0.374424323,345.0,-0.621259,-0.314403836
HMOX1,616.0,0.436401717,107.0,0.105774,-0.188297088
HNRNPA0,7504.0,0.386421138,284.0,0.413804,0.111109545
HNRNPD,1688.0,0.420386111,318.0,0.330205,-0.097812763
HNRNPL,1102.0,0.449817015,176.0,-0.048591,0.01408412
HNRNPU,4156.0,0.432126199,218.0,0.507656,0.197392588
HNRNPUL1,2135.0,0.394022965,339.0,0.280866,0.197255915
HNRNPUL2,2674.0,0.436897081,229.0,-0.232444,-0.207692223
HSBP1,3274.0,0.4454546,174.0,1.451007,0.101567238
HSD17B7,398.0,0.431983247,99.0,-0.023646,-0.048902847
HSP90AB1,313.0,0.39509298,251.0,-0.224587,-0.644614057
HSPA1L,428.0,0.464100714,183.0,0.086184,-0.054685889
HSPA4L,7877.0,0.413794867,342.0,0.859975,0.184629674
HSPB11,107.0,0.34538245,284.0,-1.044464,-0.273504218
HTRA2,571.0,0.421976635,602.0,-0.163818,-0.481423496
HTT,3901.0,0.373695076,145.0,-0.423187,-0.027518483
HUS1,2068.0,0.374612864,131.0,-0.005989,-0.077971209
HYI,310.0,0.378597605,196.0,-0.343323,-0.223853238
HYOU1,1409.0,0.403839016,234.0,0.406664,-0.176712557
ICAM1,1537.0,0.426062071,319.0,-0.733889,-0.559712241
IER3IP1,3342.0,0.438740024,97.0,-0.135612,0.239421242
IFI16,254.0,0.415211655,290.0,0.123827,0.127818532
IFI30,213.0,0.431523306,62.0,-0.593758,-0.51103727
IFI35,160.0,0.418462024,223.0,-0.250289,-0.751183342
IFI44,267.0,0.403888008,124.0,-0.711142,-1.056573507
IFI44L,5058.0,0.403608012,200.0,0.078746,-1.36221468
IFIH1,121.0,0.412344512,377.0,-0.387247,-0.33483563
IFIT1,2775.0,0.411248073,495.0,0.409275,-0.556936998
