,3prime,tAI,max_5_UTR_length,TCGA-A7-A0CE,TCGA-A7-A0CE.1
CD36,2894.0,0.410517795,414.0,0.293092,-0.68773047
CD40,982.0,0.429065654,90.0,-1.306903,-0.456573842
CD44,3115.0,0.39995987,434.0,-1.182987,-0.657870784
CD63,923.0,0.512738356,403.0,0.633638,-0.200332899
CD74,635.0,0.427357309,187.0,-1.092045,-0.047209554
CDC25C,437.0,0.364786128,387.0,0.94525,0.49647525
CDC26,271.0,0.395637029,359.0,0.671274,0.49217542
CDC34,560.0,0.46431386,199.0,-0.743678,-0.273079462
CDC42EP3,3941.0,0.420378821,1009.0,-0.583159,-0.332583151
CDCA8,1353.0,0.384295288,290.0,1.550797,0.335554625
CDIPT,1864.0,0.442654716,541.0,0.323612,-1.113938282
CDK1,2313.0,0.398329505,154.0,0.857778,0.668025704
CDK19,4557.0,0.421511824,180.0,0.301537,0.328755776
CDK2AP1,766.0,0.439144625,522.0,1.721188,0.876356832
CDK5RAP2,367.0,0.371069462,192.0,-0.421853,0.037168999
CDK5RAP3,284.0,0.469750898,1791.0,-0.300738,0.08006246
CDKAL1,1365.0,0.417875209,167.0,1.074848,-0.323669526
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.431553,-0.307509046
CDKN2C,2247.0,0.381912025,1216.0,0.864288,0.196881429
CEBPD,1714.0,0.430497143,44.0,1.860942,0.850227401
CENPH,1478.0,0.418392258,87.0,1.498953,0.432608921
CENPV,301.0,0.385948267,62.0,0.34195,-0.839010613
CEP55,939.0,0.397841874,304.0,1.817053,0.364486069
CES3,2100.0,0.377378956,446.0,2.61788,0.190827934
CETN2,868.0,0.433727498,47.0,0.265989,0.117134481
CFL1,677.0,0.502791,234.0,-0.268027,-0.174918504
CHAC2,786.0,0.395629742,277.0,0.601154,0.386235403
CHCHD4,3528.0,0.445497334,326.0,0.217855,0.083252749
CHMP4A,296.0,0.447100154,262.0,-0.75094,-0.12347273
CHMP5,1241.0,0.442987983,200.0,-0.095131,0.048639001
CHMP6,980.0,0.489861105,78.0,-0.308426,-0.355661499
CHST11,4211.0,0.430763246,498.0,-1.113713,-0.216885213
CHTF8,2425.0,0.424551152,142.0,0.701119,0.981248745
CIAPIN1,1024.0,0.451663323,242.0,1.092068,0.481606567
CISD2,5376.0,0.433298698,107.0,0.92608,-0.203927906
CKAP4,2872.0,0.386259817,84.0,-0.443029,-0.855401575
CKS2,300.0,0.317949998,98.0,0.07304,0.336362427
CLCC1,5185.0,0.369704467,150.0,0.18847,-0.111726556
CLCN7,1698.0,0.459147749,110.0,-0.7042,-0.355273553
CLIC1,290.0,0.4571302,573.0,-0.149567,-0.015560327
CLK2,350.0,0.410673686,925.0,0.556587,0.037975394
CLK3,1233.0,0.4268607,461.0,-1.044445,-0.173756745
CLPTM1,458.0,0.383990827,351.0,0.07503,-0.572327486
CLTA,288.0,0.450950874,514.0,0.126021,0.204997829
CLTB,319.0,0.48548545,210.0,-0.870797,-0.470318815
CLTC,3104.0,0.384957863,443.0,-0.066763,-0.28510839
CNBP,6850.0,0.433298698,206.0,-0.26733,-0.008425462
CNPY2,123.0,0.392778455,553.0,1.05272,0.361587745
CNPY3,1042.0,0.459231502,584.0,0.310803,0.315315273
COG3,1967.0,0.414689223,142.0,0.103905,0.043279206
COMMD1,306.0,0.423842833,138.0,0.118546,0.110379526
COMMD3,431.0,0.360487018,35.0,-0.558566,-0.077627448
COMMD5,498.0,0.445713337,399.0,-0.596889,0.116611015
COMMD6,1375.0,0.396967837,328.0,-0.028036,0.349826523
COMMD9,2340.0,0.418062772,89.0,-0.28901,0.182202057
COPB1,446.0,0.381738818,307.0,-0.232027,-0.373645053
COPE,165.0,0.478760693,55.0,0.361255,-0.205484099
COQ6,671.0,0.374062527,159.0,-0.462279,0.004780873
COQ7,5700.0,0.42379098,133.0,0.062387,0.163442055
CORO1A,112.0,0.457388252,435.0,-1.062473,0.000819985
COX17,1735.0,0.484254073,86.0,-0.418962,-0.406905789
COX5A,860.0,0.429944966,140.0,1.553718,0.385600751
COX7A2,302.0,0.441893926,98.0,1.207504,0.329463234
CPM,5262.0,0.406054343,75.0,2.465775,1.036896458
CPSF4,923.0,0.452412439,277.0,0.490361,0.221561771
CPT1A,2761.0,0.374132033,170.0,-0.003518,-0.483113931
CPT2,602.0,0.431256564,515.0,0.538699,-0.120483283
CRCP,8457.0,0.390198146,145.0,0.287102,0.198074537
CRKL,3904.0,0.422225684,509.0,-0.333321,-0.014925447
CRTAP,5601.0,0.446308827,120.0,-0.947284,-0.126115902
CRTC3,3205.0,0.355982524,186.0,0.660014,0.238106042
CRY2,2337.0,0.383442872,132.0,-1.517309,-0.003059756
CRYL1,462.0,0.386242786,79.0,-2.803642,-0.578737874
CSRP1,1183.0,0.493833101,217.0,0.519382,-0.345677182
CST3,2762.0,0.475763324,186.0,-2.234735,-0.741908341
CSTF2,1931.0,0.372934478,58.0,0.714882,0.274601139
CTBP1,800.0,0.464034004,393.0,-0.081816,-0.117292216
CTNNA1,1216.0,0.412513324,1103.0,0.57392,0.010308095
CTNNB1,1106.0,0.432073699,448.0,-0.237075,0.0137209
CTNNBIP1,2448.0,0.394834327,307.0,0.01072,-0.038507531
CTPS2,1870.0,0.416273085,744.0,-0.7147,-0.300739814
CTSG,119.0,0.369503415,37.0,0.737104,-0.059760958
CTSH,1072.0,0.446467856,1192.0,-0.026693,-0.262858897
CUEDC1,2047.0,0.374410739,719.0,-0.950361,-0.23406394
CUX1,1040.0,0.395555213,127.0,1.043622,0.473820267
CXCL10,814.0,0.410287201,105.0,-0.543616,0.222026936
CXCL9,2323.0,0.403736618,74.0,-0.668781,0.251601069
CYBB,2544.0,0.418993019,61.0,-1.739774,-0.471944651
CYP2S1,1051.0,0.420869286,58.0,-1.293743,-0.338087015
CYTH4,1837.0,0.406296106,377.0,-1.238259,-0.099276329
DAB2,1757.0,0.368483127,531.0,0.623277,0.218129033
DAGLB,721.0,0.377719723,170.0,0.571917,0.182432227
DAP3,768.0,0.366492687,184.0,0.728078,0.179639517
DAPP1,2082.0,0.348655603,90.0,0.557243,0.281911623
DBI,233.0,0.467027529,479.0,-0.143909,-0.770004393
DCAF8,1877.0,0.380310979,212.0,-0.087021,-0.063461887
DCP1A,4153.0,0.411936399,381.0,-0.04134,0.178519696
DCPS,4731.0,0.375605648,329.0,0.303278,-0.20908147
DCTN5,10597.0,0.443116252,177.0,0.325609,0.102787381
DDAH2,653.0,0.361046801,1104.0,0.028904,-0.10773485
DDB2,1223.0,0.43604051,195.0,-1.191643,-0.1359509
DDX23,713.0,0.445931172,91.0,0.192474,0.373045524
DDX31,1870.0,0.361830896,544.0,0.025575,-0.143576794
DDX47,438.0,0.379294484,22.0,0.817003,0.369179923
DDX54,1704.0,0.467316231,28.0,-0.458387,-0.08253113
DDX56,586.0,0.438032149,643.0,0.290368,0.237650148
DDX59,217.0,0.413095257,243.0,0.508231,0.391651161
DHODH,3463.0,0.371608285,21.0,1.029417,0.064313033
DHPS,121.0,0.474111752,121.0,0.023346,0.461131786
DHX15,459.0,0.379133957,168.0,-0.094733,0.121214639
DHX34,591.0,0.384465978,349.0,0.126885,0.227186777
DHX58,357.0,0.440330409,223.0,-0.183994,-0.036798752
DIABLO,719.0,0.425893605,1182.0,-0.173548,-0.328094015
DMAP1,63.0,0.471306,301.0,0.095114,0.271272718
DMXL2,1274.0,0.389901613,225.0,0.178229,0.080059325
DNAJA4,1736.0,0.398301408,169.0,-0.277615,-0.307913689
DNAJC19,1326.0,0.403482491,259.0,0.325465,-0.017442535
DNAJC25,1212.0,0.430964931,56.0,-0.592287,-0.196112421
DNAJC8,969.0,0.416719859,33.0,0.50994,0.395325992
DNM1,1255.0,0.393835111,116.0,-1.974368,-0.51610048
DNTTIP2,3564.0,0.408096853,58.0,0.543094,0.435866827
DOCK11,3681.0,0.373818855,63.0,-0.542082,-0.09808631
DOCK2,524.0,0.446250827,52.0,-1.247354,-0.212939222
DOK2,438.0,0.384043737,481.0,-1.146106,0.286135325
DPCD,197.0,0.459155016,389.0,0.075904,0.085575429
DPF2,2501.0,0.393394442,133.0,-0.778203,0.047386204
DPH1,1310.0,0.448716064,341.0,0.40734,0.412697606
DPH5,784.0,0.413363166,165.0,0.508523,0.206214634
DPY30,562.0,0.438431353,279.0,0.551649,0.523927321
DPYSL2,2472.0,0.430530829,431.0,1.706192,0.802979582
DRAP1,142.0,0.432809908,245.0,-0.697668,-0.303430562
DRG1,4594.0,0.444150091,131.0,-0.102578,-0.161568683
DSN1,5330.0,0.392894937,373.0,0.249375,0.113494098
DSTN,2786.0,0.375776803,438.0,-0.981112,-0.638306953
DTL,2265.0,0.372315747,921.0,1.357387,0.563822607
DTX3L,3456.0,0.408848169,89.0,0.607761,0.45045408
DUSP12,374.0,0.419884133,34.0,0.272672,0.226584948
DUT,1937.0,0.36471409,109.0,0.619486,0.589176153
DYNLT1,514.0,0.420362019,78.0,-0.087869,0.132433047
EBAG9,1437.0,0.39438748,402.0,-0.326681,-0.342819001
ECH1,191.0,0.389477111,85.0,0.490565,0.114622052
ECHDC2,2269.0,0.400166641,752.0,-0.20829,-0.812186312
ECM1,322.0,0.43792189,199.0,-1.618129,-0.352973253
EDEM2,76.0,0.379021051,100.0,0.297956,0.064491657
EEA1,5374.0,0.405861636,265.0,-0.582014,-0.113840346
EEF1A2,286.0,0.417272363,329.0,-0.18907,-0.951614374
EFTUD2,1331.0,0.444646836,398.0,0.728037,0.306931624
EHD1,3363.0,0.446314898,447.0,-0.224397,-0.154900051
EIF2AK2,8063.0,0.394727306,557.0,0.993697,0.6786871
EIF2B3,1058.0,0.383118637,239.0,0.548201,0.074695365
EIF3F,5840.0,0.435728237,33.0,-0.598627,0.125467104
EIF3L,1718.0,0.380710116,245.0,-0.70366,0.074434667
EIF4A3,1120.0,0.381528282,222.0,0.36862,0.353255401
ELAVL1,4910.0,0.437605432,167.0,0.790471,0.396315813
EMG1,248.0,0.433768095,143.0,0.654646,0.590988133
EMILIN2,2605.0,0.379592019,159.0,-0.304751,-0.109995159
ENDOD1,7728.0,0.376426787,118.0,0.517305,-0.26580002
ENOSF1,2904.0,0.382279782,622.0,-0.638188,-0.61093379
ENY2,2576.0,0.41756619,146.0,0.02324,0.323284549
EPSTI1,2106.0,0.391777705,469.0,-0.448956,0.087311223
ERCC1,2342.0,0.45058755,188.0,-0.151484,0.344722568
ERCC6L,4809.0,0.354829683,623.0,1.591599,0.733443632
ERH,415.0,0.383837906,71.0,-0.231463,0.136521498
ERLIN1,2041.0,0.444737514,478.0,0.552784,0.06179112
ERP29,1277.0,0.401191178,118.0,0.178111,0.161284815
ETV6,4356.0,0.398240844,274.0,0.737725,0.829977685
EXOC4,1232.0,0.388187525,35.0,1.047324,0.064105785
EXOC8,6907.0,0.436106501,127.0,0.225489,-0.158126497
EXOSC1,536.0,0.430105347,451.0,0.516548,0.423402532
EXOSC2,3902.0,0.431273517,32.0,0.188877,0.279881887
F8A1,571.0,0.46317284,15.0,0.877224,-0.070939832
FAAH,2043.0,0.384592892,82.0,-1.101269,-0.853905418
FAF1,4425.0,0.401181969,453.0,1.014942,0.286275449
FAM122A,4542.0,0.40477622,33.0,-0.213203,0.152686714
FAM168A,6285.0,0.395008865,285.0,-1.518939,-0.473116353
FAM177A1,2165.0,0.411149627,459.0,-0.382815,-0.259102172
FAM192A,1824.0,0.379195199,1475.0,0.436699,0.326883546
FAM20B,4428.0,0.4357945,293.0,0.95225,-0.146097565
FAM32A,1091.0,0.408676074,42.0,0.373886,-0.320032489
FAM50A,286.0,0.482889735,110.0,0.456475,0.40802895
FBP1,248.0,0.397353747,331.0,-4.065176,-0.884729506
FBXL20,9338.0,0.383104745,254.0,0.135763,-0.606570213
FBXO4,526.0,0.393825218,58.0,-0.952922,-0.248118197
FBXO6,503.0,0.42307306,166.0,-0.399373,-0.1340461
FCER1G,305.0,0.4202976,25.0,-0.345363,0.121618069
FCGRT,309.0,0.433069976,486.0,0.033889,-0.408539881
FCHO1,270.0,0.372951657,283.0,2.124483,-0.05997977
FDPS,72.0,0.456397562,392.0,1.187506,0.567277684
FDXR,596.0,0.384661194,188.0,0.601706,-0.066637052
FEN1,1340.0,0.407867196,413.0,0.956989,0.574490681
FERMT3,399.0,0.435119014,149.0,-0.917429,-0.080949576
FGD2,907.0,0.441856308,171.0,-0.309337,0.009916026
FGFR1OP2,1663.0,0.396595515,353.0,-0.080008,0.095501375
FGL2,3460.0,0.40966218,40.0,-2.583002,-0.659792656
FKBP1A,1132.0,0.428443098,174.0,0.013107,0.064124873
FKBPL,24.0,0.377510344,270.0,0.097248,-0.18832697
FLOT1,422.0,0.472159534,339.0,-0.103461,0.325559075
FN3K,442.0,0.389857108,61.0,0.594305,0.08222139
FN3KRP,3667.0,0.380720834,50.0,0.325712,-0.12691265
FOXJ3,3176.0,0.401878681,312.0,0.190768,-0.050579509
FOXK2,3108.0,0.440496276,171.0,0.483126,-0.00644262
FOXRED1,443.0,0.438630908,167.0,0.404081,-0.227714155
FSCN1,1184.0,0.396100853,132.0,1.330868,0.324960911
FTH1,530.0,0.425357612,235.0,-0.396945,0.103004945
FTL,1031.0,0.428438948,199.0,-0.967634,-0.101027184
FTSJ1,638.0,0.457521275,569.0,0.128763,0.291714962
FTSJ3,698.0,0.388239396,646.0,0.757335,-0.123609152
FXN,6365.0,0.40465004,220.0,0.462257,0.017000126
GABARAPL2,564.0,0.431291441,136.0,0.058396,0.205492601
GABPB1,1320.0,0.423118524,469.0,0.030018,0.12693933
GALK1,292.0,0.455574511,63.0,0.242389,-0.051859996
GANAB,989.0,0.425909644,1027.0,0.56579,0.077153814
GAS6,315.0,0.393865445,183.0,1.11077,0.16181911
GAS7,6619.0,0.423630168,311.0,-2.319192,-0.365953689
GBE1,708.0,0.404013874,283.0,0.247347,-0.17457292
GBP1,1735.0,0.42614962,220.0,0.730962,0.735621267
GBP2,5058.0,0.440134196,314.0,-0.520652,0.08703944
GBP4,4106.0,0.42983554,116.0,-0.879655,0.484047288
GBP5,1753.0,0.421901204,537.0,-0.504383,0.444181936
GCH1,2011.0,0.419329122,161.0,0.249981,0.305400912
GFOD2,622.0,0.396604754,295.0,0.143264,-0.258993299
GGA2,5408.0,0.377812588,83.0,0.341178,-0.073071555
GGCX,5211.0,0.417836117,106.0,-0.299199,-0.515344145
GIGYF1,2212.0,0.443456438,1210.0,0.082043,0.288884028
GINS3,1415.0,0.387351931,208.0,1.581168,1.137696904
GLA,1699.0,0.378726947,110.0,0.915915,0.32218783
GLE1,1357.0,0.383457083,114.0,0.111046,0.248433593
GLRX,1188.0,0.430296645,211.0,-0.760373,-0.459483658
GLRX3,3557.0,0.41418463,539.0,0.646002,0.358273143
GLUD1,1558.0,0.392454008,1132.0,-0.346408,-0.375641412
GLYR1,2033.0,0.39940414,57.0,-0.736485,-0.100085688
GMEB1,4582.0,0.43446142,142.0,0.338031,0.100754286
GMPPA,198.0,0.434966364,375.0,-1.351736,-0.497873289
GMPR,3984.0,0.435743929,114.0,-0.646506,-0.604640006
GMPR2,464.0,0.453637396,704.0,-0.845938,-0.488906245
GNAI1,1947.0,0.435804474,356.0,0.974357,0.102542015
GNG7,3803.0,0.398730372,237.0,-0.243084,-0.172707534
GNPDA1,1360.0,0.395964134,67.0,0.595705,0.046195358
GOLGA2,1243.0,0.401070546,13.0,-0.520519,-0.33717387
GON4L,926.0,0.418089888,175.0,0.729762,0.072051626
GOSR1,5968.0,0.408103421,237.0,0.096158,-0.385449162
GOSR2,3258.0,0.374298057,541.0,-0.000151,-0.462250436
GOT2,1054.0,0.444803236,129.0,0.931775,-0.491721975
GPS2,97.0,0.431122181,76.0,0.672187,-0.203279989
GPX7,626.0,0.395840774,39.0,0.711567,0.289398989
GRAMD1A,299.0,0.411657297,748.0,-0.165873,-0.452479147
GRB2,2292.0,0.4413596,358.0,-0.411908,0.083891818
GSTM4,2467.0,0.390909061,314.0,0.989992,-0.181546629
GTF2A2,1070.0,0.420716795,404.0,0.686446,0.65645914
GTF2E2,604.0,0.365750105,273.0,0.485771,0.289259314
GTF3C2,932.0,0.372227001,397.0,0.580863,0.178635043
GTPBP1,2894.0,0.424954603,154.0,-0.14307,-0.034464753
GTPBP3,1032.0,0.436547413,95.0,0.830206,0.08173276
GTSE1,680.0,0.368527868,212.0,1.315069,0.116299456
GTSF1,222.0,0.36097632,86.0,-1.976962,0.274763701
HADH,818.0,0.383558671,219.0,1.038579,0.470558031
HADHA,615.0,0.383558671,130.0,0.456733,0.091656789
HAUS5,3319.0,0.378752573,51.0,1.202731,0.664795651
HAUS8,346.0,0.37535995,111.0,1.067642,0.537770662
HCCS,1274.0,0.398607648,275.0,0.312556,-0.232452789
HCK,337.0,0.440224323,364.0,-1.251768,-0.225190573
HDAC1,591.0,0.390040122,63.0,0.289844,-0.109779742
HDDC3,763.0,0.387287166,29.0,0.602975,-0.104433713
HDGF,1342.0,0.465394593,322.0,1.153112,0.30220528
HDLBP,2343.0,0.397687311,375.0,-0.291632,-0.12480601
HEATR3,1385.0,0.384091545,883.0,-0.258179,-0.040763297
HEBP2,9119.0,0.359416339,297.0,0.54918,0.120633205
HECA,3704.0,0.443714129,285.0,0.305212,0.127176266
HECTD3,3914.0,0.446742268,98.0,0.011862,-0.176716594
HERC2,726.0,0.429958504,109.0,-0.267659,0.111789649
HERC5,379.0,0.393838904,153.0,1.695444,0.677945852
HERC6,651.0,0.398146132,183.0,1.465636,0.367747063
HIP1,4874.0,0.430847644,52.0,0.877594,0.28655496
HLA-A,4150.0,0.424443523,84.0,0.378651,0.678273581
HLA-C,420.0,0.421684519,65.0,-0.181612,0.169646226
HLA-DRA,409.0,0.420807891,109.0,-1.470083,-0.456888323
HLA-E,1459.0,0.413523771,126.0,-0.381974,0.31486799
HLA-F,121.0,0.407256461,124.0,1.323277,0.494888215
HMBOX1,3560.0,0.369177113,482.0,-0.091385,-0.331503506
HMBS,266.0,0.451934812,299.0,0.59239,-0.011589997
HMGB2,3775.0,0.450826504,193.0,0.15875,-0.268526256
HMGCS1,3661.0,0.374424323,345.0,-0.268401,-0.507949204
HMOX1,616.0,0.436401717,107.0,-0.909219,-0.15384844
HNRNPA0,7504.0,0.386421138,284.0,0.5945,0.432377562
HNRNPD,1688.0,0.420386111,318.0,1.042323,0.175407736
HNRNPL,1102.0,0.449817015,176.0,0.2753,0.129893176
HNRNPU,4156.0,0.432126199,218.0,0.380898,0.219298293
HNRNPUL1,2135.0,0.394022965,339.0,0.229386,-0.101298593
HNRNPUL2,2674.0,0.436897081,229.0,-0.137485,-0.101799514
HSBP1,3274.0,0.4454546,174.0,0.755159,0.075612656
HSD17B7,398.0,0.431983247,99.0,-0.443234,-0.477396786
HSP90AB1,313.0,0.39509298,251.0,0.509416,0.161619034
HSPA4L,7877.0,0.413794867,342.0,3.436448,1.54355116
HSPB11,107.0,0.34538245,284.0,0.316818,0.176430697
HTRA2,571.0,0.421976635,602.0,0.592305,-0.09248501
HTT,3901.0,0.373695076,145.0,-0.475999,-0.213505549
HUS1,2068.0,0.374612864,131.0,-0.177792,0.258004826
HYI,310.0,0.378597605,196.0,-0.544622,-0.209894902
HYOU1,1409.0,0.403839016,234.0,1.138063,-0.490043216
ICAM1,1537.0,0.426062071,319.0,1.767211,0.224934961
IER3IP1,3342.0,0.438740024,97.0,0.255591,-0.737286039
IFI16,254.0,0.415211655,290.0,0.555806,0.463033602
IFI30,213.0,0.431523306,62.0,0.437005,0.368250416
IFI35,160.0,0.418462024,223.0,-0.470109,0.485188944
IFI44,267.0,0.403888008,124.0,0.763271,-0.362528928
IFI44L,5058.0,0.403608012,200.0,0.937944,-0.521274083
IFIH1,121.0,0.412344512,377.0,0.396923,0.187115406
IFIT1,2775.0,0.411248073,495.0,0.511748,-0.064209582
