,3prime,tAI,max_5_UTR_length,TCGA-A2-A0EQ,TCGA-A2-A0EQ.1
ANAPC5,235.0,0.390209877,197.0,0.027226,-0.014150799
ANKLE2,1737.0,0.418251419,90.0,-0.337213,-0.048799006
ANKRD16,135.0,0.465649334,543.0,-0.381887,-0.227725289
ANKRD35,249.0,0.402949835,108.0,-1.019285,-0.477457515
ANXA2,496.0,0.429738522,160.0,-0.525229,-0.444101729
ANXA5,1441.0,0.418050335,165.0,-0.089342,-0.318625587
AP1B1,1153.0,0.424070668,187.0,0.383281,0.286806772
AP1M1,914.0,0.463388599,173.0,0.388774,0.207164104
APBA1,3797.0,0.387421148,276.0,-0.540882,0.421994359
APIP,427.0,0.433104693,127.0,0.088181,0.073507753
APOBEC3B,339.0,0.43450554,55.0,2.376447,0.203069328
APOBEC3C,1979.0,0.381716897,103.0,1.340106,0.557723805
APOBEC3G,322.0,0.410940579,404.0,1.984868,0.707544087
APOL2,1195.0,0.42932248,477.0,1.285772,0.577273901
ARF6,2971.0,0.462806813,621.0,0.053695,-0.391034504
ARFIP2,2430.0,0.403729309,291.0,-0.357079,-0.333925632
ARHGAP17,2624.0,0.371011524,117.0,0.223496,0.320429541
ARHGAP30,773.0,0.384451823,645.0,1.720211,0.470088648
ARHGEF10,1378.0,0.370244255,202.0,-0.74095,-0.374540397
ARID2,3145.0,0.362288628,128.0,-0.165598,0.094953673
ARID3A,3881.0,0.411693449,290.0,0.266559,0.421559092
ARIH2,3112.0,0.397061561,878.0,-0.215864,-0.050863231
ARL8A,1065.0,0.409602486,171.0,0.451467,0.286352319
ARRB1,6041.0,0.39512759,224.0,1.0394,0.48436637
ASF1B,950.0,0.395794233,172.0,1.373039,0.04063711
ASS1,1357.0,0.394201053,356.0,0.903443,-0.488403854
ATPAF1,3039.0,0.439253133,510.0,-0.225096,-0.162443311
ATRIP,162.0,0.417082642,462.0,-0.457877,-0.167777934
B4GALT7,4483.0,0.433879574,93.0,-0.191148,-0.05096724
BAG1,2764.0,0.431693656,501.0,0.276764,-0.14258124
BAG3,537.0,0.387438444,306.0,0.881455,0.029602956
BASP1,971.0,0.520859146,259.0,1.109032,0.607789774
BBS7,1531.0,0.408023089,184.0,-0.818808,-0.048823107
BCAT2,364.0,0.445598481,657.0,0.066061,-0.026252014
BCKDHB,3082.0,0.419736544,88.0,1.228769,0.632727428
BCL2,5279.0,0.374049285,493.0,0.538429,0.606560571
BCL2L13,4109.0,0.411790332,769.0,0.03972,0.104714964
BID,4193.0,0.428633517,498.0,0.387772,0.103015625
BLVRA,3376.0,0.414260839,177.0,-0.896406,-0.574310657
BOLA2,40.0,0.43059393,513.0,0.197146,-0.149132689
BOLA3,383.0,0.406657227,38.0,0.338304,0.015591809
BRD2,787.0,0.377809737,2066.0,0.029895,0.154474875
BRD3,3285.0,0.401150236,188.0,1.127902,0.571378476
BSPRY,1091.0,0.380011644,48.0,-0.565955,-0.376730535
BST2,411.0,0.444557266,81.0,-0.35466,-0.372697322
BUB3,1535.0,0.421992618,242.0,0.633864,0.139376844
C1QB,152.0,0.436596666,340.0,1.247269,0.019052059
C1QC,327.0,0.41150294,283.0,1.09589,-0.034218485
C2CD3,671.0,0.360398895,227.0,1.504363,0.100855529
C3,5088.0,0.430632158,93.0,0.896753,0.184813331
CAP1,1134.0,0.406948565,416.0,0.498988,0.070948951
CAPN1,720.0,0.455130071,197.0,0.264784,-0.098782798
CAPRIN1,5632.0,0.374918508,189.0,0.166338,0.086758095
CAPZB,5180.0,0.446052528,622.0,0.720254,0.070940448
CARD16,437.0,0.41300235,27.0,0.551036,0.611140525
CARHSP1,4898.0,0.362100245,360.0,0.535059,-0.246346986
CASC3,1778.0,0.370720542,295.0,-0.478671,-0.207076212
CASP1,750.0,0.424742838,44.0,0.485066,0.262295214
CASP8,1794.0,0.376118708,303.0,0.013668,-0.010913886
CAT,629.0,0.397270122,89.0,0.225353,-0.048355971
CBL,8368.0,0.375957197,142.0,-0.013291,0.064908388
CBLL1,3286.0,0.400851504,467.0,0.368099,0.349915296
CBR3,54.0,0.445176236,228.0,0.577192,-0.402291983
CBS,4385.0,0.477784031,626.0,3.12911,-0.257248222
CBX5,10815.0,0.390902295,318.0,0.141657,0.327887796
CBX8,2504.0,0.36735217,118.0,-0.248626,0.117567372
CCDC115,2169.0,0.385110507,452.0,-0.695403,-0.235507458
CCDC58,2462.0,0.421830022,75.0,-0.106804,-0.051407903
CCDC88C,1302.0,0.396031427,154.0,-0.303186,-0.361992667
CCL5,886.0,0.462166288,68.0,2.891908,0.515710495
CCNA2,1206.0,0.409154498,373.0,1.195959,-0.338372472
CCNB2,168.0,0.374401461,184.0,0.996227,0.174282141
CCNDBP1,2336.0,0.44393643,231.0,-0.431831,0.46619406
CCS,4244.0,0.460896681,43.0,-0.699253,-0.360661575
CCT3,238.0,0.457984718,231.0,-0.564872,-0.065303764
CCT4,1361.0,0.393363555,164.0,-0.054072,-0.037620954
CD14,128.0,0.416321757,392.0,0.544112,0.055079662
CD209,3046.0,0.440000747,67.0,-0.38515,-0.100377667
CD33,331.0,0.428315036,40.0,1.126125,0.742978968
CD36,2894.0,0.410517795,414.0,-1.069918,-0.492379991
CD40,982.0,0.429065654,90.0,1.965081,1.107624766
CD44,3115.0,0.39995987,434.0,-0.033661,-0.015846853
CD63,923.0,0.512738356,403.0,1.05649,0.104948141
CD74,635.0,0.427357309,187.0,1.487147,0.774014678
CDC25C,437.0,0.364786128,387.0,0.759362,-0.256969296
CDC26,271.0,0.395637029,359.0,0.585996,0.178610679
CDC34,560.0,0.46431386,199.0,0.394383,-0.137650202
CDC42EP3,3941.0,0.420378821,1009.0,-1.054935,-0.281271391
CDCA3,816.0,0.351209268,820.0,1.096603,-0.157743857
CDCA8,1353.0,0.384295288,290.0,1.395461,0.085279483
CDIPT,1864.0,0.442654716,541.0,-0.219518,-0.301292986
CDK1,2313.0,0.398329505,154.0,1.640685,0.463304401
CDK19,4557.0,0.421511824,180.0,0.668458,-0.029854052
CDK2AP1,766.0,0.439144625,522.0,1.177947,0.203425569
CDK5RAP2,367.0,0.371069462,192.0,0.316171,0.069968452
CDK5RAP3,284.0,0.469750898,1791.0,-0.492627,-0.011369329
CDKAL1,1365.0,0.417875209,167.0,0.212475,-0.075904503
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.44988,-0.151260847
CDKN2C,2247.0,0.381912025,1216.0,0.730853,0.057241122
CENPH,1478.0,0.418392258,87.0,0.931036,0.194493699
CENPV,301.0,0.385948267,62.0,1.861748,-0.092110555
CEP55,939.0,0.397841874,304.0,1.312909,0.006536013
CES3,2100.0,0.377378956,446.0,3.966194,0.205108611
CETN2,868.0,0.433727498,47.0,0.437012,0.141495582
CFL1,677.0,0.502791,234.0,0.547743,-0.069682833
CHAC2,786.0,0.395629742,277.0,1.182986,0.32499372
CHCHD4,3528.0,0.445497334,326.0,-0.168008,0.108153005
CHMP4A,296.0,0.447100154,262.0,1.165301,0.370670494
CHMP5,1241.0,0.442987983,200.0,0.360029,0.124152601
CHMP6,980.0,0.489861105,78.0,0.595728,0.180013669
CHTF8,2425.0,0.424551152,142.0,-0.051625,0.167741635
CIAPIN1,1024.0,0.451663323,242.0,0.310329,0.040714499
CISD2,5376.0,0.433298698,107.0,0.073492,0.155992005
CKAP4,2872.0,0.386259817,84.0,0.615553,0.276489662
CKS2,300.0,0.317949998,98.0,1.431774,0.662719858
CLCC1,5185.0,0.369704467,150.0,0.257558,0.135616528
CLCN7,1698.0,0.459147749,110.0,-0.313325,-0.029126079
CLIC1,290.0,0.4571302,573.0,0.284912,-0.294387003
CLK3,1233.0,0.4268607,461.0,-0.122936,0.115114441
CLPTM1,458.0,0.383990827,351.0,0.473793,0.372221774
CLTA,288.0,0.450950874,514.0,0.353111,-0.012868908
CLTB,319.0,0.48548545,210.0,0.295851,-0.205739684
CLTC,3104.0,0.384957863,443.0,0.583404,-0.211229917
CNBP,6850.0,0.433298698,206.0,0.178093,0.231468404
CNPY2,123.0,0.392778455,553.0,0.260374,-0.059275144
CNPY3,1042.0,0.459231502,584.0,0.566756,0.193040786
COG3,1967.0,0.414689223,142.0,0.253829,0.24413555
COMMD1,306.0,0.423842833,138.0,0.007368,-0.073575733
COMMD3,431.0,0.360487018,35.0,1.222623,0.070278494
COMMD5,498.0,0.445713337,399.0,0.495886,-0.007489192
COMMD6,1375.0,0.396967837,328.0,0.034542,0.260115755
COMMD9,2340.0,0.418062772,89.0,0.633754,-0.064366104
COPB1,446.0,0.381738818,307.0,-0.350538,-0.159893788
COPE,165.0,0.478760693,55.0,0.746425,-0.247509882
COQ6,671.0,0.374062527,159.0,-0.159966,0.34732515
COQ7,5700.0,0.42379098,133.0,-0.187142,0.500144709
CORO1A,112.0,0.457388252,435.0,2.746219,0.785412101
COX17,1735.0,0.484254073,86.0,0.38644,-0.178081807
COX5A,860.0,0.429944966,140.0,0.168959,-0.137639267
COX7A2,302.0,0.441893926,98.0,0.871429,0.670357387
CPM,5262.0,0.406054343,75.0,0.313494,0.638379605
CPSF4,923.0,0.452412439,277.0,0.457204,-0.001652006
CPT1A,2761.0,0.374132033,170.0,-0.262839,-0.200968949
CPT2,602.0,0.431256564,515.0,-0.265204,0.018311339
CRCP,8457.0,0.390198146,145.0,-0.009919,-0.195466272
CRKL,3904.0,0.422225684,509.0,-0.003795,-0.087731019
CRTAP,5601.0,0.446308827,120.0,-0.444289,-0.040194814
CRTC3,3205.0,0.355982524,186.0,-0.71213,-0.051337184
CRYL1,462.0,0.386242786,79.0,-1.587578,-0.464687398
CSRP1,1183.0,0.493833101,217.0,-0.071323,-0.755336672
CST3,2762.0,0.475763324,186.0,0.5766,0.144267738
CSTF2,1931.0,0.372934478,58.0,0.390983,0.130704892
CTBP1,800.0,0.464034004,393.0,0.080454,-0.051268703
CTNNA1,1216.0,0.412513324,1103.0,-0.401916,-0.178132747
CTNNB1,1106.0,0.432073699,448.0,-0.18216,-0.0288904
CTNNBIP1,2448.0,0.394834327,307.0,0.701835,0.127116267
CTPS2,1870.0,0.416273085,744.0,-0.388854,-0.179976087
CTSG,119.0,0.369503415,37.0,-0.684709,-1.180759267
CTSH,1072.0,0.446467856,1192.0,0.832887,0.484092447
CUEDC1,2047.0,0.374410739,719.0,-0.879344,-0.508518899
CUX1,1040.0,0.395555213,127.0,0.613273,0.370223307
CXCL10,814.0,0.410287201,105.0,4.480417,1.165430491
CXCL9,2323.0,0.403736618,74.0,5.565099,1.581781135
CYBB,2544.0,0.418993019,61.0,1.811991,1.297274113
CYP2S1,1051.0,0.420869286,58.0,0.753238,0.475249172
CYTH4,1837.0,0.406296106,377.0,1.280337,0.281246388
DAB2,1757.0,0.368483127,531.0,-0.382231,-0.010374524
DAGLB,721.0,0.377719723,170.0,0.124547,0.065129705
DAP3,768.0,0.366492687,184.0,-0.052124,0.127269743
DAPP1,2082.0,0.348655603,90.0,0.811529,0.390853766
DBI,233.0,0.467027529,479.0,0.110766,-0.546990088
DCAF12,1967.0,0.42050769,342.0,0.390905,0.165637041
DCAF8,1877.0,0.380310979,212.0,-0.991476,-0.385566058
DCP1A,4153.0,0.411936399,381.0,-0.38623,0.116793884
DCPS,4731.0,0.375605648,329.0,0.195623,-0.183845476
DCTN5,10597.0,0.443116252,177.0,-0.490038,0.182817288
DDAH2,653.0,0.361046801,1104.0,0.147485,-0.248844786
DDB2,1223.0,0.43604051,195.0,-0.760425,-0.263180995
DDX23,713.0,0.445931172,91.0,0.199356,-0.044717426
DDX31,1870.0,0.361830896,544.0,0.456048,0.098482042
DDX47,438.0,0.379294484,22.0,0.030513,0.094291989
DDX54,1704.0,0.467316231,28.0,0.277725,0.064701178
DDX56,586.0,0.438032149,643.0,-0.587886,-0.247147928
DDX59,217.0,0.413095257,243.0,-0.168256,0.065083494
DHODH,3463.0,0.371608285,21.0,0.141246,-0.297675316
DHPS,121.0,0.474111752,121.0,0.462517,0.698539637
DHX15,459.0,0.379133957,168.0,-0.182484,-0.115016779
DHX34,591.0,0.384465978,349.0,-0.290701,-0.091941024
DHX58,357.0,0.440330409,223.0,0.16954,-0.101119443
DIABLO,719.0,0.425893605,1182.0,0.179249,-0.245478392
DMAP1,63.0,0.471306,301.0,0.148992,0.231958274
DMXL2,1274.0,0.389901613,225.0,-0.346042,0.19757409
DNAJA4,1736.0,0.398301408,169.0,-0.200163,-0.376342506
DNAJC19,1326.0,0.403482491,259.0,-0.242407,0.164240438
DNAJC25,1212.0,0.430964931,56.0,-0.013901,0.522528985
DNAJC8,969.0,0.416719859,33.0,0.447335,0.366060504
DNM1,1255.0,0.393835111,116.0,0.214713,-0.085395043
DNTTIP2,3564.0,0.408096853,58.0,-0.151028,0.060631246
DOCK11,3681.0,0.373818855,63.0,0.594571,0.255161115
DOCK2,524.0,0.446250827,52.0,1.782232,0.763299936
DOK2,438.0,0.384043737,481.0,2.184114,0.669467699
DPCD,197.0,0.459155016,389.0,0.711185,0.06125276
DPF2,2501.0,0.393394442,133.0,-0.21871,0.361610167
DPH1,1310.0,0.448716064,341.0,0.160704,-0.097244147
DPH5,784.0,0.413363166,165.0,0.012273,-0.182226378
DPY30,562.0,0.438431353,279.0,0.080926,-0.090677807
DPYSL2,2472.0,0.430530829,431.0,0.401186,0.065140994
DRAP1,142.0,0.432809908,245.0,0.57368,0.339503839
DRG1,4594.0,0.444150091,131.0,0.341062,0.152189456
DSN1,5330.0,0.392894937,373.0,0.29851,-0.001159696
DSTN,2786.0,0.375776803,438.0,0.317222,-0.004337403
DTL,2265.0,0.372315747,921.0,0.762836,-0.504667838
DTX3L,3456.0,0.408848169,89.0,-0.188655,-0.096379646
DUSP12,374.0,0.419884133,34.0,-0.704006,-0.14090115
DUT,1937.0,0.36471409,109.0,0.054461,-0.459244634
DYNLT1,514.0,0.420362019,78.0,1.276541,0.099157273
EBAG9,1437.0,0.39438748,402.0,-0.361667,-0.010708624
ECH1,191.0,0.389477111,85.0,0.51819,-0.061927161
ECHDC2,2269.0,0.400166641,752.0,-0.166271,-0.434337179
ECM1,322.0,0.43792189,199.0,-0.706964,-0.602441884
EDEM2,76.0,0.379021051,100.0,0.01688,0.311663759
EEA1,5374.0,0.405861636,265.0,-0.570852,-0.059042829
EEF1A2,286.0,0.417272363,329.0,-0.291809,-1.073889758
EFTUD2,1331.0,0.444646836,398.0,0.053588,0.047867234
EHD1,3363.0,0.446314898,447.0,0.274552,0.144375345
EIF2AK2,8063.0,0.394727306,557.0,-0.224771,-0.016909354
EIF2B3,1058.0,0.383118637,239.0,-0.029915,-0.001480593
EIF3F,5840.0,0.435728237,33.0,0.320957,0.162654012
EIF3L,1718.0,0.380710116,245.0,0.510367,0.245446202
EIF4A3,1120.0,0.381528282,222.0,0.533909,0.108352172
ELAVL1,4910.0,0.437605432,167.0,0.673495,0.090788836
EMG1,248.0,0.433768095,143.0,0.565173,0.170021125
EMILIN2,2605.0,0.379592019,159.0,0.619034,0.348953176
ENDOD1,7728.0,0.376426787,118.0,-2.362271,-0.374388005
ENOSF1,2904.0,0.382279782,622.0,0.178758,0.195786656
ENY2,2576.0,0.41756619,146.0,0.704613,0.196685992
EPSTI1,2106.0,0.391777705,469.0,1.040568,-0.07879873
ERCC1,2342.0,0.45058755,188.0,0.051396,-0.032045393
ERCC6L,4809.0,0.354829683,623.0,-0.256692,-0.232828867
ERH,415.0,0.383837906,71.0,0.274704,0.010033837
ERLIN1,2041.0,0.444737514,478.0,0.33366,0.14274882
ERP29,1277.0,0.401191178,118.0,0.735789,0.302370054
ETV6,4356.0,0.398240844,274.0,0.02264,-0.099938396
EXOC4,1232.0,0.388187525,35.0,-0.198936,-0.056261557
EXOC8,6907.0,0.436106501,127.0,0.059895,-0.064405404
EXOSC1,536.0,0.430105347,451.0,0.654202,0.122617742
EXOSC2,3902.0,0.431273517,32.0,0.105323,0.04908138
F8A1,571.0,0.46317284,15.0,-0.151557,-0.122864755
FAAH,2043.0,0.384592892,82.0,0.565554,0.39857361
FAF1,4425.0,0.401181969,453.0,-0.1614,-0.253066647
FAM122A,4542.0,0.40477622,33.0,-0.024716,0.103038728
FAM168A,6285.0,0.395008865,285.0,0.099137,0.462547063
FAM177A1,2165.0,0.411149627,459.0,-0.356899,-0.527624455
FAM192A,1824.0,0.379195199,1475.0,0.164192,0.178786618
FAM20B,4428.0,0.4357945,293.0,0.082843,-0.156456583
FAM32A,1091.0,0.408676074,42.0,0.539434,0.364537467
FAM50A,286.0,0.482889735,110.0,0.178288,0.112883257
FBP1,248.0,0.397353747,331.0,0.688313,0.317523253
FBXL20,9338.0,0.383104745,254.0,-0.200714,-0.409621313
FBXO4,526.0,0.393825218,58.0,-1.129638,-0.284144261
FBXO6,503.0,0.42307306,166.0,1.095524,-0.239508166
FCER1G,305.0,0.4202976,25.0,0.636399,0.859293664
FCGRT,309.0,0.433069976,486.0,1.140709,0.573274227
FDPS,72.0,0.456397562,392.0,-0.215619,-0.493564274
FDXR,596.0,0.384661194,188.0,0.397354,-0.133950908
FEN1,1340.0,0.407867196,413.0,0.895915,0.358642344
FERMT3,399.0,0.435119014,149.0,1.749545,0.540091153
FGD2,907.0,0.441856308,171.0,1.502856,0.404104549
FGFR1OP2,1663.0,0.396595515,353.0,0.248991,0.174307629
FGL2,3460.0,0.40966218,40.0,0.777223,0.3082671
FKBP1A,1132.0,0.428443098,174.0,0.764964,0.20702452
FKBPL,24.0,0.377510344,270.0,0.174726,-0.316827497
FLOT1,422.0,0.472159534,339.0,-0.418766,0.018022771
FN3K,442.0,0.389857108,61.0,0.477211,-0.229237886
FN3KRP,3667.0,0.380720834,50.0,0.357336,-0.036478992
FOXJ3,3176.0,0.401878681,312.0,0.042621,0.118733328
FOXK2,3108.0,0.440496276,171.0,0.561734,0.282004285
FOXRED1,443.0,0.438630908,167.0,0.098943,0.326022021
FSCN1,1184.0,0.396100853,132.0,0.436106,-0.191003704
FTH1,530.0,0.425357612,235.0,0.35169,-0.181234922
FTL,1031.0,0.428438948,199.0,0.779994,-0.533623988
FTSJ1,638.0,0.457521275,569.0,0.301735,0.010300344
FTSJ3,698.0,0.388239396,646.0,0.434169,0.244127562
FXN,6365.0,0.40465004,220.0,0.429949,-0.090133485
GABARAPL2,564.0,0.431291441,136.0,-0.653181,0.257356284
GABPB1,1320.0,0.423118524,469.0,0.252323,0.083732957
GALK1,292.0,0.455574511,63.0,0.228955,-0.09600883
GANAB,989.0,0.425909644,1027.0,0.229495,-0.097779501
GAS6,315.0,0.393865445,183.0,-1.178841,-0.262767472
GAS7,6619.0,0.423630168,311.0,-0.083277,0.048963132
GBE1,708.0,0.404013874,283.0,-0.726094,-0.378184401
GBP1,1735.0,0.42614962,220.0,1.655069,0.666990367
GBP2,5058.0,0.440134196,314.0,0.642196,0.391670526
GBP4,4106.0,0.42983554,116.0,1.859244,0.21195109
GBP5,1753.0,0.421901204,537.0,3.431855,1.207163373
GCH1,2011.0,0.419329122,161.0,0.712726,-0.169265306
GFOD2,622.0,0.396604754,295.0,0.314469,0.35367104
GGA2,5408.0,0.377812588,83.0,-0.479962,-0.092316241
GGCX,5211.0,0.417836117,106.0,0.770615,0.072108706
GIGYF1,2212.0,0.443456438,1210.0,-0.175154,-0.110988544
GINS3,1415.0,0.387351931,208.0,0.764161,-0.060897777
GLA,1699.0,0.378726947,110.0,0.473783,0.135434536
GLE1,1357.0,0.383457083,114.0,0.272397,-0.155298888
GLRX,1188.0,0.430296645,211.0,-0.029182,-0.278864669
GLRX3,3557.0,0.41418463,539.0,0.679181,0.259018546
GLUD1,1558.0,0.392454008,1132.0,0.279587,0.118909152
GLYR1,2033.0,0.39940414,57.0,-0.032863,0.198067916
GMEB1,4582.0,0.43446142,142.0,0.160561,0.179778752
GMPPA,198.0,0.434966364,375.0,0.13066,0.041832481
GMPR,3984.0,0.435743929,114.0,2.556095,0.557093509
GMPR2,464.0,0.453637396,704.0,1.015355,0.412137558
GNAI1,1947.0,0.435804474,356.0,0.814503,0.470702898
GNG7,3803.0,0.398730372,237.0,0.847617,0.473779065
GNPDA1,1360.0,0.395964134,67.0,-0.303111,-0.058653416
GOLGA2,1243.0,0.401070546,13.0,0.431426,0.246384655
GON4L,926.0,0.418089888,175.0,-0.772635,-0.144357491
GOSR1,5968.0,0.408103421,237.0,0.373349,0.331364537
GOSR2,3258.0,0.374298057,541.0,-0.260592,0.232097473
GOT2,1054.0,0.444803236,129.0,0.467614,0.645383899
GPS2,97.0,0.431122181,76.0,-0.007565,0.21394111
GPX7,626.0,0.395840774,39.0,0.55819,-0.037788135
GRAMD1A,299.0,0.411657297,748.0,0.385203,-0.161045982
GRB2,2292.0,0.4413596,358.0,1.357497,0.544327567
GSTM4,2467.0,0.390909061,314.0,0.073749,0.542525324
GTF2A2,1070.0,0.420716795,404.0,-0.036058,0.59978876
GTF2E2,604.0,0.365750105,273.0,0.259296,0.066091114
GTF3C2,932.0,0.372227001,397.0,0.15864,0.055573942
GTPBP1,2894.0,0.424954603,154.0,0.537399,0.156201111
GTPBP3,1032.0,0.436547413,95.0,-0.15327,-0.16571309
GTSF1,222.0,0.36097632,86.0,2.17113,-0.179554961
HADH,818.0,0.383558671,219.0,-0.623145,-0.468409646
HADHA,615.0,0.383558671,130.0,0.265441,0.070098116
HAUS5,3319.0,0.378752573,51.0,0.067918,0.062866876
HAUS8,346.0,0.37535995,111.0,1.126593,-0.094827187
HCCS,1274.0,0.398607648,275.0,-0.069232,0.031388447
HCK,337.0,0.440224323,364.0,1.144256,0.40251197
HDAC1,591.0,0.390040122,63.0,0.461298,0.169185759
HDDC3,763.0,0.387287166,29.0,-0.061612,-0.062739618
HDGF,1342.0,0.465394593,322.0,-0.550208,-0.797005694
HDLBP,2343.0,0.397687311,375.0,0.03184,0.178674207
HEATR3,1385.0,0.384091545,883.0,0.745486,0.420186344
HEBP2,9119.0,0.359416339,297.0,0.57243,-0.051153571
HECA,3704.0,0.443714129,285.0,0.616268,0.278369295
HECTD3,3914.0,0.446742268,98.0,-0.091258,0.12687474
HERC2,726.0,0.429958504,109.0,-0.665956,-0.089708204
HERC5,379.0,0.393838904,153.0,-0.156673,-0.150902532
HERC6,651.0,0.398146132,183.0,0.222109,-0.355029101
HIP1,4874.0,0.430847644,52.0,0.060349,0.039808003
HLA-A,4150.0,0.424443523,84.0,1.44436,0.979524902
HLA-C,420.0,0.421684519,65.0,1.467149,-0.150958273
HLA-DRA,409.0,0.420807891,109.0,1.457186,0.407585765
HLA-E,1459.0,0.413523771,126.0,1.483103,0.443202142
HLA-F,121.0,0.407256461,124.0,1.479288,0.525199533
HMBOX1,3560.0,0.369177113,482.0,-0.364803,-1.94071539
HMBS,266.0,0.451934812,299.0,-0.145452,-0.285986164
HMGB2,3775.0,0.450826504,193.0,1.527544,0.280851195
HMGCS1,3661.0,0.374424323,345.0,0.69544,0.230937147
HMOX1,616.0,0.436401717,107.0,0.493688,0.05484685
HNRNPA0,7504.0,0.386421138,284.0,0.034382,-0.238168508
HNRNPD,1688.0,0.420386111,318.0,0.598133,-0.046986052
HNRNPL,1102.0,0.449817015,176.0,0.817346,-0.018075474
HNRNPU,4156.0,0.432126199,218.0,0.405757,0.129277359
HNRNPUL1,2135.0,0.394022965,339.0,0.627397,0.242352323
HNRNPUL2,2674.0,0.436897081,229.0,0.334702,-0.038422651
HSBP1,3274.0,0.4454546,174.0,0.28284,-0.088881401
HSD11B1,4482.0,0.426649415,154.0,3.632107,1.249082345
HSD17B7,398.0,0.431983247,99.0,-1.625965,-0.748143439
HSP90AB1,313.0,0.39509298,251.0,0.164154,0.008334894
HSPA1L,428.0,0.464100714,183.0,-0.430049,-0.649400473
HSPA4L,7877.0,0.413794867,342.0,-2.887035,-1.174784311
HSPB11,107.0,0.34538245,284.0,-0.41263,-0.19097628
HTRA2,571.0,0.421976635,602.0,0.054383,-0.156348545
HTT,3901.0,0.373695076,145.0,-0.327954,-0.085693927
HUS1,2068.0,0.374612864,131.0,-0.321761,-0.026460329
HYI,310.0,0.378597605,196.0,-0.284113,-0.392821916
HYOU1,1409.0,0.403839016,234.0,-0.231692,-0.183209738
ICAM1,1537.0,0.426062071,319.0,1.169824,0.216431219
IER3IP1,3342.0,0.438740024,97.0,0.806528,-0.374134305
IFI16,254.0,0.415211655,290.0,0.404971,0.59377402
IFI30,213.0,0.431523306,62.0,1.749339,0.009143084
IFI35,160.0,0.418462024,223.0,0.25655,0.287859433
IFI44,267.0,0.403888008,124.0,-0.03805,-0.627723065
IFI44L,5058.0,0.403608012,200.0,0.89397,-0.709579637
IFIH1,121.0,0.412344512,377.0,0.16349,0.028978272
IFIT1,2775.0,0.411248073,495.0,0.311339,-0.381771214
IFIT2,1901.0,0.420797646,175.0,0.323211,-0.320225369
