,3prime,tAI,max_5_UTR_length,TCGA-A2-A0EV,TCGA-A2-A0EV.1
AK1,1528.0,0.389481519,153.0,0.79558,0.561635053
AK2,2893.0,0.384271636,345.0,-0.212644,-0.184177767
AKR1C2,3804.0,0.449591167,413.0,3.253088,1.934527839
AKR7A2,10996.0,0.385600504,22.0,0.23536,-0.120455971
ALDH18A1,838.0,0.380333742,511.0,-0.001746,-0.373487553
ALDH3A2,2525.0,0.42484639,221.0,1.563774,0.602062946
ALDH6A1,4647.0,0.38708374,724.0,-0.000252,0.251508156
ALG1,2498.0,0.432230555,181.0,0.249739,-0.582219939
ALG5,380.0,0.362014155,67.0,-0.412106,0.094190762
ALG9,4217.0,0.365461171,1107.0,0.304052,-2.676401979
ALOX5AP,976.0,0.392577632,248.0,1.140121,0.39397632
AMBRA1,1041.0,0.36170155,362.0,0.146519,-0.403810741
AMPD2,903.0,0.389224108,566.0,-0.206732,0.138511233
AMPD3,1695.0,0.423686063,472.0,-0.41362,0.622532951
ANAPC13,1361.0,0.393644021,731.0,-0.215606,0.216160712
ANAPC5,235.0,0.390209877,197.0,0.067688,0.165982783
ANKLE2,1737.0,0.418251419,90.0,0.210926,-0.096313935
ANKRD16,135.0,0.465649334,543.0,-0.398671,0.156350457
ANKRD35,249.0,0.402949835,108.0,1.391046,-0.583141506
ANXA2,496.0,0.429738522,160.0,0.959136,0.803314406
ANXA5,1441.0,0.418050335,165.0,0.076779,0.683363288
AP1B1,1153.0,0.424070668,187.0,0.351242,0.435566513
AP1M1,914.0,0.463388599,173.0,-0.05327,0.094801434
APBA1,3797.0,0.387421148,276.0,-0.720239,-0.434510129
APIP,427.0,0.433104693,127.0,-0.680827,-0.464737781
APOBEC3C,1979.0,0.381716897,103.0,0.968687,0.736824463
APOBEC3G,322.0,0.410940579,404.0,0.32746,0.393993362
APOL2,1195.0,0.42932248,477.0,0.698312,-0.465949179
ARF6,2971.0,0.462806813,621.0,0.511755,-0.000303495
ARFIP2,2430.0,0.403729309,291.0,0.355451,-0.087571355
ARHGAP17,2624.0,0.371011524,117.0,-0.1804,0.512424916
ARHGAP30,773.0,0.384451823,645.0,0.597851,0.253853745
ARHGEF10,1378.0,0.370244255,202.0,-0.865624,0.567307435
ARID2,3145.0,0.362288628,128.0,0.444527,0.149613988
ARID3A,3881.0,0.411693449,290.0,-0.201597,-0.960333037
ARIH2,3112.0,0.397061561,878.0,-0.058894,0.210262815
ARL8A,1065.0,0.409602486,171.0,-0.157201,-0.044969727
ARRB1,6041.0,0.39512759,224.0,-0.268122,0.185130972
ASF1B,950.0,0.395794233,172.0,0.278115,-0.367799795
ASS1,1357.0,0.394201053,356.0,-1.378418,0.596790347
ATPAF1,3039.0,0.439253133,510.0,-0.170177,0.502494789
AXL,1863.0,0.417061167,376.0,0.488573,0.623015812
B4GALT7,4483.0,0.433879574,93.0,0.361342,-0.340872149
BAG1,2764.0,0.431693656,501.0,-0.276379,-0.085162686
BAG3,537.0,0.387438444,306.0,-0.07528,-0.089579781
BASP1,971.0,0.520859146,259.0,-0.223387,-0.649789796
BBS7,1531.0,0.408023089,184.0,0.274471,1.133714997
BCAT2,364.0,0.445598481,657.0,-0.318131,-0.227518551
BCKDHB,3082.0,0.419736544,88.0,0.181306,0.280667222
BCL2,5279.0,0.374049285,493.0,0.189779,0.911531771
BCL2L13,4109.0,0.411790332,769.0,0.054654,0.016631639
BID,4193.0,0.428633517,498.0,-0.167362,0.186039829
BLVRA,3376.0,0.414260839,177.0,1.067653,0.29429788
BOLA2,40.0,0.43059393,513.0,-0.319658,-0.13980642
BOLA3,383.0,0.406657227,38.0,-0.228116,-0.097802048
BRD2,787.0,0.377809737,2066.0,0.214713,-0.264893923
BRD3,3285.0,0.401150236,188.0,-0.187765,-0.008314647
BSPRY,1091.0,0.380011644,48.0,0.727985,-0.423953682
BST2,411.0,0.444557266,81.0,1.015402,-0.131014671
BUB3,1535.0,0.421992618,242.0,0.22649,0.119905304
C1QB,152.0,0.436596666,340.0,1.063654,0.222919906
C1QC,327.0,0.41150294,283.0,0.883337,0.163811969
C3,5088.0,0.430632158,93.0,0.903981,0.45247465
CAP1,1134.0,0.406948565,416.0,0.291723,0.076412278
CAPN1,720.0,0.455130071,197.0,0.369548,0.107696187
CAPRIN1,5632.0,0.374918508,189.0,0.020595,-0.362620433
CAPZB,5180.0,0.446052528,622.0,0.019279,0.314795931
CARD16,437.0,0.41300235,27.0,1.255617,1.004308566
CARHSP1,4898.0,0.362100245,360.0,-0.15664,-0.301105709
CASC3,1778.0,0.370720542,295.0,0.706144,-0.646806805
CASP1,750.0,0.424742838,44.0,0.915602,0.885403386
CASP8,1794.0,0.376118708,303.0,0.144913,0.209290095
CAT,629.0,0.397270122,89.0,0.082075,0.698476467
CBL,8368.0,0.375957197,142.0,0.092422,0.581933729
CBLL1,3286.0,0.400851504,467.0,0.128247,-0.650721886
CBR3,54.0,0.445176236,228.0,-1.034414,0.189172371
CBS,4385.0,0.477784031,626.0,-2.765048,-0.7422933
CBX5,10815.0,0.390902295,318.0,0.321234,0.056188201
CBX8,2504.0,0.36735217,118.0,0.819832,0.313371287
CCDC115,2169.0,0.385110507,452.0,-0.281014,-0.727734402
CCDC58,2462.0,0.421830022,75.0,-0.472179,-0.10491854
CCDC88C,1302.0,0.396031427,154.0,-0.764731,-0.900625101
CCL5,886.0,0.462166288,68.0,0.942369,-0.077794169
CCNA2,1206.0,0.409154498,373.0,-0.427317,-1.010663314
CCNB2,168.0,0.374401461,184.0,0.325236,-0.376441498
CCNDBP1,2336.0,0.44393643,231.0,-0.122043,-1.534965004
CCS,4244.0,0.460896681,43.0,0.497055,0.38328586
CCT3,238.0,0.457984718,231.0,-0.12882,0.00522763
CCT4,1361.0,0.393363555,164.0,-0.227383,0.115394447
CD14,128.0,0.416321757,392.0,-0.193435,0.797095195
CD209,3046.0,0.440000747,67.0,0.308074,2.347643632
CD36,2894.0,0.410517795,414.0,1.409557,2.806319525
CD40,982.0,0.429065654,90.0,-0.225679,0.241167566
CD44,3115.0,0.39995987,434.0,0.152999,-0.285915894
CD63,923.0,0.512738356,403.0,0.466655,-1.49995154
CD74,635.0,0.427357309,187.0,0.600339,0.269798256
CDC25C,437.0,0.364786128,387.0,0.761731,0.294802803
CDC26,271.0,0.395637029,359.0,-0.332658,-0.97723029
CDC34,560.0,0.46431386,199.0,-0.167619,-1.015509131
CDC42EP3,3941.0,0.420378821,1009.0,-0.189574,0.288587676
CDCA3,816.0,0.351209268,820.0,-0.763919,-3.757529783
CDCA8,1353.0,0.384295288,290.0,0.184875,-0.202418312
CDIPT,1864.0,0.442654716,541.0,-0.320808,-0.6964147
CDK1,2313.0,0.398329505,154.0,-0.792469,-0.73808047
CDK19,4557.0,0.421511824,180.0,-0.317792,0.326720634
CDK2AP1,766.0,0.439144625,522.0,-0.363747,0.138379342
CDK5RAP2,367.0,0.371069462,192.0,-0.001562,0.182849075
CDK5RAP3,284.0,0.469750898,1791.0,0.639175,-0.032836622
CDKAL1,1365.0,0.417875209,167.0,0.358553,0.069371753
CDKN2AIPNL,3639.0,0.409801696,53.0,0.549891,0.299671109
CDKN2C,2247.0,0.381912025,1216.0,-0.246545,0.237950011
CENPH,1478.0,0.418392258,87.0,0.049562,-1.039587854
CENPV,301.0,0.385948267,62.0,-2.415775,-1.032439976
CEP55,939.0,0.397841874,304.0,-0.431391,-1.442449014
CES3,2100.0,0.377378956,446.0,2.471649,0.440986151
CETN2,868.0,0.433727498,47.0,0.23257,-0.16244047
CFL1,677.0,0.502791,234.0,0.179163,-0.236919266
CHAC2,786.0,0.395629742,277.0,0.150357,0.006163215
CHCHD4,3528.0,0.445497334,326.0,-0.468458,-0.819491655
CHMP4A,296.0,0.447100154,262.0,0.124482,-0.408483379
CHMP5,1241.0,0.442987983,200.0,0.266337,-0.987038308
CHMP6,980.0,0.489861105,78.0,-0.020572,0.383753935
CHTF8,2425.0,0.424551152,142.0,0.17622,-0.488214766
CIAPIN1,1024.0,0.451663323,242.0,1.040868,-0.184059532
CISD2,5376.0,0.433298698,107.0,0.307881,-0.234608457
CKAP4,2872.0,0.386259817,84.0,-0.00684,0.004492881
CKS2,300.0,0.317949998,98.0,-0.365103,-0.30298154
CLCC1,5185.0,0.369704467,150.0,-0.318583,-0.960742911
CLCN7,1698.0,0.459147749,110.0,0.440064,-0.504505862
CLIC1,290.0,0.4571302,573.0,0.329844,0.343583845
CLK3,1233.0,0.4268607,461.0,0.167849,-0.597631574
CLPTM1,458.0,0.383990827,351.0,0.203894,-0.210028796
CLTA,288.0,0.450950874,514.0,0.221556,-0.797577872
CLTB,319.0,0.48548545,210.0,0.022582,-0.194714014
CLTC,3104.0,0.384957863,443.0,1.030186,0.103903633
CNBP,6850.0,0.433298698,206.0,-0.328434,-0.965159823
CNPY2,123.0,0.392778455,553.0,0.303476,0.052092199
CNPY3,1042.0,0.459231502,584.0,0.181869,0.157417842
COG3,1967.0,0.414689223,142.0,-0.491469,-0.001157841
COMMD1,306.0,0.423842833,138.0,0.160157,0.460839795
COMMD3,431.0,0.360487018,35.0,0.371606,0.696530856
COMMD5,498.0,0.445713337,399.0,-0.381138,0.672996045
COMMD6,1375.0,0.396967837,328.0,-0.467994,0.94842572
COMMD9,2340.0,0.418062772,89.0,-0.234367,0.514254382
COPB1,446.0,0.381738818,307.0,0.19452,0.041346787
COPE,165.0,0.478760693,55.0,-0.202417,0.322302511
COQ6,671.0,0.374062527,159.0,-0.345747,0.222352512
COQ7,5700.0,0.42379098,133.0,0.301303,-0.946236125
CORO1A,112.0,0.457388252,435.0,0.124932,0.454556832
COX17,1735.0,0.484254073,86.0,-0.021135,-1.498711289
COX5A,860.0,0.429944966,140.0,0.158263,-0.079569549
COX7A2,302.0,0.441893926,98.0,-0.135873,0.494099125
CPM,5262.0,0.406054343,75.0,1.185944,1.480524669
CPSF4,923.0,0.452412439,277.0,0.200506,-0.137909277
CPT1A,2761.0,0.374132033,170.0,-1.349859,-0.536179248
CPT2,602.0,0.431256564,515.0,-0.174587,-0.129444508
CRCP,8457.0,0.390198146,145.0,0.180955,-1.234350866
CRKL,3904.0,0.422225684,509.0,-0.267595,0.200772875
CRTAP,5601.0,0.446308827,120.0,0.067458,0.441562581
CRTC3,3205.0,0.355982524,186.0,0.038221,-0.347115038
CRY2,2337.0,0.383442872,132.0,-0.143209,0.671354751
CRYL1,462.0,0.386242786,79.0,-0.621983,0.670384332
CSRP1,1183.0,0.493833101,217.0,-0.241083,-0.171615572
CST3,2762.0,0.475763324,186.0,0.428511,0.926389841
CSTF2,1931.0,0.372934478,58.0,0.83532,-0.398060716
CTBP1,800.0,0.464034004,393.0,-0.382956,0.249918868
CTNNA1,1216.0,0.412513324,1103.0,0.935516,-0.243269584
CTNNB1,1106.0,0.432073699,448.0,0.387037,-0.464980091
CTNNBIP1,2448.0,0.394834327,307.0,0.233003,0.177986105
CTPS2,1870.0,0.416273085,744.0,-0.335913,0.156151391
CTSG,119.0,0.369503415,37.0,1.356432,-0.096784413
CTSH,1072.0,0.446467856,1192.0,-0.033666,0.527964525
CUEDC1,2047.0,0.374410739,719.0,1.838355,0.519976779
CUX1,1040.0,0.395555213,127.0,1.065859,-0.611883567
CXCL10,814.0,0.410287201,105.0,0.707394,0.009489263
CXCL9,2323.0,0.403736618,74.0,1.564735,-1.04844095
CYBB,2544.0,0.418993019,61.0,0.779268,0.171593
CYP2S1,1051.0,0.420869286,58.0,0.226896,-0.169418894
CYTH4,1837.0,0.406296106,377.0,0.48675,0.719271549
DAB2,1757.0,0.368483127,531.0,0.132437,0.923264923
DAGLB,721.0,0.377719723,170.0,0.349495,-0.521632953
DAP3,768.0,0.366492687,184.0,0.062483,0.025253143
DAPP1,2082.0,0.348655603,90.0,0.506679,0.250316846
DBI,233.0,0.467027529,479.0,-0.660091,-0.203249893
DCAF8,1877.0,0.380310979,212.0,0.132601,0.063633165
DCP1A,4153.0,0.411936399,381.0,-0.19014,0.347972422
DCPS,4731.0,0.375605648,329.0,0.527472,0.197400206
DCTN5,10597.0,0.443116252,177.0,0.201072,0.074744545
DDAH2,653.0,0.361046801,1104.0,0.606748,0.699493645
DDB2,1223.0,0.43604051,195.0,0.636328,0.365004768
DDX23,713.0,0.445931172,91.0,0.392568,-0.145762144
DDX31,1870.0,0.361830896,544.0,-0.341224,-0.619161273
DDX47,438.0,0.379294484,22.0,-0.893957,-0.480610585
DDX54,1704.0,0.467316231,28.0,0.239702,-0.01477463
DDX56,586.0,0.438032149,643.0,-0.386192,-0.331500274
DDX59,217.0,0.413095257,243.0,-0.009256,0.242911114
DHODH,3463.0,0.371608285,21.0,-1.121417,0.270372132
DHPS,121.0,0.474111752,121.0,-0.617385,0.215196903
DHX15,459.0,0.379133957,168.0,0.342467,-0.017882998
DHX34,591.0,0.384465978,349.0,-1.149649,-0.385779446
DHX58,357.0,0.440330409,223.0,1.559158,0.669404692
DIABLO,719.0,0.425893605,1182.0,0.186135,-0.345717731
DMAP1,63.0,0.471306,301.0,0.157969,0.112015031
DMXL2,1274.0,0.389901613,225.0,0.513527,0.344035044
DNAJA4,1736.0,0.398301408,169.0,-0.449832,-0.451734485
DNAJC19,1326.0,0.403482491,259.0,-0.106031,-0.433184431
DNAJC25,1212.0,0.430964931,56.0,0.230331,0.176888931
DNAJC8,969.0,0.416719859,33.0,0.265168,-0.549944838
DNM1,1255.0,0.393835111,116.0,-0.256359,0.586825915
DNTTIP2,3564.0,0.408096853,58.0,0.212911,0.202534009
DOCK11,3681.0,0.373818855,63.0,0.283221,0.745749578
DOCK2,524.0,0.446250827,52.0,0.865642,0.773809977
DOK2,438.0,0.384043737,481.0,0.437167,0.841817622
DPCD,197.0,0.459155016,389.0,0.087877,-0.461812699
DPF2,2501.0,0.393394442,133.0,0.05478,-0.164187498
DPH1,1310.0,0.448716064,341.0,-0.468986,-0.128731233
DPH5,784.0,0.413363166,165.0,-0.917865,0.030642966
DPY30,562.0,0.438431353,279.0,0.153497,0.119911742
DPYSL2,2472.0,0.430530829,431.0,-0.050737,0.821095113
DRAP1,142.0,0.432809908,245.0,-0.100032,-0.239349127
DRG1,4594.0,0.444150091,131.0,0.170899,-0.113955365
DSN1,5330.0,0.392894937,373.0,0.549953,-0.518350215
DSTN,2786.0,0.375776803,438.0,0.214101,0.007693258
DTL,2265.0,0.372315747,921.0,0.388137,-0.233154713
DTX3L,3456.0,0.408848169,89.0,0.224835,0.033723851
DUSP12,374.0,0.419884133,34.0,-0.060345,0.143719695
DUT,1937.0,0.36471409,109.0,0.067512,-0.476580441
DYNLT1,514.0,0.420362019,78.0,-0.210936,0.223389834
EBAG9,1437.0,0.39438748,402.0,-0.493048,0.148211044
ECH1,191.0,0.389477111,85.0,-0.080976,0.015263785
ECHDC2,2269.0,0.400166641,752.0,-0.546334,0.140712683
ECM1,322.0,0.43792189,199.0,3.278886,0.795753724
EDEM2,76.0,0.379021051,100.0,0.110614,-0.21473831
EEA1,5374.0,0.405861636,265.0,0.107259,0.575334371
EEF1A2,286.0,0.417272363,329.0,-5.894326,-1.005257513
EFTUD2,1331.0,0.444646836,398.0,0.910309,0.172963691
EHD1,3363.0,0.446314898,447.0,-0.021084,0.775765258
EIF2AK2,8063.0,0.394727306,557.0,0.020027,0.185078708
EIF2B3,1058.0,0.383118637,239.0,0.045585,0.204739782
EIF3F,5840.0,0.435728237,33.0,-0.278282,0.214619425
EIF3L,1718.0,0.380710116,245.0,-0.483215,0.06636268
EIF4A3,1120.0,0.381528282,222.0,1.054608,0.061571744
ELAVL1,4910.0,0.437605432,167.0,-0.043284,-0.533286641
EMG1,248.0,0.433768095,143.0,-0.521513,0.091641327
EMILIN2,2605.0,0.379592019,159.0,0.341815,0.219688178
ENDOD1,7728.0,0.376426787,118.0,0.199149,0.230456256
ENOSF1,2904.0,0.382279782,622.0,-0.693512,-0.230671954
ENY2,2576.0,0.41756619,146.0,-0.258759,-0.333987353
EPSTI1,2106.0,0.391777705,469.0,0.50047,-0.71349926
ERCC1,2342.0,0.45058755,188.0,0.553382,-0.043707703
ERCC6L,4809.0,0.354829683,623.0,0.232327,-0.861638279
ERH,415.0,0.383837906,71.0,0.180413,-0.168625267
ERLIN1,2041.0,0.444737514,478.0,-0.289103,-0.469539981
ERP29,1277.0,0.401191178,118.0,0.252643,0.041935137
ETV6,4356.0,0.398240844,274.0,-0.534177,-0.351388149
EXOC4,1232.0,0.388187525,35.0,0.239303,0.140471894
EXOC8,6907.0,0.436106501,127.0,0.485043,0.142063324
EXOSC1,536.0,0.430105347,451.0,0.016929,0.335879573
EXOSC2,3902.0,0.431273517,32.0,-0.372705,0.014647361
F8A1,571.0,0.46317284,15.0,-0.030561,0.270616896
FAAH,2043.0,0.384592892,82.0,-0.010824,0.061966896
FAF1,4425.0,0.401181969,453.0,-0.082985,-0.004784361
FAM122A,4542.0,0.40477622,33.0,-0.178549,-0.527360246
FAM168A,6285.0,0.395008865,285.0,0.154085,0.196034244
FAM177A1,2165.0,0.411149627,459.0,-0.086355,0.290946958
FAM192A,1824.0,0.379195199,1475.0,0.744833,-0.195685265
FAM20B,4428.0,0.4357945,293.0,-0.241125,-0.06306415
FAM32A,1091.0,0.408676074,42.0,-0.119307,-1.0950476
FAM50A,286.0,0.482889735,110.0,0.589889,-0.139736941
FBP1,248.0,0.397353747,331.0,0.261714,0.033074453
FBXL20,9338.0,0.383104745,254.0,0.372221,-0.881184757
FBXO4,526.0,0.393825218,58.0,0.314066,0.317793909
FBXO6,503.0,0.42307306,166.0,0.010455,-1.195411239
FCER1G,305.0,0.4202976,25.0,0.553104,-0.128124879
FCGRT,309.0,0.433069976,486.0,-0.211687,0.947692776
FDPS,72.0,0.456397562,392.0,-0.02207,0.068125058
FDXR,596.0,0.384661194,188.0,1.520093,0.328025533
FEN1,1340.0,0.407867196,413.0,0.274494,-0.109671832
FERMT3,399.0,0.435119014,149.0,0.517102,0.793361647
FGD2,907.0,0.441856308,171.0,0.736995,0.742458572
FGFR1OP2,1663.0,0.396595515,353.0,0.623094,0.480100887
FGL2,3460.0,0.40966218,40.0,0.324445,-0.254289617
FKBP1A,1132.0,0.428443098,174.0,-0.441403,0.545197945
FKBPL,24.0,0.377510344,270.0,0.520247,0.250915892
FLOT1,422.0,0.472159534,339.0,0.425435,0.303014989
FN3K,442.0,0.389857108,61.0,0.674097,0.018493928
FN3KRP,3667.0,0.380720834,50.0,0.689347,-0.224733909
FOXJ3,3176.0,0.401878681,312.0,0.404006,-0.771959176
FOXK2,3108.0,0.440496276,171.0,0.404146,-0.133961628
FOXRED1,443.0,0.438630908,167.0,-0.237067,-0.26762509
FSCN1,1184.0,0.396100853,132.0,-0.867016,0.052384684
FTH1,530.0,0.425357612,235.0,0.587262,-0.102303632
FTL,1031.0,0.428438948,199.0,0.570528,-0.237073712
FTSJ1,638.0,0.457521275,569.0,0.037387,0.201846814
FTSJ3,698.0,0.388239396,646.0,0.968598,-0.375953209
FXN,6365.0,0.40465004,220.0,-0.579569,-0.269909982
GABARAPL2,564.0,0.431291441,136.0,-0.530898,0.024947434
GABPB1,1320.0,0.423118524,469.0,0.127487,-1.328481513
GALK1,292.0,0.455574511,63.0,0.906898,0.196136457
GANAB,989.0,0.425909644,1027.0,0.218559,-0.018980717
GAS6,315.0,0.393865445,183.0,0.055522,0.287996334
GAS7,6619.0,0.423630168,311.0,0.49714,0.603074169
GBE1,708.0,0.404013874,283.0,0.562103,0.564995824
GBP1,1735.0,0.42614962,220.0,-0.171094,-0.192576999
GBP2,5058.0,0.440134196,314.0,-0.044184,-0.037177892
GBP4,4106.0,0.42983554,116.0,0.557986,0.647663701
GBP5,1753.0,0.421901204,537.0,1.093499,0.156208602
GFOD2,622.0,0.396604754,295.0,-0.572115,-0.013246896
GGA2,5408.0,0.377812588,83.0,-0.217259,-0.325320069
GGCX,5211.0,0.417836117,106.0,0.986886,-0.193958502
GIGYF1,2212.0,0.443456438,1210.0,-0.096005,-0.714678078
GINS3,1415.0,0.387351931,208.0,1.312912,0.028558566
GLA,1699.0,0.378726947,110.0,1.811292,0.646278733
GLE1,1357.0,0.383457083,114.0,-0.39733,0.155661982
GLRX,1188.0,0.430296645,211.0,1.057989,0.54842419
GLRX3,3557.0,0.41418463,539.0,-0.197567,0.148106277
GLUD1,1558.0,0.392454008,1132.0,-0.792711,0.145893893
GLYR1,2033.0,0.39940414,57.0,0.390837,0.353431103
GMEB1,4582.0,0.43446142,142.0,0.242057,0.149877895
GMPPA,198.0,0.434966364,375.0,0.275062,-0.127470617
GMPR,3984.0,0.435743929,114.0,0.799478,0.161802693
GMPR2,464.0,0.453637396,704.0,0.118172,0.48086162
GNAI1,1947.0,0.435804474,356.0,-0.679686,0.644958395
GNG7,3803.0,0.398730372,237.0,-1.718115,0.170980186
GNPDA1,1360.0,0.395964134,67.0,0.609156,0.921315634
GOLGA2,1243.0,0.401070546,13.0,-0.016399,-0.480865166
GON4L,926.0,0.418089888,175.0,0.161048,0.626165722
GOSR1,5968.0,0.408103421,237.0,0.821571,-0.307099769
GOSR2,3258.0,0.374298057,541.0,0.729272,0.123104768
GOT2,1054.0,0.444803236,129.0,0.489888,0.063381704
GPS2,97.0,0.431122181,76.0,0.091052,-0.120921804
GPX7,626.0,0.395840774,39.0,-0.282332,0.486587019
GRAMD1A,299.0,0.411657297,748.0,-0.296029,-0.711388381
GRB2,2292.0,0.4413596,358.0,0.689292,0.360900868
GSTM4,2467.0,0.390909061,314.0,-0.030218,0.095838124
GTF2A2,1070.0,0.420716795,404.0,0.243123,-0.913469856
GTF2E2,604.0,0.365750105,273.0,-0.366504,-1.106064143
GTF3C2,932.0,0.372227001,397.0,-0.063772,-0.477061666
GTPBP1,2894.0,0.424954603,154.0,-0.014932,0.011957815
GTPBP3,1032.0,0.436547413,95.0,-0.63351,-0.45394418
GTSE1,680.0,0.368527868,212.0,-0.101618,-2.072231498
GTSF1,222.0,0.36097632,86.0,5.272392,0.317722084
HADH,818.0,0.383558671,219.0,-0.216938,0.311331014
HADHA,615.0,0.383558671,130.0,0.032132,0.622941568
HAUS5,3319.0,0.378752573,51.0,0.533584,-0.046668206
HAUS8,346.0,0.37535995,111.0,0.095924,0.400466747
HCCS,1274.0,0.398607648,275.0,0.427592,-0.058698718
HCK,337.0,0.440224323,364.0,0.343944,0.654612699
HDAC1,591.0,0.390040122,63.0,0.250666,-0.18881808
HDDC3,763.0,0.387287166,29.0,-0.123271,-0.214556262
HDGF,1342.0,0.465394593,322.0,-0.152385,-0.607401741
HDLBP,2343.0,0.397687311,375.0,0.224348,0.175285075
HEATR3,1385.0,0.384091545,883.0,1.111447,0.297149542
HEBP2,9119.0,0.359416339,297.0,-0.080923,0.607548589
HECA,3704.0,0.443714129,285.0,-0.164667,0.174923483
HECTD3,3914.0,0.446742268,98.0,-0.027653,0.386029441
HERC2,726.0,0.429958504,109.0,-0.129622,0.063799574
HERC5,379.0,0.393838904,153.0,0.062861,0.243968379
HERC6,651.0,0.398146132,183.0,0.291289,-0.904311205
HIP1,4874.0,0.430847644,52.0,0.811626,0.041652159
HLA-A,4150.0,0.424443523,84.0,1.282033,-0.072794301
HLA-C,420.0,0.421684519,65.0,1.185199,1.287823569
HLA-DRA,409.0,0.420807891,109.0,0.728773,0.108678296
HLA-E,1459.0,0.413523771,126.0,0.707237,0.159143417
HLA-F,121.0,0.407256461,124.0,1.354803,-0.050403413
HMBOX1,3560.0,0.369177113,482.0,-0.13102,-0.207786291
HMBS,266.0,0.451934812,299.0,0.397659,0.149109459
HMGB2,3775.0,0.450826504,193.0,0.019652,-1.250207476
HMGCS1,3661.0,0.374424323,345.0,0.032073,-0.342221136
HMOX1,616.0,0.436401717,107.0,0.733217,0.680733913
HNRNPA0,7504.0,0.386421138,284.0,0.290551,-0.112744721
HNRNPD,1688.0,0.420386111,318.0,0.043756,-0.606533429
HNRNPL,1102.0,0.449817015,176.0,0.384995,-0.179610392
HNRNPU,4156.0,0.432126199,218.0,0.432505,-0.053687764
HNRNPUL1,2135.0,0.394022965,339.0,-0.009963,0.02774865
HNRNPUL2,2674.0,0.436897081,229.0,0.263079,-0.038153659
HSBP1,3274.0,0.4454546,174.0,-0.033822,0.28345992
HSD11B1,4482.0,0.426649415,154.0,0.962301,-0.141435305
HSD17B7,398.0,0.431983247,99.0,0.256053,-0.301808753
HSP90AB1,313.0,0.39509298,251.0,0.221938,-0.369854061
HSPA1L,428.0,0.464100714,183.0,0.483497,0.145320766
HSPA4L,7877.0,0.413794867,342.0,0.488791,-0.367904194
HSPB11,107.0,0.34538245,284.0,0.047209,0.442993449
HTRA2,571.0,0.421976635,602.0,0.027333,0.345623067
HTT,3901.0,0.373695076,145.0,0.061472,-0.005533812
HUS1,2068.0,0.374612864,131.0,-0.15974,0.164872618
HYI,310.0,0.378597605,196.0,-1.104783,0.600396407
HYOU1,1409.0,0.403839016,234.0,0.533313,-0.327940915
ICAM1,1537.0,0.426062071,319.0,0.55912,0.334095427
IER3IP1,3342.0,0.438740024,97.0,-0.44308,0.149340344
IFI16,254.0,0.415211655,290.0,-0.260867,0.292839667
IFI30,213.0,0.431523306,62.0,0.794534,0.220892134
IFI35,160.0,0.418462024,223.0,1.974558,0.565224111
IFI44,267.0,0.403888008,124.0,0.835877,0.798925296
IFI44L,5058.0,0.403608012,200.0,0.624503,0.683232613
IFIH1,121.0,0.412344512,377.0,0.585943,0.487247334
IFIT1,2775.0,0.411248073,495.0,1.005641,0.27643468
IFIT2,1901.0,0.420797646,175.0,0.399582,0.366809478
IFIT3,843.0,0.417440574,529.0,0.679271,0.505138818
IFIT5,2354.0,0.414819429,231.0,0.342089,-0.035531573
