,3prime,tAI,max_5_UTR_length,TCGA-A8-A08Z,TCGA-A8-A08Z.1
ALDH18A1,838.0,0.380333742,511.0,-0.1954,-0.50568708
ALDH3A2,2525.0,0.42484639,221.0,0.043129,0.036217837
ALDH6A1,4647.0,0.38708374,724.0,0.590786,0.145017105
ALG1,2498.0,0.432230555,181.0,-0.313996,-0.67753792
ALG5,380.0,0.362014155,67.0,-0.142072,-0.575062483
ALG9,4217.0,0.365461171,1107.0,0.311633,-0.749202568
AMBRA1,1041.0,0.36170155,362.0,-0.087276,-0.351913113
AMPD2,903.0,0.389224108,566.0,-0.023796,0.065139146
AMPD3,1695.0,0.423686063,472.0,0.923339,-0.001395103
ANAPC13,1361.0,0.393644021,731.0,-0.360128,0.335365985
ANAPC5,235.0,0.390209877,197.0,-0.233644,0.162167932
ANKLE2,1737.0,0.418251419,90.0,0.15576,-0.108810333
ANKRD16,135.0,0.465649334,543.0,-0.51447,-0.488068843
ANKRD35,249.0,0.402949835,108.0,0.100496,-0.345289104
ANXA2,496.0,0.429738522,160.0,0.276406,0.187277002
ANXA5,1441.0,0.418050335,165.0,0.277336,0.263106213
AP1B1,1153.0,0.424070668,187.0,-0.143646,-0.146876579
AP1M1,914.0,0.463388599,173.0,0.091086,-0.120295098
APBA1,3797.0,0.387421148,276.0,-0.003523,0.159875039
APIP,427.0,0.433104693,127.0,-0.192887,0.018324904
APOBEC3C,1979.0,0.381716897,103.0,-0.100434,-0.264152998
APOBEC3G,322.0,0.410940579,404.0,-0.90865,-0.629962668
APOL2,1195.0,0.42932248,477.0,-0.446281,-0.419017755
ARF6,2971.0,0.462806813,621.0,-0.041869,0.031689358
ARFIP2,2430.0,0.403729309,291.0,-0.574752,0.02908142
ARHGAP17,2624.0,0.371011524,117.0,0.013051,0.163827484
ARHGAP30,773.0,0.384451823,645.0,1.0743,-0.213063293
ARHGEF10,1378.0,0.370244255,202.0,0.21993,0.040469188
ARID2,3145.0,0.362288628,128.0,0.204132,0.112668166
ARID3A,3881.0,0.411693449,290.0,0.472179,-0.346176292
ARIH2,3112.0,0.397061561,878.0,-0.097708,0.182923535
ARL8A,1065.0,0.409602486,171.0,0.063983,-0.117653649
ARRB1,6041.0,0.39512759,224.0,-0.465253,-0.288273619
ASF1B,950.0,0.395794233,172.0,-0.59708,-0.107905777
ASS1,1357.0,0.394201053,356.0,-2.576782,-0.893821985
ATPAF1,3039.0,0.439253133,510.0,0.004453,-0.229523768
BAG1,2764.0,0.431693656,501.0,-0.499106,0.250867098
BAG3,537.0,0.387438444,306.0,-0.750891,-0.122327449
BASP1,971.0,0.520859146,259.0,0.196658,-0.133017336
BBS7,1531.0,0.408023089,184.0,0.431847,0.216520451
BCAT2,364.0,0.445598481,657.0,0.054856,0.430018361
BCKDHB,3082.0,0.419736544,88.0,0.381868,0.159015866
BCL2,5279.0,0.374049285,493.0,-0.564616,-0.50881753
BCL2L13,4109.0,0.411790332,769.0,-0.807518,-0.514831184
BID,4193.0,0.428633517,498.0,-0.45818,-0.075590667
BLVRA,3376.0,0.414260839,177.0,-0.587508,-0.113801277
BOLA2,40.0,0.43059393,513.0,-0.588285,-0.278376898
BOLA3,383.0,0.406657227,38.0,-0.429749,-0.152312831
BRD2,787.0,0.377809737,2066.0,-0.134604,0.104806963
BRD3,3285.0,0.401150236,188.0,0.479028,0.353377017
BSPRY,1091.0,0.380011644,48.0,1.424617,0.704269342
BST2,411.0,0.444557266,81.0,-0.432896,-1.068116438
BUB3,1535.0,0.421992618,242.0,-0.462288,0.323766329
C1QB,152.0,0.436596666,340.0,1.14584,-0.08977783
C1QC,327.0,0.41150294,283.0,0.976159,-0.011307113
C2CD3,671.0,0.360398895,227.0,0.278815,-0.221592462
C3,5088.0,0.430632158,93.0,0.870948,0.319417578
CAP1,1134.0,0.406948565,416.0,0.66997,0.147456158
CAPN1,720.0,0.455130071,197.0,-0.326398,-0.072908397
CAPRIN1,5632.0,0.374918508,189.0,0.464855,0.375828074
CAPZB,5180.0,0.446052528,622.0,0.524361,0.199959047
CARD16,437.0,0.41300235,27.0,-0.674995,-0.328192454
CARHSP1,4898.0,0.362100245,360.0,0.189217,0.309870401
CASC3,1778.0,0.370720542,295.0,0.297527,0.28413987
CASP1,750.0,0.424742838,44.0,0.123892,-0.279032528
CASP8,1794.0,0.376118708,303.0,-0.050672,-0.23079677
CAT,629.0,0.397270122,89.0,0.261047,0.151617483
CBL,8368.0,0.375957197,142.0,0.913907,0.292605756
CBLL1,3286.0,0.400851504,467.0,-0.239939,-0.012262211
CBR3,54.0,0.445176236,228.0,-1.231978,-0.546802543
CBS,4385.0,0.477784031,626.0,0.151869,-1.611253797
CBX5,10815.0,0.390902295,318.0,0.115416,0.351632901
CBX8,2504.0,0.36735217,118.0,-0.321355,0.123584502
CCDC115,2169.0,0.385110507,452.0,-0.093376,-0.216035608
CCDC58,2462.0,0.421830022,75.0,-0.165128,0.027904196
CCDC88C,1302.0,0.396031427,154.0,0.03671,-0.166703053
CCL5,886.0,0.462166288,68.0,-0.848274,-0.521310694
CCNDBP1,2336.0,0.44393643,231.0,0.2164,-0.001598427
CCS,4244.0,0.460896681,43.0,-0.424015,0.079279305
CCT3,238.0,0.457984718,231.0,0.242615,0.076476112
CCT4,1361.0,0.393363555,164.0,-0.096259,0.070686468
CD14,128.0,0.416321757,392.0,0.926134,-0.163153923
CD209,3046.0,0.440000747,67.0,0.582131,-0.465480156
CD36,2894.0,0.410517795,414.0,2.046773,0.019037904
CD40,982.0,0.429065654,90.0,-0.060171,-1.195226205
CD44,3115.0,0.39995987,434.0,0.297107,-0.642534397
CD63,923.0,0.512738356,403.0,-0.307272,-0.276198989
CD74,635.0,0.427357309,187.0,0.105937,-0.397604442
CDC25C,437.0,0.364786128,387.0,-0.225984,-0.186043753
CDC26,271.0,0.395637029,359.0,0.008476,0.272427673
CDC34,560.0,0.46431386,199.0,-0.090023,-0.342474333
CDC42EP3,3941.0,0.420378821,1009.0,0.426081,-0.233363435
CDIPT,1864.0,0.442654716,541.0,-0.286585,-0.44923802
CDK1,2313.0,0.398329505,154.0,-0.199669,-0.118808056
CDK19,4557.0,0.421511824,180.0,0.432407,-0.049201595
CDK2AP1,766.0,0.439144625,522.0,-0.09051,0.463187435
CDK5RAP2,367.0,0.371069462,192.0,0.071835,-0.006137332
CDK5RAP3,284.0,0.469750898,1791.0,-0.193064,0.198021153
CDKAL1,1365.0,0.417875209,167.0,-0.109992,-0.23879774
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.626133,-0.124389037
CDKN2C,2247.0,0.381912025,1216.0,-0.493604,-0.458891584
CENPV,301.0,0.385948267,62.0,-0.304291,0.578170817
CEP55,939.0,0.397841874,304.0,-0.221966,-0.380280313
CES3,2100.0,0.377378956,446.0,-0.49263,0.045557741
CETN2,868.0,0.433727498,47.0,-0.143581,0.491530589
CFL1,677.0,0.502791,234.0,-0.231146,-0.119707189
CHAC2,786.0,0.395629742,277.0,-0.238402,0.051700305
CHCHD4,3528.0,0.445497334,326.0,0.07125,-0.047728288
CHMP4A,296.0,0.447100154,262.0,-0.176383,0.311145612
CHMP5,1241.0,0.442987983,200.0,-0.296073,0.112095605
CHMP6,980.0,0.489861105,78.0,-0.187708,-0.20471392
CIAPIN1,1024.0,0.451663323,242.0,-0.439728,-0.013004785
CISD2,5376.0,0.433298698,107.0,-0.283615,-0.707311903
CKAP4,2872.0,0.386259817,84.0,-0.03755,-0.688156425
CKS2,300.0,0.317949998,98.0,-0.678734,-0.092086879
CLCC1,5185.0,0.369704467,150.0,-0.016493,-0.457818282
CLCN7,1698.0,0.459147749,110.0,0.014322,-0.220640461
CLIC1,290.0,0.4571302,573.0,-0.238846,0.071242518
CLK2,350.0,0.410673686,925.0,0.481198,0.305104838
CLK3,1233.0,0.4268607,461.0,-0.139506,-0.048448825
CLPTM1,458.0,0.383990827,351.0,-0.429601,-0.638428149
CLTA,288.0,0.450950874,514.0,-0.39354,-0.053377739
CLTB,319.0,0.48548545,210.0,-0.365395,0.288955375
CLTC,3104.0,0.384957863,443.0,0.245688,-0.146576732
CNBP,6850.0,0.433298698,206.0,-0.30592,0.227770047
CNPY2,123.0,0.392778455,553.0,-0.328539,-0.109091284
CNPY3,1042.0,0.459231502,584.0,-0.237105,0.136759842
COG3,1967.0,0.414689223,142.0,-0.066293,-0.024467888
COMMD1,306.0,0.423842833,138.0,-0.125727,0.146957931
COMMD3,431.0,0.360487018,35.0,-0.830525,0.0429011
COMMD5,498.0,0.445713337,399.0,-0.545443,0.261607449
COMMD6,1375.0,0.396967837,328.0,0.132758,0.301086371
COMMD9,2340.0,0.418062772,89.0,0.019666,0.254215607
COPB1,446.0,0.381738818,307.0,0.181975,-0.091228534
COPE,165.0,0.478760693,55.0,-0.683689,-0.038656221
COQ6,671.0,0.374062527,159.0,-0.256317,-0.26767121
COQ7,5700.0,0.42379098,133.0,0.097761,-0.02473027
CORO1A,112.0,0.457388252,435.0,0.250975,-0.595314162
COX17,1735.0,0.484254073,86.0,-0.17136,0.069225545
COX5A,860.0,0.429944966,140.0,-0.53149,-0.316607849
COX7A2,302.0,0.441893926,98.0,-0.325397,-0.078297821
CPSF4,923.0,0.452412439,277.0,-0.448587,0.051566521
CPT1A,2761.0,0.374132033,170.0,0.229606,-0.401587615
CPT2,602.0,0.431256564,515.0,-0.02479,-0.020757306
CRCP,8457.0,0.390198146,145.0,-0.336963,0.645905367
CRKL,3904.0,0.422225684,509.0,-0.33714,0.028716532
CRTAP,5601.0,0.446308827,120.0,0.339069,0.242068414
CRTC3,3205.0,0.355982524,186.0,0.146074,0.157588716
CRYL1,462.0,0.386242786,79.0,-0.097653,0.306968187
CSRP1,1183.0,0.493833101,217.0,0.585607,0.651683049
CST3,2762.0,0.475763324,186.0,-0.757362,-0.06101966
CSTF2,1931.0,0.372934478,58.0,-0.214013,0.100869853
CTBP1,800.0,0.464034004,393.0,-0.01691,0.329394521
CTNNA1,1216.0,0.412513324,1103.0,0.351517,-0.519843999
CTNNB1,1106.0,0.432073699,448.0,0.305798,-0.677224211
CTNNBIP1,2448.0,0.394834327,307.0,-0.462237,-0.034913079
CTPS2,1870.0,0.416273085,744.0,0.101818,0.129697874
CTSG,119.0,0.369503415,37.0,-0.132688,-0.560289991
CTSH,1072.0,0.446467856,1192.0,0.32014,0.20503945
CUEDC1,2047.0,0.374410739,719.0,0.639564,0.410768666
CUX1,1040.0,0.395555213,127.0,-0.221454,-0.324937529
CXCL10,814.0,0.410287201,105.0,-0.206957,-0.941062998
CXCL9,2323.0,0.403736618,74.0,-1.219854,-0.292275548
CYBB,2544.0,0.418993019,61.0,1.882835,-0.926666848
CYTH4,1837.0,0.406296106,377.0,0.950078,-0.091240356
DAB2,1757.0,0.368483127,531.0,1.215238,0.228935632
DAGLB,721.0,0.377719723,170.0,-0.072442,-0.496943927
DAP3,768.0,0.366492687,184.0,0.157641,-0.171947553
DAPP1,2082.0,0.348655603,90.0,0.58599,-0.180580991
DBI,233.0,0.467027529,479.0,-0.743994,-0.596158099
DCAF8,1877.0,0.380310979,212.0,0.468675,0.209034392
DCP1A,4153.0,0.411936399,381.0,0.383277,0.277790809
DCPS,4731.0,0.375605648,329.0,-0.175322,0.292459628
DCTN5,10597.0,0.443116252,177.0,0.248534,0.200917555
DDAH2,653.0,0.361046801,1104.0,-0.000127,0.275896106
DDB2,1223.0,0.43604051,195.0,-0.280803,-0.000992978
DDX23,713.0,0.445931172,91.0,-0.095713,0.280687267
DDX31,1870.0,0.361830896,544.0,0.081834,-0.010015428
DDX47,438.0,0.379294484,22.0,-0.460835,-0.316330647
DDX54,1704.0,0.467316231,28.0,-0.170712,-0.401458561
DDX56,586.0,0.438032149,643.0,-0.416253,0.098681038
DDX59,217.0,0.413095257,243.0,0.27656,0.219535351
DHODH,3463.0,0.371608285,21.0,-0.294693,-0.40934354
DHPS,121.0,0.474111752,121.0,-0.196329,0.156962634
DHX15,459.0,0.379133957,168.0,0.263603,0.153239415
DHX34,591.0,0.384465978,349.0,-0.21848,-0.131684241
DHX58,357.0,0.440330409,223.0,-0.416355,-0.465632477
DIABLO,719.0,0.425893605,1182.0,-0.243912,0.121035085
DMAP1,63.0,0.471306,301.0,-0.428582,0.161478013
DMXL2,1274.0,0.389901613,225.0,1.135292,0.161422198
DNAJA4,1736.0,0.398301408,169.0,0.421531,0.265141462
DNAJC14,1509.0,0.37755465,204.0,-0.162508,-0.457197185
DNAJC19,1326.0,0.403482491,259.0,-0.637595,-0.128698315
DNAJC25,1212.0,0.430964931,56.0,-0.063233,-0.130771327
DNAJC8,969.0,0.416719859,33.0,0.075118,0.472353042
DNM1,1255.0,0.393835111,116.0,0.051327,0.302622679
DNTTIP2,3564.0,0.408096853,58.0,0.189822,0.233930508
DOCK11,3681.0,0.373818855,63.0,1.1299,0.007300466
DOCK2,524.0,0.446250827,52.0,1.368679,-0.335841668
DOK2,438.0,0.384043737,481.0,0.763736,-0.122375124
DPCD,197.0,0.459155016,389.0,-0.097417,0.714045879
DPF2,2501.0,0.393394442,133.0,-0.19265,0.353930153
DPH1,1310.0,0.448716064,341.0,-0.154282,-0.16827063
DPH5,784.0,0.413363166,165.0,-0.017167,-0.032928971
DPY30,562.0,0.438431353,279.0,-0.244128,0.435035544
DPYSL2,2472.0,0.430530829,431.0,-0.100309,-0.023492293
DRAP1,142.0,0.432809908,245.0,-0.329756,0.375640076
DRG1,4594.0,0.444150091,131.0,-0.647187,-0.042777419
DSN1,5330.0,0.392894937,373.0,-0.57735,-0.034636819
DSTN,2786.0,0.375776803,438.0,0.146143,0.17514764
DTX3L,3456.0,0.408848169,89.0,0.055285,-0.149029318
DUSP12,374.0,0.419884133,34.0,0.202097,0.117162701
DUT,1937.0,0.36471409,109.0,-0.359712,-0.012766048
DYNLT1,514.0,0.420362019,78.0,0.146087,0.218109976
EBAG9,1437.0,0.39438748,402.0,-0.48938,-0.360393938
ECH1,191.0,0.389477111,85.0,-0.401906,-0.080411947
ECHDC2,2269.0,0.400166641,752.0,-0.539392,-0.528776801
ECM1,322.0,0.43792189,199.0,0.914327,0.157074325
EDEM2,76.0,0.379021051,100.0,-0.063903,0.219123941
EEA1,5374.0,0.405861636,265.0,0.674154,0.492756291
EEF1A2,286.0,0.417272363,329.0,-3.088791,-1.586086137
EFTUD2,1331.0,0.444646836,398.0,0.087956,0.189865106
EHD1,3363.0,0.446314898,447.0,-0.197949,0.004585184
EIF2AK2,8063.0,0.394727306,557.0,-0.311885,-0.498350599
EIF2B3,1058.0,0.383118637,239.0,-0.134768,0.067160429
EIF3F,5840.0,0.435728237,33.0,-0.40281,0.163357175
EIF3L,1718.0,0.380710116,245.0,-0.414957,-0.047010047
EIF4A3,1120.0,0.381528282,222.0,-0.082437,0.263274754
ELAVL1,4910.0,0.437605432,167.0,-0.159551,0.259760929
EMG1,248.0,0.433768095,143.0,-0.841606,0.143192049
EMILIN2,2605.0,0.379592019,159.0,1.828767,0.389735201
ENDOD1,7728.0,0.376426787,118.0,-0.785482,-0.867595941
ENOSF1,2904.0,0.382279782,622.0,-0.237148,-0.405253962
ENY2,2576.0,0.41756619,146.0,-0.573413,0.31501175
EPSTI1,2106.0,0.391777705,469.0,0.118178,-0.685572688
ERCC1,2342.0,0.45058755,188.0,-0.346363,-0.220948661
ERCC6L,4809.0,0.354829683,623.0,-0.002117,-0.105986755
ERH,415.0,0.383837906,71.0,-0.323067,0.278488021
ERLIN1,2041.0,0.444737514,478.0,0.094604,-0.299117957
ERP29,1277.0,0.401191178,118.0,-0.404322,-0.350201493
ETV6,4356.0,0.398240844,274.0,-0.417369,-0.324067303
EXOC4,1232.0,0.388187525,35.0,0.408064,0.06070049
EXOC8,6907.0,0.436106501,127.0,0.154707,0.195249185
EXOSC1,536.0,0.430105347,451.0,-0.367537,0.265448598
EXOSC2,3902.0,0.431273517,32.0,0.051708,0.292920329
F8A1,571.0,0.46317284,15.0,-0.570174,0.266622549
FAAH,2043.0,0.384592892,82.0,-0.880008,-0.762331615
FAF1,4425.0,0.401181969,453.0,-0.127658,0.161115731
FAM122A,4542.0,0.40477622,33.0,0.215803,0.044645115
FAM168A,6285.0,0.395008865,285.0,0.88936,0.860642282
FAM177A1,2165.0,0.411149627,459.0,-0.129409,0.023689831
FAM192A,1824.0,0.379195199,1475.0,-0.592783,0.081713412
FAM20B,4428.0,0.4357945,293.0,0.156777,-0.411814982
FAM32A,1091.0,0.408676074,42.0,-0.048654,0.204019744
FAM50A,286.0,0.482889735,110.0,-0.193176,-0.06069022
FBP1,248.0,0.397353747,331.0,-0.877639,-0.071964567
FBXL20,9338.0,0.383104745,254.0,0.479489,-0.390468192
FBXO4,526.0,0.393825218,58.0,-0.616359,-0.209611542
FBXO6,503.0,0.42307306,166.0,-0.890068,-0.520433717
FCER1G,305.0,0.4202976,25.0,1.277807,-0.416504712
FCGRT,309.0,0.433069976,486.0,-0.166384,-0.225969468
FCHO1,270.0,0.372951657,283.0,-0.391569,-0.351558535
FDPS,72.0,0.456397562,392.0,-0.20068,-0.178793254
FDXR,596.0,0.384661194,188.0,-0.258234,-0.622647194
FEN1,1340.0,0.407867196,413.0,-0.592851,0.01305687
FERMT3,399.0,0.435119014,149.0,1.279758,0.053126983
FGD2,907.0,0.441856308,171.0,0.722139,-0.281252845
FGFR1OP2,1663.0,0.396595515,353.0,0.425809,0.162930537
FGL2,3460.0,0.40966218,40.0,0.320231,-0.234212194
FKBP1A,1132.0,0.428443098,174.0,-0.252876,0.205170399
FKBPL,24.0,0.377510344,270.0,-0.337114,0.154031172
FLOT1,422.0,0.472159534,339.0,-0.271167,-0.315678444
FN3K,442.0,0.389857108,61.0,-0.634896,-0.091964653
FN3KRP,3667.0,0.380720834,50.0,-0.012169,0.191400432
FOXJ3,3176.0,0.401878681,312.0,-0.098456,-0.046823244
FOXK2,3108.0,0.440496276,171.0,0.075923,-0.01783974
FOXRED1,443.0,0.438630908,167.0,-0.058317,-0.113506395
FSCN1,1184.0,0.396100853,132.0,0.001694,-0.07994153
FTH1,530.0,0.425357612,235.0,0.151474,0.35542693
FTL,1031.0,0.428438948,199.0,0.92155,0.112651167
FTSJ1,638.0,0.457521275,569.0,0.152369,-0.048461307
FTSJ3,698.0,0.388239396,646.0,-0.099262,-0.544052048
FXN,6365.0,0.40465004,220.0,-0.142511,0.265409235
GABARAPL2,564.0,0.431291441,136.0,-0.179407,-0.049066436
GABPB1,1320.0,0.423118524,469.0,0.183335,0.065873126
GALK1,292.0,0.455574511,63.0,-0.259144,-0.091702275
GANAB,989.0,0.425909644,1027.0,0.004488,-0.057283812
GAS6,315.0,0.393865445,183.0,1.221746,0.497657259
GAS7,6619.0,0.423630168,311.0,1.155327,0.449215858
GBE1,708.0,0.404013874,283.0,1.197614,0.647716841
GBP1,1735.0,0.42614962,220.0,-0.166331,-0.841903791
GBP2,5058.0,0.440134196,314.0,-0.539201,-0.492842815
GBP4,4106.0,0.42983554,116.0,-0.734753,-0.553066769
GBP5,1753.0,0.421901204,537.0,0.422554,-1.038950235
GFOD2,622.0,0.396604754,295.0,-0.134328,-0.06129624
GGA2,5408.0,0.377812588,83.0,-0.061177,-0.12150638
GGCX,5211.0,0.417836117,106.0,-0.135081,-0.635502543
GIGYF1,2212.0,0.443456438,1210.0,0.269136,0.210698509
GINS3,1415.0,0.387351931,208.0,-0.347787,0.302486506
GLA,1699.0,0.378726947,110.0,0.582458,0.701016983
GLE1,1357.0,0.383457083,114.0,0.108491,0.100386453
GLRX,1188.0,0.430296645,211.0,0.206577,-0.099124309
GLRX3,3557.0,0.41418463,539.0,-0.097256,-0.031408313
GLUD1,1558.0,0.392454008,1132.0,-0.287591,-0.230535304
GLYR1,2033.0,0.39940414,57.0,0.318701,0.429619786
GMEB1,4582.0,0.43446142,142.0,0.25759,0.282221241
GMPPA,198.0,0.434966364,375.0,-0.537249,0.020800791
GMPR,3984.0,0.435743929,114.0,-1.512667,-0.39996928
GMPR2,464.0,0.453637396,704.0,0.064307,0.371173267
GNAI1,1947.0,0.435804474,356.0,-0.175143,-0.82926585
GNG7,3803.0,0.398730372,237.0,0.3084,-0.044382897
GNPDA1,1360.0,0.395964134,67.0,0.244635,0.206998135
GOLGA2,1243.0,0.401070546,13.0,-0.15284,-0.128314973
GON4L,926.0,0.418089888,175.0,0.599096,-0.052690299
GOSR1,5968.0,0.408103421,237.0,0.021425,-0.753829809
GOSR2,3258.0,0.374298057,541.0,-0.172427,-0.464313182
GOT2,1054.0,0.444803236,129.0,-0.486201,-0.414848108
GPS2,97.0,0.431122181,76.0,-0.08683,-0.402443322
GPX7,626.0,0.395840774,39.0,-0.124228,-0.158236116
GRAMD1A,299.0,0.411657297,748.0,-0.46098,-0.433521337
GRB2,2292.0,0.4413596,358.0,0.114487,0.10670567
GSTM4,2467.0,0.390909061,314.0,-0.635401,-0.499574536
GTF2A2,1070.0,0.420716795,404.0,0.038061,0.133126443
GTF2E2,604.0,0.365750105,273.0,0.179003,0.359474728
GTF3C2,932.0,0.372227001,397.0,0.040912,0.392269508
GTPBP1,2894.0,0.424954603,154.0,-0.801512,-0.254014659
GTPBP3,1032.0,0.436547413,95.0,0.027702,-0.092226926
HADH,818.0,0.383558671,219.0,-0.242178,0.222587882
HADHA,615.0,0.383558671,130.0,0.10919,-0.042758689
HAUS5,3319.0,0.378752573,51.0,-0.356338,-0.145074562
HAUS8,346.0,0.37535995,111.0,-0.059039,-0.139224317
HCCS,1274.0,0.398607648,275.0,0.096945,-0.410575716
HCK,337.0,0.440224323,364.0,1.223923,-0.219466679
HDAC1,591.0,0.390040122,63.0,-0.305,0.077360715
HDDC3,763.0,0.387287166,29.0,-0.420667,-0.005623663
HDGF,1342.0,0.465394593,322.0,0.256277,0.794236071
HDLBP,2343.0,0.397687311,375.0,0.029161,0.180908333
HEATR3,1385.0,0.384091545,883.0,-0.021917,-0.46486657
HEBP2,9119.0,0.359416339,297.0,-0.286814,0.264869453
HECA,3704.0,0.443714129,285.0,0.196725,0.115373318
HECTD3,3914.0,0.446742268,98.0,0.152027,0.199303239
HERC2,726.0,0.429958504,109.0,0.513815,-0.081865761
HERC5,379.0,0.393838904,153.0,-0.298647,-0.158640162
HIP1,4874.0,0.430847644,52.0,0.702413,0.390904715
HLA-A,4150.0,0.424443523,84.0,-0.284559,-0.62730679
HLA-C,420.0,0.421684519,65.0,-0.057847,-1.267977545
HLA-DRA,409.0,0.420807891,109.0,0.543783,-0.518083947
HLA-E,1459.0,0.413523771,126.0,-0.27601,-0.5055859
HLA-F,121.0,0.407256461,124.0,-0.143449,-0.851706725
HMBOX1,3560.0,0.369177113,482.0,0.470463,0.300661786
HMBS,266.0,0.451934812,299.0,0.026674,0.501901391
HMGB2,3775.0,0.450826504,193.0,-0.588126,0.125033465
HMGCS1,3661.0,0.374424323,345.0,-0.196037,-0.861145345
HMOX1,616.0,0.436401717,107.0,1.105335,-0.126274616
HNRNPA0,7504.0,0.386421138,284.0,0.184253,0.147844835
HNRNPD,1688.0,0.420386111,318.0,-0.054577,0.059861172
HNRNPL,1102.0,0.449817015,176.0,-0.468788,0.129393718
HNRNPU,4156.0,0.432126199,218.0,0.250477,0.184873371
HNRNPUL1,2135.0,0.394022965,339.0,-0.061601,0.039736471
HNRNPUL2,2674.0,0.436897081,229.0,-0.137568,0.093075197
HSBP1,3274.0,0.4454546,174.0,-0.374885,-0.070453663
HSD11B1,4482.0,0.426649415,154.0,0.407679,-0.467039414
HSD17B7,398.0,0.431983247,99.0,-0.253905,-0.269679254
HSP90AB1,313.0,0.39509298,251.0,-0.498264,-0.28275975
HSPA4L,7877.0,0.413794867,342.0,-0.290025,-0.251427252
HSPB11,107.0,0.34538245,284.0,0.155907,-0.151427294
HTRA2,571.0,0.421976635,602.0,-0.130678,0.190585049
HTT,3901.0,0.373695076,145.0,0.530158,0.061169034
HUS1,2068.0,0.374612864,131.0,0.022589,0.238018339
HYI,310.0,0.378597605,196.0,0.142527,0.053004291
HYOU1,1409.0,0.403839016,234.0,0.568998,-0.07767314
ICAM1,1537.0,0.426062071,319.0,0.615507,-0.245112148
IER3IP1,3342.0,0.438740024,97.0,-0.241087,-0.103619847
IFI16,254.0,0.415211655,290.0,0.447209,-0.139209428
IFI30,213.0,0.431523306,62.0,1.136032,-0.075113929
IFI35,160.0,0.418462024,223.0,-0.620636,0.14150049
IFI44,267.0,0.403888008,124.0,-0.391672,-1.871575736
IFI44L,5058.0,0.403608012,200.0,-0.942771,-1.446833057
IFIH1,121.0,0.412344512,377.0,-0.430771,-0.671931677
IFIT1,2775.0,0.411248073,495.0,-0.981703,-1.232963357
IFIT2,1901.0,0.420797646,175.0,-0.207436,-1.367491724
IFIT3,843.0,0.417440574,529.0,-0.627266,-1.25012634
IFIT5,2354.0,0.414819429,231.0,-0.106639,-0.168013746
IFITM1,159.0,0.431550176,180.0,0.813101,0.073238911
IFT27,109.0,0.4030938,426.0,-1.01364,-0.174956084
IGFBP3,1605.0,0.43060006,132.0,1.230663,0.393977114
IGFBP7,558.0,0.392734536,34.0,0.781888,0.378837001
IKBKE,745.0,0.435100597,714.0,-0.265818,-0.277483387
IL16,3965.0,0.367979445,2395.0,0.650093,-0.482907254
IL17RA,5874.0,0.376798811,133.0,-0.076251,0.188955712
IL1RN,1145.0,0.411881061,408.0,1.269687,-0.150760294
IL4I1,16.0,0.4139018,621.0,1.339551,0.637262247
ILF2,656.0,0.426220446,239.0,0.165287,0.259250199
