,3prime,tAI,max_5_UTR_length,TCGA-BH-A18Q,TCGA-BH-A18Q.1
CCNA2,1206.0,0.409154498,373.0,0.973895,-0.612220261
CCNB2,168.0,0.374401461,184.0,1.081538,-0.180313653
CCNDBP1,2336.0,0.44393643,231.0,-0.341928,0.367114555
CCS,4244.0,0.460896681,43.0,0.301029,0.199866918
CCT3,238.0,0.457984718,231.0,0.066777,-0.282895387
CCT4,1361.0,0.393363555,164.0,-0.088189,-0.213396396
CD14,128.0,0.416321757,392.0,0.893387,0.576638089
CD209,3046.0,0.440000747,67.0,1.147679,1.046575951
CD36,2894.0,0.410517795,414.0,0.638911,-0.089855025
CD40,982.0,0.429065654,90.0,0.436121,0.555343079
CD44,3115.0,0.39995987,434.0,0.623807,0.082111746
CD63,923.0,0.512738356,403.0,-0.279096,-0.32483179
CD74,635.0,0.427357309,187.0,0.89191,0.71534241
CDC25C,437.0,0.364786128,387.0,1.269642,0.068009615
CDC26,271.0,0.395637029,359.0,-1.055609,-0.473597464
CDC34,560.0,0.46431386,199.0,0.089652,0.009145771
CDC42EP3,3941.0,0.420378821,1009.0,-0.013235,0.071563888
CDCA3,816.0,0.351209268,820.0,1.856026,-0.32578342
CDCA8,1353.0,0.384295288,290.0,1.139807,-0.00767154
CDIPT,1864.0,0.442654716,541.0,0.301844,0.165061465
CDK1,2313.0,0.398329505,154.0,1.061369,0.113421323
CDK19,4557.0,0.421511824,180.0,2.446948,1.741062031
CDK2AP1,766.0,0.439144625,522.0,1.668087,0.282415112
CDK5RAP2,367.0,0.371069462,192.0,0.022035,-0.121719578
CDK5RAP3,284.0,0.469750898,1791.0,-0.052053,0.223663467
CDKAL1,1365.0,0.417875209,167.0,3.188842,0.200014477
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.22944,0.027214959
CDKN2C,2247.0,0.381912025,1216.0,1.819808,0.13082737
CEBPD,1714.0,0.430497143,44.0,-1.733362,-0.113336407
CENPH,1478.0,0.418392258,87.0,0.596913,0.053287776
CENPV,301.0,0.385948267,62.0,1.307154,-0.406365536
CEP55,939.0,0.397841874,304.0,1.378053,-0.129379582
CES3,2100.0,0.377378956,446.0,2.906733,0.056441076
CETN2,868.0,0.433727498,47.0,-0.176785,-0.214189103
CFL1,677.0,0.502791,234.0,-0.181358,-0.156776285
CHAC2,786.0,0.395629742,277.0,0.273976,0.109200583
CHCHD4,3528.0,0.445497334,326.0,-0.176457,-0.328620837
CHMP4A,296.0,0.447100154,262.0,-0.755728,-0.383053382
CHMP5,1241.0,0.442987983,200.0,-0.183947,-0.478681986
CHMP6,980.0,0.489861105,78.0,0.144229,-0.327620655
CHST11,4211.0,0.430763246,498.0,-0.814733,-1.791090906
CHTF8,2425.0,0.424551152,142.0,0.487854,1.247862238
CIAPIN1,1024.0,0.451663323,242.0,0.597201,0.076941251
CISD2,5376.0,0.433298698,107.0,-0.007918,0.107303806
CKAP4,2872.0,0.386259817,84.0,-0.507637,-0.267426073
CKS2,300.0,0.317949998,98.0,-0.25229,-0.029625608
CLCC1,5185.0,0.369704467,150.0,0.377456,-0.859557656
CLCN7,1698.0,0.459147749,110.0,-0.110275,-0.587979101
CLIC1,290.0,0.4571302,573.0,-0.371324,-0.0833317
CLK2,350.0,0.410673686,925.0,0.192677,-0.983266098
CLK3,1233.0,0.4268607,461.0,-0.131537,0.309825253
CLPTM1,458.0,0.383990827,351.0,-0.154004,-0.035460898
CLTA,288.0,0.450950874,514.0,0.183777,-0.530990538
CLTB,319.0,0.48548545,210.0,-0.040662,-0.103470936
CLTC,3104.0,0.384957863,443.0,-0.14637,-0.105149665
CNBP,6850.0,0.433298698,206.0,0.593051,0.178472958
CNPY2,123.0,0.392778455,553.0,-0.080199,-0.123894248
CNPY3,1042.0,0.459231502,584.0,-0.057182,0.302258557
COG3,1967.0,0.414689223,142.0,-0.13511,-0.111495589
COMMD1,306.0,0.423842833,138.0,-0.877245,0.122738816
COMMD3,431.0,0.360487018,35.0,-0.409141,0.202377049
COMMD5,498.0,0.445713337,399.0,-0.808251,0.115437636
COMMD6,1375.0,0.396967837,328.0,0.577341,0.491176951
COMMD9,2340.0,0.418062772,89.0,-0.428036,-0.02329717
COPB1,446.0,0.381738818,307.0,-0.707283,-0.175882181
COPE,165.0,0.478760693,55.0,-0.109325,-0.106432146
COQ6,671.0,0.374062527,159.0,-0.659519,0.544650367
COQ7,5700.0,0.42379098,133.0,-0.123697,0.392293716
CORO1A,112.0,0.457388252,435.0,0.296387,0.295336419
COX17,1735.0,0.484254073,86.0,-0.038924,-0.823485285
COX5A,860.0,0.429944966,140.0,-0.112176,0.000510466
COX7A2,302.0,0.441893926,98.0,-0.240883,0.607308283
CPM,5262.0,0.406054343,75.0,0.934157,-0.050239477
CPSF4,923.0,0.452412439,277.0,-0.757824,0.098431931
CPT1A,2761.0,0.374132033,170.0,-0.711115,-0.94566935
CPT2,602.0,0.431256564,515.0,-0.305835,-0.257610209
CRCP,8457.0,0.390198146,145.0,-0.159825,-0.387287511
CRKL,3904.0,0.422225684,509.0,0.41045,0.099083423
CRTAP,5601.0,0.446308827,120.0,-0.184916,-0.017292373
CRTC3,3205.0,0.355982524,186.0,0.024133,-0.02724953
CRY2,2337.0,0.383442872,132.0,-0.44186,-0.149583764
CRYL1,462.0,0.386242786,79.0,-1.091504,0.188304729
CSRP1,1183.0,0.493833101,217.0,2.100608,0.549053624
CST3,2762.0,0.475763324,186.0,-0.575902,-0.232205424
CSTF2,1931.0,0.372934478,58.0,-0.568002,-0.281914429
CTBP1,800.0,0.464034004,393.0,-0.373992,-0.01363803
CTNNA1,1216.0,0.412513324,1103.0,0.474937,0.195978552
CTNNB1,1106.0,0.432073699,448.0,0.649444,-0.000424299
CTNNBIP1,2448.0,0.394834327,307.0,0.134658,-0.201570852
CTPS2,1870.0,0.416273085,744.0,-0.985766,-0.431393653
CTSG,119.0,0.369503415,37.0,0.073558,-1.420274075
CTSH,1072.0,0.446467856,1192.0,-0.761433,0.558708437
CUEDC1,2047.0,0.374410739,719.0,-0.092499,-0.32180577
CUX1,1040.0,0.395555213,127.0,-1.04974,-0.379813035
CXCL10,814.0,0.410287201,105.0,2.177723,0.404015525
CXCL9,2323.0,0.403736618,74.0,2.716558,1.4802978
CYBB,2544.0,0.418993019,61.0,0.459752,0.473297161
CYP2S1,1051.0,0.420869286,58.0,-0.253808,0.611735745
CYTH4,1837.0,0.406296106,377.0,0.021502,0.419041132
DAB2,1757.0,0.368483127,531.0,-0.569064,0.12903355
DAGLB,721.0,0.377719723,170.0,-0.629157,-0.292249068
DAP3,768.0,0.366492687,184.0,-0.130142,0.43650803
DAPP1,2082.0,0.348655603,90.0,1.449658,1.121797525
DBI,233.0,0.467027529,479.0,1.413182,0.483515847
DCAF12,1967.0,0.42050769,342.0,1.380077,0.35371306
DCAF8,1877.0,0.380310979,212.0,0.109919,-0.394231529
DCP1A,4153.0,0.411936399,381.0,0.033604,0.172867521
DCPS,4731.0,0.375605648,329.0,0.506205,0.498354775
DCTN5,10597.0,0.443116252,177.0,0.139226,0.009124328
DDAH2,653.0,0.361046801,1104.0,0.045935,-0.025086531
DDB2,1223.0,0.43604051,195.0,0.399426,0.687583283
DDX23,713.0,0.445931172,91.0,-0.432003,0.045923772
DDX31,1870.0,0.361830896,544.0,-0.276815,-0.113278593
DDX47,438.0,0.379294484,22.0,-0.08653,0.193026814
DDX54,1704.0,0.467316231,28.0,-0.017673,0.268368212
DDX56,586.0,0.438032149,643.0,-0.80874,-0.028480452
DDX59,217.0,0.413095257,243.0,0.359402,0.227143112
DHODH,3463.0,0.371608285,21.0,0.668006,0.823845461
DHPS,121.0,0.474111752,121.0,0.196896,-0.100961564
DHX15,459.0,0.379133957,168.0,0.072485,0.118480921
DHX34,591.0,0.384465978,349.0,0.449924,0.293884723
DHX58,357.0,0.440330409,223.0,-0.282754,-0.163753387
DIABLO,719.0,0.425893605,1182.0,-0.264817,0.321889795
DMAP1,63.0,0.471306,301.0,-0.3152,0.180855231
DMXL2,1274.0,0.389901613,225.0,-0.310567,0.35126263
DNAJA4,1736.0,0.398301408,169.0,-0.810165,-0.487930725
DNAJC19,1326.0,0.403482491,259.0,0.073645,0.062228533
DNAJC25,1212.0,0.430964931,56.0,-0.833283,0.312343676
DNAJC8,969.0,0.416719859,33.0,-0.187259,-0.100072291
DNM1,1255.0,0.393835111,116.0,-1.800125,0.092202127
DNTTIP2,3564.0,0.408096853,58.0,0.041097,-0.143759312
DOCK11,3681.0,0.373818855,63.0,-0.24627,0.391911766
DOCK2,524.0,0.446250827,52.0,-0.028745,0.907263413
DOK2,438.0,0.384043737,481.0,0.459448,0.671970105
DPCD,197.0,0.459155016,389.0,-1.185992,-0.444897884
DPF2,2501.0,0.393394442,133.0,0.213362,0.104143798
DPH1,1310.0,0.448716064,341.0,0.557904,0.10273788
DPH5,784.0,0.413363166,165.0,-0.084653,-0.006532051
DPY30,562.0,0.438431353,279.0,-0.613026,0.330813059
DPYSL2,2472.0,0.430530829,431.0,1.031686,0.419994492
DRAP1,142.0,0.432809908,245.0,-0.122201,0.128886812
DRG1,4594.0,0.444150091,131.0,0.450918,0.264004605
DSN1,5330.0,0.392894937,373.0,1.314805,0.283731302
DSTN,2786.0,0.375776803,438.0,0.253965,-0.250084426
DTL,2265.0,0.372315747,921.0,1.236707,-0.147204309
DTX3L,3456.0,0.408848169,89.0,0.904421,0.370992348
DUSP12,374.0,0.419884133,34.0,0.139031,0.095543583
DUT,1937.0,0.36471409,109.0,0.248478,0.086643636
DYNLT1,514.0,0.420362019,78.0,-0.073001,0.215495887
EBAG9,1437.0,0.39438748,402.0,0.840698,0.224830313
ECH1,191.0,0.389477111,85.0,-0.7688,-0.564126897
ECHDC2,2269.0,0.400166641,752.0,0.409141,0.113046966
ECM1,322.0,0.43792189,199.0,-2.682735,-0.504939454
EDEM2,76.0,0.379021051,100.0,0.263332,0.739368451
EEA1,5374.0,0.405861636,265.0,0.397545,0.054674686
EEF1A2,286.0,0.417272363,329.0,-5.489344,-1.724112973
EFTUD2,1331.0,0.444646836,398.0,-0.110144,0.173239994
EHD1,3363.0,0.446314898,447.0,0.133455,0.119517449
EIF2AK2,8063.0,0.394727306,557.0,-0.18529,0.149345091
EIF2B3,1058.0,0.383118637,239.0,0.608404,0.151369246
EIF3F,5840.0,0.435728237,33.0,-0.321298,0.058860619
EIF3L,1718.0,0.380710116,245.0,0.838899,0.263468805
EIF4A3,1120.0,0.381528282,222.0,-0.03583,0.130580899
ELAVL1,4910.0,0.437605432,167.0,0.403458,-0.146700632
EMG1,248.0,0.433768095,143.0,0.763137,0.612506718
EMILIN2,2605.0,0.379592019,159.0,0.160235,0.425977825
ENDOD1,7728.0,0.376426787,118.0,0.586286,0.423921949
ENOSF1,2904.0,0.382279782,622.0,0.366791,0.260197403
ENY2,2576.0,0.41756619,146.0,0.646381,0.217262135
EPSTI1,2106.0,0.391777705,469.0,0.35156,-0.008848411
ERCC1,2342.0,0.45058755,188.0,0.457063,0.073034253
ERCC6L,4809.0,0.354829683,623.0,-0.088473,-0.360433588
ERH,415.0,0.383837906,71.0,-0.574545,-0.1208698
ERLIN1,2041.0,0.444737514,478.0,-0.181484,-0.163057733
ERP29,1277.0,0.401191178,118.0,0.079399,0.021358821
ETV6,4356.0,0.398240844,274.0,1.460006,0.658375194
EXOC4,1232.0,0.388187525,35.0,-0.452659,-0.113967368
EXOC8,6907.0,0.436106501,127.0,-0.431412,-0.067463438
EXOSC1,536.0,0.430105347,451.0,-0.907639,0.272715635
EXOSC2,3902.0,0.431273517,32.0,-0.000638,-0.017502085
F8A1,571.0,0.46317284,15.0,-0.221276,0.170010083
FAAH,2043.0,0.384592892,82.0,-1.202568,-0.546943899
FAF1,4425.0,0.401181969,453.0,0.572924,0.106371994
FAM122A,4542.0,0.40477622,33.0,-0.078483,0.125398977
FAM168A,6285.0,0.395008865,285.0,0.849879,0.560717706
FAM177A1,2165.0,0.411149627,459.0,-0.259488,0.018751632
FAM192A,1824.0,0.379195199,1475.0,0.79112,0.039033285
FAM20B,4428.0,0.4357945,293.0,0.812253,0.190103074
FAM32A,1091.0,0.408676074,42.0,0.275491,0.477536862
FAM50A,286.0,0.482889735,110.0,-0.628678,-0.43747329
FBP1,248.0,0.397353747,331.0,-3.481772,-1.143141725
FBXL20,9338.0,0.383104745,254.0,-0.301881,-0.408132313
FBXO4,526.0,0.393825218,58.0,-0.814755,0.003297816
FBXO6,503.0,0.42307306,166.0,-0.511276,-0.192264096
FCER1G,305.0,0.4202976,25.0,0.020607,0.131742605
FCGRT,309.0,0.433069976,486.0,-0.42211,0.141513043
FCHO1,270.0,0.372951657,283.0,1.208407,0.634573452
FDPS,72.0,0.456397562,392.0,0.471307,-0.036506374
FDXR,596.0,0.384661194,188.0,-1.668324,-0.196123715
FEN1,1340.0,0.407867196,413.0,0.396635,0.083344663
FERMT3,399.0,0.435119014,149.0,0.149735,0.590709889
FGD2,907.0,0.441856308,171.0,0.237223,0.659136603
FGFR1OP2,1663.0,0.396595515,353.0,0.27707,0.214486978
FGL2,3460.0,0.40966218,40.0,0.159362,0.356113895
FKBP1A,1132.0,0.428443098,174.0,0.234399,0.169819002
FKBPL,24.0,0.377510344,270.0,-0.101121,0.071955367
FLOT1,422.0,0.472159534,339.0,-0.418426,-0.211459155
FN3K,442.0,0.389857108,61.0,-0.311263,0.061428644
FN3KRP,3667.0,0.380720834,50.0,0.325457,-0.290913357
FOXJ3,3176.0,0.401878681,312.0,0.10558,-0.202726093
FOXK2,3108.0,0.440496276,171.0,0.917063,0.598794499
FOXRED1,443.0,0.438630908,167.0,0.234277,0.07619969
FSCN1,1184.0,0.396100853,132.0,0.316175,0.454949704
FTH1,530.0,0.425357612,235.0,-1.038609,1.369949307
FTL,1031.0,0.428438948,199.0,-0.91764,1.854403839
FTSJ1,638.0,0.457521275,569.0,-0.943223,-0.29249187
FTSJ3,698.0,0.388239396,646.0,-0.128804,-0.113026172
FXN,6365.0,0.40465004,220.0,-0.150572,-0.351793111
GABARAPL2,564.0,0.431291441,136.0,0.662376,1.11436869
GABPB1,1320.0,0.423118524,469.0,-0.202289,-0.473358011
GALK1,292.0,0.455574511,63.0,0.134893,-0.111561184
GANAB,989.0,0.425909644,1027.0,0.091652,-0.174666724
GAS6,315.0,0.393865445,183.0,0.449199,0.341815968
GAS7,6619.0,0.423630168,311.0,-0.90323,0.322708213
GBE1,708.0,0.404013874,283.0,0.270883,0.012707827
GBP1,1735.0,0.42614962,220.0,3.138212,1.57955876
GBP2,5058.0,0.440134196,314.0,1.635034,1.055803242
GBP4,4106.0,0.42983554,116.0,3.168103,1.624033999
GBP5,1753.0,0.421901204,537.0,2.535691,1.060853436
GCH1,2011.0,0.419329122,161.0,0.604056,1.122992538
GFOD2,622.0,0.396604754,295.0,1.256658,0.077593683
GGA2,5408.0,0.377812588,83.0,0.734301,-0.187415201
GGCX,5211.0,0.417836117,106.0,0.467622,0.117314681
GIGYF1,2212.0,0.443456438,1210.0,-0.008555,-0.222869339
GINS3,1415.0,0.387351931,208.0,1.680966,0.278850871
GLA,1699.0,0.378726947,110.0,-1.181433,-0.402464955
GLE1,1357.0,0.383457083,114.0,-0.481266,0.133701677
GLRX,1188.0,0.430296645,211.0,1.262764,0.646736407
GLRX3,3557.0,0.41418463,539.0,-0.381848,0.131546974
GLUD1,1558.0,0.392454008,1132.0,-0.345027,-0.089684539
GLYR1,2033.0,0.39940414,57.0,0.237626,0.396006338
GMEB1,4582.0,0.43446142,142.0,0.357508,0.278412543
GMPPA,198.0,0.434966364,375.0,-0.559793,-0.128055838
GMPR,3984.0,0.435743929,114.0,-0.217864,-0.413938352
GMPR2,464.0,0.453637396,704.0,-0.649438,-0.297534805
GNAI1,1947.0,0.435804474,356.0,0.836126,0.52301579
GNG7,3803.0,0.398730372,237.0,2.97022,0.8508038
GNPDA1,1360.0,0.395964134,67.0,-0.127402,0.174655866
GOLGA2,1243.0,0.401070546,13.0,-0.522973,-0.481623849
GON4L,926.0,0.418089888,175.0,0.28671,-0.072224082
GOSR1,5968.0,0.408103421,237.0,-0.39526,-0.4578122
GOSR2,3258.0,0.374298057,541.0,-0.26183,-0.100042649
GOT2,1054.0,0.444803236,129.0,0.110393,0.605630086
GPS2,97.0,0.431122181,76.0,-0.536503,0.103918268
GPSM2,4697.0,0.401967226,496.0,2.018932,0.239768594
GPX7,626.0,0.395840774,39.0,0.415782,-0.043661918
GRAMD1A,299.0,0.411657297,748.0,-0.530447,-0.6790184
GRB2,2292.0,0.4413596,358.0,-0.574165,0.040669913
GSTM4,2467.0,0.390909061,314.0,-0.95431,-0.105710715
GTF2A2,1070.0,0.420716795,404.0,-0.617586,0.284752924
GTF2E2,604.0,0.365750105,273.0,-0.063318,0.012415829
GTF3C2,932.0,0.372227001,397.0,-0.393409,-0.054501386
GTPBP1,2894.0,0.424954603,154.0,0.934392,0.424540075
GTPBP3,1032.0,0.436547413,95.0,0.433728,0.134743503
HADH,818.0,0.383558671,219.0,0.920627,0.134076876
HADHA,615.0,0.383558671,130.0,-0.269406,0.208630627
HAUS5,3319.0,0.378752573,51.0,1.441347,0.258555164
HAUS8,346.0,0.37535995,111.0,0.728739,-0.070328959
HCCS,1274.0,0.398607648,275.0,-0.589711,-0.857888667
HCK,337.0,0.440224323,364.0,1.314692,0.630890009
HDAC1,591.0,0.390040122,63.0,0.043098,-0.068794391
HDDC3,763.0,0.387287166,29.0,-0.178681,0.241370804
HDGF,1342.0,0.465394593,322.0,1.037721,0.169486294
HDLBP,2343.0,0.397687311,375.0,-0.508396,-0.070485296
HEATR3,1385.0,0.384091545,883.0,0.301202,0.315624668
HEBP2,9119.0,0.359416339,297.0,0.735564,0.902660841
HECA,3704.0,0.443714129,285.0,1.109706,0.548381484
HECTD3,3914.0,0.446742268,98.0,0.012606,0.244061737
HERC2,726.0,0.429958504,109.0,-0.30269,-0.091838286
HERC5,379.0,0.393838904,153.0,1.774023,0.685921625
HERC6,651.0,0.398146132,183.0,1.248379,0.249787078
HIP1,4874.0,0.430847644,52.0,-0.955175,-0.386763495
HLA-A,4150.0,0.424443523,84.0,1.136891,0.170848635
HLA-C,420.0,0.421684519,65.0,1.190698,-0.083498412
HLA-DRA,409.0,0.420807891,109.0,1.409069,1.608176845
HLA-E,1459.0,0.413523771,126.0,1.174685,0.764065323
HLA-F,121.0,0.407256461,124.0,1.903095,-0.285414769
HMBOX1,3560.0,0.369177113,482.0,0.029051,-0.280118451
HMBS,266.0,0.451934812,299.0,-0.112291,-0.038231535
HMGB2,3775.0,0.450826504,193.0,0.871303,-0.245914774
HMGCS1,3661.0,0.374424323,345.0,-0.297096,-0.378294597
HMOX1,616.0,0.436401717,107.0,-1.193029,0.104867568
HNRNPA0,7504.0,0.386421138,284.0,-0.004909,-0.210433616
HNRNPD,1688.0,0.420386111,318.0,0.281264,-0.308646027
HNRNPL,1102.0,0.449817015,176.0,0.103088,-0.355254647
HNRNPU,4156.0,0.432126199,218.0,0.064756,0.17365364
HNRNPUL1,2135.0,0.394022965,339.0,0.586264,0.272279855
HNRNPUL2,2674.0,0.436897081,229.0,-0.248455,-0.051643611
HSBP1,3274.0,0.4454546,174.0,0.914686,0.154619176
HSD11B1,4482.0,0.426649415,154.0,0.093536,-0.007841272
HSD17B7,398.0,0.431983247,99.0,-0.165514,-0.242280741
HSP90AB1,313.0,0.39509298,251.0,0.109613,-0.258452878
HSPA1L,428.0,0.464100714,183.0,-0.520042,-0.110272901
HSPA4L,7877.0,0.413794867,342.0,1.351648,0.151560909
HSPB11,107.0,0.34538245,284.0,0.261375,0.116407359
HTRA2,571.0,0.421976635,602.0,-0.285572,0.063311265
HTT,3901.0,0.373695076,145.0,-0.52952,-0.001608223
HUS1,2068.0,0.374612864,131.0,-0.314412,0.294635065
HYI,310.0,0.378597605,196.0,-0.592031,0.157594179
HYOU1,1409.0,0.403839016,234.0,0.92062,0.338325452
