,3prime,tAI,max_5_UTR_length,TCGA-A2-A0YG,TCGA-A2-A0YG.1
CCNB2,168.0,0.374401461,184.0,1.136168,0.303647204
CCNDBP1,2336.0,0.44393643,231.0,-0.403527,0.390234839
CCS,4244.0,0.460896681,43.0,-0.327372,0.176737963
CCT3,238.0,0.457984718,231.0,-0.037683,0.042434688
CCT4,1361.0,0.393363555,164.0,0.314559,-0.125948611
CD14,128.0,0.416321757,392.0,-1.181165,0.425310506
CD209,3046.0,0.440000747,67.0,-1.390627,0.690500517
CD33,331.0,0.428315036,40.0,-0.680811,0.670230751
CD36,2894.0,0.410517795,414.0,-0.736344,1.075997115
CD40,982.0,0.429065654,90.0,-1.207267,-0.87625565
CD44,3115.0,0.39995987,434.0,-2.234273,-1.057055121
CD63,923.0,0.512738356,403.0,-0.566496,-0.203793876
CD74,635.0,0.427357309,187.0,-0.844057,-0.055681862
CDC25C,437.0,0.364786128,387.0,1.34026,0.503116304
CDC26,271.0,0.395637029,359.0,-0.59657,-0.077118236
CDC34,560.0,0.46431386,199.0,-0.537414,0.378240258
CDC42EP3,3941.0,0.420378821,1009.0,-1.769238,-0.240578691
CDCA3,816.0,0.351209268,820.0,0.715895,0.206546094
CDCA8,1353.0,0.384295288,290.0,0.593134,0.076139277
CDIPT,1864.0,0.442654716,541.0,-0.450618,-0.280977478
CDK1,2313.0,0.398329505,154.0,0.124788,0.258189976
CDK19,4557.0,0.421511824,180.0,0.353464,0.152728951
CDK2AP1,766.0,0.439144625,522.0,-0.387067,-0.032013525
CDK5RAP2,367.0,0.371069462,192.0,0.495722,0.392110766
CDK5RAP3,284.0,0.469750898,1791.0,-1.138554,-0.233793305
CDKAL1,1365.0,0.417875209,167.0,0.342059,0.253303791
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.285707,0.41201449
CDKN2C,2247.0,0.381912025,1216.0,-0.593851,-0.582671932
CEBPD,1714.0,0.430497143,44.0,0.009221,0.557237585
CENPH,1478.0,0.418392258,87.0,1.15343,0.369383539
CENPV,301.0,0.385948267,62.0,-2.705082,-0.39505725
CEP55,939.0,0.397841874,304.0,1.321818,0.240831595
CETN2,868.0,0.433727498,47.0,-0.319749,-0.377169803
CFL1,677.0,0.502791,234.0,0.413315,-0.21742672
CHAC2,786.0,0.395629742,277.0,0.250729,-0.024543995
CHCHD4,3528.0,0.445497334,326.0,0.090432,-0.047129347
CHMP4A,296.0,0.447100154,262.0,-0.002833,0.164908298
CHMP5,1241.0,0.442987983,200.0,-0.276166,0.089426054
CHMP6,980.0,0.489861105,78.0,-0.575442,-0.052296753
CHTF8,2425.0,0.424551152,142.0,0.597597,1.153893676
CIAPIN1,1024.0,0.451663323,242.0,1.06001,0.053000961
CISD2,5376.0,0.433298698,107.0,0.516268,-0.221362478
CKAP4,2872.0,0.386259817,84.0,0.528971,0.178470214
CKS2,300.0,0.317949998,98.0,0.483469,0.005318208
CLCC1,5185.0,0.369704467,150.0,-0.477527,-0.204473802
CLCN7,1698.0,0.459147749,110.0,-0.212604,0.036824693
CLIC1,290.0,0.4571302,573.0,0.110575,-0.113571051
CLK2,350.0,0.410673686,925.0,2.061214,1.280615598
CLK3,1233.0,0.4268607,461.0,-0.197304,0.111147061
CLPTM1,458.0,0.383990827,351.0,0.028803,0.071381353
CLTA,288.0,0.450950874,514.0,0.074916,0.301839018
CLTB,319.0,0.48548545,210.0,-0.635368,-0.216806159
CLTC,3104.0,0.384957863,443.0,3.565467,0.597016558
CNBP,6850.0,0.433298698,206.0,-0.057635,-0.074101005
CNPY2,123.0,0.392778455,553.0,-0.750912,-0.68834645
CNPY3,1042.0,0.459231502,584.0,-0.210958,-0.212397908
COG3,1967.0,0.414689223,142.0,0.268989,-0.0522222
COMMD1,306.0,0.423842833,138.0,0.118715,0.02369873
COMMD3,431.0,0.360487018,35.0,0.442452,-0.052545818
COMMD5,498.0,0.445713337,399.0,-0.211043,0.153979333
COMMD6,1375.0,0.396967837,328.0,-0.693806,-0.46500999
COMMD9,2340.0,0.418062772,89.0,-0.779248,0.103177556
COPB1,446.0,0.381738818,307.0,0.05511,0.04204646
COPE,165.0,0.478760693,55.0,0.136383,0.051751292
COQ6,671.0,0.374062527,159.0,-0.207822,-0.064588872
COQ7,5700.0,0.42379098,133.0,-0.386617,-0.321919173
CORO1A,112.0,0.457388252,435.0,-1.616859,-0.227068858
COX17,1735.0,0.484254073,86.0,0.458125,-0.126658463
COX5A,860.0,0.429944966,140.0,-0.231267,-0.130021439
COX7A2,302.0,0.441893926,98.0,-0.263378,-0.57024033
CPM,5262.0,0.406054343,75.0,-0.594848,-0.09801969
CPSF4,923.0,0.452412439,277.0,0.279209,0.082976721
CPT1A,2761.0,0.374132033,170.0,0.337998,-0.14002817
CPT2,602.0,0.431256564,515.0,0.246147,-0.191854688
CRCP,8457.0,0.390198146,145.0,0.938668,0.217544009
CRKL,3904.0,0.422225684,509.0,-0.550662,-0.342645282
CRTAP,5601.0,0.446308827,120.0,-0.332474,-0.02926818
CRTC3,3205.0,0.355982524,186.0,-0.874164,-0.319107381
CRYL1,462.0,0.386242786,79.0,-1.200421,-0.268115225
CSRP1,1183.0,0.493833101,217.0,0.137958,-0.247448067
CST3,2762.0,0.475763324,186.0,-1.124414,0.043157585
CSTF2,1931.0,0.372934478,58.0,1.061191,-0.052660649
CTBP1,800.0,0.464034004,393.0,-0.163084,0.010471709
CTNNA1,1216.0,0.412513324,1103.0,0.80577,0.191456647
CTNNB1,1106.0,0.432073699,448.0,0.374029,0.009502802
CTNNBIP1,2448.0,0.394834327,307.0,0.030875,0.027395636
CTPS2,1870.0,0.416273085,744.0,-0.46473,-0.501649327
CTSG,119.0,0.369503415,37.0,-1.972884,-0.404128506
CTSH,1072.0,0.446467856,1192.0,0.374987,1.185403636
CUEDC1,2047.0,0.374410739,719.0,0.913362,0.062867242
CUX1,1040.0,0.395555213,127.0,0.513166,0.368929871
CXCL10,814.0,0.410287201,105.0,0.562521,-0.850678935
CXCL9,2323.0,0.403736618,74.0,1.20996,0.478529082
CYBB,2544.0,0.418993019,61.0,-0.567973,-0.385763991
CYP2S1,1051.0,0.420869286,58.0,-1.761915,-0.081746043
CYTH4,1837.0,0.406296106,377.0,-1.230365,0.09553112
DAB2,1757.0,0.368483127,531.0,-0.754363,0.161518258
DAGLB,721.0,0.377719723,170.0,0.311826,0.667172121
DAP3,768.0,0.366492687,184.0,1.416472,-0.074379993
DAPP1,2082.0,0.348655603,90.0,0.176325,0.07163037
DBI,233.0,0.467027529,479.0,-0.514019,-0.687379937
DCAF8,1877.0,0.380310979,212.0,0.419329,0.380714442
DCP1A,4153.0,0.411936399,381.0,-0.216568,0.255198532
DCPS,4731.0,0.375605648,329.0,0.063599,-0.136296944
DCTN5,10597.0,0.443116252,177.0,0.4634,0.146951772
DDAH2,653.0,0.361046801,1104.0,-0.777696,-0.238425281
DDB2,1223.0,0.43604051,195.0,-1.15803,-0.257936622
DDX23,713.0,0.445931172,91.0,0.17917,0.233979232
DDX31,1870.0,0.361830896,544.0,0.400172,0.392366482
DDX47,438.0,0.379294484,22.0,-0.153795,0.099462081
DDX54,1704.0,0.467316231,28.0,0.113593,0.434748721
DDX56,586.0,0.438032149,643.0,0.247524,0.06704962
DDX59,217.0,0.413095257,243.0,0.771337,0.331946994
DHODH,3463.0,0.371608285,21.0,0.954828,0.413258048
DHPS,121.0,0.474111752,121.0,0.431887,0.5530713
DHX15,459.0,0.379133957,168.0,0.526353,0.082321313
DHX34,591.0,0.384465978,349.0,-0.538062,-0.36630094
DHX58,357.0,0.440330409,223.0,-1.10803,-0.26940258
DIABLO,719.0,0.425893605,1182.0,0.177435,-0.23237922
DMAP1,63.0,0.471306,301.0,-0.704318,0.12714238
DMXL2,1274.0,0.389901613,225.0,0.896683,0.148047118
DNAJA4,1736.0,0.398301408,169.0,0.778373,-0.039162007
DNAJC19,1326.0,0.403482491,259.0,0.570481,-0.158203895
DNAJC25,1212.0,0.430964931,56.0,-0.380635,0.188940099
DNAJC8,969.0,0.416719859,33.0,-0.1014,0.161679047
DNM1,1255.0,0.393835111,116.0,-1.867928,0.070849539
DNTTIP2,3564.0,0.408096853,58.0,-0.413362,0.132403389
DOCK11,3681.0,0.373818855,63.0,-0.780556,0.10268037
DOCK2,524.0,0.446250827,52.0,-0.212014,0.098858626
DOK2,438.0,0.384043737,481.0,-2.038813,-0.108722698
DPCD,197.0,0.459155016,389.0,-0.33643,-0.150655543
DPF2,2501.0,0.393394442,133.0,0.045603,0.233605935
DPH1,1310.0,0.448716064,341.0,-0.171811,-0.120313824
DPH5,784.0,0.413363166,165.0,-0.48443,0.01144514
DPY30,562.0,0.438431353,279.0,-0.269097,-0.031003618
DPYSL2,2472.0,0.430530829,431.0,-0.479565,-0.11710855
DRAP1,142.0,0.432809908,245.0,-0.602485,-0.403243256
DRG1,4594.0,0.444150091,131.0,0.153677,0.032673586
DSN1,5330.0,0.392894937,373.0,1.008453,-0.244614204
DSTN,2786.0,0.375776803,438.0,0.869863,0.307859197
DTL,2265.0,0.372315747,921.0,1.447675,0.861096759
DTX3L,3456.0,0.408848169,89.0,0.28784,-0.080759677
DUSP12,374.0,0.419884133,34.0,1.883272,1.235125306
DUT,1937.0,0.36471409,109.0,0.06351,-0.074902334
DYNLT1,514.0,0.420362019,78.0,0.784792,0.632724858
EBAG9,1437.0,0.39438748,402.0,-0.089699,-0.129805155
ECH1,191.0,0.389477111,85.0,-0.510248,-0.523414748
ECHDC2,2269.0,0.400166641,752.0,-1.602904,-0.060013858
ECM1,322.0,0.43792189,199.0,4.121557,1.751503219
EDEM2,76.0,0.379021051,100.0,-0.15816,0.205693915
EEA1,5374.0,0.405861636,265.0,0.661355,0.21507315
EEF1A2,286.0,0.417272363,329.0,3.771739,1.698986098
EFTUD2,1331.0,0.444646836,398.0,-0.105014,0.085133249
EHD1,3363.0,0.446314898,447.0,-0.83223,-0.259913825
EIF2AK2,8063.0,0.394727306,557.0,0.577751,-0.224359616
EIF2B3,1058.0,0.383118637,239.0,-0.013676,-0.066287584
EIF3F,5840.0,0.435728237,33.0,-1.157659,-0.024241608
EIF3L,1718.0,0.380710116,245.0,-0.118425,0.188774008
EIF4A3,1120.0,0.381528282,222.0,-0.421662,-0.171892917
ELAVL1,4910.0,0.437605432,167.0,-0.290289,-0.312368447
EMG1,248.0,0.433768095,143.0,0.193501,0.290877824
EMILIN2,2605.0,0.379592019,159.0,-1.150151,-0.074472363
ENDOD1,7728.0,0.376426787,118.0,0.198439,0.348804518
ENOSF1,2904.0,0.382279782,622.0,0.630205,0.2081228
ENY2,2576.0,0.41756619,146.0,0.440208,0.402928191
EPSTI1,2106.0,0.391777705,469.0,-0.281649,-0.059473875
ERCC1,2342.0,0.45058755,188.0,-0.955649,-0.029232923
ERCC6L,4809.0,0.354829683,623.0,1.468847,0.396097414
ERH,415.0,0.383837906,71.0,-0.116599,0.099475386
ERLIN1,2041.0,0.444737514,478.0,-0.193721,0.114211911
ERP29,1277.0,0.401191178,118.0,0.216486,-0.123968329
ETV6,4356.0,0.398240844,274.0,-0.398181,-0.196075878
EXOC4,1232.0,0.388187525,35.0,0.670636,0.229345371
EXOC8,6907.0,0.436106501,127.0,-0.610315,-0.109462713
EXOSC1,536.0,0.430105347,451.0,-0.303914,-0.203793906
EXOSC2,3902.0,0.431273517,32.0,0.574284,-0.551405424
F8A1,571.0,0.46317284,15.0,0.2349,-0.2758828
FAAH,2043.0,0.384592892,82.0,-0.423392,-0.115257621
FAF1,4425.0,0.401181969,453.0,0.211611,-0.11651125
FAM122A,4542.0,0.40477622,33.0,0.413794,0.106984461
FAM168A,6285.0,0.395008865,285.0,0.403223,-0.321266285
FAM177A1,2165.0,0.411149627,459.0,-0.608057,-0.040639446
FAM192A,1824.0,0.379195199,1475.0,0.682582,0.293539626
FAM20B,4428.0,0.4357945,293.0,0.497939,0.411145095
FAM32A,1091.0,0.408676074,42.0,-0.496382,0.333462378
FAM50A,286.0,0.482889735,110.0,-0.1574,0.210792455
FBP1,248.0,0.397353747,331.0,0.180393,-0.102247321
FBXL20,9338.0,0.383104745,254.0,4.330171,1.326164492
FBXO4,526.0,0.393825218,58.0,0.407733,0.112980627
FBXO6,503.0,0.42307306,166.0,-1.751946,-2.247219871
FCER1G,305.0,0.4202976,25.0,-0.916352,-0.579784456
FCGRT,309.0,0.433069976,486.0,-2.561399,0.264894705
FDPS,72.0,0.456397562,392.0,2.28971,0.960494384
FDXR,596.0,0.384661194,188.0,-1.208559,-0.533600116
FEN1,1340.0,0.407867196,413.0,0.32274,0.048478693
FERMT3,399.0,0.435119014,149.0,-1.122644,-0.334776076
FGD2,907.0,0.441856308,171.0,-0.764837,-0.177534023
FGFR1OP2,1663.0,0.396595515,353.0,-0.576096,0.163860685
FGL2,3460.0,0.40966218,40.0,-0.421748,-0.062903343
FKBP1A,1132.0,0.428443098,174.0,0.934569,0.592520717
FKBPL,24.0,0.377510344,270.0,0.011185,0.098707722
FLOT1,422.0,0.472159534,339.0,-0.116521,-0.105244484
FN3K,442.0,0.389857108,61.0,-2.022531,-0.734622426
FN3KRP,3667.0,0.380720834,50.0,-0.628429,-0.608385335
FOXJ3,3176.0,0.401878681,312.0,0.188094,-0.303402457
FOXK2,3108.0,0.440496276,171.0,-0.289785,-0.093114603
FOXRED1,443.0,0.438630908,167.0,0.265434,-0.055806136
FSCN1,1184.0,0.396100853,132.0,-0.89724,-0.370735418
FTH1,530.0,0.425357612,235.0,-0.048277,-0.340039174
FTL,1031.0,0.428438948,199.0,-0.86745,-1.012868724
FTSJ1,638.0,0.457521275,569.0,-0.64424,-0.351161555
FTSJ3,698.0,0.388239396,646.0,-0.562497,0.114179195
FXN,6365.0,0.40465004,220.0,0.015464,-0.167639785
GABARAPL2,564.0,0.431291441,136.0,0.018886,0.068495981
GABPB1,1320.0,0.423118524,469.0,0.121971,-0.46834287
GALK1,292.0,0.455574511,63.0,-0.566556,-0.31490138
GANAB,989.0,0.425909644,1027.0,0.469827,-0.201616431
GAS6,315.0,0.393865445,183.0,-1.557463,0.001455073
GAS7,6619.0,0.423630168,311.0,-1.000196,-0.199592801
GBE1,708.0,0.404013874,283.0,0.240542,-0.156496105
GBP1,1735.0,0.42614962,220.0,-0.638,-0.448834847
GBP2,5058.0,0.440134196,314.0,-0.893074,-0.096372439
GBP4,4106.0,0.42983554,116.0,-0.51909,-0.362810246
GBP5,1753.0,0.421901204,537.0,0.347235,-0.434426978
GFOD2,622.0,0.396604754,295.0,1.232232,0.30930444
GGA2,5408.0,0.377812588,83.0,-0.18269,-0.017077064
GGCX,5211.0,0.417836117,106.0,0.992326,0.700576955
GIGYF1,2212.0,0.443456438,1210.0,0.047617,-0.287127969
GINS3,1415.0,0.387351931,208.0,1.188233,0.825449852
GLA,1699.0,0.378726947,110.0,-0.489119,-0.352299736
GLE1,1357.0,0.383457083,114.0,0.232878,0.149601585
GLRX,1188.0,0.430296645,211.0,-0.427006,-0.560098364
GLRX3,3557.0,0.41418463,539.0,0.089816,0.077291723
GLUD1,1558.0,0.392454008,1132.0,-1.091074,-0.533183937
GLYR1,2033.0,0.39940414,57.0,0.275218,-0.020129948
GMEB1,4582.0,0.43446142,142.0,0.215173,0.065589295
GMPPA,198.0,0.434966364,375.0,0.040838,-0.394045566
GMPR,3984.0,0.435743929,114.0,0.578747,-0.39852377
GMPR2,464.0,0.453637396,704.0,0.006199,-0.200358506
GNAI1,1947.0,0.435804474,356.0,-1.063308,0.003290281
GNG7,3803.0,0.398730372,237.0,-0.760957,0.158452988
GNPDA1,1360.0,0.395964134,67.0,0.096024,0.046202133
GOLGA2,1243.0,0.401070546,13.0,0.465894,0.136995321
GON4L,926.0,0.418089888,175.0,1.787968,-0.529676842
GOSR1,5968.0,0.408103421,237.0,0.553777,0.037360592
GOSR2,3258.0,0.374298057,541.0,-0.327108,-0.164764279
GOT2,1054.0,0.444803236,129.0,0.833055,0.08870299
GPS2,97.0,0.431122181,76.0,-0.898754,0.077709292
GPX7,626.0,0.395840774,39.0,-1.317596,0.097152158
GRAMD1A,299.0,0.411657297,748.0,-0.076505,0.224292111
GRB2,2292.0,0.4413596,358.0,0.207912,-0.276266847
GSTM4,2467.0,0.390909061,314.0,-2.014741,0.072502975
GTF2A2,1070.0,0.420716795,404.0,-0.483887,-0.869957876
GTF2E2,604.0,0.365750105,273.0,0.080838,0.511315104
GTF3C2,932.0,0.372227001,397.0,0.288786,0.048587063
GTPBP1,2894.0,0.424954603,154.0,0.234497,0.099651094
GTPBP3,1032.0,0.436547413,95.0,-0.294656,-0.300238088
GTSE1,680.0,0.368527868,212.0,1.863646,0.28657825
GTSF1,222.0,0.36097632,86.0,-1.439002,-1.120615738
HADH,818.0,0.383558671,219.0,-0.622974,-0.775930576
HADHA,615.0,0.383558671,130.0,0.004831,-0.212960988
HAUS5,3319.0,0.378752573,51.0,-0.00673,0.114234143
HAUS8,346.0,0.37535995,111.0,0.56423,0.038464075
HCCS,1274.0,0.398607648,275.0,-0.179771,-0.221985156
HCK,337.0,0.440224323,364.0,-0.992578,-0.062882929
HDAC1,591.0,0.390040122,63.0,-0.496453,-0.07403271
HDDC3,763.0,0.387287166,29.0,-0.769021,-0.132044961
HDGF,1342.0,0.465394593,322.0,-0.343987,-0.649189948
HDLBP,2343.0,0.397687311,375.0,0.341291,0.113905655
HEATR3,1385.0,0.384091545,883.0,1.001572,0.005966058
HEBP2,9119.0,0.359416339,297.0,-0.044451,-0.386445573
HECA,3704.0,0.443714129,285.0,-0.045411,0.07675524
HECTD3,3914.0,0.446742268,98.0,-0.01091,-0.073529587
HERC2,726.0,0.429958504,109.0,0.505296,0.436142065
HERC5,379.0,0.393838904,153.0,-1.064085,0.116719371
HERC6,651.0,0.398146132,183.0,-0.610209,-0.137083164
HIP1,4874.0,0.430847644,52.0,1.475293,0.322545059
HLA-A,4150.0,0.424443523,84.0,-0.237243,-0.36619164
HLA-C,420.0,0.421684519,65.0,0.326085,1.120817135
HLA-DRA,409.0,0.420807891,109.0,-0.345531,-0.253932956
HLA-E,1459.0,0.413523771,126.0,-0.370134,-0.055504714
HLA-F,121.0,0.407256461,124.0,-0.797337,-0.752835641
HMBOX1,3560.0,0.369177113,482.0,0.915852,-1.607075423
HMBS,266.0,0.451934812,299.0,0.505189,0.157368244
HMGB2,3775.0,0.450826504,193.0,0.280792,-0.068657439
HMGCS1,3661.0,0.374424323,345.0,1.323416,1.025407168
HMOX1,616.0,0.436401717,107.0,-0.606056,-0.436555579
HNRNPA0,7504.0,0.386421138,284.0,-0.113997,-0.089564474
HNRNPD,1688.0,0.420386111,318.0,-0.523428,-0.394743395
HNRNPL,1102.0,0.449817015,176.0,-0.173293,-0.133958498
HNRNPU,4156.0,0.432126199,218.0,-0.258699,0.009565324
HNRNPUL1,2135.0,0.394022965,339.0,-0.088459,-0.044572901
HNRNPUL2,2674.0,0.436897081,229.0,-0.125741,-0.079407132
HSBP1,3274.0,0.4454546,174.0,0.171462,0.327847929
HSD17B7,398.0,0.431983247,99.0,-1.416472,-0.839678522
HSP90AB1,313.0,0.39509298,251.0,0.742226,0.371473816
HSPA1L,428.0,0.464100714,183.0,-0.441292,0.336328805
HSPA4L,7877.0,0.413794867,342.0,-1.33251,-0.928451989
HSPB11,107.0,0.34538245,284.0,-0.397134,-0.199683325
HTRA2,571.0,0.421976635,602.0,-0.168858,-0.450883193
HTT,3901.0,0.373695076,145.0,0.663929,0.168166966
HUS1,2068.0,0.374612864,131.0,0.458849,0.164729906
HYI,310.0,0.378597605,196.0,-1.970235,-0.155286553
HYOU1,1409.0,0.403839016,234.0,0.944799,-0.143639474
ICAM1,1537.0,0.426062071,319.0,-1.002914,-0.506623869
IER3IP1,3342.0,0.438740024,97.0,-0.043757,0.217898485
IFI16,254.0,0.415211655,290.0,-0.882176,0.027394672
IFI30,213.0,0.431523306,62.0,-0.439803,-0.48367927
IFI35,160.0,0.418462024,223.0,-0.922307,-0.15843735
IFI44,267.0,0.403888008,124.0,-0.366465,-0.658302172
IFI44L,5058.0,0.403608012,200.0,-0.413583,-0.59551366
