,3prime,tAI,max_5_UTR_length,TCGA-A2-A0YM,TCGA-A2-A0YM.1
CBS,4385.0,0.477784031,626.0,4.706806,-0.043163213
CBX5,10815.0,0.390902295,318.0,1.297901,-0.793212256
CBX8,2504.0,0.36735217,118.0,-0.199016,-0.499279817
CCDC115,2169.0,0.385110507,452.0,-1.144404,-0.369842446
CCDC58,2462.0,0.421830022,75.0,0.433626,-0.28664157
CCDC88C,1302.0,0.396031427,154.0,0.378997,-0.124176879
CCL5,886.0,0.462166288,68.0,1.896198,0.453455799
CCNA2,1206.0,0.409154498,373.0,2.453445,-1.156526999
CCNDBP1,2336.0,0.44393643,231.0,-1.38012,0.407741793
CCS,4244.0,0.460896681,43.0,-1.466834,0.557341601
CCT3,238.0,0.457984718,231.0,0.362538,-0.275165692
CCT4,1361.0,0.393363555,164.0,0.363015,-0.252636425
CD14,128.0,0.416321757,392.0,1.284771,1.556413217
CD209,3046.0,0.440000747,67.0,1.249601,3.35323181
CD36,2894.0,0.410517795,414.0,-0.888155,2.151547585
CD40,982.0,0.429065654,90.0,-0.078402,0.376511955
CD44,3115.0,0.39995987,434.0,-0.003588,0.484388654
CD63,923.0,0.512738356,403.0,-1.29115,-0.056261487
CD74,635.0,0.427357309,187.0,-0.245639,0.229530137
CDC25C,437.0,0.364786128,387.0,0.586,-0.974936653
CDC26,271.0,0.395637029,359.0,0.270588,0.032320674
CDC42EP3,3941.0,0.420378821,1009.0,0.221449,0.717353654
CDCA8,1353.0,0.384295288,290.0,1.752029,-0.165180893
CDIPT,1864.0,0.442654716,541.0,-0.960371,-1.222816392
CDK1,2313.0,0.398329505,154.0,1.019058,-0.913461241
CDK19,4557.0,0.421511824,180.0,1.272286,0.511651671
CDK2AP1,766.0,0.439144625,522.0,1.390913,-0.427532849
CDK5RAP2,367.0,0.371069462,192.0,0.56317,0.07808732
CDK5RAP3,284.0,0.469750898,1791.0,-0.469442,0.272105626
CDKAL1,1365.0,0.417875209,167.0,2.500629,-0.254718637
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.31458,-0.456985007
CDKN2C,2247.0,0.381912025,1216.0,-0.911152,0.829616025
CENPV,301.0,0.385948267,62.0,1.377731,-0.407107209
CEP55,939.0,0.397841874,304.0,2.020072,-0.310210866
CETN2,868.0,0.433727498,47.0,-0.671838,-0.38036729
CFL1,677.0,0.502791,234.0,-0.132907,-0.407254753
CHAC2,786.0,0.395629742,277.0,0.454979,-0.417113803
CHCHD4,3528.0,0.445497334,326.0,-0.550391,0.283393839
CHMP4A,296.0,0.447100154,262.0,-1.359587,0.405377856
CHMP5,1241.0,0.442987983,200.0,-0.129674,0.311581578
CHMP6,980.0,0.489861105,78.0,0.219662,0.386320646
CIAPIN1,1024.0,0.451663323,242.0,-0.26315,-0.304616827
CISD2,5376.0,0.433298698,107.0,0.206592,-0.547815914
CKAP4,2872.0,0.386259817,84.0,0.153013,0.008865701
CKS2,300.0,0.317949998,98.0,0.890108,-0.148738779
CLCC1,5185.0,0.369704467,150.0,-0.349649,0.637337389
CLCN7,1698.0,0.459147749,110.0,-0.515221,-0.324269068
CLIC1,290.0,0.4571302,573.0,0.389708,-0.162876254
CLK2,350.0,0.410673686,925.0,0.615015,0.714923877
CLK3,1233.0,0.4268607,461.0,-0.693115,-0.142115129
CLTA,288.0,0.450950874,514.0,0.1848,1.143553342
CLTB,319.0,0.48548545,210.0,-0.301399,0.647237572
CLTC,3104.0,0.384957863,443.0,0.477858,0.006205033
CNBP,6850.0,0.433298698,206.0,0.279165,-0.295688109
CNPY2,123.0,0.392778455,553.0,0.195738,-0.0784018
CNPY3,1042.0,0.459231502,584.0,0.455669,0.466019706
COG3,1967.0,0.414689223,142.0,-0.924559,-0.634751793
COMMD1,306.0,0.423842833,138.0,-0.909994,0.634535798
COMMD3,431.0,0.360487018,35.0,-1.977612,0.647541684
COMMD5,498.0,0.445713337,399.0,0.238812,0.905321086
COMMD6,1375.0,0.396967837,328.0,-0.957654,0.565283204
COMMD9,2340.0,0.418062772,89.0,-0.351848,0.308380541
COPB1,446.0,0.381738818,307.0,-0.49262,-0.536089474
COPE,165.0,0.478760693,55.0,-0.655584,-0.114271244
COQ6,671.0,0.374062527,159.0,-1.1603,0.590645781
COQ7,5700.0,0.42379098,133.0,-1.035439,0.37129738
CORO1A,112.0,0.457388252,435.0,0.057569,0.263642986
COX17,1735.0,0.484254073,86.0,-0.629707,-0.193490822
COX5A,860.0,0.429944966,140.0,-0.667214,0.009170454
COX7A2,302.0,0.441893926,98.0,-0.185832,-0.075341465
CPM,5262.0,0.406054343,75.0,0.449223,1.176039894
CPSF4,923.0,0.452412439,277.0,-0.334338,-0.379439193
CPT1A,2761.0,0.374132033,170.0,-0.390887,-0.86721363
CPT2,602.0,0.431256564,515.0,-0.630022,-0.083997463
CRKL,3904.0,0.422225684,509.0,0.504993,0.064227863
CRTAP,5601.0,0.446308827,120.0,-0.792265,1.168180806
CRTC3,3205.0,0.355982524,186.0,-0.92648,-0.181871137
CRY2,2337.0,0.383442872,132.0,-1.850421,0.674901134
CRYL1,462.0,0.386242786,79.0,-1.743685,1.215350968
CSRP1,1183.0,0.493833101,217.0,-0.489809,0.935677869
CST3,2762.0,0.475763324,186.0,-2.227204,1.087468533
CSTF2,1931.0,0.372934478,58.0,0.468082,-0.526230669
CTBP1,800.0,0.464034004,393.0,0.001369,0.103556489
CTNNA1,1216.0,0.412513324,1103.0,-0.492054,-0.69801366
CTNNB1,1106.0,0.432073699,448.0,-0.412436,-0.298498126
CTNNBIP1,2448.0,0.394834327,307.0,0.486806,0.395558563
CTPS2,1870.0,0.416273085,744.0,-0.679416,-0.649782642
CTSG,119.0,0.369503415,37.0,-1.787891,1.364754522
CTSH,1072.0,0.446467856,1192.0,-0.952435,0.039906998
CUEDC1,2047.0,0.374410739,719.0,1.167595,0.142761849
CUX1,1040.0,0.395555213,127.0,-0.717342,-0.281402336
CXCL9,2323.0,0.403736618,74.0,0.530891,-0.761806663
CYBB,2544.0,0.418993019,61.0,2.192004,0.052820217
CYTH4,1837.0,0.406296106,377.0,0.34682,0.704643714
DAB2,1757.0,0.368483127,531.0,-0.83249,1.848781851
DAGLB,721.0,0.377719723,170.0,-0.030829,-0.84115833
DAP3,768.0,0.366492687,184.0,0.097918,-0.566239514
DAPP1,2082.0,0.348655603,90.0,2.638424,0.036276255
DBI,233.0,0.467027529,479.0,-0.342001,-0.4305702
DCAF8,1877.0,0.380310979,212.0,-0.394109,0.054315469
DCP1A,4153.0,0.411936399,381.0,0.809953,0.0224184
DCPS,4731.0,0.375605648,329.0,-0.071687,-0.31252399
DCTN5,10597.0,0.443116252,177.0,-0.226677,0.418257658
DDAH2,653.0,0.361046801,1104.0,0.087891,0.806816352
DDB2,1223.0,0.43604051,195.0,-0.585213,0.193632513
DDX23,713.0,0.445931172,91.0,0.715042,-0.461788551
DDX31,1870.0,0.361830896,544.0,1.048066,-0.006751723
DDX47,438.0,0.379294484,22.0,1.186171,-0.344310706
DDX54,1704.0,0.467316231,28.0,0.018307,0.089686531
DDX56,586.0,0.438032149,643.0,-0.12442,-0.477270094
DDX59,217.0,0.413095257,243.0,-0.108734,-0.179531631
DHODH,3463.0,0.371608285,21.0,-0.828526,0.62067156
DHPS,121.0,0.474111752,121.0,-0.568257,-0.956564041
DHX15,459.0,0.379133957,168.0,0.458962,-0.25241604
DHX34,591.0,0.384465978,349.0,-0.495468,-0.87396615
DHX58,357.0,0.440330409,223.0,0.639601,0.027407798
DIABLO,719.0,0.425893605,1182.0,0.064457,-0.168699829
DMAP1,63.0,0.471306,301.0,1.386544,-0.376694563
DMXL2,1274.0,0.389901613,225.0,0.988615,0.291076305
DNAJA4,1736.0,0.398301408,169.0,-0.497616,-0.55299189
DNAJC19,1326.0,0.403482491,259.0,-0.558271,-0.093902327
DNAJC25,1212.0,0.430964931,56.0,-0.886088,0.120207391
DNAJC8,969.0,0.416719859,33.0,-0.022964,-0.09098338
DNM1,1255.0,0.393835111,116.0,-0.558537,1.219996831
DNTTIP2,3564.0,0.408096853,58.0,0.056307,-0.255704323
DOCK11,3681.0,0.373818855,63.0,0.474517,0.833708127
DOCK2,524.0,0.446250827,52.0,0.791253,0.602676637
DOK2,438.0,0.384043737,481.0,0.606512,0.918745632
DPCD,197.0,0.459155016,389.0,-0.75283,-0.473978979
DPF2,2501.0,0.393394442,133.0,-0.313303,-0.618374208
DPH1,1310.0,0.448716064,341.0,-0.735542,-0.676453269
DPH5,784.0,0.413363166,165.0,-0.089437,-0.162542595
DPY30,562.0,0.438431353,279.0,0.039426,-0.915956284
DPYSL2,2472.0,0.430530829,431.0,0.880422,1.167680172
DRAP1,142.0,0.432809908,245.0,-0.576014,-0.288049555
DRG1,4594.0,0.444150091,131.0,-0.06643,-0.239429879
DSN1,5330.0,0.392894937,373.0,0.460899,0.015946543
DSTN,2786.0,0.375776803,438.0,-1.149414,0.108500213
DTX3L,3456.0,0.408848169,89.0,1.508006,-0.125719356
DUSP12,374.0,0.419884133,34.0,0.226005,0.018240675
DUT,1937.0,0.36471409,109.0,-0.149895,-0.600589387
DYNLT1,514.0,0.420362019,78.0,-0.31365,0.191496172
EBAG9,1437.0,0.39438748,402.0,-0.377029,0.243271635
ECH1,191.0,0.389477111,85.0,-1.587408,0.283888513
ECHDC2,2269.0,0.400166641,752.0,-1.7734,0.204977198
ECM1,322.0,0.43792189,199.0,-0.59749,0.631462245
EDEM2,76.0,0.379021051,100.0,-0.030148,1.412003564
EEA1,5374.0,0.405861636,265.0,0.185972,0.777295451
EEF1A2,286.0,0.417272363,329.0,-7.013759,-1.10705622
EFTUD2,1331.0,0.444646836,398.0,0.559928,-0.493342945
EHD1,3363.0,0.446314898,447.0,-0.268139,0.34159553
EIF2AK2,8063.0,0.394727306,557.0,2.028476,-0.262470099
EIF2B3,1058.0,0.383118637,239.0,-0.497966,-0.015254026
EIF3F,5840.0,0.435728237,33.0,0.192111,-0.160394796
EIF3L,1718.0,0.380710116,245.0,-0.113625,-0.129998637
EIF4A3,1120.0,0.381528282,222.0,0.941612,-0.52093776
ELAVL1,4910.0,0.437605432,167.0,0.534399,-0.541033004
EMG1,248.0,0.433768095,143.0,0.620798,-0.448347224
EMILIN2,2605.0,0.379592019,159.0,1.84311,0.68517475
ENDOD1,7728.0,0.376426787,118.0,-0.465416,-0.493518965
ENOSF1,2904.0,0.382279782,622.0,-0.642285,0.388179854
ENY2,2576.0,0.41756619,146.0,0.27141,-0.338803583
EPSTI1,2106.0,0.391777705,469.0,1.053681,-0.356612871
ERCC1,2342.0,0.45058755,188.0,-0.726705,-0.603324501
ERCC6L,4809.0,0.354829683,623.0,1.97017,0.417233629
ERH,415.0,0.383837906,71.0,-0.024564,-0.479250625
ERLIN1,2041.0,0.444737514,478.0,0.780475,0.587197617
ERP29,1277.0,0.401191178,118.0,-0.378178,-0.055964959
ETV6,4356.0,0.398240844,274.0,1.081822,-0.743528867
EXOC4,1232.0,0.388187525,35.0,-0.4112,-0.051675423
EXOC8,6907.0,0.436106501,127.0,-0.42601,0.00080699
EXOSC1,536.0,0.430105347,451.0,-0.547031,-0.232834992
EXOSC2,3902.0,0.431273517,32.0,0.929695,-0.309700286
F8A1,571.0,0.46317284,15.0,0.909126,0.551934573
FAAH,2043.0,0.384592892,82.0,-2.294034,-1.493635815
FAF1,4425.0,0.401181969,453.0,0.747265,-0.392309686
FAM122A,4542.0,0.40477622,33.0,-0.520525,-0.249193539
FAM168A,6285.0,0.395008865,285.0,0.615072,0.119899256
FAM177A1,2165.0,0.411149627,459.0,-0.690455,-0.12214899
FAM192A,1824.0,0.379195199,1475.0,-0.259781,-0.015373924
FAM20B,4428.0,0.4357945,293.0,0.171321,-0.712304949
FAM32A,1091.0,0.408676074,42.0,-0.15611,-0.751423135
FAM50A,286.0,0.482889735,110.0,0.30694,-0.360578511
FBP1,248.0,0.397353747,331.0,-1.9916,-1.115094988
FBXL20,9338.0,0.383104745,254.0,0.159754,0.028764611
FBXO4,526.0,0.393825218,58.0,-2.175682,-0.395032898
FBXO6,503.0,0.42307306,166.0,0.41681,-1.762416705
FCER1G,305.0,0.4202976,25.0,0.921708,1.455553978
FCGRT,309.0,0.433069976,486.0,-1.372409,1.460648134
FCHO1,270.0,0.372951657,283.0,3.194424,0.401578375
FDPS,72.0,0.456397562,392.0,0.696852,-0.667633475
FDXR,596.0,0.384661194,188.0,-0.897294,-0.318628643
FEN1,1340.0,0.407867196,413.0,0.885547,-0.637781246
FERMT3,399.0,0.435119014,149.0,0.860644,0.424585058
FGD2,907.0,0.441856308,171.0,1.182439,0.585774306
FGFR1OP2,1663.0,0.396595515,353.0,1.265987,0.197254401
FGL2,3460.0,0.40966218,40.0,0.312897,-0.081857196
FKBP1A,1132.0,0.428443098,174.0,-0.217423,0.657149623
FKBPL,24.0,0.377510344,270.0,0.454972,-0.173555162
FLOT1,422.0,0.472159534,339.0,-0.356442,0.012263466
FN3K,442.0,0.389857108,61.0,0.573889,-0.525088539
FN3KRP,3667.0,0.380720834,50.0,0.659779,0.185549243
FOXJ3,3176.0,0.401878681,312.0,2.825003,0.010832051
FOXK2,3108.0,0.440496276,171.0,1.599962,-0.011170514
FOXRED1,443.0,0.438630908,167.0,-0.585083,0.023403461
FSCN1,1184.0,0.396100853,132.0,1.890265,0.517565507
FTH1,530.0,0.425357612,235.0,-0.114467,0.091700019
FTL,1031.0,0.428438948,199.0,-0.34235,-0.425781494
FTSJ1,638.0,0.457521275,569.0,-0.817961,-0.356624406
FTSJ3,698.0,0.388239396,646.0,0.735303,-0.377166878
FXN,6365.0,0.40465004,220.0,-1.311675,-0.710243646
GABARAPL2,564.0,0.431291441,136.0,-0.874777,0.31927792
GABPB1,1320.0,0.423118524,469.0,0.015647,0.252424096
GALK1,292.0,0.455574511,63.0,0.855823,0.107549529
GANAB,989.0,0.425909644,1027.0,-0.232514,-0.018587217
GAS6,315.0,0.393865445,183.0,-0.542788,1.321650648
GAS7,6619.0,0.423630168,311.0,0.191408,0.709299562
GBE1,708.0,0.404013874,283.0,-0.01662,0.63422909
GBP1,1735.0,0.42614962,220.0,2.081236,-0.488263463
GBP2,5058.0,0.440134196,314.0,-0.898245,0.113367791
GBP4,4106.0,0.42983554,116.0,0.054419,0.134909053
GBP5,1753.0,0.421901204,537.0,2.059459,-0.524531165
GFOD2,622.0,0.396604754,295.0,-0.081748,-0.124564032
GGA2,5408.0,0.377812588,83.0,-0.010632,0.51196194
GGCX,5211.0,0.417836117,106.0,0.260985,-0.985240134
GIGYF1,2212.0,0.443456438,1210.0,-0.900695,-0.027052637
GLA,1699.0,0.378726947,110.0,-0.749338,-0.175435835
GLE1,1357.0,0.383457083,114.0,-0.027557,-0.110105719
GLRX,1188.0,0.430296645,211.0,-0.657761,0.018003381
GLRX3,3557.0,0.41418463,539.0,0.226123,-0.092684644
GLUD1,1558.0,0.392454008,1132.0,-0.501341,0.168710718
GLYR1,2033.0,0.39940414,57.0,-0.463505,-0.029082842
GMEB1,4582.0,0.43446142,142.0,0.603797,0.06575752
GMPPA,198.0,0.434966364,375.0,-0.416705,-0.111151395
GMPR,3984.0,0.435743929,114.0,1.531577,-0.393106705
GMPR2,464.0,0.453637396,704.0,-1.255887,0.25246072
GNAI1,1947.0,0.435804474,356.0,-0.137669,1.498995886
GNG7,3803.0,0.398730372,237.0,0.1388,0.940565865
GNPDA1,1360.0,0.395964134,67.0,-0.288152,0.724395758
GOLGA2,1243.0,0.401070546,13.0,-0.182542,-0.219115106
GOSR1,5968.0,0.408103421,237.0,-0.112423,-0.778439154
GOSR2,3258.0,0.374298057,541.0,-0.137172,0.759986124
GOT2,1054.0,0.444803236,129.0,-0.238035,0.227026102
GPS2,97.0,0.431122181,76.0,-0.218397,0.246617448
GPX7,626.0,0.395840774,39.0,0.384341,0.487660638
GRAMD1A,299.0,0.411657297,748.0,1.059576,0.074767975
GRB2,2292.0,0.4413596,358.0,0.096549,-0.083483372
GSTM4,2467.0,0.390909061,314.0,-2.841626,-1.104331761
GTF2E2,604.0,0.365750105,273.0,0.194944,-0.109330371
GTF3C2,932.0,0.372227001,397.0,0.272425,-0.772737019
GTPBP1,2894.0,0.424954603,154.0,0.183997,-0.152090458
GTPBP3,1032.0,0.436547413,95.0,0.186611,-0.2213721
GTSE1,680.0,0.368527868,212.0,2.561815,1.381296364
GTSF1,222.0,0.36097632,86.0,0.627376,0.54580559
HADH,818.0,0.383558671,219.0,0.181057,0.829952587
HADHA,615.0,0.383558671,130.0,-0.482233,0.505130351
HAUS5,3319.0,0.378752573,51.0,1.356838,0.202740517
HAUS8,346.0,0.37535995,111.0,0.718886,-0.362594763
HCCS,1274.0,0.398607648,275.0,-0.806838,-0.692774345
HCK,337.0,0.440224323,364.0,1.317443,1.067371666
HDAC1,591.0,0.390040122,63.0,-0.238395,-0.479730784
HDDC3,763.0,0.387287166,29.0,-1.231887,1.233653641
HDGF,1342.0,0.465394593,322.0,1.22565,-0.790231009
HDLBP,2343.0,0.397687311,375.0,0.79426,0.038825545
HEATR3,1385.0,0.384091545,883.0,-0.182854,-0.735179673
HEBP2,9119.0,0.359416339,297.0,0.251734,0.156497047
HECA,3704.0,0.443714129,285.0,0.310735,0.634692874
HECTD3,3914.0,0.446742268,98.0,-0.525635,0.225950583
HERC2,726.0,0.429958504,109.0,0.090157,-0.554520613
HERC5,379.0,0.393838904,153.0,1.968616,0.036800967
HERC6,651.0,0.398146132,183.0,2.289745,-0.652730463
HIP1,4874.0,0.430847644,52.0,0.219463,0.362112612
HLA-A,4150.0,0.424443523,84.0,1.045509,0.809657634
HLA-C,420.0,0.421684519,65.0,-0.357651,-0.091043652
HLA-DRA,409.0,0.420807891,109.0,0.071754,0.321639284
HLA-E,1459.0,0.413523771,126.0,-0.142947,0.166049853
HLA-F,121.0,0.407256461,124.0,1.730372,-0.829394182
HMBOX1,3560.0,0.369177113,482.0,0.611145,-0.678089586
HMBS,266.0,0.451934812,299.0,0.257234,-0.060497587
HMGB2,3775.0,0.450826504,193.0,1.519773,-0.737971674
HMGCS1,3661.0,0.374424323,345.0,-0.465142,-0.65258201
HMOX1,616.0,0.436401717,107.0,-0.253462,0.684198541
HNRNPA0,7504.0,0.386421138,284.0,-0.321104,-0.508135546
HNRNPD,1688.0,0.420386111,318.0,0.685326,-0.565378005
HNRNPL,1102.0,0.449817015,176.0,-0.1266,-0.568508201
HNRNPU,4156.0,0.432126199,218.0,0.283074,-0.579567542
HNRNPUL1,2135.0,0.394022965,339.0,0.62333,-0.103461947
HNRNPUL2,2674.0,0.436897081,229.0,-0.044888,-0.113294618
HSBP1,3274.0,0.4454546,174.0,-0.499209,-0.175445804
HSD11B1,4482.0,0.426649415,154.0,-0.983429,1.106083729
HSD17B7,398.0,0.431983247,99.0,-0.94792,-0.833507361
HSP90AB1,313.0,0.39509298,251.0,0.54041,-0.565960395
HSPA4L,7877.0,0.413794867,342.0,1.715081,-0.627885968
HSPB11,107.0,0.34538245,284.0,-0.011009,0.046589736
HTRA2,571.0,0.421976635,602.0,-0.097391,0.203314415
HTT,3901.0,0.373695076,145.0,0.633686,-0.047750576
HUS1,2068.0,0.374612864,131.0,-0.109401,0.098575557
HYI,310.0,0.378597605,196.0,0.204527,0.873084367
HYOU1,1409.0,0.403839016,234.0,0.289864,-0.473596672
ICAM1,1537.0,0.426062071,319.0,2.596825,0.340746358
IER3IP1,3342.0,0.438740024,97.0,-1.120155,-0.80307762
IFI16,254.0,0.415211655,290.0,-0.594727,0.566320154
IFI30,213.0,0.431523306,62.0,0.753681,-0.475397575
IFI35,160.0,0.418462024,223.0,0.276207,0.239949726
IFI44,267.0,0.403888008,124.0,3.336466,0.334882166
IFI44L,5058.0,0.403608012,200.0,4.292418,0.526030219
IFIH1,121.0,0.412344512,377.0,2.586558,-0.406569898
IFIT1,2775.0,0.411248073,495.0,2.157767,-0.124281501
IFIT2,1901.0,0.420797646,175.0,2.131775,0.14953732
IFIT3,843.0,0.417440574,529.0,1.690936,-0.237281932
IFIT5,2354.0,0.414819429,231.0,0.570445,0.232612486
IFITM1,159.0,0.431550176,180.0,0.916467,-0.301759241
IFT27,109.0,0.4030938,426.0,-3.994223,-0.223128235
IGFBP3,1605.0,0.43060006,132.0,2.090764,0.989642137
IGFBP7,558.0,0.392734536,34.0,-1.355499,0.472622884
IKBKE,745.0,0.435100597,714.0,1.055881,0.090004812
IL16,3965.0,0.367979445,2395.0,-1.187708,0.44675056
IL1RN,1145.0,0.411881061,408.0,1.198158,-0.221344296
IL4I1,16.0,0.4139018,621.0,2.958907,-0.329376264
ILF2,656.0,0.426220446,239.0,0.969788,-0.549112468
IMPA2,2898.0,0.383680893,242.0,2.893874,0.282032331
INPP1,263.0,0.395712795,700.0,-0.664772,0.60760377
INPP5D,1195.0,0.436077769,512.0,0.579527,0.552052992
INSR,4801.0,0.380857973,411.0,0.274291,-0.324777262
IPO5,2508.0,0.381335948,180.0,1.69156,-0.357615741
