,3prime,tAI,max_5_UTR_length,TCGA-AR-A1AW,TCGA-AR-A1AW.1
DCPS,4731.0,0.375605648,329.0,0.329017,-0.027601426
DCTN5,10597.0,0.443116252,177.0,-0.022976,0.11521279
DDAH2,653.0,0.361046801,1104.0,-0.762349,-0.214677555
DDB2,1223.0,0.43604051,195.0,-0.193913,-0.164908066
DDX23,713.0,0.445931172,91.0,-0.140639,0.076876109
DDX31,1870.0,0.361830896,544.0,-0.470074,-0.029702654
DDX47,438.0,0.379294484,22.0,-0.188527,-0.005534726
DDX54,1704.0,0.467316231,28.0,-0.56361,-0.082597924
DDX56,586.0,0.438032149,643.0,-0.312533,0.028022457
DDX59,217.0,0.413095257,243.0,-0.068478,-0.264293641
DHODH,3463.0,0.371608285,21.0,-0.657048,-0.388270571
DHPS,121.0,0.474111752,121.0,-0.048643,-0.184943622
DHX15,459.0,0.379133957,168.0,0.184306,-0.100414993
DHX34,591.0,0.384465978,349.0,0.014291,0.612421175
DHX58,357.0,0.440330409,223.0,1.15154,0.5100152
DIABLO,719.0,0.425893605,1182.0,-0.511988,0.157148883
DMAP1,63.0,0.471306,301.0,-0.211669,0.039431586
DMXL2,1274.0,0.389901613,225.0,1.345767,0.285168607
DNAJA4,1736.0,0.398301408,169.0,-0.697866,-0.631050215
DNAJC19,1326.0,0.403482491,259.0,-0.280864,0.214168563
DNAJC25,1212.0,0.430964931,56.0,-0.678138,0.228799411
DNAJC8,969.0,0.416719859,33.0,-0.020416,0.222028588
DNM1,1255.0,0.393835111,116.0,-0.156866,-0.17811148
DNTTIP2,3564.0,0.408096853,58.0,-0.231638,-0.022175899
DOCK11,3681.0,0.373818855,63.0,2.044363,0.405673483
DOCK2,524.0,0.446250827,52.0,3.082231,0.944577169
DOK2,438.0,0.384043737,481.0,2.285729,0.770294591
DPCD,197.0,0.459155016,389.0,0.511888,0.205513108
DPF2,2501.0,0.393394442,133.0,0.197099,0.01097723
DPH1,1310.0,0.448716064,341.0,0.396114,0.288850879
DPH5,784.0,0.413363166,165.0,-0.137647,-0.014577133
DPY30,562.0,0.438431353,279.0,-0.484476,0.34492966
DPYSL2,2472.0,0.430530829,431.0,0.058975,-0.348038052
DRAP1,142.0,0.432809908,245.0,0.095369,0.3405274
DRG1,4594.0,0.444150091,131.0,-0.459529,0.017249662
DSN1,5330.0,0.392894937,373.0,0.15447,0.189871677
DSTN,2786.0,0.375776803,438.0,-0.859966,-0.311031972
DTL,2265.0,0.372315747,921.0,0.218605,-0.236081713
DTX3L,3456.0,0.408848169,89.0,1.33907,0.340519995
DUSP12,374.0,0.419884133,34.0,-0.051493,-0.18665709
DUT,1937.0,0.36471409,109.0,-0.807359,-0.30910598
DYNLT1,514.0,0.420362019,78.0,-0.192124,0.043377515
EBAG9,1437.0,0.39438748,402.0,0.507987,-1.093160744
ECH1,191.0,0.389477111,85.0,-0.183982,0.149895977
ECHDC2,2269.0,0.400166641,752.0,-0.830174,-0.716348291
ECM1,322.0,0.43792189,199.0,-0.448929,-0.894747964
EDEM2,76.0,0.379021051,100.0,0.422013,-0.048329557
EEA1,5374.0,0.405861636,265.0,0.386438,0.017322889
EEF1A2,286.0,0.417272363,329.0,-9.739768,-1.730876063
EFTUD2,1331.0,0.444646836,398.0,0.320537,0.097458488
EHD1,3363.0,0.446314898,447.0,0.357957,0.192213217
EIF2AK2,8063.0,0.394727306,557.0,1.269516,0.534061299
EIF2B3,1058.0,0.383118637,239.0,-0.40949,0.027368932
EIF3F,5840.0,0.435728237,33.0,-0.443695,0.207424661
EIF3L,1718.0,0.380710116,245.0,-0.279323,0.290076382
EIF4A3,1120.0,0.381528282,222.0,-0.206858,0.094081872
ELAVL1,4910.0,0.437605432,167.0,0.193837,0.182704862
EMG1,248.0,0.433768095,143.0,-0.387733,-0.119845714
EMILIN2,2605.0,0.379592019,159.0,1.024592,-0.638216382
ENDOD1,7728.0,0.376426787,118.0,-1.377063,-0.40477515
ENOSF1,2904.0,0.382279782,622.0,-1.16472,-0.468637748
ENY2,2576.0,0.41756619,146.0,0.301337,0.130289225
EPSTI1,2106.0,0.391777705,469.0,3.11392,0.91455188
ERCC1,2342.0,0.45058755,188.0,-0.387446,-0.123982966
ERCC6L,4809.0,0.354829683,623.0,0.045314,-0.531519618
ERH,415.0,0.383837906,71.0,-0.284982,0.136196034
ERLIN1,2041.0,0.444737514,478.0,-0.007269,0.004545175
ERP29,1277.0,0.401191178,118.0,-0.137872,0.150807533
ETV6,4356.0,0.398240844,274.0,0.300663,0.005733833
EXOC4,1232.0,0.388187525,35.0,0.320581,0.197744705
EXOC8,6907.0,0.436106501,127.0,0.377847,0.26063523
EXOSC1,536.0,0.430105347,451.0,0.002739,-0.078645759
EXOSC2,3902.0,0.431273517,32.0,-0.065745,-0.070177595
F8A1,571.0,0.46317284,15.0,-1.132229,0.097360447
FAAH,2043.0,0.384592892,82.0,-1.032517,-0.958809919
FAF1,4425.0,0.401181969,453.0,-0.313963,-0.173905257
FAM122A,4542.0,0.40477622,33.0,0.149759,-0.016442672
FAM168A,6285.0,0.395008865,285.0,0.017208,-0.018147068
FAM177A1,2165.0,0.411149627,459.0,-0.112672,-0.286481592
FAM192A,1824.0,0.379195199,1475.0,0.038128,0.032043039
FAM20B,4428.0,0.4357945,293.0,0.160059,-0.070028246
FAM32A,1091.0,0.408676074,42.0,0.73125,0.622964231
FAM50A,286.0,0.482889735,110.0,-0.763303,-0.384292014
FBP1,248.0,0.397353747,331.0,-1.268073,-0.518130783
FBXL20,9338.0,0.383104745,254.0,1.011337,0.224238394
FBXO4,526.0,0.393825218,58.0,-0.597468,-0.024846242
FBXO6,503.0,0.42307306,166.0,0.820726,1.240688293
FCER1G,305.0,0.4202976,25.0,1.205251,0.804636439
FCGRT,309.0,0.433069976,486.0,-0.132369,-0.169966796
FCHO1,270.0,0.372951657,283.0,2.087175,1.033527958
FDPS,72.0,0.456397562,392.0,-0.443595,-0.163948185
FDXR,596.0,0.384661194,188.0,-0.78196,-0.3102545
FEN1,1340.0,0.407867196,413.0,0.192277,0.119045444
FERMT3,399.0,0.435119014,149.0,2.347581,0.768700896
FGD2,907.0,0.441856308,171.0,3.139708,0.510755878
FGFR1OP2,1663.0,0.396595515,353.0,0.612797,0.345232538
FGL2,3460.0,0.40966218,40.0,2.531465,0.323090339
FKBP1A,1132.0,0.428443098,174.0,0.415325,0.606386943
FKBPL,24.0,0.377510344,270.0,-0.378916,-0.03465944
FLOT1,422.0,0.472159534,339.0,-0.696147,-0.08662731
FN3K,442.0,0.389857108,61.0,-0.524608,0.032882128
FN3KRP,3667.0,0.380720834,50.0,-0.513703,-0.049409349
FOXJ3,3176.0,0.401878681,312.0,-0.048532,0.040771083
FOXK2,3108.0,0.440496276,171.0,-0.133976,0.259528124
FOXRED1,443.0,0.438630908,167.0,-0.338919,0.106896327
FSCN1,1184.0,0.396100853,132.0,-0.512737,-0.304688812
FTH1,530.0,0.425357612,235.0,-0.269339,-0.111327473
FTL,1031.0,0.428438948,199.0,0.367162,-0.38822027
FTSJ1,638.0,0.457521275,569.0,-0.14188,0.030899626
FTSJ3,698.0,0.388239396,646.0,0.328301,0.112411198
FXN,6365.0,0.40465004,220.0,-0.123399,0.057784367
GABARAPL2,564.0,0.431291441,136.0,-0.323905,0.262665076
GABPB1,1320.0,0.423118524,469.0,0.907887,0.181894275
GALK1,292.0,0.455574511,63.0,-0.689339,-0.142270252
GANAB,989.0,0.425909644,1027.0,0.014303,-0.10495144
GAS6,315.0,0.393865445,183.0,-0.469114,-0.433515333
GAS7,6619.0,0.423630168,311.0,1.044612,0.147066135
GBE1,708.0,0.404013874,283.0,-0.487658,-0.187298519
GBP1,1735.0,0.42614962,220.0,2.887888,1.184579053
GBP2,5058.0,0.440134196,314.0,2.138492,1.111240124
GBP4,4106.0,0.42983554,116.0,4.014646,1.465703683
GBP5,1753.0,0.421901204,537.0,4.674057,1.52558135
GFOD2,622.0,0.396604754,295.0,-0.389967,-0.071495803
GGA2,5408.0,0.377812588,83.0,0.845214,0.214537232
GGCX,5211.0,0.417836117,106.0,-0.493393,-0.722379649
GIGYF1,2212.0,0.443456438,1210.0,0.132244,0.075979294
GINS3,1415.0,0.387351931,208.0,-0.593515,-0.569195534
GLA,1699.0,0.378726947,110.0,-0.383204,0.04839428
GLE1,1357.0,0.383457083,114.0,0.096654,-0.092319514
GLRX,1188.0,0.430296645,211.0,0.767617,0.557509319
GLRX3,3557.0,0.41418463,539.0,0.067452,-0.06871424
GLUD1,1558.0,0.392454008,1132.0,0.949008,-0.653878424
GLYR1,2033.0,0.39940414,57.0,-0.020073,0.129214831
GMEB1,4582.0,0.43446142,142.0,0.607479,0.077931592
GMPPA,198.0,0.434966364,375.0,-0.209234,0.000494872
GMPR,3984.0,0.435743929,114.0,0.322293,0.237759282
GMPR2,464.0,0.453637396,704.0,-0.044294,-0.071136491
GNAI1,1947.0,0.435804474,356.0,-1.192684,-0.745412317
GNG7,3803.0,0.398730372,237.0,0.935714,0.404974843
GNPDA1,1360.0,0.395964134,67.0,0.347855,0.334249275
GOLGA2,1243.0,0.401070546,13.0,-0.278204,-0.240435123
GON4L,926.0,0.418089888,175.0,1.02185,-0.327900298
GOSR1,5968.0,0.408103421,237.0,0.376347,0.471296444
GOSR2,3258.0,0.374298057,541.0,0.338913,0.448731224
GOT2,1054.0,0.444803236,129.0,-0.11668,0.227023938
GPS2,97.0,0.431122181,76.0,0.288172,0.057934904
GPX7,626.0,0.395840774,39.0,-0.184996,-0.505708772
GRAMD1A,299.0,0.411657297,748.0,-0.258006,0.059844683
GRB2,2292.0,0.4413596,358.0,1.086553,0.454639795
GSTM4,2467.0,0.390909061,314.0,0.292176,-0.154489856
GTF2A2,1070.0,0.420716795,404.0,-0.58555,0.377468315
GTF2E2,604.0,0.365750105,273.0,0.083898,0.120671068
GTF3C2,932.0,0.372227001,397.0,-0.123136,0.036513131
GTPBP1,2894.0,0.424954603,154.0,0.662896,0.197009814
GTPBP3,1032.0,0.436547413,95.0,0.833753,0.641513041
HADH,818.0,0.383558671,219.0,-0.506865,0.094519607
HADHA,615.0,0.383558671,130.0,-0.210678,0.098096833
HAUS5,3319.0,0.378752573,51.0,0.714756,0.103356058
HAUS8,346.0,0.37535995,111.0,0.648413,0.128018339
HCCS,1274.0,0.398607648,275.0,-0.32588,-0.122556999
HCK,337.0,0.440224323,364.0,1.831782,0.324506879
HDAC1,591.0,0.390040122,63.0,-0.074333,0.161684628
HDDC3,763.0,0.387287166,29.0,-0.673995,-0.016308392
HDGF,1342.0,0.465394593,322.0,-0.10831,-0.026719291
HDLBP,2343.0,0.397687311,375.0,-0.086813,0.009354178
HEATR3,1385.0,0.384091545,883.0,0.496103,0.026496352
HEBP2,9119.0,0.359416339,297.0,-0.636648,-0.082806876
HECA,3704.0,0.443714129,285.0,0.942256,0.260033981
HECTD3,3914.0,0.446742268,98.0,-0.310101,-0.012866808
HERC2,726.0,0.429958504,109.0,-0.010203,0.094973532
HERC5,379.0,0.393838904,153.0,2.127637,0.611335799
HERC6,651.0,0.398146132,183.0,2.366884,1.559371998
HIP1,4874.0,0.430847644,52.0,-0.785482,-0.115714002
HLA-A,4150.0,0.424443523,84.0,1.23768,-0.316816311
HLA-C,420.0,0.421684519,65.0,1.198399,1.094258311
HLA-DRA,409.0,0.420807891,109.0,1.9669,0.627083719
HLA-E,1459.0,0.413523771,126.0,1.781474,1.177967409
HLA-F,121.0,0.407256461,124.0,1.63993,0.156931177
HMBOX1,3560.0,0.369177113,482.0,0.826898,-1.780205813
HMBS,266.0,0.451934812,299.0,-0.344392,-0.396300912
HMGB2,3775.0,0.450826504,193.0,1.003163,0.39335126
HMGCS1,3661.0,0.374424323,345.0,-0.065784,-0.16134223
HMOX1,616.0,0.436401717,107.0,0.301328,-0.083000895
HNRNPA0,7504.0,0.386421138,284.0,-0.2402,-0.042540866
HNRNPD,1688.0,0.420386111,318.0,0.410826,0.133922495
HNRNPL,1102.0,0.449817015,176.0,0.104912,-0.078255986
HNRNPU,4156.0,0.432126199,218.0,0.05093,-0.020230873
HNRNPUL1,2135.0,0.394022965,339.0,0.1468,0.237371735
HNRNPUL2,2674.0,0.436897081,229.0,0.388817,0.045842318
HSBP1,3274.0,0.4454546,174.0,-0.578023,-0.561212149
HSD11B1,4482.0,0.426649415,154.0,3.807679,0.346710841
HSD17B7,398.0,0.431983247,99.0,-0.517478,0.142286146
HSP90AB1,313.0,0.39509298,251.0,-0.186196,-0.204866431
HSPA1L,428.0,0.464100714,183.0,-0.396471,0.061130752
HSPA4L,7877.0,0.413794867,342.0,-3.018683,-1.514087553
HSPB11,107.0,0.34538245,284.0,-0.10704,-0.483390546
HTRA2,571.0,0.421976635,602.0,-0.098144,0.048996437
HTT,3901.0,0.373695076,145.0,0.46395,0.269998931
HUS1,2068.0,0.374612864,131.0,0.10583,0.119499386
HYI,310.0,0.378597605,196.0,-1.486898,-0.212208268
HYOU1,1409.0,0.403839016,234.0,0.268828,-0.063137592
ICAM1,1537.0,0.426062071,319.0,1.460855,0.275689021
IER3IP1,3342.0,0.438740024,97.0,-0.610106,-0.105658878
IFI16,254.0,0.415211655,290.0,1.621441,0.78657897
IFI30,213.0,0.431523306,62.0,1.504272,0.042779531
IFI35,160.0,0.418462024,223.0,1.085081,0.302615308
IFI44,267.0,0.403888008,124.0,2.206915,0.774195142
IFI44L,5058.0,0.403608012,200.0,3.206498,0.697865102
IFIH1,121.0,0.412344512,377.0,1.670737,0.721709589
IFIT1,2775.0,0.411248073,495.0,2.310879,1.310504755
IFIT2,1901.0,0.420797646,175.0,1.981082,0.893986999
IFIT3,843.0,0.417440574,529.0,2.56451,1.277581185
IFIT5,2354.0,0.414819429,231.0,1.310146,0.743009215
IFITM1,159.0,0.431550176,180.0,0.714103,0.252919517
IFT27,109.0,0.4030938,426.0,0.3328,-0.209513252
IGFBP3,1605.0,0.43060006,132.0,-1.144816,-0.776130948
