,3prime,tAI,max_5_UTR_length,TCGA-BH-A18U,TCGA-BH-A18U.1
CBX8,2504.0,0.36735217,118.0,1.244951,0.446029745
CCDC115,2169.0,0.385110507,452.0,-0.428072,-0.291683599
CCDC58,2462.0,0.421830022,75.0,0.654693,0.014124496
CCDC88C,1302.0,0.396031427,154.0,-0.97143,-0.449706787
CCL5,886.0,0.462166288,68.0,-0.324389,0.048514558
CCNA2,1206.0,0.409154498,373.0,1.157399,-1.343544432
CCNB2,168.0,0.374401461,184.0,1.294219,0.25239587
CCNDBP1,2336.0,0.44393643,231.0,-0.958876,-0.122168854
CCS,4244.0,0.460896681,43.0,-0.047078,-0.130496424
CCT3,238.0,0.457984718,231.0,0.38848,0.098644425
CCT4,1361.0,0.393363555,164.0,0.594038,0.107231084
CD14,128.0,0.416321757,392.0,0.091436,0.028847284
CD209,3046.0,0.440000747,67.0,0.082141,-0.104282065
CD33,331.0,0.428315036,40.0,-0.542797,-0.378463242
CD36,2894.0,0.410517795,414.0,2.920643,0.652389001
CD40,982.0,0.429065654,90.0,-0.163446,-0.059939308
CD44,3115.0,0.39995987,434.0,0.374564,-0.652125231
CD63,923.0,0.512738356,403.0,-0.729143,-1.117354948
CD74,635.0,0.427357309,187.0,0.634239,0.241634192
CDC25C,437.0,0.364786128,387.0,2.297814,0.362987969
CDC26,271.0,0.395637029,359.0,0.37848,0.023862695
CDC34,560.0,0.46431386,199.0,-0.281946,-0.11364024
CDC42EP3,3941.0,0.420378821,1009.0,1.057549,0.138390981
CDCA3,816.0,0.351209268,820.0,0.572406,0.07191087
CDCA8,1353.0,0.384295288,290.0,1.546176,0.302440905
CDIPT,1864.0,0.442654716,541.0,-0.2005,-0.909232497
CDK1,2313.0,0.398329505,154.0,1.404332,0.040066022
CDK19,4557.0,0.421511824,180.0,-0.314167,-0.419081367
CDK2AP1,766.0,0.439144625,522.0,-0.744825,-0.290799392
CDK5RAP2,367.0,0.371069462,192.0,0.731333,-0.067728821
CDK5RAP3,284.0,0.469750898,1791.0,0.113829,0.050942385
CDKAL1,1365.0,0.417875209,167.0,0.222602,-0.242189634
CDKN2AIPNL,3639.0,0.409801696,53.0,0.852569,0.303884851
CDKN2C,2247.0,0.381912025,1216.0,0.157826,0.040585145
CENPH,1478.0,0.418392258,87.0,2.009572,0.123784298
CENPV,301.0,0.385948267,62.0,0.71017,-0.650544929
CEP55,939.0,0.397841874,304.0,1.653269,-0.718588624
CES3,2100.0,0.377378956,446.0,-1.052051,-0.1228508
CETN2,868.0,0.433727498,47.0,-0.218731,0.519451426
CFL1,677.0,0.502791,234.0,0.512502,0.103469033
CHAC2,786.0,0.395629742,277.0,1.734952,0.280519966
CHCHD4,3528.0,0.445497334,326.0,0.867703,0.038611972
CHMP4A,296.0,0.447100154,262.0,-0.247279,-0.199630728
CHMP5,1241.0,0.442987983,200.0,0.24451,-0.192553495
CHMP6,980.0,0.489861105,78.0,-1.364948,-0.504768596
CHTF8,2425.0,0.424551152,142.0,-0.114613,0.41122127
CIAPIN1,1024.0,0.451663323,242.0,0.448872,0.053087803
CISD2,5376.0,0.433298698,107.0,-0.382918,-0.976215255
CKAP4,2872.0,0.386259817,84.0,-0.743009,-0.534258133
CKS2,300.0,0.317949998,98.0,1.282048,0.045151344
CLCC1,5185.0,0.369704467,150.0,-0.71477,-0.756363888
CLCN7,1698.0,0.459147749,110.0,-0.375804,-0.597064767
CLIC1,290.0,0.4571302,573.0,-0.166513,-0.062611422
CLK3,1233.0,0.4268607,461.0,-0.494949,0.257244353
CLPTM1,458.0,0.383990827,351.0,0.315926,-0.344191085
CLTA,288.0,0.450950874,514.0,-0.470526,-0.317270113
CLTB,319.0,0.48548545,210.0,-0.420386,0.250525511
CLTC,3104.0,0.384957863,443.0,0.341876,-0.4392142
CNBP,6850.0,0.433298698,206.0,0.355702,-0.329997754
CNPY2,123.0,0.392778455,553.0,-0.509993,0.100711937
CNPY3,1042.0,0.459231502,584.0,-0.305761,0.119600987
COG3,1967.0,0.414689223,142.0,-0.545578,-0.329920188
COMMD1,306.0,0.423842833,138.0,-0.492974,0.24112955
COMMD3,431.0,0.360487018,35.0,1.235402,0.392574128
COMMD5,498.0,0.445713337,399.0,0.286136,0.166463121
COMMD6,1375.0,0.396967837,328.0,-0.421031,0.532497703
COMMD9,2340.0,0.418062772,89.0,0.135453,0.07482734
COPB1,446.0,0.381738818,307.0,-0.690244,-0.23663356
COPE,165.0,0.478760693,55.0,-0.032092,0.07493777
COQ6,671.0,0.374062527,159.0,-0.171225,-0.057162202
COQ7,5700.0,0.42379098,133.0,0.589568,-0.039156563
CORO1A,112.0,0.457388252,435.0,-0.815718,0.294266919
COX17,1735.0,0.484254073,86.0,0.748714,-0.092656834
COX5A,860.0,0.429944966,140.0,0.081793,-0.207591904
COX7A2,302.0,0.441893926,98.0,-0.213453,0.222516625
CPM,5262.0,0.406054343,75.0,-0.184589,-0.741996307
CPSF4,923.0,0.452412439,277.0,0.068076,0.13600358
CPT1A,2761.0,0.374132033,170.0,1.337059,-0.059685407
CPT2,602.0,0.431256564,515.0,-0.019279,0.044608648
CRCP,8457.0,0.390198146,145.0,-0.125236,0.383932834
CRKL,3904.0,0.422225684,509.0,0.412476,0.151885354
CRTAP,5601.0,0.446308827,120.0,0.053861,0.521773389
CRTC3,3205.0,0.355982524,186.0,-0.68678,0.0991003
CRYL1,462.0,0.386242786,79.0,-0.826575,0.142034317
CSRP1,1183.0,0.493833101,217.0,0.400164,-0.192704278
CST3,2762.0,0.475763324,186.0,-1.703598,-0.184395267
CSTF2,1931.0,0.372934478,58.0,0.755243,0.202142512
CTBP1,800.0,0.464034004,393.0,-1.146386,0.12957977
CTNNA1,1216.0,0.412513324,1103.0,0.375193,0.025253759
CTNNB1,1106.0,0.432073699,448.0,0.376997,-0.244354332
CTNNBIP1,2448.0,0.394834327,307.0,-1.204714,-0.047682465
CTPS2,1870.0,0.416273085,744.0,0.215395,-0.110667769
CTSG,119.0,0.369503415,37.0,-2.194607,-0.528218859
CTSH,1072.0,0.446467856,1192.0,-0.337111,0.747168719
CUEDC1,2047.0,0.374410739,719.0,0.623074,0.327413865
CUX1,1040.0,0.395555213,127.0,-0.002285,-0.340659526
CXCL10,814.0,0.410287201,105.0,2.378445,0.204000429
CXCL9,2323.0,0.403736618,74.0,2.403597,0.979790757
CYBB,2544.0,0.418993019,61.0,0.319609,-0.436573533
CYP2S1,1051.0,0.420869286,58.0,0.307406,-0.17853557
CYTH4,1837.0,0.406296106,377.0,-0.026202,0.313066129
DAB2,1757.0,0.368483127,531.0,-0.01419,0.486196793
DAGLB,721.0,0.377719723,170.0,-0.794162,-0.612664813
DAP3,768.0,0.366492687,184.0,0.49397,0.238883953
DAPP1,2082.0,0.348655603,90.0,-0.951677,0.263118315
DBI,233.0,0.467027529,479.0,0.291526,0.090962637
DCAF12,1967.0,0.42050769,342.0,-0.163749,0.090645611
DCAF8,1877.0,0.380310979,212.0,-0.137777,0.277287852
DCP1A,4153.0,0.411936399,381.0,0.730287,0.183723064
DCPS,4731.0,0.375605648,329.0,0.733761,0.403160653
DCTN5,10597.0,0.443116252,177.0,0.122669,0.266491558
DDAH2,653.0,0.361046801,1104.0,-0.882097,-0.115983011
DDB2,1223.0,0.43604051,195.0,0.403125,0.536169079
DDX23,713.0,0.445931172,91.0,-0.344673,0.124804245
DDX31,1870.0,0.361830896,544.0,0.447494,-0.21698289
DDX47,438.0,0.379294484,22.0,0.029833,0.258726554
DDX54,1704.0,0.467316231,28.0,-0.489917,0.073389251
DDX56,586.0,0.438032149,643.0,-0.415402,-0.069376435
DDX59,217.0,0.413095257,243.0,-0.154304,-0.148510758
DHODH,3463.0,0.371608285,21.0,-0.415362,0.105984437
DHPS,121.0,0.474111752,121.0,0.478649,-0.117773199
DHX15,459.0,0.379133957,168.0,-0.052677,0.110925392
DHX34,591.0,0.384465978,349.0,0.356648,0.341222706
DHX58,357.0,0.440330409,223.0,1.218735,-0.001993194
DIABLO,719.0,0.425893605,1182.0,0.367185,0.308842348
DMAP1,63.0,0.471306,301.0,-0.999878,0.010924128
DMXL2,1274.0,0.389901613,225.0,-0.089924,0.121161276
DNAJA4,1736.0,0.398301408,169.0,0.058171,-0.085052982
DNAJC19,1326.0,0.403482491,259.0,0.41199,0.128185279
DNAJC25,1212.0,0.430964931,56.0,0.322574,0.299881504
DNAJC8,969.0,0.416719859,33.0,0.203348,0.00534724
DNM1,1255.0,0.393835111,116.0,-0.533084,0.402469258
DNTTIP2,3564.0,0.408096853,58.0,-0.26421,-0.05534463
DOCK11,3681.0,0.373818855,63.0,-0.457608,0.030792757
DOCK2,524.0,0.446250827,52.0,0.035965,0.435322737
DOK2,438.0,0.384043737,481.0,0.210263,0.537880877
DPCD,197.0,0.459155016,389.0,0.590609,0.043582202
DPF2,2501.0,0.393394442,133.0,0.892792,0.046705488
DPH1,1310.0,0.448716064,341.0,0.313233,-0.480518209
DPH5,784.0,0.413363166,165.0,0.00637,0.26651452
DPY30,562.0,0.438431353,279.0,0.111773,0.402924626
DPYSL2,2472.0,0.430530829,431.0,0.215176,0.120305268
DRAP1,142.0,0.432809908,245.0,0.211361,0.52479127
DRG1,4594.0,0.444150091,131.0,0.518173,0.359481965
DSN1,5330.0,0.392894937,373.0,1.534362,0.114663438
DSTN,2786.0,0.375776803,438.0,1.17348,0.280775019
DTL,2265.0,0.372315747,921.0,1.706154,-0.123059653
DTX3L,3456.0,0.408848169,89.0,0.681113,-0.021287798
DUSP12,374.0,0.419884133,34.0,0.50885,0.216489528
DUT,1937.0,0.36471409,109.0,0.636784,-0.079552789
DYNLT1,514.0,0.420362019,78.0,0.305505,0.063836467
EBAG9,1437.0,0.39438748,402.0,0.41118,-0.342901756
ECH1,191.0,0.389477111,85.0,0.154545,0.065259748
ECHDC2,2269.0,0.400166641,752.0,-2.018635,-0.126650647
ECM1,322.0,0.43792189,199.0,-0.007568,-0.097103954
EDEM2,76.0,0.379021051,100.0,0.636932,0.643467619
EEA1,5374.0,0.405861636,265.0,0.200785,0.177432367
EEF1A2,286.0,0.417272363,329.0,0.590695,-0.661819456
EFTUD2,1331.0,0.444646836,398.0,0.754241,0.196532615
EHD1,3363.0,0.446314898,447.0,-0.041911,0.402764175
EIF2AK2,8063.0,0.394727306,557.0,0.508582,0.192702055
EIF2B3,1058.0,0.383118637,239.0,0.118598,0.157812976
EIF3F,5840.0,0.435728237,33.0,-0.426445,0.124548456
EIF3L,1718.0,0.380710116,245.0,0.74592,0.064514026
EIF4A3,1120.0,0.381528282,222.0,-0.220341,-0.020742208
ELAVL1,4910.0,0.437605432,167.0,0.060441,-0.036672761
EMG1,248.0,0.433768095,143.0,-0.140693,0.210078902
EMILIN2,2605.0,0.379592019,159.0,-0.016994,0.15825701
ENDOD1,7728.0,0.376426787,118.0,0.431898,-0.001083058
ENOSF1,2904.0,0.382279782,622.0,-0.530473,-0.138498033
ENY2,2576.0,0.41756619,146.0,0.074228,-0.080199573
EPSTI1,2106.0,0.391777705,469.0,1.037876,-0.253425361
ERCC1,2342.0,0.45058755,188.0,0.263359,0.368021068
ERCC6L,4809.0,0.354829683,623.0,1.427813,-0.213439875
ERH,415.0,0.383837906,71.0,-0.245119,0.07927307
ERLIN1,2041.0,0.444737514,478.0,0.243438,-0.540095128
ERP29,1277.0,0.401191178,118.0,-0.597315,0.45505118
ETV6,4356.0,0.398240844,274.0,-0.524221,-0.379409766
EXOC4,1232.0,0.388187525,35.0,0.142439,-0.369385381
EXOC8,6907.0,0.436106501,127.0,0.383584,-0.251562807
EXOSC1,536.0,0.430105347,451.0,0.450506,0.230675931
EXOSC2,3902.0,0.431273517,32.0,0.885831,0.097653203
F8A1,571.0,0.46317284,15.0,-0.945438,0.084689999
FAAH,2043.0,0.384592892,82.0,-0.553526,-0.425120906
FAF1,4425.0,0.401181969,453.0,0.01078,-0.135333871
FAM122A,4542.0,0.40477622,33.0,-0.066295,0.13227961
FAM168A,6285.0,0.395008865,285.0,0.345943,0.205186706
FAM177A1,2165.0,0.411149627,459.0,-0.41636,-0.080490025
FAM192A,1824.0,0.379195199,1475.0,0.32629,0.062374398
FAM20B,4428.0,0.4357945,293.0,-0.04072,-0.386046186
FAM32A,1091.0,0.408676074,42.0,0.098317,0.074635366
FAM50A,286.0,0.482889735,110.0,-0.519499,0.265461716
FBP1,248.0,0.397353747,331.0,-0.469689,0.104957861
FBXL20,9338.0,0.383104745,254.0,4.025853,-1.686189849
FBXO4,526.0,0.393825218,58.0,0.429206,0.336625366
FBXO6,503.0,0.42307306,166.0,0.071749,-0.106795307
FCER1G,305.0,0.4202976,25.0,0.412703,-0.259290787
FCGRT,309.0,0.433069976,486.0,-1.223931,-0.19526503
FDPS,72.0,0.456397562,392.0,0.36164,-0.240183213
FDXR,596.0,0.384661194,188.0,-0.650496,-0.280626321
FEN1,1340.0,0.407867196,413.0,1.471047,0.529771114
FERMT3,399.0,0.435119014,149.0,-0.064844,0.415535747
FGD2,907.0,0.441856308,171.0,0.007973,0.356008689
FGFR1OP2,1663.0,0.396595515,353.0,-0.121987,0.294792985
FGL2,3460.0,0.40966218,40.0,-0.335082,0.128630476
FKBP1A,1132.0,0.428443098,174.0,0.515242,0.358244912
FKBPL,24.0,0.377510344,270.0,0.733676,0.362313924
FLOT1,422.0,0.472159534,339.0,-0.317235,-0.67753706
FN3K,442.0,0.389857108,61.0,-1.652599,-1.073965366
FN3KRP,3667.0,0.380720834,50.0,-0.539661,-0.162062436
FOXJ3,3176.0,0.401878681,312.0,-0.038348,-0.630511842
FOXK2,3108.0,0.440496276,171.0,-0.001522,-0.225359423
FOXRED1,443.0,0.438630908,167.0,1.358562,0.289053827
FSCN1,1184.0,0.396100853,132.0,-1.290469,-0.139367452
FTH1,530.0,0.425357612,235.0,1.491069,0.699764211
FTL,1031.0,0.428438948,199.0,0.48609,0.759090201
FTSJ1,638.0,0.457521275,569.0,-0.169337,-0.136726171
FTSJ3,698.0,0.388239396,646.0,0.273544,-0.230535599
FXN,6365.0,0.40465004,220.0,-0.349319,-0.380218619
GABARAPL2,564.0,0.431291441,136.0,0.088433,0.320423761
GABPB1,1320.0,0.423118524,469.0,0.446486,-0.648579501
GALK1,292.0,0.455574511,63.0,0.297216,0.025753259
GANAB,989.0,0.425909644,1027.0,0.838094,0.033538657
GAS6,315.0,0.393865445,183.0,-0.300011,0.222490148
GAS7,6619.0,0.423630168,311.0,-1.415185,0.397767726
GBE1,708.0,0.404013874,283.0,0.91012,0.088028854
GBP1,1735.0,0.42614962,220.0,0.909547,0.336029373
GBP2,5058.0,0.440134196,314.0,0.023419,0.368754927
GBP4,4106.0,0.42983554,116.0,0.089847,0.599729351
GBP5,1753.0,0.421901204,537.0,1.905817,0.71647306
GCH1,2011.0,0.419329122,161.0,0.437399,0.018190356
GFOD2,622.0,0.396604754,295.0,-0.297265,0.239634375
GGA2,5408.0,0.377812588,83.0,-0.009293,0.068742384
GGCX,5211.0,0.417836117,106.0,0.448344,-0.172520858
GIGYF1,2212.0,0.443456438,1210.0,-1.058751,-0.084602371
GINS3,1415.0,0.387351931,208.0,0.634347,-0.126790173
GLA,1699.0,0.378726947,110.0,0.37249,0.159677163
GLE1,1357.0,0.383457083,114.0,0.856575,-0.104783529
GLRX,1188.0,0.430296645,211.0,0.772832,0.240562931
GLRX3,3557.0,0.41418463,539.0,0.476788,0.169549619
GLUD1,1558.0,0.392454008,1132.0,-0.342558,-0.06094705
GLYR1,2033.0,0.39940414,57.0,-0.211742,0.149734077
GMEB1,4582.0,0.43446142,142.0,-0.01386,0.116323201
GMPPA,198.0,0.434966364,375.0,0.289179,0.275016635
GMPR,3984.0,0.435743929,114.0,1.958551,-0.063582346
GMPR2,464.0,0.453637396,704.0,-0.057161,-0.078609462
GNAI1,1947.0,0.435804474,356.0,-1.395356,-0.701328747
GNG7,3803.0,0.398730372,237.0,-3.48856,-0.311314775
GNPDA1,1360.0,0.395964134,67.0,0.535417,0.37627546
GOLGA2,1243.0,0.401070546,13.0,0.011298,-0.155379311
GON4L,926.0,0.418089888,175.0,0.082784,-1.176028284
GOSR1,5968.0,0.408103421,237.0,0.127198,-0.494759094
GOSR2,3258.0,0.374298057,541.0,-0.153523,-0.507113685
GOT2,1054.0,0.444803236,129.0,0.118652,0.30443535
GPS2,97.0,0.431122181,76.0,0.273646,-0.38935632
GPX7,626.0,0.395840774,39.0,-0.01148,0.516976661
GRAMD1A,299.0,0.411657297,748.0,-0.897793,-0.818951616
GRB2,2292.0,0.4413596,358.0,-0.158697,0.056550087
GSTM4,2467.0,0.390909061,314.0,-2.039401,-0.617536801
GTF2A2,1070.0,0.420716795,404.0,-0.000279,0.453305773
GTF2E2,604.0,0.365750105,273.0,0.035467,0.029072612
GTF3C2,932.0,0.372227001,397.0,0.02785,-0.01290445
GTPBP1,2894.0,0.424954603,154.0,0.181261,0.248193877
GTPBP3,1032.0,0.436547413,95.0,-0.08494,-0.058862495
GTSF1,222.0,0.36097632,86.0,8.106934,2.061783889
HADH,818.0,0.383558671,219.0,-0.332149,-0.217146506
HADHA,615.0,0.383558671,130.0,-0.037298,-0.021322578
HAUS5,3319.0,0.378752573,51.0,0.384053,0.108507641
HAUS8,346.0,0.37535995,111.0,0.470838,-0.111871054
HCCS,1274.0,0.398607648,275.0,0.278845,-0.30333422
HCK,337.0,0.440224323,364.0,0.211817,0.15950882
HDAC1,591.0,0.390040122,63.0,0.422937,0.088412708
HDDC3,763.0,0.387287166,29.0,0.449236,0.409408298
HDGF,1342.0,0.465394593,322.0,0.121136,-0.176879644
HDLBP,2343.0,0.397687311,375.0,-0.19491,0.153807501
HEATR3,1385.0,0.384091545,883.0,0.135732,-0.274406184
HEBP2,9119.0,0.359416339,297.0,-0.407996,0.154445658
HECA,3704.0,0.443714129,285.0,-0.152107,0.161495885
HECTD3,3914.0,0.446742268,98.0,-0.518495,-0.15128478
HERC2,726.0,0.429958504,109.0,-0.648556,-0.173738627
HERC5,379.0,0.393838904,153.0,0.125132,0.071398159
HERC6,651.0,0.398146132,183.0,-0.057959,-1.25302797
HIP1,4874.0,0.430847644,52.0,-0.400044,-0.211548268
HLA-A,4150.0,0.424443523,84.0,-0.174231,-1.118185072
HLA-C,420.0,0.421684519,65.0,0.853645,0.40994314
HLA-DRA,409.0,0.420807891,109.0,0.682443,0.646732147
HLA-E,1459.0,0.413523771,126.0,-0.22795,-0.49829219
HLA-F,121.0,0.407256461,124.0,-0.760752,-0.391855625
HMBOX1,3560.0,0.369177113,482.0,0.527392,-1.180711206
HMBS,266.0,0.451934812,299.0,1.437842,0.495798438
HMGB2,3775.0,0.450826504,193.0,0.688392,-0.475947722
HMGCS1,3661.0,0.374424323,345.0,1.431358,0.437148334
HMOX1,616.0,0.436401717,107.0,0.355356,-0.03173515
HNRNPA0,7504.0,0.386421138,284.0,-0.172191,-0.320075099
HNRNPD,1688.0,0.420386111,318.0,0.088352,-0.252894437
HNRNPL,1102.0,0.449817015,176.0,0.17939,-0.210473545
HNRNPU,4156.0,0.432126199,218.0,0.32581,0.096525882
HNRNPUL1,2135.0,0.394022965,339.0,0.313737,0.238213811
HNRNPUL2,2674.0,0.436897081,229.0,0.055526,0.070544267
HSBP1,3274.0,0.4454546,174.0,-0.034604,0.083682415
HSD11B1,4482.0,0.426649415,154.0,-0.525543,-0.037916525
HSD17B7,398.0,0.431983247,99.0,-0.154568,-0.249145978
HSP90AB1,313.0,0.39509298,251.0,-0.463392,-0.162657844
HSPA1L,428.0,0.464100714,183.0,1.563842,0.090997581
HSPA4L,7877.0,0.413794867,342.0,1.639379,0.088493486
HSPB11,107.0,0.34538245,284.0,0.124086,0.572636774
HTRA2,571.0,0.421976635,602.0,-0.112075,0.160076114
HTT,3901.0,0.373695076,145.0,-0.889388,-0.155533309
HUS1,2068.0,0.374612864,131.0,-0.263875,0.143686939
HYI,310.0,0.378597605,196.0,-1.427721,0.129957857
HYOU1,1409.0,0.403839016,234.0,0.754085,0.19570739
ICAM1,1537.0,0.426062071,319.0,0.292407,0.127835834
IER3IP1,3342.0,0.438740024,97.0,-0.450171,-0.868898553
IFI16,254.0,0.415211655,290.0,-0.343056,0.1976377
IFI30,213.0,0.431523306,62.0,0.67389,-0.073531147
IFI35,160.0,0.418462024,223.0,0.303247,0.129617593
IFI44,267.0,0.403888008,124.0,0.772885,0.18101908
IFI44L,5058.0,0.403608012,200.0,0.566405,0.690688302
IFIH1,121.0,0.412344512,377.0,0.760358,0.166372708
IFIT1,2775.0,0.411248073,495.0,1.745912,0.219518834
