,3prime,tAI,max_5_UTR_length,TCGA-AO-A0JJ,TCGA-AO-A0JJ.1
DNAJC8,969.0,0.416719859,33.0,0.000704,0.498644782
DNM1,1255.0,0.393835111,116.0,0.295649,0.47735712
DNTTIP2,3564.0,0.408096853,58.0,-0.06322,-0.147244706
DOCK11,3681.0,0.373818855,63.0,0.863532,0.331691556
DOCK2,524.0,0.446250827,52.0,1.18386,0.575160961
DOK2,438.0,0.384043737,481.0,0.978284,0.416472705
DPCD,197.0,0.459155016,389.0,-0.270503,0.130780099
DPF2,2501.0,0.393394442,133.0,-0.170241,-0.126648525
DPH1,1310.0,0.448716064,341.0,-0.060262,-0.408826176
DPH5,784.0,0.413363166,165.0,0.62769,0.037274925
DPY30,562.0,0.438431353,279.0,-0.054433,0.12939873
DPYSL2,2472.0,0.430530829,431.0,1.421076,0.706697797
DRAP1,142.0,0.432809908,245.0,-0.107442,0.12533245
DRG1,4594.0,0.444150091,131.0,0.082911,-0.130966169
DSN1,5330.0,0.392894937,373.0,0.19292,0.326152396
DSTN,2786.0,0.375776803,438.0,0.089806,-0.140310994
DTL,2265.0,0.372315747,921.0,0.505021,-0.025041528
DTX3L,3456.0,0.408848169,89.0,0.295284,0.115503485
DUSP12,374.0,0.419884133,34.0,-0.21317,0.233183033
DUT,1937.0,0.36471409,109.0,0.364803,-0.275968327
DYNLT1,514.0,0.420362019,78.0,-0.699292,-0.340419795
EBAG9,1437.0,0.39438748,402.0,-0.151908,-0.056998882
ECH1,191.0,0.389477111,85.0,0.296001,-0.223930247
ECHDC2,2269.0,0.400166641,752.0,0.550832,0.796821411
ECM1,322.0,0.43792189,199.0,3.076084,1.34015046
EDEM2,76.0,0.379021051,100.0,0.002739,0.032188299
EEA1,5374.0,0.405861636,265.0,-0.000427,0.051014789
EEF1A2,286.0,0.417272363,329.0,2.039098,0.231057859
EFTUD2,1331.0,0.444646836,398.0,-0.255007,-0.078944703
EHD1,3363.0,0.446314898,447.0,-0.04814,-0.060546371
EIF2AK2,8063.0,0.394727306,557.0,-0.121545,-0.151390328
EIF2B3,1058.0,0.383118637,239.0,-0.227173,-0.063822304
EIF3F,5840.0,0.435728237,33.0,0.339913,-0.093513154
EIF3L,1718.0,0.380710116,245.0,0.490221,-0.037524075
EIF4A3,1120.0,0.381528282,222.0,0.153424,-0.100411734
ELAVL1,4910.0,0.437605432,167.0,-0.13002,0.061980564
EMG1,248.0,0.433768095,143.0,-0.140463,-0.014681547
EMILIN2,2605.0,0.379592019,159.0,-0.09667,-0.263325441
ENDOD1,7728.0,0.376426787,118.0,0.410505,0.225868644
ENOSF1,2904.0,0.382279782,622.0,0.122409,0.460994462
ENY2,2576.0,0.41756619,146.0,-0.278459,0.271650473
EPSTI1,2106.0,0.391777705,469.0,0.329393,0.237801121
ERCC1,2342.0,0.45058755,188.0,0.406496,0.09033734
ERCC6L,4809.0,0.354829683,623.0,-0.422696,-0.149205454
ERH,415.0,0.383837906,71.0,0.0626,0.406713672
ERLIN1,2041.0,0.444737514,478.0,0.168301,0.469403772
ERP29,1277.0,0.401191178,118.0,0.336196,0.050398032
ETV6,4356.0,0.398240844,274.0,0.379253,-0.010898406
EXOC4,1232.0,0.388187525,35.0,-0.118188,-0.08991885
EXOC8,6907.0,0.436106501,127.0,-0.038188,0.124965673
EXOSC1,536.0,0.430105347,451.0,-0.172948,0.100876411
EXOSC2,3902.0,0.431273517,32.0,-0.056782,-0.064013634
F8A1,571.0,0.46317284,15.0,0.459386,-0.122215969
FAAH,2043.0,0.384592892,82.0,0.430286,-0.063488337
FAF1,4425.0,0.401181969,453.0,-0.179851,-0.33987217
FAM122A,4542.0,0.40477622,33.0,0.185323,0.079112048
FAM168A,6285.0,0.395008865,285.0,0.129187,0.136347584
FAM177A1,2165.0,0.411149627,459.0,0.194341,-0.006065603
FAM192A,1824.0,0.379195199,1475.0,-0.420818,-0.135507611
FAM20B,4428.0,0.4357945,293.0,0.259127,0.338012671
FAM32A,1091.0,0.408676074,42.0,-0.253833,0.360035601
FAM50A,286.0,0.482889735,110.0,-0.198402,-0.009370888
FBP1,248.0,0.397353747,331.0,1.04552,0.661967513
FBXL20,9338.0,0.383104745,254.0,-0.282407,-0.026822697
FBXO4,526.0,0.393825218,58.0,0.76275,0.040953594
FBXO6,503.0,0.42307306,166.0,-0.016995,-0.50363682
FCER1G,305.0,0.4202976,25.0,0.727152,0.810350152
FCGRT,309.0,0.433069976,486.0,0.212081,0.229141019
FCHO1,270.0,0.372951657,283.0,0.019928,-0.358808955
FDPS,72.0,0.456397562,392.0,-0.196504,-0.057414135
FDXR,596.0,0.384661194,188.0,0.835902,0.202869319
FEN1,1340.0,0.407867196,413.0,0.147602,0.29915327
FERMT3,399.0,0.435119014,149.0,0.82587,0.368034075
FGD2,907.0,0.441856308,171.0,0.72404,0.489503495
FGFR1OP2,1663.0,0.396595515,353.0,0.316655,0.256890283
FGL2,3460.0,0.40966218,40.0,2.198593,1.302457008
FKBP1A,1132.0,0.428443098,174.0,-0.214114,-0.210917068
FKBPL,24.0,0.377510344,270.0,-0.878651,0.151605511
FLOT1,422.0,0.472159534,339.0,-0.594179,-0.184260569
FN3K,442.0,0.389857108,61.0,0.660047,0.29628278
FN3KRP,3667.0,0.380720834,50.0,0.339302,0.196973615
FOXJ3,3176.0,0.401878681,312.0,0.080253,-0.046158408
FOXK2,3108.0,0.440496276,171.0,-0.467813,-0.018269082
FOXRED1,443.0,0.438630908,167.0,-0.125797,0.043720414
FSCN1,1184.0,0.396100853,132.0,0.18861,-0.188020999
FTH1,530.0,0.425357612,235.0,0.180226,-0.198634417
FTL,1031.0,0.428438948,199.0,-0.041851,-0.767801712
FTSJ1,638.0,0.457521275,569.0,-0.119596,-0.107475552
FTSJ3,698.0,0.388239396,646.0,-0.121084,-0.193607969
FXN,6365.0,0.40465004,220.0,0.135466,-0.545998396
GABARAPL2,564.0,0.431291441,136.0,-0.008037,-0.153535835
GABPB1,1320.0,0.423118524,469.0,0.026788,0.389354724
GALK1,292.0,0.455574511,63.0,0.800679,0.416206796
GANAB,989.0,0.425909644,1027.0,-0.012989,-0.284195544
GAS6,315.0,0.393865445,183.0,0.306909,0.326032476
GAS7,6619.0,0.423630168,311.0,1.496382,0.700820881
GBE1,708.0,0.404013874,283.0,0.248763,-0.003966751
GBP1,1735.0,0.42614962,220.0,0.395127,0.02243031
GBP2,5058.0,0.440134196,314.0,0.154811,-0.162021577
GBP4,4106.0,0.42983554,116.0,1.143764,0.399245293
GBP5,1753.0,0.421901204,537.0,0.793116,-0.422900641
GCH1,2011.0,0.419329122,161.0,-0.455216,-0.063044722
GFOD2,622.0,0.396604754,295.0,-0.86108,0.117690528
GGA2,5408.0,0.377812588,83.0,-0.176152,0.05388466
GGCX,5211.0,0.417836117,106.0,-0.143047,-0.030119938
GIGYF1,2212.0,0.443456438,1210.0,-0.085509,0.249992212
GINS3,1415.0,0.387351931,208.0,-0.038035,-0.393499737
GLA,1699.0,0.378726947,110.0,0.441021,-0.062709033
GLE1,1357.0,0.383457083,114.0,0.154561,-0.141898629
GLRX,1188.0,0.430296645,211.0,1.424238,0.334035452
GLRX3,3557.0,0.41418463,539.0,-0.245877,-0.20407153
GLUD1,1558.0,0.392454008,1132.0,0.441299,0.031617813
GLYR1,2033.0,0.39940414,57.0,-0.236354,0.205362836
GMEB1,4582.0,0.43446142,142.0,-0.281415,0.258726148
GMPPA,198.0,0.434966364,375.0,-0.041327,0.074101835
GMPR,3984.0,0.435743929,114.0,-0.37544,-0.417610755
GMPR2,464.0,0.453637396,704.0,0.140298,0.502413975
GNAI1,1947.0,0.435804474,356.0,1.013647,0.332254411
GNG7,3803.0,0.398730372,237.0,0.452214,0.834259963
GNPDA1,1360.0,0.395964134,67.0,0.394408,0.613994554
GOLGA2,1243.0,0.401070546,13.0,0.262132,-0.045245485
GON4L,926.0,0.418089888,175.0,-0.093355,-0.038939645
GOSR1,5968.0,0.408103421,237.0,-0.010887,-0.013111087
GOSR2,3258.0,0.374298057,541.0,0.049847,0.307389717
GOT2,1054.0,0.444803236,129.0,-0.672544,-0.302633949
GPS2,97.0,0.431122181,76.0,-0.131133,0.485863903
GPX7,626.0,0.395840774,39.0,0.755103,0.00892895
GRAMD1A,299.0,0.411657297,748.0,-0.202796,-0.401350113
GRB2,2292.0,0.4413596,358.0,9.8e-05,0.067100411
GSTM4,2467.0,0.390909061,314.0,0.212354,-1.021131793
GTF2A2,1070.0,0.420716795,404.0,0.117789,0.233454073
GTF2E2,604.0,0.365750105,273.0,-0.188121,0.032092102
GTF3C2,932.0,0.372227001,397.0,-0.398021,-0.117426551
GTPBP1,2894.0,0.424954603,154.0,0.18262,0.079620544
GTPBP3,1032.0,0.436547413,95.0,-0.443848,-0.430211017
GTSE1,680.0,0.368527868,212.0,0.036617,-0.011875603
GTSF1,222.0,0.36097632,86.0,0.917505,-0.668421488
HADH,818.0,0.383558671,219.0,-0.051492,-0.207939062
HADHA,615.0,0.383558671,130.0,0.040753,-0.160483185
HAUS5,3319.0,0.378752573,51.0,-0.22936,0.081635928
HAUS8,346.0,0.37535995,111.0,-0.08408,0.203930222
HCCS,1274.0,0.398607648,275.0,0.011823,-0.440082322
HCK,337.0,0.440224323,364.0,0.478002,0.085958398
HDAC1,591.0,0.390040122,63.0,0.338859,0.209007468
HDDC3,763.0,0.387287166,29.0,0.166781,0.603559305
HDGF,1342.0,0.465394593,322.0,-0.299863,-0.260777911
HDLBP,2343.0,0.397687311,375.0,0.250606,-0.143707006
HEATR3,1385.0,0.384091545,883.0,-0.718899,-0.491471779
HEBP2,9119.0,0.359416339,297.0,-0.559963,-0.301913468
HECA,3704.0,0.443714129,285.0,0.025515,0.163402937
HECTD3,3914.0,0.446742268,98.0,-0.174091,0.079483174
HERC2,726.0,0.429958504,109.0,-0.546017,-0.224584266
HERC5,379.0,0.393838904,153.0,0.327573,0.024150537
HERC6,651.0,0.398146132,183.0,0.349771,-0.351408006
HIP1,4874.0,0.430847644,52.0,-0.0423,-0.032043889
HLA-A,4150.0,0.424443523,84.0,0.587393,0.698727166
HLA-C,420.0,0.421684519,65.0,0.055295,-0.441117309
HLA-DRA,409.0,0.420807891,109.0,1.446123,0.794325644
HLA-E,1459.0,0.413523771,126.0,0.568898,0.503087048
HLA-F,121.0,0.407256461,124.0,0.381663,0.197606388
HMBOX1,3560.0,0.369177113,482.0,-0.177855,-0.745831022
HMBS,266.0,0.451934812,299.0,0.232751,0.100392173
HMGB2,3775.0,0.450826504,193.0,0.947636,0.808089118
HMGCS1,3661.0,0.374424323,345.0,0.094556,-0.509434985
HMOX1,616.0,0.436401717,107.0,0.726172,0.093399592
HNRNPA0,7504.0,0.386421138,284.0,-0.032649,-0.025896282
HNRNPD,1688.0,0.420386111,318.0,0.318147,0.031901791
HNRNPL,1102.0,0.449817015,176.0,-0.077235,-0.140654724
HNRNPU,4156.0,0.432126199,218.0,0.188973,0.100562335
HNRNPUL1,2135.0,0.394022965,339.0,-0.064624,0.310624018
HNRNPUL2,2674.0,0.436897081,229.0,-0.007722,-0.024864194
HSBP1,3274.0,0.4454546,174.0,-0.710775,-0.257200179
HSD11B1,4482.0,0.426649415,154.0,1.79214,0.429086285
HSD17B7,398.0,0.431983247,99.0,0.303885,-0.213068331
HSP90AB1,313.0,0.39509298,251.0,-1.09866,-0.679701777
HSPA1L,428.0,0.464100714,183.0,-0.300528,0.078402523
HSPA4L,7877.0,0.413794867,342.0,-0.775718,-0.751141618
HSPB11,107.0,0.34538245,284.0,0.25904,0.565282127
HTRA2,571.0,0.421976635,602.0,0.112954,0.4346563
HTT,3901.0,0.373695076,145.0,-0.895815,-0.113334899
HUS1,2068.0,0.374612864,131.0,-0.427864,0.187792615
HYI,310.0,0.378597605,196.0,0.785264,0.671559533
HYOU1,1409.0,0.403839016,234.0,-0.148788,-0.231302937
ICAM1,1537.0,0.426062071,319.0,-0.19265,-0.079769645
IER3IP1,3342.0,0.438740024,97.0,0.485464,-1.127147545
IFI16,254.0,0.415211655,290.0,0.343999,0.478720224
IFI30,213.0,0.431523306,62.0,0.085711,-0.333638443
IFI35,160.0,0.418462024,223.0,1.37548,0.433538851
