,3prime,tAI,max_5_UTR_length,TCGA-AR-A0TT,TCGA-AR-A0TT.1
CDC42EP3,3941.0,0.420378821,1009.0,-0.3414,0.562566581
CDCA3,816.0,0.351209268,820.0,-0.163013,-0.298255967
CDCA8,1353.0,0.384295288,290.0,0.390844,-0.165330198
CDIPT,1864.0,0.442654716,541.0,0.573991,1.06299927
CDK1,2313.0,0.398329505,154.0,0.535137,0.581916454
CDK19,4557.0,0.421511824,180.0,2.338402,1.124771298
CDK2AP1,766.0,0.439144625,522.0,0.047508,0.076628413
CDK5RAP2,367.0,0.371069462,192.0,-0.006894,-0.285575643
CDK5RAP3,284.0,0.469750898,1791.0,0.29867,0.376744664
CDKAL1,1365.0,0.417875209,167.0,-0.077471,0.141223712
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.206795,0.529802441
CDKN2C,2247.0,0.381912025,1216.0,-0.707992,0.10489297
CEBPD,1714.0,0.430497143,44.0,0.894794,0.140871808
CENPH,1478.0,0.418392258,87.0,-0.423368,-0.123520463
CENPV,301.0,0.385948267,62.0,0.692,-0.170983934
CEP55,939.0,0.397841874,304.0,0.519617,0.039181242
CETN2,868.0,0.433727498,47.0,-1.131869,-0.21424535
CFL1,677.0,0.502791,234.0,0.218562,-0.129445269
CHAC2,786.0,0.395629742,277.0,0.402125,0.33237117
CHCHD4,3528.0,0.445497334,326.0,0.243063,-0.222953861
CHMP4A,296.0,0.447100154,262.0,-0.149175,0.008156592
CHMP5,1241.0,0.442987983,200.0,0.379219,0.071411141
CHMP6,980.0,0.489861105,78.0,-0.066604,0.096694433
CIAPIN1,1024.0,0.451663323,242.0,0.208609,-0.104402171
CISD2,5376.0,0.433298698,107.0,0.172381,0.639212628
CKAP4,2872.0,0.386259817,84.0,-0.577451,0.160087721
CKS2,300.0,0.317949998,98.0,0.045651,0.302791055
CLCC1,5185.0,0.369704467,150.0,-0.719758,-0.161817823
CLCN7,1698.0,0.459147749,110.0,-0.353433,0.033912579
CLIC1,290.0,0.4571302,573.0,-0.196594,-0.097353392
CLK2,350.0,0.410673686,925.0,0.49262,-0.109023248
CLK3,1233.0,0.4268607,461.0,-0.128185,0.273040839
CLPTM1,458.0,0.383990827,351.0,-0.094768,0.189004972
CLTA,288.0,0.450950874,514.0,0.015276,-0.018217545
CLTB,319.0,0.48548545,210.0,-0.526209,0.053544864
CLTC,3104.0,0.384957863,443.0,1.312901,-4.48e-05
CNBP,6850.0,0.433298698,206.0,-0.512237,-0.252027934
CNPY2,123.0,0.392778455,553.0,-0.425735,-0.082481264
CNPY3,1042.0,0.459231502,584.0,0.129815,0.116000779
COG3,1967.0,0.414689223,142.0,0.509991,0.011598727
COMMD1,306.0,0.423842833,138.0,-0.55836,-0.024910796
COMMD3,431.0,0.360487018,35.0,-0.220004,0.07221225
COMMD5,498.0,0.445713337,399.0,-0.609997,0.299544811
COMMD6,1375.0,0.396967837,328.0,-0.353901,0.252913865
COMMD9,2340.0,0.418062772,89.0,-0.5439,-0.026741803
COPB1,446.0,0.381738818,307.0,-0.29067,-0.019233026
COPE,165.0,0.478760693,55.0,0.054618,-0.223137277
COQ6,671.0,0.374062527,159.0,-0.205961,0.033032221
COQ7,5700.0,0.42379098,133.0,-0.414224,-0.171610443
CORO1A,112.0,0.457388252,435.0,2.078088,0.792306879
COX17,1735.0,0.484254073,86.0,-0.108397,-0.055785765
COX5A,860.0,0.429944966,140.0,-0.364499,-0.225246922
COX7A2,302.0,0.441893926,98.0,-0.172484,0.054045014
CPM,5262.0,0.406054343,75.0,0.791302,0.47975091
CPSF4,923.0,0.452412439,277.0,-0.249916,-0.053147457
CPT1A,2761.0,0.374132033,170.0,1.085807,0.65189421
CPT2,602.0,0.431256564,515.0,-0.094846,-0.329972214
CRCP,8457.0,0.390198146,145.0,0.446939,0.015518317
CRKL,3904.0,0.422225684,509.0,0.127064,0.03501191
CRTAP,5601.0,0.446308827,120.0,-0.485745,0.160611245
CRTC3,3205.0,0.355982524,186.0,1.238851,0.784201441
CRYL1,462.0,0.386242786,79.0,-0.388616,0.035932968
CSRP1,1183.0,0.493833101,217.0,-0.802183,0.419886194
CST3,2762.0,0.475763324,186.0,-0.206507,-0.470512572
CSTF2,1931.0,0.372934478,58.0,-0.453599,-0.052766065
CTBP1,800.0,0.464034004,393.0,0.275466,0.156800867
CTNNA1,1216.0,0.412513324,1103.0,-0.301992,-0.293036197
CTNNB1,1106.0,0.432073699,448.0,-0.464685,-0.230511268
CTNNBIP1,2448.0,0.394834327,307.0,-0.453982,-0.490637873
CTPS2,1870.0,0.416273085,744.0,0.745914,0.094838433
CTSG,119.0,0.369503415,37.0,-0.811232,-0.751213226
CTSH,1072.0,0.446467856,1192.0,0.803601,0.305900841
CUEDC1,2047.0,0.374410739,719.0,-1.386123,-0.287510912
CUX1,1040.0,0.395555213,127.0,-0.078477,0.015421619
CXCL10,814.0,0.410287201,105.0,2.400055,-0.070241099
CXCL9,2323.0,0.403736618,74.0,4.394069,1.511719768
CYBB,2544.0,0.418993019,61.0,2.693128,1.140137724
CYP2S1,1051.0,0.420869286,58.0,1.227532,0.020218094
CYTH4,1837.0,0.406296106,377.0,2.293203,0.454456915
DAB2,1757.0,0.368483127,531.0,0.654176,0.26236149
DAGLB,721.0,0.377719723,170.0,-0.067638,-0.076188804
DAP3,768.0,0.366492687,184.0,0.335927,0.011832205
DAPP1,2082.0,0.348655603,90.0,0.754639,0.318054459
DBI,233.0,0.467027529,479.0,-0.43542,-1.081253209
DCAF12,1967.0,0.42050769,342.0,0.441921,-0.312074555
DCAF8,1877.0,0.380310979,212.0,-0.051099,-0.306476907
DCP1A,4153.0,0.411936399,381.0,0.121271,0.074134788
DCPS,4731.0,0.375605648,329.0,0.074256,0.01211282
DCTN5,10597.0,0.443116252,177.0,-0.012887,0.299121374
DDAH2,653.0,0.361046801,1104.0,-0.579623,-0.168598459
DDB2,1223.0,0.43604051,195.0,-0.20422,0.033703813
DDX23,713.0,0.445931172,91.0,0.749375,0.226664726
DDX31,1870.0,0.361830896,544.0,-0.022088,0.252277058
DDX47,438.0,0.379294484,22.0,-0.042621,0.224372182
DDX54,1704.0,0.467316231,28.0,0.264867,-0.027827401
DDX56,586.0,0.438032149,643.0,0.299216,0.40841487
DDX59,217.0,0.413095257,243.0,0.6614,0.2944028
DHODH,3463.0,0.371608285,21.0,0.182522,0.26419221
DHPS,121.0,0.474111752,121.0,-0.184231,-0.066851454
DHX15,459.0,0.379133957,168.0,0.070104,-0.031561745
DHX34,591.0,0.384465978,349.0,0.294587,0.108678904
DHX58,357.0,0.440330409,223.0,-0.411372,-0.082386132
DIABLO,719.0,0.425893605,1182.0,-0.096974,-0.130235851
DMAP1,63.0,0.471306,301.0,0.148331,0.309372021
DMXL2,1274.0,0.389901613,225.0,1.212689,0.402020621
DNAJA4,1736.0,0.398301408,169.0,-0.506915,-0.706252172
DNAJC19,1326.0,0.403482491,259.0,-0.456068,-0.220493086
DNAJC25,1212.0,0.430964931,56.0,-0.335455,0.712711526
DNAJC8,969.0,0.416719859,33.0,0.044685,0.139522695
DNM1,1255.0,0.393835111,116.0,-0.283525,0.361307241
DNTTIP2,3564.0,0.408096853,58.0,-0.451573,-0.06207805
DOCK11,3681.0,0.373818855,63.0,1.349042,0.727466052
DOCK2,524.0,0.446250827,52.0,2.509497,0.9873125
DOK2,438.0,0.384043737,481.0,1.797507,0.380857441
DPCD,197.0,0.459155016,389.0,-0.481314,-0.466008513
DPF2,2501.0,0.393394442,133.0,0.120101,0.179079083
DPH1,1310.0,0.448716064,341.0,0.393726,0.032573462
DPH5,784.0,0.413363166,165.0,-0.77091,-0.389835509
DPY30,562.0,0.438431353,279.0,-0.279419,-0.262625088
DPYSL2,2472.0,0.430530829,431.0,-0.029384,0.137282281
DRAP1,142.0,0.432809908,245.0,0.127967,0.201319527
DRG1,4594.0,0.444150091,131.0,-0.428101,0.001491461
DSN1,5330.0,0.392894937,373.0,-0.083823,-0.070505081
DSTN,2786.0,0.375776803,438.0,-0.491008,-0.077414875
DTL,2265.0,0.372315747,921.0,-0.265022,-0.38228275
DTX3L,3456.0,0.408848169,89.0,0.253094,0.050921318
DUSP12,374.0,0.419884133,34.0,0.812275,0.332789832
DUT,1937.0,0.36471409,109.0,-0.169137,-0.040794454
DYNLT1,514.0,0.420362019,78.0,0.291585,-0.074283711
EBAG9,1437.0,0.39438748,402.0,1.36728,0.99963104
ECH1,191.0,0.389477111,85.0,-0.108358,-0.215449655
ECHDC2,2269.0,0.400166641,752.0,-0.458114,-0.544472627
ECM1,322.0,0.43792189,199.0,-0.23281,-0.368529139
EDEM2,76.0,0.379021051,100.0,0.271993,-0.37255687
EEA1,5374.0,0.405861636,265.0,-0.182667,0.157917122
EEF1A2,286.0,0.417272363,329.0,-2.648526,-1.625357547
EFTUD2,1331.0,0.444646836,398.0,0.525639,0.103436626
EHD1,3363.0,0.446314898,447.0,0.437392,0.198356921
EIF2AK2,8063.0,0.394727306,557.0,-0.161786,-0.089381332
EIF2B3,1058.0,0.383118637,239.0,-0.016992,0.004513218
EIF3F,5840.0,0.435728237,33.0,-0.415367,-0.187229526
EIF3L,1718.0,0.380710116,245.0,-0.282891,-0.108451331
EIF4A3,1120.0,0.381528282,222.0,-0.31883,-0.013996414
ELAVL1,4910.0,0.437605432,167.0,-0.355133,-0.079520591
EMG1,248.0,0.433768095,143.0,-0.08913,-0.022325432
EMILIN2,2605.0,0.379592019,159.0,1.239867,0.262718396
ENDOD1,7728.0,0.376426787,118.0,-1.297485,-0.530995975
ENOSF1,2904.0,0.382279782,622.0,0.253907,-0.083352394
ENY2,2576.0,0.41756619,146.0,1.607563,0.116915485
EPSTI1,2106.0,0.391777705,469.0,2.0273,0.481659095
ERCC1,2342.0,0.45058755,188.0,-0.410468,-0.080440999
ERCC6L,4809.0,0.354829683,623.0,-0.201134,-0.438429697
ERH,415.0,0.383837906,71.0,-0.340006,-0.062967558
ERLIN1,2041.0,0.444737514,478.0,-0.197141,0.401890253
ERP29,1277.0,0.401191178,118.0,-0.559473,-0.1007232
ETV6,4356.0,0.398240844,274.0,0.23918,0.018558613
EXOC4,1232.0,0.388187525,35.0,0.249226,-0.007439887
EXOC8,6907.0,0.436106501,127.0,-0.658286,-0.046126152
EXOSC1,536.0,0.430105347,451.0,-0.15062,-0.144537736
EXOSC2,3902.0,0.431273517,32.0,0.020999,-0.256324655
F8A1,571.0,0.46317284,15.0,-0.281507,0.083914698
FAAH,2043.0,0.384592892,82.0,0.282592,0.300951709
FAF1,4425.0,0.401181969,453.0,-0.305058,-0.139153691
FAM122A,4542.0,0.40477622,33.0,-0.119135,-0.033292274
FAM168A,6285.0,0.395008865,285.0,0.181032,0.431487597
FAM177A1,2165.0,0.411149627,459.0,-0.420135,-0.343737452
FAM192A,1824.0,0.379195199,1475.0,0.422323,0.172147595
FAM20B,4428.0,0.4357945,293.0,-0.501353,-0.247824859
FAM32A,1091.0,0.408676074,42.0,-0.191771,0.189096897
FAM50A,286.0,0.482889735,110.0,-0.198205,-0.301679033
FBP1,248.0,0.397353747,331.0,0.460455,0.139878358
FBXL20,9338.0,0.383104745,254.0,-0.203206,-0.440256779
FBXO4,526.0,0.393825218,58.0,0.103648,0.246100541
FBXO6,503.0,0.42307306,166.0,0.593717,0.128912849
FCER1G,305.0,0.4202976,25.0,1.491047,0.861188261
FCGRT,309.0,0.433069976,486.0,0.450696,0.4348941
FDPS,72.0,0.456397562,392.0,-0.044267,-0.175991031
FDXR,596.0,0.384661194,188.0,0.395404,-0.335987592
FEN1,1340.0,0.407867196,413.0,-0.072054,0.036189131
FERMT3,399.0,0.435119014,149.0,2.198743,0.817028817
FGD2,907.0,0.441856308,171.0,2.29234,0.62741164
FGFR1OP2,1663.0,0.396595515,353.0,0.31453,0.276662298
FGL2,3460.0,0.40966218,40.0,1.924986,0.809540665
FKBP1A,1132.0,0.428443098,174.0,0.768424,0.234211929
FKBPL,24.0,0.377510344,270.0,0.033587,-0.004897303
FLOT1,422.0,0.472159534,339.0,0.176665,0.828246567
FN3K,442.0,0.389857108,61.0,-0.352171,-0.234520143
FN3KRP,3667.0,0.380720834,50.0,-0.400293,0.131789628
FOXJ3,3176.0,0.401878681,312.0,-0.285509,-0.070977893
FOXK2,3108.0,0.440496276,171.0,-0.047851,0.051449676
FOXRED1,443.0,0.438630908,167.0,-0.005318,0.451522538
FSCN1,1184.0,0.396100853,132.0,0.151727,-0.144099279
FTH1,530.0,0.425357612,235.0,0.061762,0.192438583
FTL,1031.0,0.428438948,199.0,0.725859,0.488818307
FTSJ1,638.0,0.457521275,569.0,0.614662,-0.080377233
FTSJ3,698.0,0.388239396,646.0,0.217813,-0.009664741
FXN,6365.0,0.40465004,220.0,-0.103944,-0.067341508
GABARAPL2,564.0,0.431291441,136.0,0.450287,0.656075553
GABPB1,1320.0,0.423118524,469.0,0.216671,0.207796766
GALK1,292.0,0.455574511,63.0,-0.486039,-0.153818293
GANAB,989.0,0.425909644,1027.0,0.101624,-0.075445393
GAS6,315.0,0.393865445,183.0,-0.210792,0.135630607
GAS7,6619.0,0.423630168,311.0,0.813123,0.647061474
GBE1,708.0,0.404013874,283.0,-0.350585,-0.151401179
GBP1,1735.0,0.42614962,220.0,1.912819,0.786310199
GBP2,5058.0,0.440134196,314.0,1.167962,0.763148648
GBP4,4106.0,0.42983554,116.0,2.401424,0.678769546
GBP5,1753.0,0.421901204,537.0,3.961479,1.512773141
GCH1,2011.0,0.419329122,161.0,1.100657,-0.177328973
GFOD2,622.0,0.396604754,295.0,-0.013672,0.071835739
GGA2,5408.0,0.377812588,83.0,0.197306,-0.096648815
GGCX,5211.0,0.417836117,106.0,-1.076658,-0.363013737
GIGYF1,2212.0,0.443456438,1210.0,0.412256,-0.182793791
GINS3,1415.0,0.387351931,208.0,0.252687,-0.375968032
GLA,1699.0,0.378726947,110.0,-0.871575,-0.833980946
GLE1,1357.0,0.383457083,114.0,0.006458,-0.001889257
GLRX,1188.0,0.430296645,211.0,0.285768,-0.204562108
GLRX3,3557.0,0.41418463,539.0,1.361001,0.79186741
GLUD1,1558.0,0.392454008,1132.0,-0.733875,-0.38238918
GLYR1,2033.0,0.39940414,57.0,-0.293226,-0.085511992
GMEB1,4582.0,0.43446142,142.0,0.632102,0.219807213
GMPPA,198.0,0.434966364,375.0,0.040081,-0.069661436
GMPR,3984.0,0.435743929,114.0,0.622777,-0.211784819
GMPR2,464.0,0.453637396,704.0,-0.207801,-0.198378209
GNAI1,1947.0,0.435804474,356.0,-0.933641,-0.078442756
GNG7,3803.0,0.398730372,237.0,-0.699797,-0.034722662
GNPDA1,1360.0,0.395964134,67.0,0.226267,0.136871322
GOLGA2,1243.0,0.401070546,13.0,-0.006845,-0.101131515
GON4L,926.0,0.418089888,175.0,0.456072,-0.102999099
GOSR1,5968.0,0.408103421,237.0,1.226972,0.933618893
GOSR2,3258.0,0.374298057,541.0,0.281899,0.586386893
GOT2,1054.0,0.444803236,129.0,0.048978,0.157616845
GPS2,97.0,0.431122181,76.0,-0.022286,-0.034208195
GPSM2,4697.0,0.401967226,496.0,-0.387317,-0.635762338
GPX7,626.0,0.395840774,39.0,0.227802,0.361995909
GRAMD1A,299.0,0.411657297,748.0,0.083687,-0.035375958
GRB2,2292.0,0.4413596,358.0,0.559609,0.300398027
GSTM4,2467.0,0.390909061,314.0,-0.683062,-0.370992191
GTF2A2,1070.0,0.420716795,404.0,-0.493663,0.272596823
GTF2E2,604.0,0.365750105,273.0,-0.426553,0.097792483
GTF3C2,932.0,0.372227001,397.0,0.024302,0.040676532
GTPBP1,2894.0,0.424954603,154.0,-0.048052,-0.021204535
GTPBP3,1032.0,0.436547413,95.0,0.106959,-0.169701959
GTSE1,680.0,0.368527868,212.0,0.946053,-0.242068096
HADH,818.0,0.383558671,219.0,-0.765113,-0.706867422
HADHA,615.0,0.383558671,130.0,-0.324431,-0.320459873
HAUS5,3319.0,0.378752573,51.0,0.080882,0.168989645
HAUS8,346.0,0.37535995,111.0,-0.734159,-0.416204973
HCCS,1274.0,0.398607648,275.0,0.31322,0.370344575
HCK,337.0,0.440224323,364.0,1.977391,0.758290871
HDAC1,591.0,0.390040122,63.0,0.414299,-0.226170073
HDDC3,763.0,0.387287166,29.0,0.058004,0.349916667
HDGF,1342.0,0.465394593,322.0,-0.385806,-0.426299631
HDLBP,2343.0,0.397687311,375.0,0.008863,0.10263698
HEATR3,1385.0,0.384091545,883.0,0.513339,0.036930642
HEBP2,9119.0,0.359416339,297.0,-0.234632,-0.300642712
HECA,3704.0,0.443714129,285.0,0.400297,0.222784882
HECTD3,3914.0,0.446742268,98.0,0.285412,0.167812342
HERC2,726.0,0.429958504,109.0,-0.004159,0.382196312
HERC5,379.0,0.393838904,153.0,0.514436,-0.137395147
HERC6,651.0,0.398146132,183.0,-0.486669,-0.324839285
HIP1,4874.0,0.430847644,52.0,-0.948589,-0.181006634
HLA-A,4150.0,0.424443523,84.0,1.225173,1.070210146
HLA-C,420.0,0.421684519,65.0,0.496374,0.534003619
HLA-DRA,409.0,0.420807891,109.0,1.746735,0.563197563
HLA-E,1459.0,0.413523771,126.0,1.185483,0.666212153
HLA-F,121.0,0.407256461,124.0,1.376064,0.51086141
HMBOX1,3560.0,0.369177113,482.0,-0.312102,-0.886469801
HMBS,266.0,0.451934812,299.0,-0.232244,-0.287186561
HMGB2,3775.0,0.450826504,193.0,1.281819,0.66759547
HMGCS1,3661.0,0.374424323,345.0,0.612398,0.761881895
HMOX1,616.0,0.436401717,107.0,0.944342,0.325750757
HNRNPA0,7504.0,0.386421138,284.0,-0.009427,-0.278904414
HNRNPD,1688.0,0.420386111,318.0,0.206361,-0.192798243
HNRNPL,1102.0,0.449817015,176.0,0.004025,-0.185925289
HNRNPU,4156.0,0.432126199,218.0,-0.219734,-0.163614645
HNRNPUL1,2135.0,0.394022965,339.0,0.348908,0.18002095
HNRNPUL2,2674.0,0.436897081,229.0,0.363619,0.129966424
HSBP1,3274.0,0.4454546,174.0,0.4483,-0.079852197
HSD17B7,398.0,0.431983247,99.0,-0.154264,-0.341118551
HSP90AB1,313.0,0.39509298,251.0,-0.434168,-0.381733722
HSPA1L,428.0,0.464100714,183.0,0.558049,-0.21975955
HSPA4L,7877.0,0.413794867,342.0,-0.749001,-0.481975051
HSPB11,107.0,0.34538245,284.0,-0.897675,-0.611280652
HTRA2,571.0,0.421976635,602.0,-0.000875,-0.261856523
HTT,3901.0,0.373695076,145.0,0.457466,0.129268635
HUS1,2068.0,0.374612864,131.0,0.183293,0.145477603
HYI,310.0,0.378597605,196.0,-0.411936,0.034946523
HYOU1,1409.0,0.403839016,234.0,0.091199,-0.174671413
ICAM1,1537.0,0.426062071,319.0,0.978195,-0.032179516
IER3IP1,3342.0,0.438740024,97.0,-0.668524,0.467129876
IFI16,254.0,0.415211655,290.0,0.84131,0.547806041
IFI30,213.0,0.431523306,62.0,1.52607,-0.092414623
IFI35,160.0,0.418462024,223.0,0.009742,0.203185765
IFI44,267.0,0.403888008,124.0,0.636948,-0.166089447
IFI44L,5058.0,0.403608012,200.0,0.802636,-0.127229449
