,3prime,tAI,max_5_UTR_length,TCGA-A2-A0EX,TCGA-A2-A0EX.1
CBS,4385.0,0.477784031,626.0,-1.189813,-1.232719706
CBX5,10815.0,0.390902295,318.0,0.038636,0.080674499
CBX8,2504.0,0.36735217,118.0,-0.251828,-0.035931543
CCDC115,2169.0,0.385110507,452.0,0.146766,-0.092844944
CCDC125,2554.0,0.359965106,322.0,-0.247563,-0.027259035
CCDC58,2462.0,0.421830022,75.0,0.010466,-0.339865189
CCDC88C,1302.0,0.396031427,154.0,-0.173859,-0.358965827
CCL5,886.0,0.462166288,68.0,-0.199373,0.030339803
CCNA2,1206.0,0.409154498,373.0,-1.560499,-0.786402425
CCNB2,168.0,0.374401461,184.0,-1.826028,-0.182239349
CCNDBP1,2336.0,0.44393643,231.0,0.4163,0.032181766
CCS,4244.0,0.460896681,43.0,0.327667,-0.084760868
CCT3,238.0,0.457984718,231.0,0.453928,-0.086938624
CCT4,1361.0,0.393363555,164.0,0.231729,-0.147432899
CD14,128.0,0.416321757,392.0,-1.175439,-0.307942111
CD209,3046.0,0.440000747,67.0,-0.899273,-0.478157032
CD36,2894.0,0.410517795,414.0,1.025824,0.407990884
CD40,982.0,0.429065654,90.0,0.046067,-0.037296502
CD44,3115.0,0.39995987,434.0,0.387585,-0.054039352
CD63,923.0,0.512738356,403.0,-0.03415,-0.702659335
CD74,635.0,0.427357309,187.0,0.088409,0.021084154
CDC25C,437.0,0.364786128,387.0,-2.375022,-0.916626165
CDC26,271.0,0.395637029,359.0,0.547608,0.180994953
CDC34,560.0,0.46431386,199.0,0.124576,0.102829522
CDC42EP3,3941.0,0.420378821,1009.0,0.112723,0.081637243
CDCA3,816.0,0.351209268,820.0,-1.306588,-0.211466914
CDCA8,1353.0,0.384295288,290.0,-1.192049,-0.379768603
CDIPT,1864.0,0.442654716,541.0,0.249814,0.199374763
CDK1,2313.0,0.398329505,154.0,-1.432293,-0.690543254
CDK19,4557.0,0.421511824,180.0,0.273673,0.256287458
CDK2AP1,766.0,0.439144625,522.0,-0.256471,0.179825984
CDK5RAP2,367.0,0.371069462,192.0,0.299582,0.195902383
CDK5RAP3,284.0,0.469750898,1791.0,-0.184536,0.024067635
CDKAL1,1365.0,0.417875209,167.0,-0.063452,-0.3419771
CDKN2AIPNL,3639.0,0.409801696,53.0,0.59619,-0.224047472
CDKN2C,2247.0,0.381912025,1216.0,-0.268057,0.604115808
CEBPD,1714.0,0.430497143,44.0,-0.190088,0.065002704
CENPH,1478.0,0.418392258,87.0,-0.429283,-0.656277999
CENPV,301.0,0.385948267,62.0,0.447945,0.257318678
CEP55,939.0,0.397841874,304.0,-2.060128,-0.295188291
CES3,2100.0,0.377378956,446.0,-2.653721,-0.039376851
CETN2,868.0,0.433727498,47.0,0.441185,0.220123396
CFL1,677.0,0.502791,234.0,0.078588,-0.072244609
CHAC2,786.0,0.395629742,277.0,0.45798,-0.37832446
CHCHD4,3528.0,0.445497334,326.0,-0.031422,-0.711879366
CHMP4A,296.0,0.447100154,262.0,0.533227,0.103101326
CHMP5,1241.0,0.442987983,200.0,0.045273,-0.240533193
CHMP6,980.0,0.489861105,78.0,-0.087064,0.191229578
CHTF8,2425.0,0.424551152,142.0,0.030398,-0.296424607
CIAPIN1,1024.0,0.451663323,242.0,-0.229315,0.014601909
CISD2,5376.0,0.433298698,107.0,0.115516,-0.758401941
CKAP4,2872.0,0.386259817,84.0,-0.522961,-0.062982122
CKS2,300.0,0.317949998,98.0,-0.408996,-0.470699542
CLCC1,5185.0,0.369704467,150.0,-0.133752,-0.323886449
CLCN7,1698.0,0.459147749,110.0,-0.086571,-0.183160081
CLIC1,290.0,0.4571302,573.0,-0.074598,-0.182905839
CLK2,350.0,0.410673686,925.0,-0.596955,-0.335923206
CLK3,1233.0,0.4268607,461.0,-0.365441,-0.033047989
CLPTM1,458.0,0.383990827,351.0,0.160134,-0.288484646
CLTA,288.0,0.450950874,514.0,0.207635,0.035866131
CLTB,319.0,0.48548545,210.0,0.183042,0.531486945
CLTC,3104.0,0.384957863,443.0,0.067266,-0.161954165
CNBP,6850.0,0.433298698,206.0,0.270876,0.015749888
CNPY2,123.0,0.392778455,553.0,0.022169,-0.053727604
CNPY3,1042.0,0.459231502,584.0,0.157482,-0.23045433
COG3,1967.0,0.414689223,142.0,-0.184577,-0.141729555
COMMD1,306.0,0.423842833,138.0,0.08422,0.173740823
COMMD3,431.0,0.360487018,35.0,0.294204,0.23314199
COMMD5,498.0,0.445713337,399.0,-0.060178,0.106118804
COMMD6,1375.0,0.396967837,328.0,0.649864,0.198891025
COMMD9,2340.0,0.418062772,89.0,0.046152,0.24860717
COPB1,446.0,0.381738818,307.0,-0.212479,-0.034092107
COPE,165.0,0.478760693,55.0,-0.285278,-0.102183495
COQ6,671.0,0.374062527,159.0,0.085812,-0.190919199
COQ7,5700.0,0.42379098,133.0,-0.245939,-0.095945082
CORO1A,112.0,0.457388252,435.0,0.312506,0.147103923
COX17,1735.0,0.484254073,86.0,-0.286197,-0.739511112
COX5A,860.0,0.429944966,140.0,0.210461,-0.375978562
COX7A2,302.0,0.441893926,98.0,0.063701,-0.717571188
CPM,5262.0,0.406054343,75.0,-1.679769,-0.615509972
CPSF4,923.0,0.452412439,277.0,0.241743,0.001237533
CPT1A,2761.0,0.374132033,170.0,-1.100496,-0.526165436
CPT2,602.0,0.431256564,515.0,-0.056054,-0.372806713
CRCP,8457.0,0.390198146,145.0,-0.731662,0.035734742
CRKL,3904.0,0.422225684,509.0,0.177813,0.242253172
CRTAP,5601.0,0.446308827,120.0,-0.420805,0.15163404
CRTC3,3205.0,0.355982524,186.0,0.110973,0.356092252
CRY2,2337.0,0.383442872,132.0,0.577053,0.237724996
CRYL1,462.0,0.386242786,79.0,0.315518,0.450415314
CSRP1,1183.0,0.493833101,217.0,0.134625,0.354681214
CST3,2762.0,0.475763324,186.0,-0.325199,-0.524239745
CSTF2,1931.0,0.372934478,58.0,-0.06818,0.062315349
CTBP1,800.0,0.464034004,393.0,-0.037681,0.199445651
CTNNA1,1216.0,0.412513324,1103.0,0.219386,-0.500993309
CTNNB1,1106.0,0.432073699,448.0,0.142184,-0.495528929
CTNNBIP1,2448.0,0.394834327,307.0,0.248402,0.059625539
CTPS2,1870.0,0.416273085,744.0,-0.396727,-0.116310257
CTSG,119.0,0.369503415,37.0,1.602369,-0.252475361
CTSH,1072.0,0.446467856,1192.0,0.275648,0.047914077
CUEDC1,2047.0,0.374410739,719.0,0.239361,0.247663697
CUX1,1040.0,0.395555213,127.0,0.426157,0.023758121
CXCL10,814.0,0.410287201,105.0,-2.122954,-1.684212039
CXCL9,2323.0,0.403736618,74.0,-0.756526,-1.378594308
CYBB,2544.0,0.418993019,61.0,-0.534243,-0.195991563
CYP2S1,1051.0,0.420869286,58.0,0.271353,-0.925352637
CYTH4,1837.0,0.406296106,377.0,-0.169783,0.02372027
DAB2,1757.0,0.368483127,531.0,0.202471,0.573359293
DAGLB,721.0,0.377719723,170.0,0.175131,-0.089777035
DAP3,768.0,0.366492687,184.0,-0.069054,-0.336195512
DAPP1,2082.0,0.348655603,90.0,-1.276283,-0.199427819
DBI,233.0,0.467027529,479.0,0.089275,-0.673754245
DCAF8,1877.0,0.380310979,212.0,-0.159271,0.19746582
DCP1A,4153.0,0.411936399,381.0,-0.155369,0.093151983
DCPS,4731.0,0.375605648,329.0,0.398254,0.166460671
DCTN5,10597.0,0.443116252,177.0,-0.039505,0.300582286
DDAH2,653.0,0.361046801,1104.0,0.201289,0.284333995
DDB2,1223.0,0.43604051,195.0,-0.460043,0.184543654
DDX23,713.0,0.445931172,91.0,0.120585,-0.007150922
DDX31,1870.0,0.361830896,544.0,0.112807,0.002710176
DDX47,438.0,0.379294484,22.0,-0.2014,-0.110218017
DDX54,1704.0,0.467316231,28.0,0.13417,0.357183244
DDX56,586.0,0.438032149,643.0,0.120812,0.094071052
DDX59,217.0,0.413095257,243.0,-0.702187,-0.394915038
DHODH,3463.0,0.371608285,21.0,-0.232067,-0.351784707
DHPS,121.0,0.474111752,121.0,-0.038356,-0.328826046
DHX15,459.0,0.379133957,168.0,-0.075235,-0.224932076
DHX34,591.0,0.384465978,349.0,-0.305951,-0.175958918
DHX58,357.0,0.440330409,223.0,0.249827,-0.187635566
DIABLO,719.0,0.425893605,1182.0,0.380463,-0.261498681
DMAP1,63.0,0.471306,301.0,0.197385,0.059560203
DMXL2,1274.0,0.389901613,225.0,-1.257314,-0.213974714
DNAJA4,1736.0,0.398301408,169.0,0.285286,-0.187142366
DNAJC19,1326.0,0.403482491,259.0,0.746655,-0.351402321
DNAJC25,1212.0,0.430964931,56.0,-0.213519,-0.222585272
DNAJC8,969.0,0.416719859,33.0,0.257588,0.14442254
DNM1,1255.0,0.393835111,116.0,0.144087,0.952814715
DNTTIP2,3564.0,0.408096853,58.0,0.069034,0.2653843
DOCK11,3681.0,0.373818855,63.0,-0.129426,0.352509488
DOCK2,524.0,0.446250827,52.0,-0.296564,0.176025141
DOK2,438.0,0.384043737,481.0,-0.742589,-0.266897194
DPCD,197.0,0.459155016,389.0,0.62363,0.468273999
DPF2,2501.0,0.393394442,133.0,0.220198,0.156686337
DPH1,1310.0,0.448716064,341.0,-0.266767,-0.176854868
DPH5,784.0,0.413363166,165.0,0.336634,-0.206945453
DPY30,562.0,0.438431353,279.0,0.365675,0.10500349
DPYSL2,2472.0,0.430530829,431.0,2.276061,1.233920179
DRAP1,142.0,0.432809908,245.0,0.331074,0.085352257
DRG1,4594.0,0.444150091,131.0,0.366173,0.064251266
DSN1,5330.0,0.392894937,373.0,-0.754895,-0.259855514
DSTN,2786.0,0.375776803,438.0,0.558044,0.245141169
DTL,2265.0,0.372315747,921.0,-2.198545,-0.829836093
DTX3L,3456.0,0.408848169,89.0,-0.430429,-0.20116972
DUSP12,374.0,0.419884133,34.0,-1.182845,-0.364984414
DUT,1937.0,0.36471409,109.0,-0.139408,-0.252821786
DYNLT1,514.0,0.420362019,78.0,0.49486,-0.045694053
EBAG9,1437.0,0.39438748,402.0,0.765319,-0.03986196
ECH1,191.0,0.389477111,85.0,0.340779,-0.303728693
ECHDC2,2269.0,0.400166641,752.0,0.533736,0.351440253
ECM1,322.0,0.43792189,199.0,-0.716089,0.118089129
EDEM2,76.0,0.379021051,100.0,-0.446641,-0.041213827
EEA1,5374.0,0.405861636,265.0,-0.071729,0.591361432
EEF1A2,286.0,0.417272363,329.0,-0.085144,-0.307908597
EFTUD2,1331.0,0.444646836,398.0,0.280613,-0.052335106
EHD1,3363.0,0.446314898,447.0,-0.228176,0.049358906
EIF2AK2,8063.0,0.394727306,557.0,-1.074959,-0.349137585
EIF2B3,1058.0,0.383118637,239.0,0.030525,0.007501362
EIF3F,5840.0,0.435728237,33.0,0.484339,0.09591841
EIF3L,1718.0,0.380710116,245.0,1.058576,0.103801862
EIF4A3,1120.0,0.381528282,222.0,0.207858,-0.038024781
ELAVL1,4910.0,0.437605432,167.0,-0.066616,-0.072767803
EMG1,248.0,0.433768095,143.0,0.573274,0.070810462
EMILIN2,2605.0,0.379592019,159.0,-1.564162,-0.546999401
ENDOD1,7728.0,0.376426787,118.0,-0.357575,-0.229798161
ENOSF1,2904.0,0.382279782,622.0,0.818108,0.238906465
ENY2,2576.0,0.41756619,146.0,-0.236027,0.196605958
EPSTI1,2106.0,0.391777705,469.0,-1.079925,-0.516058725
ERCC1,2342.0,0.45058755,188.0,0.895895,0.195014444
ERCC6L,4809.0,0.354829683,623.0,-2.707549,-0.813436922
ERH,415.0,0.383837906,71.0,0.628131,0.054447566
ERLIN1,2041.0,0.444737514,478.0,-0.092787,-0.332018033
ERP29,1277.0,0.401191178,118.0,0.337203,-0.280162514
ETV6,4356.0,0.398240844,274.0,-0.158574,0.028274566
EXOC4,1232.0,0.388187525,35.0,0.491783,0.182227858
EXOC8,6907.0,0.436106501,127.0,-0.406237,0.20760896
EXOSC1,536.0,0.430105347,451.0,0.283117,0.199545428
EXOSC2,3902.0,0.431273517,32.0,-0.157872,0.129263097
F8A1,571.0,0.46317284,15.0,-0.224023,-0.021112301
FAAH,2043.0,0.384592892,82.0,0.854103,0.009511788
FAF1,4425.0,0.401181969,453.0,0.227137,0.119905018
FAM122A,4542.0,0.40477622,33.0,0.048912,0.14961706
FAM168A,6285.0,0.395008865,285.0,0.116087,0.530978735
FAM177A1,2165.0,0.411149627,459.0,0.601919,-0.012127723
FAM192A,1824.0,0.379195199,1475.0,-0.478352,-0.005947931
FAM20B,4428.0,0.4357945,293.0,-0.778568,-0.248023471
FAM32A,1091.0,0.408676074,42.0,0.274253,0.482961005
FAM50A,286.0,0.482889735,110.0,0.277334,0.02448579
FBP1,248.0,0.397353747,331.0,0.431796,-0.754318298
FBXL20,9338.0,0.383104745,254.0,-0.160223,-0.238620474
FBXO4,526.0,0.393825218,58.0,0.447053,0.050151658
FBXO6,503.0,0.42307306,166.0,-0.450561,-0.469195248
FCER1G,305.0,0.4202976,25.0,-0.660966,-0.104666294
FCGRT,309.0,0.433069976,486.0,0.479477,0.045751814
FDPS,72.0,0.456397562,392.0,-0.204906,-0.642055317
FDXR,596.0,0.384661194,188.0,-0.02033,-0.389583844
FEN1,1340.0,0.407867196,413.0,-0.883045,-0.583863556
FERMT3,399.0,0.435119014,149.0,-0.444061,-0.1648758
FGD2,907.0,0.441856308,171.0,-0.796232,0.020967951
FGFR1OP2,1663.0,0.396595515,353.0,-0.251148,0.338460243
FGL2,3460.0,0.40966218,40.0,0.881084,0.007112893
FKBP1A,1132.0,0.428443098,174.0,-0.065332,0.007600259
FKBPL,24.0,0.377510344,270.0,0.106638,0.326741591
FLOT1,422.0,0.472159534,339.0,0.119516,-0.037605311
FN3K,442.0,0.389857108,61.0,0.16084,-0.156537839
FN3KRP,3667.0,0.380720834,50.0,0.073287,-0.151710434
FOXJ3,3176.0,0.401878681,312.0,-0.083763,-0.168092605
FOXK2,3108.0,0.440496276,171.0,-0.203805,-0.075696763
FOXRED1,443.0,0.438630908,167.0,0.17791,-0.26661216
FSCN1,1184.0,0.396100853,132.0,-0.051026,0.233480384
FTH1,530.0,0.425357612,235.0,0.114009,-0.392229221
FTL,1031.0,0.428438948,199.0,0.185861,-0.810103712
FTSJ1,638.0,0.457521275,569.0,-0.064235,-0.011324468
FTSJ3,698.0,0.388239396,646.0,0.232952,0.056965611
FXN,6365.0,0.40465004,220.0,-0.082711,-0.129761228
GABARAPL2,564.0,0.431291441,136.0,-0.014201,0.201349479
GABPB1,1320.0,0.423118524,469.0,0.105923,0.132613527
GALK1,292.0,0.455574511,63.0,0.112076,-0.101796071
GANAB,989.0,0.425909644,1027.0,0.035735,-0.11890796
GAS6,315.0,0.393865445,183.0,0.940488,0.534484575
GAS7,6619.0,0.423630168,311.0,0.797253,0.849878543
GBE1,708.0,0.404013874,283.0,-0.081123,0.180544921
GBP1,1735.0,0.42614962,220.0,-1.287421,-0.604967905
GBP2,5058.0,0.440134196,314.0,0.110193,-0.003131555
GBP4,4106.0,0.42983554,116.0,-0.714002,-0.154790705
GBP5,1753.0,0.421901204,537.0,-1.164648,-0.80736487
GCH1,2011.0,0.419329122,161.0,-0.550569,-0.708972782
GFOD2,622.0,0.396604754,295.0,-0.085486,0.142353061
GGA2,5408.0,0.377812588,83.0,-0.450226,-0.252433017
GGCX,5211.0,0.417836117,106.0,0.233846,-0.015243431
GIGYF1,2212.0,0.443456438,1210.0,-0.352699,-0.031672658
GINS3,1415.0,0.387351931,208.0,-0.733144,-0.976455865
GLA,1699.0,0.378726947,110.0,0.814616,1.271551844
GLE1,1357.0,0.383457083,114.0,-0.302079,-0.083061027
GLRX,1188.0,0.430296645,211.0,-0.786625,-0.615885975
GLRX3,3557.0,0.41418463,539.0,-0.133641,-0.228798439
GLUD1,1558.0,0.392454008,1132.0,0.79469,-0.028766459
GLYR1,2033.0,0.39940414,57.0,0.113083,0.139152938
GMEB1,4582.0,0.43446142,142.0,0.041401,0.040612468
GMPPA,198.0,0.434966364,375.0,-0.271288,0.174419858
GMPR,3984.0,0.435743929,114.0,0.28252,-0.450984051
GMPR2,464.0,0.453637396,704.0,0.578072,0.552230985
GNAI1,1947.0,0.435804474,356.0,-0.292999,-0.033094136
GNG7,3803.0,0.398730372,237.0,0.959864,0.164903266
GNPDA1,1360.0,0.395964134,67.0,0.253188,0.131174653
GOLGA2,1243.0,0.401070546,13.0,-0.27583,-0.005284368
GON4L,926.0,0.418089888,175.0,-0.806574,-0.318180957
GOSR1,5968.0,0.408103421,237.0,-0.029643,-0.151339618
GOSR2,3258.0,0.374298057,541.0,-0.058988,0.066718675
GOT2,1054.0,0.444803236,129.0,-0.354186,0.034944811
GPS2,97.0,0.431122181,76.0,-0.492392,0.015809387
GPSM2,4697.0,0.401967226,496.0,-1.326728,0.500814498
GPX7,626.0,0.395840774,39.0,0.80729,0.914915491
GRAMD1A,299.0,0.411657297,748.0,0.02533,-0.193602025
GRB2,2292.0,0.4413596,358.0,0.205179,-0.137724379
GSTM4,2467.0,0.390909061,314.0,-0.527943,-1.651466448
GTF2A2,1070.0,0.420716795,404.0,0.205439,0.294007029
GTF2E2,604.0,0.365750105,273.0,2.202818,0.535394948
GTF3C2,932.0,0.372227001,397.0,0.000235,-0.035788406
GTPBP1,2894.0,0.424954603,154.0,0.134594,0.020851802
GTPBP3,1032.0,0.436547413,95.0,-0.479304,-0.421879999
GTSE1,680.0,0.368527868,212.0,-2.188845,-0.284578206
GTSF1,222.0,0.36097632,86.0,-0.607893,0.025164864
HADH,818.0,0.383558671,219.0,0.055221,-0.390581934
HADHA,615.0,0.383558671,130.0,0.274701,-0.139428243
HAUS5,3319.0,0.378752573,51.0,0.169522,0.092251259
HAUS8,346.0,0.37535995,111.0,-0.745532,-0.312921
HCCS,1274.0,0.398607648,275.0,0.410095,-0.324607917
HCK,337.0,0.440224323,364.0,-0.428172,-0.499045093
HDAC1,591.0,0.390040122,63.0,0.544,0.085818164
HDDC3,763.0,0.387287166,29.0,0.270959,0.396103253
HDGF,1342.0,0.465394593,322.0,-0.057958,-0.019603494
HDLBP,2343.0,0.397687311,375.0,0.207858,0.219877304
HEATR3,1385.0,0.384091545,883.0,-0.55147,-0.161246309
HEBP2,9119.0,0.359416339,297.0,0.480941,0.215796309
HECA,3704.0,0.443714129,285.0,-0.500234,0.0801584
HECTD3,3914.0,0.446742268,98.0,0.485476,0.066102034
HERC2,726.0,0.429958504,109.0,0.093524,-0.070679389
HERC5,379.0,0.393838904,153.0,-1.113477,-0.38792244
HERC6,651.0,0.398146132,183.0,-0.715284,-0.429447173
HIP1,4874.0,0.430847644,52.0,-0.304213,0.246729466
HLA-A,4150.0,0.424443523,84.0,-0.07007,0.140268954
HLA-C,420.0,0.421684519,65.0,-0.624402,-0.596050618
HLA-DRA,409.0,0.420807891,109.0,0.294888,-0.263915836
HLA-E,1459.0,0.413523771,126.0,-0.003498,-0.086371832
HLA-F,121.0,0.407256461,124.0,-0.616693,-0.774490839
HMBOX1,3560.0,0.369177113,482.0,0.568463,-0.270632457
HMBS,266.0,0.451934812,299.0,0.273364,-0.125060179
HMGB2,3775.0,0.450826504,193.0,-0.764827,-0.597249703
HMGCS1,3661.0,0.374424323,345.0,-0.066177,-0.432477874
HMOX1,616.0,0.436401717,107.0,-0.534303,-0.231623081
HNRNPA0,7504.0,0.386421138,284.0,0.297335,0.017899802
HNRNPD,1688.0,0.420386111,318.0,-0.184825,-0.115060901
HNRNPL,1102.0,0.449817015,176.0,0.238605,-0.080442463
HNRNPU,4156.0,0.432126199,218.0,-0.179894,-0.044603905
HNRNPUL1,2135.0,0.394022965,339.0,0.436732,0.158675998
HNRNPUL2,2674.0,0.436897081,229.0,0.129238,0.137828546
HSBP1,3274.0,0.4454546,174.0,-0.013493,0.189804581
HSD11B1,4482.0,0.426649415,154.0,-0.563328,0.316426503
HSD17B7,398.0,0.431983247,99.0,-0.891828,-0.296944976
HSP90AB1,313.0,0.39509298,251.0,0.058379,-0.324927782
HSPA1L,428.0,0.464100714,183.0,-0.066745,0.363492966
HSPA4L,7877.0,0.413794867,342.0,-0.242215,-0.040195348
HSPB11,107.0,0.34538245,284.0,-0.30129,-0.457452174
HTRA2,571.0,0.421976635,602.0,0.266378,-0.20539561
HTT,3901.0,0.373695076,145.0,-0.223361,-0.006896451
HUS1,2068.0,0.374612864,131.0,-0.193534,-0.162876079
HYI,310.0,0.378597605,196.0,0.062841,-0.227342313
HYOU1,1409.0,0.403839016,234.0,0.038164,-0.372280558
ICAM1,1537.0,0.426062071,319.0,-0.838987,-0.185008402
IER3IP1,3342.0,0.438740024,97.0,0.086707,-0.469260952
