,3prime,tAI,max_5_UTR_length,TCGA-A2-A0YC,TCGA-A2-A0YC.1
C1QB,152.0,0.436596666,340.0,0.313064,0.031571061
C1QC,327.0,0.41150294,283.0,0.462904,0.155291831
C2CD3,671.0,0.360398895,227.0,-0.006009,-0.120692648
C3,5088.0,0.430632158,93.0,-0.705941,0.017578538
CAP1,1134.0,0.406948565,416.0,-0.058892,0.139253213
CAPN1,720.0,0.455130071,197.0,0.020471,0.317337872
CAPRIN1,5632.0,0.374918508,189.0,0.625161,0.111103199
CAPZB,5180.0,0.446052528,622.0,-0.399057,0.023060812
CARD16,437.0,0.41300235,27.0,-0.182802,-0.286372883
CARHSP1,4898.0,0.362100245,360.0,-0.369515,-0.181282406
CASC3,1778.0,0.370720542,295.0,0.623077,-0.183154157
CASP1,750.0,0.424742838,44.0,0.440633,0.309113108
CASP8,1794.0,0.376118708,303.0,0.693228,0.331813996
CAT,629.0,0.397270122,89.0,1.026528,0.175635639
CBL,8368.0,0.375957197,142.0,-0.34578,-0.260646238
CBLL1,3286.0,0.400851504,467.0,0.030266,0.134409545
CBR3,54.0,0.445176236,228.0,-0.799038,-0.423001563
CBS,4385.0,0.477784031,626.0,-2.299582,-0.820633185
CBX5,10815.0,0.390902295,318.0,0.214124,-0.319145929
CBX8,2504.0,0.36735217,118.0,-0.251069,0.185389964
CCDC115,2169.0,0.385110507,452.0,-0.00291,0.209532948
CCDC58,2462.0,0.421830022,75.0,-0.033726,0.066332426
CCDC88C,1302.0,0.396031427,154.0,0.784381,0.052325177
CCL5,886.0,0.462166288,68.0,-0.391383,-0.169609779
CCNA2,1206.0,0.409154498,373.0,-0.200834,-0.006764901
CCNB2,168.0,0.374401461,184.0,-0.454942,-0.266705354
CCNDBP1,2336.0,0.44393643,231.0,0.374959,0.157465985
CCS,4244.0,0.460896681,43.0,0.074992,0.237094669
CCT3,238.0,0.457984718,231.0,-0.174221,-0.048854248
CCT4,1361.0,0.393363555,164.0,-0.322347,0.024981109
CD14,128.0,0.416321757,392.0,0.140798,0.045454765
CD209,3046.0,0.440000747,67.0,0.972391,-0.157389567
CD36,2894.0,0.410517795,414.0,1.366214,0.447358854
CD40,982.0,0.429065654,90.0,-0.287605,-0.600818629
CD44,3115.0,0.39995987,434.0,0.681923,-0.16771909
CD63,923.0,0.512738356,403.0,-0.405871,-0.455918264
CD74,635.0,0.427357309,187.0,-0.133954,-0.165577743
CDC25C,437.0,0.364786128,387.0,-0.295198,-0.206164439
CDC26,271.0,0.395637029,359.0,-0.09587,0.229386754
CDC34,560.0,0.46431386,199.0,-0.359983,0.269193283
CDC42EP3,3941.0,0.420378821,1009.0,0.495062,-1.065431663
CDCA8,1353.0,0.384295288,290.0,-0.376196,-0.285510304
CDIPT,1864.0,0.442654716,541.0,-0.017049,-0.046165523
CDK1,2313.0,0.398329505,154.0,-0.474381,-0.318161912
CDK19,4557.0,0.421511824,180.0,-0.056579,-0.094199681
CDK2AP1,766.0,0.439144625,522.0,-0.553246,-0.402773445
CDK5RAP2,367.0,0.371069462,192.0,0.186684,-0.084695328
CDK5RAP3,284.0,0.469750898,1791.0,0.116465,0.356537329
CDKAL1,1365.0,0.417875209,167.0,-0.066255,-0.34435249
CDKN2AIPNL,3639.0,0.409801696,53.0,0.637549,-0.234084608
CDKN2C,2247.0,0.381912025,1216.0,-0.474347,-0.00814738
CEBPD,1714.0,0.430497143,44.0,0.448207,0.058618633
CENPH,1478.0,0.418392258,87.0,0.286512,-0.607713879
CENPV,301.0,0.385948267,62.0,-1.302066,-0.39820382
CEP55,939.0,0.397841874,304.0,0.008883,0.117001169
CES3,2100.0,0.377378956,446.0,-2.537492,-1.164724985
CETN2,868.0,0.433727498,47.0,0.180697,0.363180663
CFL1,677.0,0.502791,234.0,0.194689,0.07318094
CHAC2,786.0,0.395629742,277.0,-1.421067,-0.690485669
CHCHD4,3528.0,0.445497334,326.0,-0.158679,0.114761955
CHMP4A,296.0,0.447100154,262.0,0.341696,0.313890348
CHMP5,1241.0,0.442987983,200.0,0.336376,0.360000173
CHMP6,980.0,0.489861105,78.0,0.115955,-0.148963365
CHST11,4211.0,0.430763246,498.0,0.082539,-0.118431443
CHTF8,2425.0,0.424551152,142.0,-0.092311,-0.34278373
CIAPIN1,1024.0,0.451663323,242.0,-0.66162,-0.243484408
CISD2,5376.0,0.433298698,107.0,-0.162671,-0.084410547
CKAP4,2872.0,0.386259817,84.0,-0.571535,-0.184615024
CKS2,300.0,0.317949998,98.0,-0.693234,-0.034962579
CLCC1,5185.0,0.369704467,150.0,-0.08683,0.113380852
CLCN7,1698.0,0.459147749,110.0,0.885317,0.132943649
CLIC1,290.0,0.4571302,573.0,-0.191633,-0.079269455
CLK2,350.0,0.410673686,925.0,-0.250992,-0.23338511
CLK3,1233.0,0.4268607,461.0,-0.50959,-0.263595299
CLPTM1,458.0,0.383990827,351.0,0.110489,-0.397012045
CLTA,288.0,0.450950874,514.0,-0.238912,0.305538136
CLTB,319.0,0.48548545,210.0,-0.777837,-0.011110397
CLTC,3104.0,0.384957863,443.0,0.970145,-0.164221096
CNBP,6850.0,0.433298698,206.0,-0.306122,0.026458036
CNPY2,123.0,0.392778455,553.0,-0.003818,0.193829964
CNPY3,1042.0,0.459231502,584.0,-0.23615,0.273144415
COG3,1967.0,0.414689223,142.0,0.18451,0.292916595
COMMD1,306.0,0.423842833,138.0,-0.093712,0.207172382
COMMD3,431.0,0.360487018,35.0,1.101715,0.098121625
COMMD5,498.0,0.445713337,399.0,-0.378068,0.203489049
COMMD6,1375.0,0.396967837,328.0,-0.19308,0.326298369
COMMD9,2340.0,0.418062772,89.0,-0.155263,0.062000529
COPB1,446.0,0.381738818,307.0,-0.102066,0.035662308
COPE,165.0,0.478760693,55.0,-0.430208,-0.039310814
COQ6,671.0,0.374062527,159.0,0.564827,-0.042822407
COQ7,5700.0,0.42379098,133.0,1.039076,0.000758138
CORO1A,112.0,0.457388252,435.0,0.093955,-0.17891542
COX17,1735.0,0.484254073,86.0,-0.149096,-0.111288498
COX5A,860.0,0.429944966,140.0,-0.263727,-0.822691425
COX7A2,302.0,0.441893926,98.0,0.241751,-0.645412822
CPM,5262.0,0.406054343,75.0,0.010222,-0.462582728
CPSF4,923.0,0.452412439,277.0,-0.494575,0.094259855
CPT1A,2761.0,0.374132033,170.0,0.287808,0.177638703
CPT2,602.0,0.431256564,515.0,0.597739,0.615650398
CRCP,8457.0,0.390198146,145.0,-0.130289,0.186239006
CRKL,3904.0,0.422225684,509.0,0.040096,-0.04449225
CRTAP,5601.0,0.446308827,120.0,-0.123913,0.476738561
CRTC3,3205.0,0.355982524,186.0,0.210323,-0.008246382
CRY2,2337.0,0.383442872,132.0,0.078752,0.117344646
CRYL1,462.0,0.386242786,79.0,-1.2734,-0.148346332
CSRP1,1183.0,0.493833101,217.0,-0.476045,0.162983767
CST3,2762.0,0.475763324,186.0,0.698658,0.455823623
CSTF2,1931.0,0.372934478,58.0,0.017244,0.007826676
CTBP1,800.0,0.464034004,393.0,-0.113926,0.085903475
CTNNA1,1216.0,0.412513324,1103.0,0.275315,-0.077037853
CTNNB1,1106.0,0.432073699,448.0,0.223149,-0.207086993
CTNNBIP1,2448.0,0.394834327,307.0,-0.471309,-0.237173515
CTPS2,1870.0,0.416273085,744.0,0.012074,-0.013679001
CTSG,119.0,0.369503415,37.0,0.439112,-0.377470138
CTSH,1072.0,0.446467856,1192.0,-0.223211,0.386105328
CUEDC1,2047.0,0.374410739,719.0,0.728163,0.324883882
CUX1,1040.0,0.395555213,127.0,-0.505537,-0.174267147
CXCL10,814.0,0.410287201,105.0,-0.074799,-0.389093139
CXCL9,2323.0,0.403736618,74.0,-1.290366,-0.630348915
CYBB,2544.0,0.418993019,61.0,0.531469,-0.458669095
CYP2S1,1051.0,0.420869286,58.0,0.145131,-0.078600751
CYTH4,1837.0,0.406296106,377.0,0.113546,-0.105714557
DAB2,1757.0,0.368483127,531.0,0.163745,0.075781798
DAGLB,721.0,0.377719723,170.0,0.142545,-0.385745207
DAP3,768.0,0.366492687,184.0,-0.046729,-0.141224033
DAPP1,2082.0,0.348655603,90.0,1.351658,0.119377887
DBI,233.0,0.467027529,479.0,-0.757181,-0.784998606
DCAF8,1877.0,0.380310979,212.0,0.45302,0.024404035
DCP1A,4153.0,0.411936399,381.0,0.404502,0.001096363
DCPS,4731.0,0.375605648,329.0,-1.085403,-0.674432046
DCTN5,10597.0,0.443116252,177.0,0.364955,0.219225681
DDAH2,653.0,0.361046801,1104.0,-0.25896,0.233653429
DDB2,1223.0,0.43604051,195.0,0.197494,0.25462916
DDX23,713.0,0.445931172,91.0,-0.17011,0.036145797
DDX31,1870.0,0.361830896,544.0,0.014241,0.031991167
DDX47,438.0,0.379294484,22.0,-0.184053,-0.393399334
DDX54,1704.0,0.467316231,28.0,-0.321423,-0.22760437
DDX56,586.0,0.438032149,643.0,-0.105339,-0.245691524
DDX59,217.0,0.413095257,243.0,0.114393,-0.09111908
DHODH,3463.0,0.371608285,21.0,-0.018955,-0.158587843
DHPS,121.0,0.474111752,121.0,-0.140236,-0.418798935
DHX15,459.0,0.379133957,168.0,-0.055173,-0.128858263
DHX34,591.0,0.384465978,349.0,-0.068395,-0.014311808
DHX58,357.0,0.440330409,223.0,1.872083,0.3803164
DIABLO,719.0,0.425893605,1182.0,-0.312433,0.127724427
DMAP1,63.0,0.471306,301.0,0.147341,-0.088656976
DMXL2,1274.0,0.389901613,225.0,0.546863,-0.178099829
DNAJA4,1736.0,0.398301408,169.0,0.439267,-0.200182331
DNAJC19,1326.0,0.403482491,259.0,0.201447,0.588901531
DNAJC25,1212.0,0.430964931,56.0,0.005096,-0.033079584
DNAJC8,969.0,0.416719859,33.0,-0.060423,0.161861592
DNM1,1255.0,0.393835111,116.0,-0.233448,0.405582423
DNTTIP2,3564.0,0.408096853,58.0,-0.002913,-0.105784964
DOCK11,3681.0,0.373818855,63.0,0.243692,-0.02961209
DOCK2,524.0,0.446250827,52.0,0.430477,-0.10287459
DOK2,438.0,0.384043737,481.0,0.502865,-0.148026983
DPCD,197.0,0.459155016,389.0,-0.286607,0.00380977
DPF2,2501.0,0.393394442,133.0,0.093876,0.04477976
DPH1,1310.0,0.448716064,341.0,-0.586734,-0.125687584
DPH5,784.0,0.413363166,165.0,0.116388,-0.132014943
DPY30,562.0,0.438431353,279.0,-0.305766,-0.225501673
DPYSL2,2472.0,0.430530829,431.0,-0.692425,-0.208999785
DRAP1,142.0,0.432809908,245.0,-0.176915,0.187167068
DRG1,4594.0,0.444150091,131.0,0.022523,-0.160977405
DSN1,5330.0,0.392894937,373.0,-0.551621,0.047845267
DSTN,2786.0,0.375776803,438.0,-0.183628,0.043897667
DTL,2265.0,0.372315747,921.0,-0.311081,-0.0975776
DTX3L,3456.0,0.408848169,89.0,0.488391,0.25283318
DUSP12,374.0,0.419884133,34.0,-0.047568,0.007443795
DUT,1937.0,0.36471409,109.0,-0.029333,-0.035243916
DYNLT1,514.0,0.420362019,78.0,-0.008009,-0.528267344
EBAG9,1437.0,0.39438748,402.0,-0.171683,0.074060204
ECH1,191.0,0.389477111,85.0,0.442465,0.426906906
ECHDC2,2269.0,0.400166641,752.0,0.052888,-0.292371841
ECM1,322.0,0.43792189,199.0,0.588618,0.732922557
EDEM2,76.0,0.379021051,100.0,-0.263073,-0.29522236
EEA1,5374.0,0.405861636,265.0,0.021154,0.131064478
EEF1A2,286.0,0.417272363,329.0,1.730877,0.729930727
EFTUD2,1331.0,0.444646836,398.0,0.408394,-0.056161513
EHD1,3363.0,0.446314898,447.0,-0.406788,-0.187256222
EIF2AK2,8063.0,0.394727306,557.0,0.851833,0.391123211
EIF2B3,1058.0,0.383118637,239.0,-0.105777,0.092128429
EIF3F,5840.0,0.435728237,33.0,-0.342383,0.067028131
EIF3L,1718.0,0.380710116,245.0,-0.232732,0.050977006
EIF4A3,1120.0,0.381528282,222.0,0.217323,-0.065152576
ELAVL1,4910.0,0.437605432,167.0,-0.020763,-0.064632262
EMG1,248.0,0.433768095,143.0,-0.164161,-0.134453881
EMILIN2,2605.0,0.379592019,159.0,0.150908,0.291474594
ENDOD1,7728.0,0.376426787,118.0,0.220481,-0.030148738
ENOSF1,2904.0,0.382279782,622.0,0.19046,-0.024177348
ENY2,2576.0,0.41756619,146.0,-0.510446,-0.321392916
EPSTI1,2106.0,0.391777705,469.0,0.716722,0.316931433
ERCC1,2342.0,0.45058755,188.0,-0.124806,0.101460115
ERCC6L,4809.0,0.354829683,623.0,-0.578743,-0.207162273
ERH,415.0,0.383837906,71.0,0.012395,-0.134540097
ERLIN1,2041.0,0.444737514,478.0,0.416735,0.180508631
ERP29,1277.0,0.401191178,118.0,-0.362728,-0.068709434
ETV6,4356.0,0.398240844,274.0,-0.500203,-0.146873106
EXOC4,1232.0,0.388187525,35.0,0.646208,0.164666162
EXOC8,6907.0,0.436106501,127.0,0.076596,0.345583091
EXOSC1,536.0,0.430105347,451.0,-0.063733,-0.073045913
EXOSC2,3902.0,0.431273517,32.0,-0.176218,-0.145515954
F8A1,571.0,0.46317284,15.0,0.254402,0.126141198
FAAH,2043.0,0.384592892,82.0,0.448757,0.52680601
FAF1,4425.0,0.401181969,453.0,-0.156648,-0.193444001
FAM122A,4542.0,0.40477622,33.0,-0.135545,-0.296885239
FAM168A,6285.0,0.395008865,285.0,-0.320472,-0.065119761
FAM177A1,2165.0,0.411149627,459.0,-0.062596,-0.141958864
FAM192A,1824.0,0.379195199,1475.0,-0.440452,-0.109146922
FAM20B,4428.0,0.4357945,293.0,-0.046068,-0.24822113
FAM32A,1091.0,0.408676074,42.0,-0.27915,-0.01982871
FAM50A,286.0,0.482889735,110.0,-0.593964,-0.352695902
FBP1,248.0,0.397353747,331.0,0.711614,0.290077768
FBXL20,9338.0,0.383104745,254.0,0.616102,0.282786877
FBXO4,526.0,0.393825218,58.0,-0.149015,0.176326883
FBXO6,503.0,0.42307306,166.0,-0.022814,0.287324791
FCER1G,305.0,0.4202976,25.0,0.224964,-0.420753907
FCGRT,309.0,0.433069976,486.0,0.078494,-0.085802892
FCHO1,270.0,0.372951657,283.0,-1.120059,0.212905848
FDPS,72.0,0.456397562,392.0,-0.177619,-0.245748181
FDXR,596.0,0.384661194,188.0,1.190445,0.496152035
FEN1,1340.0,0.407867196,413.0,-0.190519,0.067157847
FERMT3,399.0,0.435119014,149.0,0.340859,-0.100032496
FGD2,907.0,0.441856308,171.0,0.152016,-0.187758249
FGFR1OP2,1663.0,0.396595515,353.0,-0.161296,0.333676348
FGL2,3460.0,0.40966218,40.0,-0.106148,0.340189352
FKBP1A,1132.0,0.428443098,174.0,-0.162361,0.043312138
FKBPL,24.0,0.377510344,270.0,-0.040951,0.107650316
FLOT1,422.0,0.472159534,339.0,0.083233,-0.023315316
FN3K,442.0,0.389857108,61.0,0.252652,0.175636507
FN3KRP,3667.0,0.380720834,50.0,0.173403,0.264861431
FOXJ3,3176.0,0.401878681,312.0,0.351112,0.101312751
FOXK2,3108.0,0.440496276,171.0,0.212549,0.133020694
FOXRED1,443.0,0.438630908,167.0,-0.663929,-0.310244998
FSCN1,1184.0,0.396100853,132.0,-0.271311,0.155376143
FTH1,530.0,0.425357612,235.0,0.752401,0.556614209
FTL,1031.0,0.428438948,199.0,-0.089118,0.784943418
FTSJ1,638.0,0.457521275,569.0,-0.569772,-0.005122793
FTSJ3,698.0,0.388239396,646.0,0.118229,-0.383479328
FXN,6365.0,0.40465004,220.0,-0.129653,-0.236826141
GABARAPL2,564.0,0.431291441,136.0,-0.268704,-0.108538512
GABPB1,1320.0,0.423118524,469.0,-0.226717,-0.069064201
GALK1,292.0,0.455574511,63.0,-0.097702,0.011544798
GANAB,989.0,0.425909644,1027.0,0.054208,-0.044759553
GAS6,315.0,0.393865445,183.0,0.465873,0.236053824
GAS7,6619.0,0.423630168,311.0,-0.285708,0.323464135
GBE1,708.0,0.404013874,283.0,-0.025691,0.14854276
GBP1,1735.0,0.42614962,220.0,-0.760908,-0.363187552
GBP2,5058.0,0.440134196,314.0,-0.42858,-0.2281234
GBP4,4106.0,0.42983554,116.0,-0.230844,-0.282540299
GBP5,1753.0,0.421901204,537.0,0.008172,-0.438246602
GCH1,2011.0,0.419329122,161.0,-0.215403,-0.11754623
GFOD2,622.0,0.396604754,295.0,-0.551263,-0.539046157
GGA2,5408.0,0.377812588,83.0,0.940459,0.354537692
GGCX,5211.0,0.417836117,106.0,-0.230581,0.042129078
GIGYF1,2212.0,0.443456438,1210.0,0.333389,0.16140605
GINS3,1415.0,0.387351931,208.0,-0.458292,-0.691947378
GLA,1699.0,0.378726947,110.0,-0.458024,-0.209248492
GLE1,1357.0,0.383457083,114.0,0.365952,-0.129963755
GLRX,1188.0,0.430296645,211.0,0.374382,-0.141177896
GLRX3,3557.0,0.41418463,539.0,-0.372314,-0.122240026
GLUD1,1558.0,0.392454008,1132.0,0.171614,0.049581991
GLYR1,2033.0,0.39940414,57.0,0.471724,-0.022786458
GMEB1,4582.0,0.43446142,142.0,-0.212697,-0.202103534
GMPPA,198.0,0.434966364,375.0,-0.092533,-0.061004651
GMPR,3984.0,0.435743929,114.0,1.073676,0.661343389
GMPR2,464.0,0.453637396,704.0,0.376075,0.449545264
GNAI1,1947.0,0.435804474,356.0,-0.374531,-0.359506194
GNG7,3803.0,0.398730372,237.0,-1.272392,-0.29312884
GNPDA1,1360.0,0.395964134,67.0,0.622142,0.419356837
GOLGA2,1243.0,0.401070546,13.0,0.186657,0.091444103
GON4L,926.0,0.418089888,175.0,0.554789,0.123465508
GOSR1,5968.0,0.408103421,237.0,0.659534,0.097006039
GOSR2,3258.0,0.374298057,541.0,0.156065,0.153793644
GOT2,1054.0,0.444803236,129.0,0.229713,0.34445387
GPS2,97.0,0.431122181,76.0,-0.498102,-0.313664932
GPX7,626.0,0.395840774,39.0,-0.274335,0.717732
GRAMD1A,299.0,0.411657297,748.0,0.27343,-0.128594169
GRB2,2292.0,0.4413596,358.0,0.238296,0.00176649
GSTM4,2467.0,0.390909061,314.0,0.163558,-0.856461108
GTF2A2,1070.0,0.420716795,404.0,-0.521885,-0.062209398
GTF2E2,604.0,0.365750105,273.0,-0.133935,0.083623126
GTF3C2,932.0,0.372227001,397.0,0.010408,0.024813876
GTPBP1,2894.0,0.424954603,154.0,0.531183,0.240689134
GTPBP3,1032.0,0.436547413,95.0,0.237313,0.165733187
GTSE1,680.0,0.368527868,212.0,0.009714,0.040742175
GTSF1,222.0,0.36097632,86.0,0.230811,-1.218809569
HADH,818.0,0.383558671,219.0,0.153533,0.32159625
HADHA,615.0,0.383558671,130.0,0.088439,0.296329869
HAUS5,3319.0,0.378752573,51.0,-0.246947,0.083661064
HAUS8,346.0,0.37535995,111.0,-0.355206,0.018428286
HCCS,1274.0,0.398607648,275.0,-0.294921,-0.447149728
HCK,337.0,0.440224323,364.0,0.267617,-0.093707895
HDAC1,591.0,0.390040122,63.0,-0.081776,0.01548141
HDDC3,763.0,0.387287166,29.0,-0.050088,0.079959361
HDGF,1342.0,0.465394593,322.0,0.315774,0.194487442
HDLBP,2343.0,0.397687311,375.0,-0.404657,-0.014508419
HEATR3,1385.0,0.384091545,883.0,-0.236261,-0.27942953
HEBP2,9119.0,0.359416339,297.0,-0.795814,-0.148657721
HECA,3704.0,0.443714129,285.0,-0.166471,0.084349158
HECTD3,3914.0,0.446742268,98.0,-0.349076,0.234158719
HERC2,726.0,0.429958504,109.0,0.37556,0.057944924
HERC5,379.0,0.393838904,153.0,0.886526,-0.003973669
HERC6,651.0,0.398146132,183.0,0.94171,0.376485879
HIP1,4874.0,0.430847644,52.0,0.604171,0.195891676
HLA-A,4150.0,0.424443523,84.0,0.076482,0.249514804
HLA-C,420.0,0.421684519,65.0,0.270781,-0.382347766
HLA-DRA,409.0,0.420807891,109.0,-0.182554,0.2680975
HLA-E,1459.0,0.413523771,126.0,-0.364084,-0.29949647
HLA-F,121.0,0.407256461,124.0,-0.409946,-0.15068533
HMBOX1,3560.0,0.369177113,482.0,1.339489,-0.735482529
HMBS,266.0,0.451934812,299.0,-0.800503,-0.296978608
HMGB2,3775.0,0.450826504,193.0,0.269964,0.299559819
HMGCS1,3661.0,0.374424323,345.0,-0.134474,-0.657632839
HMOX1,616.0,0.436401717,107.0,0.568003,-0.000608635
HNRNPA0,7504.0,0.386421138,284.0,-0.027855,-0.133449648
HNRNPD,1688.0,0.420386111,318.0,-0.197747,-0.003379103
HNRNPL,1102.0,0.449817015,176.0,0.110228,-0.117122508
HNRNPU,4156.0,0.432126199,218.0,0.495479,0.152819244
HNRNPUL1,2135.0,0.394022965,339.0,0.163407,-0.043214812
HNRNPUL2,2674.0,0.436897081,229.0,-0.112442,-0.077822337
HSBP1,3274.0,0.4454546,174.0,-0.026208,0.180674994
HSD17B7,398.0,0.431983247,99.0,2.457145,1.384900298
HSP90AB1,313.0,0.39509298,251.0,-0.01991,-0.24171747
HSPA4L,7877.0,0.413794867,342.0,-0.671102,-0.42295648
HSPB11,107.0,0.34538245,284.0,0.043422,-0.006076044
HTRA2,571.0,0.421976635,602.0,0.158515,0.334682263
HTT,3901.0,0.373695076,145.0,0.527454,0.191626342
HUS1,2068.0,0.374612864,131.0,-0.48928,-0.058617206
HYI,310.0,0.378597605,196.0,-0.016105,0.15033832
HYOU1,1409.0,0.403839016,234.0,-0.686646,-0.490497658
ICAM1,1537.0,0.426062071,319.0,0.488369,-0.343944963
IER3IP1,3342.0,0.438740024,97.0,0.182058,-0.642377999
IFI16,254.0,0.415211655,290.0,-0.343854,0.075070619
IFI30,213.0,0.431523306,62.0,0.222195,-0.120864582
IFI35,160.0,0.418462024,223.0,1.487953,0.139817896
IFI44,267.0,0.403888008,124.0,1.334604,0.742051643
IFI44L,5058.0,0.403608012,200.0,1.676343,0.510508128
