,3prime,tAI,max_5_UTR_length,TCGA-BH-A0E9,TCGA-BH-A0E9.1
CHCHD4,3528.0,0.445497334,326.0,-0.088462,-0.268624947
CHMP4A,296.0,0.447100154,262.0,-0.059008,0.161758331
CHMP5,1241.0,0.442987983,200.0,-0.518109,-0.415490512
CHMP6,980.0,0.489861105,78.0,-0.348381,0.160369969
CHTF8,2425.0,0.424551152,142.0,0.109393,1.015603491
CIAPIN1,1024.0,0.451663323,242.0,-0.2858,-0.310418886
CISD2,5376.0,0.433298698,107.0,-0.68052,-0.420382502
CKAP4,2872.0,0.386259817,84.0,0.266536,0.224585221
CKS2,300.0,0.317949998,98.0,-0.588505,0.122539169
CLCC1,5185.0,0.369704467,150.0,-0.355823,-0.411458773
CLCN7,1698.0,0.459147749,110.0,-0.203686,-0.872964014
CLIC1,290.0,0.4571302,573.0,-0.485344,-0.398712167
CLK3,1233.0,0.4268607,461.0,0.098124,0.167764529
CLPTM1,458.0,0.383990827,351.0,0.051269,-0.544114801
CLTA,288.0,0.450950874,514.0,-0.284158,-0.24611758
CLTB,319.0,0.48548545,210.0,-0.819119,0.113406212
CLTC,3104.0,0.384957863,443.0,-0.097749,-0.293063078
CNBP,6850.0,0.433298698,206.0,-0.084072,-0.309514625
CNPY2,123.0,0.392778455,553.0,-0.234505,0.17084492
CNPY3,1042.0,0.459231502,584.0,-0.085887,0.050823274
COG3,1967.0,0.414689223,142.0,0.104544,-0.431095848
COMMD1,306.0,0.423842833,138.0,0.018157,0.098082841
COMMD3,431.0,0.360487018,35.0,-1.007136,-0.211107842
COMMD5,498.0,0.445713337,399.0,-0.592841,0.055439931
COMMD6,1375.0,0.396967837,328.0,0.083466,0.319698209
COMMD9,2340.0,0.418062772,89.0,-0.695507,-0.136827553
COPB1,446.0,0.381738818,307.0,0.057994,-0.384482563
COPE,165.0,0.478760693,55.0,-0.566561,-0.128626163
COQ6,671.0,0.374062527,159.0,0.589854,0.126734739
COQ7,5700.0,0.42379098,133.0,0.079812,0.037784985
CORO1A,112.0,0.457388252,435.0,-0.129844,-0.169440661
COX17,1735.0,0.484254073,86.0,-0.494634,-0.611387343
COX5A,860.0,0.429944966,140.0,-0.477991,-0.662418689
COX7A2,302.0,0.441893926,98.0,-0.658947,-0.497920546
CPM,5262.0,0.406054343,75.0,-0.209232,-0.12268103
CPSF4,923.0,0.452412439,277.0,-0.149736,-0.193328093
CPT1A,2761.0,0.374132033,170.0,0.463467,-0.261673858
CPT2,602.0,0.431256564,515.0,-0.42384,-0.407632962
CRCP,8457.0,0.390198146,145.0,0.426008,0.042864514
CRKL,3904.0,0.422225684,509.0,0.43947,0.195796495
CRTAP,5601.0,0.446308827,120.0,0.402886,0.427821193
CRTC3,3205.0,0.355982524,186.0,0.255901,0.250955727
CRY2,2337.0,0.383442872,132.0,0.519707,-0.097614459
CRYL1,462.0,0.386242786,79.0,0.166276,0.617171257
CSRP1,1183.0,0.493833101,217.0,0.510602,0.509702698
CST3,2762.0,0.475763324,186.0,0.541558,0.723215521
CSTF2,1931.0,0.372934478,58.0,-0.164553,-0.323605716
CTBP1,800.0,0.464034004,393.0,-0.511161,-0.005402416
CTNNA1,1216.0,0.412513324,1103.0,-0.180414,-0.201451213
CTNNB1,1106.0,0.432073699,448.0,0.256071,0.023009861
CTNNBIP1,2448.0,0.394834327,307.0,-0.463974,0.157278528
CTPS2,1870.0,0.416273085,744.0,0.586408,0.067267562
CTSG,119.0,0.369503415,37.0,1.655473,0.66956769
CTSH,1072.0,0.446467856,1192.0,0.223413,0.185255704
CUEDC1,2047.0,0.374410739,719.0,-0.418049,-0.03752709
CUX1,1040.0,0.395555213,127.0,0.075981,-0.127728986
CXCL10,814.0,0.410287201,105.0,-1.468093,-0.923364978
CXCL9,2323.0,0.403736618,74.0,-0.564881,-0.101055274
CYBB,2544.0,0.418993019,61.0,-0.414633,-0.260167268
CYTH4,1837.0,0.406296106,377.0,-0.442783,0.140373351
DAB2,1757.0,0.368483127,531.0,0.171853,0.268461745
DAGLB,721.0,0.377719723,170.0,0.077771,-0.075510555
DAP3,768.0,0.366492687,184.0,0.232944,-0.016195362
DAPP1,2082.0,0.348655603,90.0,0.180932,-0.059703227
DBI,233.0,0.467027529,479.0,-0.11652,-0.694394555
DCAF8,1877.0,0.380310979,212.0,0.408948,0.082204636
DCP1A,4153.0,0.411936399,381.0,0.137704,0.166481539
DCPS,4731.0,0.375605648,329.0,-0.137808,0.036483208
DCTN5,10597.0,0.443116252,177.0,-0.039933,0.236405055
DDAH2,653.0,0.361046801,1104.0,-0.265668,0.614348964
DDB2,1223.0,0.43604051,195.0,0.22701,0.685531508
DDX23,713.0,0.445931172,91.0,-0.474303,-0.030176703
DDX31,1870.0,0.361830896,544.0,0.360504,-0.112160372
DDX47,438.0,0.379294484,22.0,-0.209433,-0.237119663
DDX54,1704.0,0.467316231,28.0,-0.274229,-0.068486817
DDX56,586.0,0.438032149,643.0,-0.241333,-0.099838941
DDX59,217.0,0.413095257,243.0,0.464921,0.017825811
DHODH,3463.0,0.371608285,21.0,-0.527116,0.501393042
DHPS,121.0,0.474111752,121.0,-0.396048,-0.569278742
DHX15,459.0,0.379133957,168.0,-0.257193,-0.134076325
DHX34,591.0,0.384465978,349.0,0.44481,-0.140913939
DHX58,357.0,0.440330409,223.0,-0.693941,-0.041429729
DIABLO,719.0,0.425893605,1182.0,-0.316574,-0.448714608
DMAP1,63.0,0.471306,301.0,-0.50147,-0.061211607
DMXL2,1274.0,0.389901613,225.0,0.277887,-0.217818815
DNAJA4,1736.0,0.398301408,169.0,0.003729,-0.463759285
DNAJC19,1326.0,0.403482491,259.0,0.008769,-0.204851447
DNAJC25,1212.0,0.430964931,56.0,0.117301,0.316627832
DNAJC8,969.0,0.416719859,33.0,-0.551095,-0.00291997
DNM1,1255.0,0.393835111,116.0,-0.44497,0.708179419
DNTTIP2,3564.0,0.408096853,58.0,-0.394465,-0.260664337
DOCK11,3681.0,0.373818855,63.0,0.441874,0.216346885
DOCK2,524.0,0.446250827,52.0,-0.003788,0.036847526
DOK2,438.0,0.384043737,481.0,-0.125455,-0.096102474
DPCD,197.0,0.459155016,389.0,-0.730266,-0.136115581
DPF2,2501.0,0.393394442,133.0,-0.296053,-0.127744873
DPH1,1310.0,0.448716064,341.0,-0.231506,-0.730213648
DPH5,784.0,0.413363166,165.0,-0.141102,-0.187190526
DPY30,562.0,0.438431353,279.0,-0.339534,0.361969336
DPYSL2,2472.0,0.430530829,431.0,0.872843,0.602337465
DRAP1,142.0,0.432809908,245.0,-0.82435,-0.322643739
DRG1,4594.0,0.444150091,131.0,-0.307363,-0.17421814
DSN1,5330.0,0.392894937,373.0,-0.105445,0.038618611
DSTN,2786.0,0.375776803,438.0,0.414066,0.551732612
DTX3L,3456.0,0.408848169,89.0,0.275826,-0.171621202
DUSP12,374.0,0.419884133,34.0,0.071312,0.175757335
DUT,1937.0,0.36471409,109.0,-0.224659,-0.14534747
DYNLT1,514.0,0.420362019,78.0,-0.423733,-0.068642784
EBAG9,1437.0,0.39438748,402.0,-0.57552,-0.355346974
ECH1,191.0,0.389477111,85.0,-0.356604,-0.267998429
ECHDC2,2269.0,0.400166641,752.0,-0.165289,0.135187323
ECM1,322.0,0.43792189,199.0,-1.171605,0.815045159
EDEM2,76.0,0.379021051,100.0,0.084605,1.623040366
EEA1,5374.0,0.405861636,265.0,0.345678,0.427764409
EEF1A2,286.0,0.417272363,329.0,-0.873299,-1.10588145
EFTUD2,1331.0,0.444646836,398.0,-0.291929,-0.182173405
EHD1,3363.0,0.446314898,447.0,-0.21158,-0.052068795
EIF2AK2,8063.0,0.394727306,557.0,0.259215,-0.014644318
EIF2B3,1058.0,0.383118637,239.0,-0.4762,0.090916511
EIF3F,5840.0,0.435728237,33.0,0.069135,-0.229703499
EIF3L,1718.0,0.380710116,245.0,0.600179,-0.130618019
EIF4A3,1120.0,0.381528282,222.0,-0.502291,-0.130102321
ELAVL1,4910.0,0.437605432,167.0,0.07445,0.034975304
EMG1,248.0,0.433768095,143.0,-0.381904,-0.115478584
EMILIN2,2605.0,0.379592019,159.0,-0.440599,-0.189659573
ENDOD1,7728.0,0.376426787,118.0,1.491347,0.599130248
ENOSF1,2904.0,0.382279782,622.0,0.310321,-0.060252981
ENY2,2576.0,0.41756619,146.0,-0.841531,0.414762018
EPSTI1,2106.0,0.391777705,469.0,-0.783419,-0.516514879
ERCC1,2342.0,0.45058755,188.0,0.180746,0.290802271
ERCC6L,4809.0,0.354829683,623.0,-0.657066,0.00863609
ERH,415.0,0.383837906,71.0,-0.407799,-0.028810934
ERLIN1,2041.0,0.444737514,478.0,0.15123,0.146764571
ERP29,1277.0,0.401191178,118.0,-0.370538,0.104199586
ETV6,4356.0,0.398240844,274.0,0.227318,-0.369754608
EXOC4,1232.0,0.388187525,35.0,0.159085,0.071939013
EXOC8,6907.0,0.436106501,127.0,0.705128,0.196767781
EXOSC1,536.0,0.430105347,451.0,-0.168564,-0.012382782
EXOSC2,3902.0,0.431273517,32.0,0.028443,-0.133845931
F8A1,571.0,0.46317284,15.0,-0.827587,0.03533829
FAAH,2043.0,0.384592892,82.0,-0.524323,0.023391883
FAF1,4425.0,0.401181969,453.0,-0.623609,-0.130874708
FAM122A,4542.0,0.40477622,33.0,0.788542,0.037623083
FAM168A,6285.0,0.395008865,285.0,0.213453,0.075671361
FAM177A1,2165.0,0.411149627,459.0,-0.217522,-0.227839533
FAM192A,1824.0,0.379195199,1475.0,-0.220844,-0.353950993
FAM20B,4428.0,0.4357945,293.0,0.803364,0.136986433
FAM32A,1091.0,0.408676074,42.0,-0.102032,-0.219699994
FAM50A,286.0,0.482889735,110.0,-0.906682,-0.524474049
FBP1,248.0,0.397353747,331.0,0.756008,-0.037965009
FBXL20,9338.0,0.383104745,254.0,0.732644,0.040681004
FBXO4,526.0,0.393825218,58.0,-0.116943,0.101701431
FBXO6,503.0,0.42307306,166.0,-0.145254,-1.000537776
FCER1G,305.0,0.4202976,25.0,-0.752308,-0.416589552
FCGRT,309.0,0.433069976,486.0,-0.296813,0.249405757
FDPS,72.0,0.456397562,392.0,-0.249601,-0.253602696
FDXR,596.0,0.384661194,188.0,-0.219578,0.194269903
FEN1,1340.0,0.407867196,413.0,-0.4898,-0.164977166
FERMT3,399.0,0.435119014,149.0,-0.599388,-0.22275851
FGD2,907.0,0.441856308,171.0,0.44544,0.243786603
FGFR1OP2,1663.0,0.396595515,353.0,-0.088822,0.160484553
FGL2,3460.0,0.40966218,40.0,0.487916,0.260843906
FKBP1A,1132.0,0.428443098,174.0,0.010538,0.300265715
FKBPL,24.0,0.377510344,270.0,-0.676012,0.363487228
FLOT1,422.0,0.472159534,339.0,-0.675427,0.021079248
FN3K,442.0,0.389857108,61.0,0.101463,-0.354677705
FN3KRP,3667.0,0.380720834,50.0,-0.027511,0.10219493
FOXJ3,3176.0,0.401878681,312.0,-0.191904,-0.304687735
FOXK2,3108.0,0.440496276,171.0,-0.368798,0.07986469
FOXRED1,443.0,0.438630908,167.0,-0.187349,-0.01120344
FSCN1,1184.0,0.396100853,132.0,-0.72155,-0.059436839
FTH1,530.0,0.425357612,235.0,-0.229778,-0.252507265
FTL,1031.0,0.428438948,199.0,-0.92918,-0.48857727
FTSJ1,638.0,0.457521275,569.0,-0.717888,-0.137033373
FTSJ3,698.0,0.388239396,646.0,-0.358444,-0.467313216
FXN,6365.0,0.40465004,220.0,-0.255926,-0.505872772
GABARAPL2,564.0,0.431291441,136.0,-0.262789,-0.167359331
GABPB1,1320.0,0.423118524,469.0,0.400673,-0.027474393
GALK1,292.0,0.455574511,63.0,-1.046726,-0.046303785
GANAB,989.0,0.425909644,1027.0,-0.140149,-0.082879921
GAS6,315.0,0.393865445,183.0,0.479828,0.806987635
GAS7,6619.0,0.423630168,311.0,-0.042962,0.237724398
GBE1,708.0,0.404013874,283.0,0.286374,0.077407992
GBP1,1735.0,0.42614962,220.0,-0.782249,-0.385771965
GBP2,5058.0,0.440134196,314.0,0.07211,-0.305229643
GBP4,4106.0,0.42983554,116.0,-0.282622,0.057197985
GBP5,1753.0,0.421901204,537.0,-0.178182,-0.563435291
GCH1,2011.0,0.419329122,161.0,0.062632,-1.276616662
GFOD2,622.0,0.396604754,295.0,0.047537,0.996469949
GGA2,5408.0,0.377812588,83.0,0.177294,0.071283333
GGCX,5211.0,0.417836117,106.0,0.44665,0.07859684
GIGYF1,2212.0,0.443456438,1210.0,0.491201,0.046948744
GINS3,1415.0,0.387351931,208.0,-0.043468,-0.414937099
GLA,1699.0,0.378726947,110.0,1.607937,0.793841716
GLE1,1357.0,0.383457083,114.0,0.482165,0.084691473
GLRX,1188.0,0.430296645,211.0,-0.437429,-0.242855012
GLRX3,3557.0,0.41418463,539.0,-0.580346,-0.179452465
GLUD1,1558.0,0.392454008,1132.0,-0.382545,-0.144032451
GLYR1,2033.0,0.39940414,57.0,-0.12481,0.000770449
GMEB1,4582.0,0.43446142,142.0,0.284705,0.130354145
GMPPA,198.0,0.434966364,375.0,-0.550149,-0.211872734
GMPR,3984.0,0.435743929,114.0,-0.275405,-0.23053552
GMPR2,464.0,0.453637396,704.0,0.197104,0.102102133
GNAI1,1947.0,0.435804474,356.0,0.563755,0.949060487
GNG7,3803.0,0.398730372,237.0,0.934352,1.219817111
GNPDA1,1360.0,0.395964134,67.0,-0.069251,0.294976664
GOLGA2,1243.0,0.401070546,13.0,0.024324,-0.232295871
GON4L,926.0,0.418089888,175.0,0.822486,-0.180616764
GOSR1,5968.0,0.408103421,237.0,-0.033064,-0.148111784
GOSR2,3258.0,0.374298057,541.0,0.13402,0.107040362
GOT2,1054.0,0.444803236,129.0,0.402587,-0.139659588
GPS2,97.0,0.431122181,76.0,-0.58205,0.150248576
GPSM2,4697.0,0.401967226,496.0,-0.211638,0.072843054
GPX7,626.0,0.395840774,39.0,-0.385718,0.348869414
GRAMD1A,299.0,0.411657297,748.0,-0.075447,-0.160667245
GRB2,2292.0,0.4413596,358.0,-0.130515,-0.288586933
GSTM4,2467.0,0.390909061,314.0,-0.15113,0.081577534
GTF2A2,1070.0,0.420716795,404.0,-0.203736,0.288146569
GTF2E2,604.0,0.365750105,273.0,-0.144954,0.011480076
GTF3C2,932.0,0.372227001,397.0,0.299212,-0.195014813
GTPBP1,2894.0,0.424954603,154.0,-0.126296,-0.110450299
GTPBP3,1032.0,0.436547413,95.0,-0.016289,-0.064863583
GTSE1,680.0,0.368527868,212.0,-0.824148,0.215299241
GTSF1,222.0,0.36097632,86.0,0.254974,-0.180092226
HADH,818.0,0.383558671,219.0,-0.244073,-0.083517524
HADHA,615.0,0.383558671,130.0,-0.030278,0.008163267
HAUS5,3319.0,0.378752573,51.0,-0.213825,0.03811191
HAUS8,346.0,0.37535995,111.0,-0.435932,-0.35941368
HCCS,1274.0,0.398607648,275.0,-0.409654,-0.706441321
HCK,337.0,0.440224323,364.0,-0.267925,0.074764234
HDAC1,591.0,0.390040122,63.0,-0.425337,-0.076776642
HDDC3,763.0,0.387287166,29.0,-0.74124,0.229065492
HDGF,1342.0,0.465394593,322.0,-0.084539,-0.193071433
HDLBP,2343.0,0.397687311,375.0,0.335915,0.071317226
HEATR3,1385.0,0.384091545,883.0,-0.122799,-0.3191518
HEBP2,9119.0,0.359416339,297.0,0.215846,0.330851624
HECA,3704.0,0.443714129,285.0,0.188082,0.136890023
HECTD3,3914.0,0.446742268,98.0,-0.487281,-0.033626127
HERC2,726.0,0.429958504,109.0,0.267996,0.043471438
HERC5,379.0,0.393838904,153.0,-0.143996,0.198738301
HERC6,651.0,0.398146132,183.0,-0.191331,-0.424877425
HIP1,4874.0,0.430847644,52.0,1.055536,0.2312068
HLA-A,4150.0,0.424443523,84.0,-1.206764,-1.145706343
HLA-C,420.0,0.421684519,65.0,0.02869,0.510022701
HLA-DRA,409.0,0.420807891,109.0,-0.184033,0.167539025
HLA-E,1459.0,0.413523771,126.0,-0.160039,0.123693023
HLA-F,121.0,0.407256461,124.0,-0.961747,0.183230152
HMBOX1,3560.0,0.369177113,482.0,1.092695,-0.179547316
HMBS,266.0,0.451934812,299.0,-0.468672,-0.072481844
HMGB2,3775.0,0.450826504,193.0,-0.901355,-0.471341194
HMGCS1,3661.0,0.374424323,345.0,-0.221768,-0.497774525
HMOX1,616.0,0.436401717,107.0,-1.475935,-0.164224777
HNRNPA0,7504.0,0.386421138,284.0,0.002954,-0.113880139
HNRNPD,1688.0,0.420386111,318.0,-0.579621,0.101202676
HNRNPL,1102.0,0.449817015,176.0,-0.232783,-0.243292766
HNRNPU,4156.0,0.432126199,218.0,0.211463,0.065146337
HNRNPUL1,2135.0,0.394022965,339.0,0.0962,0.164648827
HNRNPUL2,2674.0,0.436897081,229.0,-0.096979,0.103442605
HSBP1,3274.0,0.4454546,174.0,-0.617994,0.225034384
HSD17B7,398.0,0.431983247,99.0,0.28524,-0.069391022
HSP90AB1,313.0,0.39509298,251.0,-0.302572,-0.496776607
HSPA1L,428.0,0.464100714,183.0,0.245282,1.271612692
HSPA4L,7877.0,0.413794867,342.0,0.537799,0.188618369
HSPB11,107.0,0.34538245,284.0,-0.945845,-0.018749833
HTRA2,571.0,0.421976635,602.0,-0.290319,0.03513842
HTT,3901.0,0.373695076,145.0,-0.29428,-0.040888399
HUS1,2068.0,0.374612864,131.0,0.364565,-0.24775824
HYI,310.0,0.378597605,196.0,-0.420776,0.300050353
HYOU1,1409.0,0.403839016,234.0,-0.322007,-0.413462515
ICAM1,1537.0,0.426062071,319.0,-0.615133,-0.156730119
IER3IP1,3342.0,0.438740024,97.0,-0.156234,-1.180252549
IFI16,254.0,0.415211655,290.0,0.37205,0.315952335
IFI30,213.0,0.431523306,62.0,-1.448449,-0.472531838
IFI35,160.0,0.418462024,223.0,-1.319478,-0.118111039
IFI44,267.0,0.403888008,124.0,-0.597548,-0.147047815
IFI44L,5058.0,0.403608012,200.0,-0.438417,0.0254587
