,3prime,tAI,max_5_UTR_length,TCGA-AR-A0TX,TCGA-AR-A0TX.1
CD74,635.0,0.427357309,187.0,1.194118,0.106179787
CDC25C,437.0,0.364786128,387.0,0.289009,0.175894427
CDC26,271.0,0.395637029,359.0,0.560105,0.028092698
CDC34,560.0,0.46431386,199.0,0.505425,-0.691557895
CDC42EP3,3941.0,0.420378821,1009.0,-0.643912,-0.064579364
CDIPT,1864.0,0.442654716,541.0,-0.072342,0.259784576
CDK1,2313.0,0.398329505,154.0,0.447768,-0.827762176
CDK19,4557.0,0.421511824,180.0,0.172155,-0.728008589
CDK2AP1,766.0,0.439144625,522.0,0.586244,0.67577502
CDK5RAP2,367.0,0.371069462,192.0,0.350974,0.280971835
CDK5RAP3,284.0,0.469750898,1791.0,-0.88875,-0.232992339
CDKAL1,1365.0,0.417875209,167.0,-0.197807,0.067293344
CDKN2AIPNL,3639.0,0.409801696,53.0,-1.037965,-0.009867388
CDKN2C,2247.0,0.381912025,1216.0,0.325291,0.879435757
CENPV,301.0,0.385948267,62.0,1.081493,0.010085304
CEP55,939.0,0.397841874,304.0,0.77751,-1.042247399
CES3,2100.0,0.377378956,446.0,-2.387913,0.293427438
CETN2,868.0,0.433727498,47.0,-0.237899,-0.328508624
CFL1,677.0,0.502791,234.0,0.024366,-0.239993806
CHAC2,786.0,0.395629742,277.0,0.565037,0.019955823
CHCHD4,3528.0,0.445497334,326.0,-0.795483,-0.767497277
CHMP4A,296.0,0.447100154,262.0,0.072882,-0.2979457
CHMP5,1241.0,0.442987983,200.0,-0.410169,-0.21187501
CHMP6,980.0,0.489861105,78.0,0.004847,-0.137609259
CIAPIN1,1024.0,0.451663323,242.0,0.293699,-0.531312188
CISD2,5376.0,0.433298698,107.0,0.182413,-0.42571196
CKAP4,2872.0,0.386259817,84.0,0.940047,-0.122690236
CKS2,300.0,0.317949998,98.0,-0.580443,-0.732471314
CLCC1,5185.0,0.369704467,150.0,-0.462608,-1.400647665
CLCN7,1698.0,0.459147749,110.0,0.10657,-0.706489352
CLIC1,290.0,0.4571302,573.0,-0.370869,0.101906734
CLK2,350.0,0.410673686,925.0,-0.828329,0.472258362
CLK3,1233.0,0.4268607,461.0,-0.596626,0.336662376
CLPTM1,458.0,0.383990827,351.0,-0.005404,-1.29338694
CLTA,288.0,0.450950874,514.0,-0.218509,-0.517586109
CLTB,319.0,0.48548545,210.0,-0.185659,-0.362434614
CLTC,3104.0,0.384957863,443.0,-0.408408,0.006310045
CNBP,6850.0,0.433298698,206.0,-0.789711,-1.215186406
CNPY2,123.0,0.392778455,553.0,0.617186,0.123932478
CNPY3,1042.0,0.459231502,584.0,-0.29519,0.268584114
COG3,1967.0,0.414689223,142.0,-0.452713,0.005116603
COMMD1,306.0,0.423842833,138.0,-0.016255,0.302072288
COMMD3,431.0,0.360487018,35.0,-0.443164,0.898106925
COMMD5,498.0,0.445713337,399.0,-0.662182,0.862372534
COMMD6,1375.0,0.396967837,328.0,-0.787452,0.452954338
COMMD9,2340.0,0.418062772,89.0,0.157166,0.739116059
COPB1,446.0,0.381738818,307.0,0.530691,0.013639321
COPE,165.0,0.478760693,55.0,0.000882,0.461922992
COQ6,671.0,0.374062527,159.0,-0.113453,1.166517001
COQ7,5700.0,0.42379098,133.0,0.677232,0.078590408
CORO1A,112.0,0.457388252,435.0,1.328698,0.070170036
COX17,1735.0,0.484254073,86.0,-0.524526,-1.710471176
COX5A,860.0,0.429944966,140.0,-0.563709,0.203660271
COX7A2,302.0,0.441893926,98.0,-0.286622,0.768827873
CPSF4,923.0,0.452412439,277.0,-0.252621,-0.281941029
CPT1A,2761.0,0.374132033,170.0,0.345584,-0.380940169
CPT2,602.0,0.431256564,515.0,-0.531638,0.067931408
CRCP,8457.0,0.390198146,145.0,0.306347,-1.042278226
CRKL,3904.0,0.422225684,509.0,0.457439,0.596377668
CRTAP,5601.0,0.446308827,120.0,-0.418946,0.379768735
CRTC3,3205.0,0.355982524,186.0,-0.513297,0.170248696
CRYL1,462.0,0.386242786,79.0,0.586873,0.467462471
CSRP1,1183.0,0.493833101,217.0,-0.117662,-0.547057546
CST3,2762.0,0.475763324,186.0,-0.97718,0.427974374
CSTF2,1931.0,0.372934478,58.0,-0.177923,-0.474600899
CTBP1,800.0,0.464034004,393.0,0.22233,0.584043011
CTNNA1,1216.0,0.412513324,1103.0,0.174564,-0.100393909
CTNNB1,1106.0,0.432073699,448.0,-0.625343,-0.276825522
CTNNBIP1,2448.0,0.394834327,307.0,1.002686,0.679120482
CTPS2,1870.0,0.416273085,744.0,0.794658,0.367167481
CTSG,119.0,0.369503415,37.0,1.141964,0.667499105
CTSH,1072.0,0.446467856,1192.0,0.561639,0.413195597
CUEDC1,2047.0,0.374410739,719.0,-0.630106,-0.223032621
CUX1,1040.0,0.395555213,127.0,0.669978,-0.457502214
CXCL10,814.0,0.410287201,105.0,1.363432,0.438614472
CXCL9,2323.0,0.403736618,74.0,4.260437,-1.127685232
CYBB,2544.0,0.418993019,61.0,1.670141,-0.596571958
CYTH4,1837.0,0.406296106,377.0,1.118513,0.76701689
DAB2,1757.0,0.368483127,531.0,0.449184,0.675889545
DAGLB,721.0,0.377719723,170.0,-0.269962,-0.914576825
DAP3,768.0,0.366492687,184.0,-0.416015,0.36336143
DAPP1,2082.0,0.348655603,90.0,0.141175,-0.025943493
DBI,233.0,0.467027529,479.0,1.05667,0.756317573
DCAF8,1877.0,0.380310979,212.0,-0.293546,-0.431874877
DCP1A,4153.0,0.411936399,381.0,-0.296938,0.6040586
DCPS,4731.0,0.375605648,329.0,0.093055,0.199201097
DCTN5,10597.0,0.443116252,177.0,-0.777153,0.445337235
DDAH2,653.0,0.361046801,1104.0,-0.664134,0.572260257
DDB2,1223.0,0.43604051,195.0,-1.059907,0.351863625
DDX23,713.0,0.445931172,91.0,0.384894,-0.090282786
DDX31,1870.0,0.361830896,544.0,-0.123285,-0.393922958
DDX47,438.0,0.379294484,22.0,-0.36752,0.046791418
DDX54,1704.0,0.467316231,28.0,-0.951129,-0.223965566
DDX56,586.0,0.438032149,643.0,-0.776836,-0.30184644
DDX59,217.0,0.413095257,243.0,-0.766375,0.463757829
DHODH,3463.0,0.371608285,21.0,-0.028796,1.309982327
DHPS,121.0,0.474111752,121.0,-0.633119,0.351707175
DHX15,459.0,0.379133957,168.0,0.40195,0.198031058
DHX34,591.0,0.384465978,349.0,-0.234026,-0.394896762
DHX58,357.0,0.440330409,223.0,-0.71202,-0.202037918
DIABLO,719.0,0.425893605,1182.0,-1.011526,-0.435118197
DMAP1,63.0,0.471306,301.0,-0.039033,0.058940805
DMXL2,1274.0,0.389901613,225.0,0.608888,-0.133849903
DNAJA4,1736.0,0.398301408,169.0,-0.902784,0.108805511
DNAJC14,1509.0,0.37755465,204.0,0.293165,-1.300189966
DNAJC19,1326.0,0.403482491,259.0,-0.565272,-0.319076376
DNAJC25,1212.0,0.430964931,56.0,0.141462,0.354471144
DNAJC8,969.0,0.416719859,33.0,-0.128405,-0.583923354
DNM1,1255.0,0.393835111,116.0,-0.292435,0.606000233
DNTTIP2,3564.0,0.408096853,58.0,-0.072533,-0.271992852
DOCK11,3681.0,0.373818855,63.0,1.501535,0.727381813
DOCK2,524.0,0.446250827,52.0,1.665264,0.323695356
DOK2,438.0,0.384043737,481.0,1.657019,0.469846058
DPCD,197.0,0.459155016,389.0,0.101992,-0.435148439
DPF2,2501.0,0.393394442,133.0,-0.364308,0.007815916
DPH1,1310.0,0.448716064,341.0,-0.789678,-0.42891486
DPH5,784.0,0.413363166,165.0,0.262619,0.828975341
DPY30,562.0,0.438431353,279.0,0.087291,0.246685821
DPYSL2,2472.0,0.430530829,431.0,-0.108197,0.636825054
DRAP1,142.0,0.432809908,245.0,0.076322,-0.50094912
DRG1,4594.0,0.444150091,131.0,0.064164,0.083074137
DSN1,5330.0,0.392894937,373.0,0.303125,-0.372520638
DSTN,2786.0,0.375776803,438.0,-0.148295,-0.436062897
DTX3L,3456.0,0.408848169,89.0,0.122049,-0.366927942
DUSP12,374.0,0.419884133,34.0,-0.664464,0.4282917
DUT,1937.0,0.36471409,109.0,-1.216317,-0.581512349
DYNLT1,514.0,0.420362019,78.0,0.151496,0.655624347
EBAG9,1437.0,0.39438748,402.0,-0.681902,0.820433802
ECH1,191.0,0.389477111,85.0,-0.42968,0.672408824
ECHDC2,2269.0,0.400166641,752.0,-0.915539,1.062137132
ECM1,322.0,0.43792189,199.0,-0.800803,0.30450557
EDEM2,76.0,0.379021051,100.0,0.072895,0.690092858
EEA1,5374.0,0.405861636,265.0,-0.411319,0.265852415
EEF1A2,286.0,0.417272363,329.0,-2.8618,-0.818252765
EFTUD2,1331.0,0.444646836,398.0,-0.680646,0.110817542
EHD1,3363.0,0.446314898,447.0,0.47909,0.689916546
EIF2AK2,8063.0,0.394727306,557.0,0.232659,-0.102408394
EIF2B3,1058.0,0.383118637,239.0,-0.129037,0.456443238
EIF3F,5840.0,0.435728237,33.0,-0.683896,0.229362333
EIF3L,1718.0,0.380710116,245.0,0.053651,-0.085663793
EIF4A3,1120.0,0.381528282,222.0,0.601613,0.112189828
ELAVL1,4910.0,0.437605432,167.0,-0.186809,-0.216510149
EMG1,248.0,0.433768095,143.0,-0.646973,0.440545495
EMILIN2,2605.0,0.379592019,159.0,0.594757,0.40087651
ENDOD1,7728.0,0.376426787,118.0,0.300205,-0.084986142
ENOSF1,2904.0,0.382279782,622.0,-1.406708,-0.450291663
ENY2,2576.0,0.41756619,146.0,-0.299066,-0.50567923
EPSTI1,2106.0,0.391777705,469.0,0.679724,-2.29729548
ERCC1,2342.0,0.45058755,188.0,-0.61035,0.058831444
ERCC6L,4809.0,0.354829683,623.0,0.751215,-0.937511374
ERH,415.0,0.383837906,71.0,0.157089,-0.670441436
ERLIN1,2041.0,0.444737514,478.0,0.155377,-0.152817579
ERP29,1277.0,0.401191178,118.0,-0.74487,0.286083396
ETV6,4356.0,0.398240844,274.0,0.509898,-0.849974116
EXOC4,1232.0,0.388187525,35.0,-0.033244,-0.265010029
EXOC8,6907.0,0.436106501,127.0,-0.293054,-0.098193662
EXOSC1,536.0,0.430105347,451.0,-0.074647,0.472138401
EXOSC2,3902.0,0.431273517,32.0,-0.581326,0.432687784
F8A1,571.0,0.46317284,15.0,-0.733122,0.47366741
FAAH,2043.0,0.384592892,82.0,-1.112138,-0.318620301
FAF1,4425.0,0.401181969,453.0,-0.104679,0.315540875
FAM122A,4542.0,0.40477622,33.0,-0.19237,0.474128952
FAM168A,6285.0,0.395008865,285.0,0.557568,0.129386261
FAM177A1,2165.0,0.411149627,459.0,-0.280752,-0.005128285
FAM192A,1824.0,0.379195199,1475.0,0.452324,0.231513469
FAM20B,4428.0,0.4357945,293.0,-0.376793,-0.948934948
FAM32A,1091.0,0.408676074,42.0,0.136197,-0.354408201
FAM50A,286.0,0.482889735,110.0,0.129919,-0.11058795
FBP1,248.0,0.397353747,331.0,-0.727167,-0.055459387
FBXL20,9338.0,0.383104745,254.0,1.541045,-0.413280862
FBXO4,526.0,0.393825218,58.0,-0.782524,0.236650378
FBXO6,503.0,0.42307306,166.0,0.202286,-1.701757615
FCER1G,305.0,0.4202976,25.0,0.531339,-1.240964063
FCGRT,309.0,0.433069976,486.0,-0.863882,0.490881886
FCHO1,270.0,0.372951657,283.0,0.448146,-0.280294181
FDPS,72.0,0.456397562,392.0,-0.643973,-0.466588949
FDXR,596.0,0.384661194,188.0,-0.52511,-0.1628597
FEN1,1340.0,0.407867196,413.0,-0.091313,0.094440147
FERMT3,399.0,0.435119014,149.0,1.175931,0.448870433
FGD2,907.0,0.441856308,171.0,1.606797,0.503126959
FGFR1OP2,1663.0,0.396595515,353.0,-0.114721,0.522054042
FGL2,3460.0,0.40966218,40.0,1.144432,0.138877534
FKBP1A,1132.0,0.428443098,174.0,0.040283,0.463486412
FKBPL,24.0,0.377510344,270.0,-0.059604,0.046380194
FLOT1,422.0,0.472159534,339.0,-0.617967,0.243045391
FN3K,442.0,0.389857108,61.0,-0.17863,-0.42403812
FN3KRP,3667.0,0.380720834,50.0,-0.002803,-0.348755985
FOXJ3,3176.0,0.401878681,312.0,0.047218,-1.052885123
FOXK2,3108.0,0.440496276,171.0,0.074946,-0.043288935
FOXRED1,443.0,0.438630908,167.0,0.269105,0.418731371
FSCN1,1184.0,0.396100853,132.0,0.279196,0.125391525
FTH1,530.0,0.425357612,235.0,0.153978,0.806655682
FTL,1031.0,0.428438948,199.0,0.568619,0.812243709
FTSJ1,638.0,0.457521275,569.0,-0.291967,-0.038597745
FTSJ3,698.0,0.388239396,646.0,-0.140225,-0.560311066
FXN,6365.0,0.40465004,220.0,-0.613004,0.365932736
GABARAPL2,564.0,0.431291441,136.0,-0.359754,0.692449251
GABPB1,1320.0,0.423118524,469.0,-0.47531,-1.02566472
GALK1,292.0,0.455574511,63.0,-0.940858,0.046078795
GANAB,989.0,0.425909644,1027.0,0.299632,0.316752315
GAS6,315.0,0.393865445,183.0,-0.858969,-0.221072534
GAS7,6619.0,0.423630168,311.0,0.883937,0.564563848
GBE1,708.0,0.404013874,283.0,-0.432506,0.495287903
GBP1,1735.0,0.42614962,220.0,1.662288,-0.715294551
GBP2,5058.0,0.440134196,314.0,1.851557,0.564095002
GBP4,4106.0,0.42983554,116.0,1.86375,0.101139372
GBP5,1753.0,0.421901204,537.0,2.722933,0.356764489
GFOD2,622.0,0.396604754,295.0,0.467722,0.487605458
GGA2,5408.0,0.377812588,83.0,-0.371207,-0.253314312
GGCX,5211.0,0.417836117,106.0,0.958385,-0.943031359
GIGYF1,2212.0,0.443456438,1210.0,-0.34431,-0.165183057
GINS3,1415.0,0.387351931,208.0,0.235271,-0.963330745
GLA,1699.0,0.378726947,110.0,-0.804907,0.409368853
GLE1,1357.0,0.383457083,114.0,-0.080991,-0.134113106
GLRX,1188.0,0.430296645,211.0,0.853847,0.035516796
GLRX3,3557.0,0.41418463,539.0,0.093853,0.358526394
GLUD1,1558.0,0.392454008,1132.0,0.175466,0.67911294
GLYR1,2033.0,0.39940414,57.0,0.427952,0.672594525
GMEB1,4582.0,0.43446142,142.0,0.278975,0.51431762
GMPPA,198.0,0.434966364,375.0,0.298986,-0.365866496
GMPR,3984.0,0.435743929,114.0,-1.277102,0.537252638
GMPR2,464.0,0.453637396,704.0,-0.550695,-0.103520427
GNAI1,1947.0,0.435804474,356.0,1.951084,2.062686681
GNG7,3803.0,0.398730372,237.0,-0.494677,1.05611956
GNPDA1,1360.0,0.395964134,67.0,0.063125,0.622698461
GOLGA2,1243.0,0.401070546,13.0,0.020754,-0.093935629
GON4L,926.0,0.418089888,175.0,-0.271735,-0.434131536
GOSR1,5968.0,0.408103421,237.0,0.159442,-0.883618424
GOSR2,3258.0,0.374298057,541.0,-0.321849,-0.141705271
GOT2,1054.0,0.444803236,129.0,0.848876,0.793957601
GPS2,97.0,0.431122181,76.0,-0.346236,-1.29169568
GPX7,626.0,0.395840774,39.0,-0.167775,0.254552829
GRAMD1A,299.0,0.411657297,748.0,-0.14133,-0.176865858
GRB2,2292.0,0.4413596,358.0,0.637941,-0.057296086
GSTM4,2467.0,0.390909061,314.0,-0.46224,-0.362751818
GTF2A2,1070.0,0.420716795,404.0,-0.607326,-2.009854507
GTF2E2,604.0,0.365750105,273.0,-0.473571,-0.345865219
GTF3C2,932.0,0.372227001,397.0,0.112724,-0.298174537
GTPBP1,2894.0,0.424954603,154.0,-0.002908,0.009066743
GTPBP3,1032.0,0.436547413,95.0,-0.904386,-0.112299518
HADH,818.0,0.383558671,219.0,0.013168,1.582952762
HADHA,615.0,0.383558671,130.0,0.320758,1.159535459
HAUS5,3319.0,0.378752573,51.0,0.079558,0.063293497
HAUS8,346.0,0.37535995,111.0,0.027087,0.807064967
HCCS,1274.0,0.398607648,275.0,0.532907,-0.985492986
HCK,337.0,0.440224323,364.0,0.74361,0.843517205
HDAC1,591.0,0.390040122,63.0,-0.064235,-0.218280021
HDDC3,763.0,0.387287166,29.0,-1.582913,-0.708943483
HDGF,1342.0,0.465394593,322.0,-0.105241,-0.451660573
HDLBP,2343.0,0.397687311,375.0,0.720456,0.209572832
HEATR3,1385.0,0.384091545,883.0,0.985454,0.236076581
HEBP2,9119.0,0.359416339,297.0,0.455467,0.905232102
HECA,3704.0,0.443714129,285.0,0.075734,-0.102368994
HECTD3,3914.0,0.446742268,98.0,-0.306223,0.336772564
HERC2,726.0,0.429958504,109.0,-0.470099,-0.298472102
HERC5,379.0,0.393838904,153.0,-1.133274,0.195324052
HIP1,4874.0,0.430847644,52.0,-0.905087,-0.361536001
HLA-A,4150.0,0.424443523,84.0,1.13036,-1.85137364
HLA-C,420.0,0.421684519,65.0,1.010419,-1.247644292
HLA-DRA,409.0,0.420807891,109.0,1.549537,0.206223312
HLA-E,1459.0,0.413523771,126.0,1.173351,0.289284363
HLA-F,121.0,0.407256461,124.0,0.902482,-0.739183284
HMBOX1,3560.0,0.369177113,482.0,0.239474,1.815627079
HMBS,266.0,0.451934812,299.0,0.011755,0.757713287
HMGB2,3775.0,0.450826504,193.0,0.061712,-1.007213801
HMGCS1,3661.0,0.374424323,345.0,0.335431,0.116884499
HMOX1,616.0,0.436401717,107.0,0.583969,0.932239878
HNRNPA0,7504.0,0.386421138,284.0,0.651055,0.121034712
HNRNPD,1688.0,0.420386111,318.0,0.053515,-0.1580939
HNRNPL,1102.0,0.449817015,176.0,-0.155274,-0.186350515
HNRNPU,4156.0,0.432126199,218.0,-0.402635,-0.207149821
HNRNPUL1,2135.0,0.394022965,339.0,0.183217,0.004556949
HNRNPUL2,2674.0,0.436897081,229.0,0.212201,-0.030920078
HSBP1,3274.0,0.4454546,174.0,0.478933,0.333214035
HSD11B1,4482.0,0.426649415,154.0,1.86478,-0.284041582
HSD17B7,398.0,0.431983247,99.0,-1.722403,-0.350875368
HSP90AB1,313.0,0.39509298,251.0,-0.305138,-0.250185878
HSPA4L,7877.0,0.413794867,342.0,-3.340132,-0.500385097
HSPB11,107.0,0.34538245,284.0,-0.368133,0.532108608
HTRA2,571.0,0.421976635,602.0,-0.093254,1.100634006
HTT,3901.0,0.373695076,145.0,0.284735,-0.102202963
HUS1,2068.0,0.374612864,131.0,-0.121073,0.182502174
HYI,310.0,0.378597605,196.0,-0.753325,1.041575334
HYOU1,1409.0,0.403839016,234.0,0.874994,0.400170641
ICAM1,1537.0,0.426062071,319.0,0.353585,0.20705832
IER3IP1,3342.0,0.438740024,97.0,-0.126151,0.049587598
IFI16,254.0,0.415211655,290.0,-0.055756,0.148919559
IFI30,213.0,0.431523306,62.0,1.034622,-0.198563808
IFI35,160.0,0.418462024,223.0,-0.151204,0.06231619
IFI44,267.0,0.403888008,124.0,-0.988573,-0.889702052
IFI44L,5058.0,0.403608012,200.0,-0.646518,-0.227345468
IFIH1,121.0,0.412344512,377.0,0.233099,-0.229370085
IFIT1,2775.0,0.411248073,495.0,-1.20349,-0.523591777
IFIT2,1901.0,0.420797646,175.0,0.055004,-0.067554433
IFIT3,843.0,0.417440574,529.0,-0.010854,-0.103864372
IFIT5,2354.0,0.414819429,231.0,0.134961,-0.353864627
IFITM1,159.0,0.431550176,180.0,-1.466159,0.344323206
IFT27,109.0,0.4030938,426.0,-0.301144,0.54830867
IGFBP3,1605.0,0.43060006,132.0,-0.124026,0.045339279
IGFBP7,558.0,0.392734536,34.0,-0.46855,-0.310593685
IKBKE,745.0,0.435100597,714.0,-0.351064,-0.934779744
IL16,3965.0,0.367979445,2395.0,1.133349,0.448949218
IL17RA,5874.0,0.376798811,133.0,0.201501,-1.282839505
IL1RN,1145.0,0.411881061,408.0,-1.244945,0.938100852
IL4I1,16.0,0.4139018,621.0,1.291907,0.062995523
ILF2,656.0,0.426220446,239.0,-0.293228,0.087055026
IMPA2,2898.0,0.383680893,242.0,-0.471466,-1.656026417
INO80,5209.0,0.374025479,351.0,-0.478576,-1.262098762
