,3prime,tAI,max_5_UTR_length,TCGA-A7-A13F,TCGA-A7-A13F.1
DHX15,459.0,0.379133957,168.0,-0.087076,-0.170032627
DHX34,591.0,0.384465978,349.0,-0.266192,0.320065837
DHX58,357.0,0.440330409,223.0,-0.145467,0.042482348
DIABLO,719.0,0.425893605,1182.0,0.05274,-0.124703693
DMAP1,63.0,0.471306,301.0,0.250049,0.008390363
DMXL2,1274.0,0.389901613,225.0,-1.068332,-0.239633314
DNAJA4,1736.0,0.398301408,169.0,0.172098,-0.089279786
DNAJC14,1509.0,0.37755465,204.0,0.375178,1.172955371
DNAJC19,1326.0,0.403482491,259.0,0.098769,-0.01710073
DNAJC25,1212.0,0.430964931,56.0,0.104172,-0.006619478
DNAJC8,969.0,0.416719859,33.0,-0.813439,-0.165736871
DNM1,1255.0,0.393835111,116.0,-1.022703,-0.27447937
DNTTIP2,3564.0,0.408096853,58.0,0.328802,-0.064683659
DOCK11,3681.0,0.373818855,63.0,-1.239755,-0.136949509
DOCK2,524.0,0.446250827,52.0,-0.635016,-0.29716905
DOK2,438.0,0.384043737,481.0,-1.074497,-0.577859259
DPCD,197.0,0.459155016,389.0,0.316923,0.281647857
DPF2,2501.0,0.393394442,133.0,-0.535181,-0.046723929
DPH1,1310.0,0.448716064,341.0,-0.129244,-0.048237775
DPH5,784.0,0.413363166,165.0,-0.117943,-0.168547801
DPY30,562.0,0.438431353,279.0,-0.071169,0.127510012
DPYSL2,2472.0,0.430530829,431.0,-0.714713,-0.296049445
DRAP1,142.0,0.432809908,245.0,-0.345103,0.106095044
DRG1,4594.0,0.444150091,131.0,0.427413,-0.20807876
DSN1,5330.0,0.392894937,373.0,1.415602,0.607202606
DSTN,2786.0,0.375776803,438.0,-0.402096,-0.292376352
DTL,2265.0,0.372315747,921.0,1.934656,0.84251194
DTX3L,3456.0,0.408848169,89.0,-0.827569,-0.423537006
DUSP12,374.0,0.419884133,34.0,-0.516015,0.053791852
DUT,1937.0,0.36471409,109.0,1.042848,0.590974451
DYNLT1,514.0,0.420362019,78.0,-1.200656,-0.772859756
EBAG9,1437.0,0.39438748,402.0,0.212836,-0.107494421
ECH1,191.0,0.389477111,85.0,-0.034046,-0.170946424
ECHDC2,2269.0,0.400166641,752.0,-0.750627,0.101023645
ECM1,322.0,0.43792189,199.0,2.123213,0.531565364
EDEM2,76.0,0.379021051,100.0,0.752307,-0.248340512
EEA1,5374.0,0.405861636,265.0,0.090793,0.224183802
EEF1A2,286.0,0.417272363,329.0,0.402253,-0.053590015
EFTUD2,1331.0,0.444646836,398.0,0.851157,0.070392291
EHD1,3363.0,0.446314898,447.0,-0.496806,-0.304051759
EIF2AK2,8063.0,0.394727306,557.0,-0.48731,-0.34460318
EIF2B3,1058.0,0.383118637,239.0,0.48935,-0.001014668
EIF3F,5840.0,0.435728237,33.0,-0.067812,-0.098206748
EIF3L,1718.0,0.380710116,245.0,0.412077,0.039203082
EIF4A3,1120.0,0.381528282,222.0,0.028737,-0.068869807
ELAVL1,4910.0,0.437605432,167.0,0.226294,0.064161452
EMG1,248.0,0.433768095,143.0,-0.023377,0.027862715
EMILIN2,2605.0,0.379592019,159.0,-0.597598,0.0554437
ENDOD1,7728.0,0.376426787,118.0,0.859464,-0.296112793
ENOSF1,2904.0,0.382279782,622.0,0.665644,0.377747064
ENY2,2576.0,0.41756619,146.0,-0.007218,-0.073521772
EPSTI1,2106.0,0.391777705,469.0,-1.66394,0.003300798
ERCC1,2342.0,0.45058755,188.0,0.468642,0.115532291
ERCC6L,4809.0,0.354829683,623.0,1.181333,0.309311394
ERH,415.0,0.383837906,71.0,-0.941468,-0.105114172
ERLIN1,2041.0,0.444737514,478.0,0.511485,0.340015185
ERP29,1277.0,0.401191178,118.0,0.638145,0.237073603
ETV6,4356.0,0.398240844,274.0,-0.394759,-0.158876028
EXOC4,1232.0,0.388187525,35.0,0.145187,-0.11543903
EXOC8,6907.0,0.436106501,127.0,-0.048204,-0.042276881
EXOSC1,536.0,0.430105347,451.0,0.042825,0.058323416
EXOSC2,3902.0,0.431273517,32.0,0.340347,0.050246074
F8A1,571.0,0.46317284,15.0,-0.35432,0.479948955
FAAH,2043.0,0.384592892,82.0,0.512746,0.273336012
FAF1,4425.0,0.401181969,453.0,-0.055322,-0.066486439
FAM122A,4542.0,0.40477622,33.0,-0.430052,-0.037677171
FAM168A,6285.0,0.395008865,285.0,-0.642879,0.097960618
FAM177A1,2165.0,0.411149627,459.0,-0.56879,-0.507280497
FAM192A,1824.0,0.379195199,1475.0,-0.041999,0.147858616
FAM20B,4428.0,0.4357945,293.0,0.713338,0.13393857
FAM32A,1091.0,0.408676074,42.0,-0.192062,-0.041481888
FAM50A,286.0,0.482889735,110.0,-0.2489,-0.039214162
FBP1,248.0,0.397353747,331.0,0.804713,0.204497202
FBXL20,9338.0,0.383104745,254.0,0.236683,0.056242289
FBXO4,526.0,0.393825218,58.0,0.582631,0.395084074
FBXO6,503.0,0.42307306,166.0,0.194658,-0.182485661
FCER1G,305.0,0.4202976,25.0,-0.174519,0.07320899
FCGRT,309.0,0.433069976,486.0,2.240721,0.871544802
FCHO1,270.0,0.372951657,283.0,-0.554201,-0.115005938
FDPS,72.0,0.456397562,392.0,0.460733,0.19079258
FDXR,596.0,0.384661194,188.0,0.861433,-0.055949461
FEN1,1340.0,0.407867196,413.0,0.756305,0.230716628
FERMT3,399.0,0.435119014,149.0,-0.626571,-0.234081092
FGD2,907.0,0.441856308,171.0,-0.388467,-0.111217941
FGFR1OP2,1663.0,0.396595515,353.0,-0.388541,-0.068003525
FGL2,3460.0,0.40966218,40.0,-1.14591,-0.293062074
FKBP1A,1132.0,0.428443098,174.0,-0.444046,-0.333704083
FKBPL,24.0,0.377510344,270.0,0.052759,0.562392608
FLOT1,422.0,0.472159534,339.0,-0.281711,-0.313542725
FN3K,442.0,0.389857108,61.0,0.848035,0.155603606
FN3KRP,3667.0,0.380720834,50.0,0.9557,0.36921985
FOXJ3,3176.0,0.401878681,312.0,-0.386112,-0.062243665
FOXK2,3108.0,0.440496276,171.0,0.162936,0.01080521
FOXRED1,443.0,0.438630908,167.0,0.44035,0.110139355
FSCN1,1184.0,0.396100853,132.0,-0.392554,-0.13656139
FTH1,530.0,0.425357612,235.0,0.049039,-0.345513683
FTL,1031.0,0.428438948,199.0,-0.268076,-0.361539622
FTSJ1,638.0,0.457521275,569.0,0.008317,-0.014635697
FTSJ3,698.0,0.388239396,646.0,0.153503,0.175208585
FXN,6365.0,0.40465004,220.0,-0.161281,-0.145674209
GABARAPL2,564.0,0.431291441,136.0,-0.245049,-0.254512239
GABPB1,1320.0,0.423118524,469.0,0.022291,0.101090428
GALK1,292.0,0.455574511,63.0,0.382582,0.124908943
GANAB,989.0,0.425909644,1027.0,0.412976,-0.234904004
GAS6,315.0,0.393865445,183.0,-1.30792,-0.112492728
GAS7,6619.0,0.423630168,311.0,-0.560456,0.465964688
GBE1,708.0,0.404013874,283.0,0.010128,-0.053361164
GBP1,1735.0,0.42614962,220.0,-0.938197,-0.604059981
GBP2,5058.0,0.440134196,314.0,1.477826,0.728615233
GBP4,4106.0,0.42983554,116.0,-1.825275,-0.582672024
GBP5,1753.0,0.421901204,537.0,-2.989669,-0.92340478
GCH1,2011.0,0.419329122,161.0,-0.399248,-0.99487999
GFOD2,622.0,0.396604754,295.0,-0.176386,-0.244403112
GGA2,5408.0,0.377812588,83.0,-1.039354,-0.193132097
GGCX,5211.0,0.417836117,106.0,0.727806,-0.203973067
GIGYF1,2212.0,0.443456438,1210.0,-0.643436,0.280416847
GINS3,1415.0,0.387351931,208.0,1.132492,0.719368501
GLA,1699.0,0.378726947,110.0,1.585273,0.36770975
GLE1,1357.0,0.383457083,114.0,0.036739,0.104736672
GLRX,1188.0,0.430296645,211.0,-0.205982,-0.482318061
GLRX3,3557.0,0.41418463,539.0,0.057658,0.049275543
GLUD1,1558.0,0.392454008,1132.0,-0.243719,-0.423920586
GLYR1,2033.0,0.39940414,57.0,-0.271054,-0.173232505
GMEB1,4582.0,0.43446142,142.0,-0.555487,-0.304046867
GMPPA,198.0,0.434966364,375.0,-0.137592,-0.094868362
GMPR,3984.0,0.435743929,114.0,2.114105,0.512555011
GMPR2,464.0,0.453637396,704.0,-0.530809,-0.361325101
GNAI1,1947.0,0.435804474,356.0,-1.060298,-0.061238572
GNPDA1,1360.0,0.395964134,67.0,0.639483,0.219587211
GOLGA2,1243.0,0.401070546,13.0,-0.042762,-0.044788858
GON4L,926.0,0.418089888,175.0,0.296983,0.07327172
GOSR1,5968.0,0.408103421,237.0,0.299377,0.202431445
GOSR2,3258.0,0.374298057,541.0,0.345294,0.479105479
GOT2,1054.0,0.444803236,129.0,0.833741,-0.200542802
GPS2,97.0,0.431122181,76.0,0.43248,0.189832194
GPSM2,4697.0,0.401967226,496.0,1.435074,0.285237066
GPX7,626.0,0.395840774,39.0,-0.574655,-0.149471473
GRAMD1A,299.0,0.411657297,748.0,0.432226,0.101114406
GRB2,2292.0,0.4413596,358.0,0.874775,0.322413376
GSTM4,2467.0,0.390909061,314.0,1.41737,-0.095796631
GTF2A2,1070.0,0.420716795,404.0,0.186338,0.072412047
GTF2E2,604.0,0.365750105,273.0,0.275119,0.277931451
GTF3C2,932.0,0.372227001,397.0,0.075654,0.028460206
GTPBP1,2894.0,0.424954603,154.0,-0.119708,-0.094652589
GTPBP3,1032.0,0.436547413,95.0,0.41351,-0.14632535
GTSE1,680.0,0.368527868,212.0,0.887842,0.443046502
HADH,818.0,0.383558671,219.0,1.316707,0.191643974
HADHA,615.0,0.383558671,130.0,0.388045,-0.162756041
HAUS5,3319.0,0.378752573,51.0,0.472449,0.150296383
HAUS8,346.0,0.37535995,111.0,0.594018,0.04575839
HCCS,1274.0,0.398607648,275.0,0.264336,-0.253132515
HCK,337.0,0.440224323,364.0,2.111945,0.245209785
HDAC1,591.0,0.390040122,63.0,0.332735,0.286801767
HDDC3,763.0,0.387287166,29.0,0.429957,0.159051195
HDGF,1342.0,0.465394593,322.0,0.730163,0.16473556
HDLBP,2343.0,0.397687311,375.0,0.221814,-0.054848217
HEATR3,1385.0,0.384091545,883.0,1.252678,0.601832339
HEBP2,9119.0,0.359416339,297.0,-1.351597,-0.625627404
HECA,3704.0,0.443714129,285.0,-0.642509,-0.224095186
HECTD3,3914.0,0.446742268,98.0,0.62051,0.166850996
HERC2,726.0,0.429958504,109.0,0.135583,0.123837853
HERC5,379.0,0.393838904,153.0,-2.695982,-0.040992861
HERC6,651.0,0.398146132,183.0,-3.308183,-0.828758391
HIP1,4874.0,0.430847644,52.0,0.550989,0.421618982
HLA-A,4150.0,0.424443523,84.0,-1.235036,-0.376986319
HLA-C,420.0,0.421684519,65.0,-0.586204,-0.913066904
HLA-DRA,409.0,0.420807891,109.0,-0.235204,0.629164492
HLA-E,1459.0,0.413523771,126.0,-1.165113,-0.442276018
HLA-F,121.0,0.407256461,124.0,-1.817643,-0.318880517
HMBOX1,3560.0,0.369177113,482.0,0.299283,-1.392968583
HMBS,266.0,0.451934812,299.0,0.62911,0.026984673
HMGB2,3775.0,0.450826504,193.0,0.152945,-0.25187349
HMGCS1,3661.0,0.374424323,345.0,-0.16485,-0.26958337
HMOX1,616.0,0.436401717,107.0,0.981394,0.365800671
HNRNPA0,7504.0,0.386421138,284.0,-0.42906,-0.088335021
HNRNPD,1688.0,0.420386111,318.0,-0.215225,-0.262640022
HNRNPL,1102.0,0.449817015,176.0,-0.12711,-0.154223423
HNRNPU,4156.0,0.432126199,218.0,0.000109,0.031386034
HNRNPUL1,2135.0,0.394022965,339.0,0.142214,0.122745985
HNRNPUL2,2674.0,0.436897081,229.0,-0.653539,-0.181917923
HSBP1,3274.0,0.4454546,174.0,0.480919,0.392818721
HSD17B7,398.0,0.431983247,99.0,0.587661,-0.107107186
HSP90AB1,313.0,0.39509298,251.0,0.305104,0.221128949
HSPA4L,7877.0,0.413794867,342.0,-3.480135,-0.765801862
HSPB11,107.0,0.34538245,284.0,0.715312,0.308394281
HTRA2,571.0,0.421976635,602.0,-0.167538,-0.205443921
HTT,3901.0,0.373695076,145.0,0.304542,0.31611358
HUS1,2068.0,0.374612864,131.0,0.211417,-0.342275461
HYI,310.0,0.378597605,196.0,-1.444214,-0.490590033
HYOU1,1409.0,0.403839016,234.0,0.711437,-0.323896182
ICAM1,1537.0,0.426062071,319.0,-1.073363,-0.473995256
IER3IP1,3342.0,0.438740024,97.0,0.105227,-0.357747732
IFI16,254.0,0.415211655,290.0,-0.918383,-0.003081353
IFI30,213.0,0.431523306,62.0,-0.252103,0.204592048
IFI35,160.0,0.418462024,223.0,0.063428,-0.468425703
IFI44,267.0,0.403888008,124.0,-2.164252,-0.959235281
