,3prime,tAI,max_5_UTR_length,TCGA-E2-A158,TCGA-E2-A158.1
CDK19,4557.0,0.421511824,180.0,1.502834,0.930452919
CDK2AP1,766.0,0.439144625,522.0,2.115762,0.48400615
CDK5RAP2,367.0,0.371069462,192.0,0.386496,0.243607194
CDK5RAP3,284.0,0.469750898,1791.0,-0.634244,0.073346676
CDKAL1,1365.0,0.417875209,167.0,1.054961,0.208756013
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.980289,0.007108502
CDKN2C,2247.0,0.381912025,1216.0,0.64009,-0.10678357
CEBPD,1714.0,0.430497143,44.0,0.277085,0.127455414
CENPH,1478.0,0.418392258,87.0,0.640386,-0.351702836
CENPV,301.0,0.385948267,62.0,2.04352,0.935439345
CEP55,939.0,0.397841874,304.0,0.563988,0.21097503
CETN2,868.0,0.433727498,47.0,-0.454871,-0.571745068
CFL1,677.0,0.502791,234.0,-0.198496,-0.052602765
CHAC2,786.0,0.395629742,277.0,1.810573,0.610532504
CHCHD4,3528.0,0.445497334,326.0,-0.144614,0.211377991
CHMP4A,296.0,0.447100154,262.0,-1.767495,-0.678631292
CHMP5,1241.0,0.442987983,200.0,-0.225242,-0.34104843
CHMP6,980.0,0.489861105,78.0,-0.211111,-0.220557639
CHST11,4211.0,0.430763246,498.0,-2.197513,-0.426181559
CHTF8,2425.0,0.424551152,142.0,-0.092022,-0.095865834
CIAPIN1,1024.0,0.451663323,242.0,1.480206,0.607015077
CISD2,5376.0,0.433298698,107.0,-0.020153,0.130063159
CKAP4,2872.0,0.386259817,84.0,-0.55204,0.376272121
CKS2,300.0,0.317949998,98.0,0.062387,0.185855652
CLCC1,5185.0,0.369704467,150.0,0.612599,0.850747312
CLCN7,1698.0,0.459147749,110.0,-0.815654,0.320565617
CLIC1,290.0,0.4571302,573.0,-1.157307,-0.962213126
CLK2,350.0,0.410673686,925.0,0.681053,0.293577745
CLK3,1233.0,0.4268607,461.0,-0.648454,0.142223169
CLPTM1,458.0,0.383990827,351.0,-0.322713,0.066145701
CLTA,288.0,0.450950874,514.0,0.271792,-0.32018374
CLTB,319.0,0.48548545,210.0,-1.236649,-0.615374393
CLTC,3104.0,0.384957863,443.0,-1.193997,-0.5014967
CNBP,6850.0,0.433298698,206.0,0.751512,0.932303619
CNPY2,123.0,0.392778455,553.0,-0.383346,-0.163556097
CNPY3,1042.0,0.459231502,584.0,-0.352726,0.236227923
COG3,1967.0,0.414689223,142.0,-0.46165,-0.530526987
COMMD1,306.0,0.423842833,138.0,-0.020923,-0.263058305
COMMD3,431.0,0.360487018,35.0,0.048407,-0.175611177
COMMD5,498.0,0.445713337,399.0,-0.158164,-0.148091988
COMMD6,1375.0,0.396967837,328.0,0.639335,0.073769463
COMMD9,2340.0,0.418062772,89.0,-1.290108,-0.351561337
COPB1,446.0,0.381738818,307.0,-0.682221,-0.296227608
COPE,165.0,0.478760693,55.0,0.032925,-0.266597788
COQ6,671.0,0.374062527,159.0,-1.15895,0.495136008
COQ7,5700.0,0.42379098,133.0,-0.438241,0.834574158
CORO1A,112.0,0.457388252,435.0,-0.113851,-0.101388864
COX17,1735.0,0.484254073,86.0,-0.66677,-0.07169947
COX5A,860.0,0.429944966,140.0,-0.577246,-0.086390016
COX7A2,302.0,0.441893926,98.0,-0.321481,0.127231208
CPM,5262.0,0.406054343,75.0,-2.586176,-0.495041047
CPSF4,923.0,0.452412439,277.0,0.209584,0.222102172
CPT1A,2761.0,0.374132033,170.0,-1.647492,-0.678164209
CPT2,602.0,0.431256564,515.0,-0.398243,0.092941656
CRCP,8457.0,0.390198146,145.0,0.045191,0.443871834
CRKL,3904.0,0.422225684,509.0,0.698058,0.157958635
CRTAP,5601.0,0.446308827,120.0,-0.932346,0.065720243
CRTC3,3205.0,0.355982524,186.0,1.011344,0.338737906
CRYL1,462.0,0.386242786,79.0,-1.628707,-0.613802565
CSRP1,1183.0,0.493833101,217.0,0.273018,-0.486567082
CST3,2762.0,0.475763324,186.0,-3.524056,-0.87922055
CSTF2,1931.0,0.372934478,58.0,-0.006879,0.153234008
CTBP1,800.0,0.464034004,393.0,0.585251,0.422998644
CTNNA1,1216.0,0.412513324,1103.0,-0.617595,0.293112387
CTNNB1,1106.0,0.432073699,448.0,0.09757,0.660843878
CTNNBIP1,2448.0,0.394834327,307.0,0.07793,-0.127781543
CTPS2,1870.0,0.416273085,744.0,0.687814,0.35315046
CTSG,119.0,0.369503415,37.0,-5.817139,-1.096748746
CTSH,1072.0,0.446467856,1192.0,1.577801,1.535472653
CUEDC1,2047.0,0.374410739,719.0,-1.102597,-0.633635565
CUX1,1040.0,0.395555213,127.0,0.898084,0.393404113
CXCL10,814.0,0.410287201,105.0,0.681942,-0.051671968
CXCL9,2323.0,0.403736618,74.0,1.570867,0.331362965
CYBB,2544.0,0.418993019,61.0,-1.718718,0.399774143
CYP2S1,1051.0,0.420869286,58.0,-2.224236,0.527620067
CYTH4,1837.0,0.406296106,377.0,-2.61054,0.017525494
DAB2,1757.0,0.368483127,531.0,-2.651846,-0.559774097
DAGLB,721.0,0.377719723,170.0,-0.894967,-0.359852537
DAP3,768.0,0.366492687,184.0,0.516081,0.232353108
DAPP1,2082.0,0.348655603,90.0,-1.98912,-0.535927126
DBI,233.0,0.467027529,479.0,1.284941,0.686618655
DCAF8,1877.0,0.380310979,212.0,-0.324402,-0.611758588
DCP1A,4153.0,0.411936399,381.0,-0.0375,0.188094457
DCPS,4731.0,0.375605648,329.0,0.370361,0.238055521
DCTN5,10597.0,0.443116252,177.0,0.764639,0.104966535
DDAH2,653.0,0.361046801,1104.0,-0.602698,-0.334588145
DDB2,1223.0,0.43604051,195.0,-2.005424,-0.679499022
DDX23,713.0,0.445931172,91.0,-0.253293,0.526156585
DDX31,1870.0,0.361830896,544.0,0.961956,0.933436179
DDX47,438.0,0.379294484,22.0,0.305712,0.740617441
DDX54,1704.0,0.467316231,28.0,-0.20973,0.973757172
DDX56,586.0,0.438032149,643.0,0.834595,0.878706297
DDX59,217.0,0.413095257,243.0,0.050918,0.059358477
DHODH,3463.0,0.371608285,21.0,0.196767,0.133845068
DHPS,121.0,0.474111752,121.0,-0.209215,-0.149935359
DHX15,459.0,0.379133957,168.0,0.12699,0.35641678
DHX34,591.0,0.384465978,349.0,0.764067,0.247022113
DHX58,357.0,0.440330409,223.0,-2.302727,-0.461561082
DIABLO,719.0,0.425893605,1182.0,0.185558,0.476902044
DMAP1,63.0,0.471306,301.0,-0.308622,0.16141389
DMXL2,1274.0,0.389901613,225.0,-0.640094,-0.124116043
DNAJA4,1736.0,0.398301408,169.0,-1.791822,-1.299518722
DNAJC19,1326.0,0.403482491,259.0,0.198737,0.179199234
DNAJC25,1212.0,0.430964931,56.0,0.048029,0.435963241
DNAJC8,969.0,0.416719859,33.0,0.853102,1.085460911
DNM1,1255.0,0.393835111,116.0,1.980767,0.089431098
DNTTIP2,3564.0,0.408096853,58.0,0.891895,0.763012811
DOCK11,3681.0,0.373818855,63.0,0.406741,0.344514773
DOCK2,524.0,0.446250827,52.0,-2.383264,-0.068195418
DOK2,438.0,0.384043737,481.0,-1.608832,0.141123113
DPCD,197.0,0.459155016,389.0,0.363657,0.289876851
DPF2,2501.0,0.393394442,133.0,0.725806,0.381613883
DPH1,1310.0,0.448716064,341.0,-0.362416,0.253777847
DPH5,784.0,0.413363166,165.0,1.058834,0.175229685
DPY30,562.0,0.438431353,279.0,0.704444,0.320295299
DPYSL2,2472.0,0.430530829,431.0,1.508652,0.560085466
DRAP1,142.0,0.432809908,245.0,-0.703137,0.819992489
DRG1,4594.0,0.444150091,131.0,0.517741,0.298585416
DSN1,5330.0,0.392894937,373.0,0.375627,0.013050377
DSTN,2786.0,0.375776803,438.0,0.412596,-0.008507664
DTL,2265.0,0.372315747,921.0,-0.448066,-0.711022505
DTX3L,3456.0,0.408848169,89.0,-0.972934,-0.477321019
DUSP12,374.0,0.419884133,34.0,0.189686,-0.282164224
DUT,1937.0,0.36471409,109.0,-0.82041,-0.524376126
DYNLT1,514.0,0.420362019,78.0,-1.128818,0.19518772
EBAG9,1437.0,0.39438748,402.0,-0.135947,-0.0154838
ECH1,191.0,0.389477111,85.0,-0.898847,-0.531883177
ECHDC2,2269.0,0.400166641,752.0,0.345187,-0.629631829
ECM1,322.0,0.43792189,199.0,-3.635236,-1.113328396
EDEM2,76.0,0.379021051,100.0,-0.346344,-0.036164058
EEA1,5374.0,0.405861636,265.0,-1.604346,-0.58457203
EEF1A2,286.0,0.417272363,329.0,-1.819022,-1.035353198
EFTUD2,1331.0,0.444646836,398.0,-0.185149,0.350514514
EHD1,3363.0,0.446314898,447.0,0.295667,-0.054491185
EIF2AK2,8063.0,0.394727306,557.0,-0.358236,0.115895723
EIF2B3,1058.0,0.383118637,239.0,-0.0545,0.001683795
EIF3F,5840.0,0.435728237,33.0,-0.29005,-0.157256202
EIF3L,1718.0,0.380710116,245.0,0.837423,0.086636085
EIF4A3,1120.0,0.381528282,222.0,0.366525,0.308805061
ELAVL1,4910.0,0.437605432,167.0,0.970808,0.531142253
EMG1,248.0,0.433768095,143.0,0.150942,0.479531075
EMILIN2,2605.0,0.379592019,159.0,-1.803588,-0.217265875
ENDOD1,7728.0,0.376426787,118.0,-1.572691,-0.381570579
ENOSF1,2904.0,0.382279782,622.0,-1.014132,-1.083829213
ENY2,2576.0,0.41756619,146.0,-0.013788,0.648134285
EPSTI1,2106.0,0.391777705,469.0,-1.662916,-0.124468075
ERCC1,2342.0,0.45058755,188.0,0.35742,-0.056617101
ERCC6L,4809.0,0.354829683,623.0,0.314199,-0.240296723
ERH,415.0,0.383837906,71.0,-0.717885,0.149480076
ERLIN1,2041.0,0.444737514,478.0,0.310835,0.543986149
ERP29,1277.0,0.401191178,118.0,0.14785,0.284503809
ETV6,4356.0,0.398240844,274.0,0.535116,0.10838125
EXOC4,1232.0,0.388187525,35.0,0.87785,0.033486472
EXOC8,6907.0,0.436106501,127.0,0.037852,-0.195135317
EXOSC1,536.0,0.430105347,451.0,0.081409,0.574214287
EXOSC2,3902.0,0.431273517,32.0,0.903667,0.296424927
F8A1,571.0,0.46317284,15.0,-0.028929,-0.144094992
FAAH,2043.0,0.384592892,82.0,-1.435151,-0.778867128
FAF1,4425.0,0.401181969,453.0,0.847227,0.401517842
FAM122A,4542.0,0.40477622,33.0,0.176645,-0.046426941
FAM168A,6285.0,0.395008865,285.0,0.231222,0.911524649
FAM177A1,2165.0,0.411149627,459.0,-0.246367,-0.228065323
FAM192A,1824.0,0.379195199,1475.0,0.724855,0.219076173
FAM20B,4428.0,0.4357945,293.0,0.059643,0.258911745
FAM32A,1091.0,0.408676074,42.0,0.237565,0.940952674
FAM50A,286.0,0.482889735,110.0,-1.010237,-0.173068738
FBP1,248.0,0.397353747,331.0,-5.026171,-1.557271117
FBXL20,9338.0,0.383104745,254.0,0.173195,0.120880726
FBXO4,526.0,0.393825218,58.0,-0.076644,-0.019862772
FBXO6,503.0,0.42307306,166.0,-0.775591,-0.625269971
FCER1G,305.0,0.4202976,25.0,-1.757308,0.094441848
FCGRT,309.0,0.433069976,486.0,0.801628,0.504858255
FCHO1,270.0,0.372951657,283.0,1.864207,-0.233577102
FDPS,72.0,0.456397562,392.0,0.40167,0.128311923
FDXR,596.0,0.384661194,188.0,-0.82039,-0.512437127
FEN1,1340.0,0.407867196,413.0,-0.828927,-0.437108484
FERMT3,399.0,0.435119014,149.0,-1.912833,-0.181360797
FGD2,907.0,0.441856308,171.0,-1.057162,-0.23074395
FGFR1OP2,1663.0,0.396595515,353.0,0.71653,-0.176858883
FGL2,3460.0,0.40966218,40.0,-2.171528,-0.080246655
FKBP1A,1132.0,0.428443098,174.0,0.409236,0.352128804
FKBPL,24.0,0.377510344,270.0,-0.013013,-0.17512816
FLOT1,422.0,0.472159534,339.0,-0.571057,-0.504402007
FN3K,442.0,0.389857108,61.0,-0.491674,-0.215178083
FN3KRP,3667.0,0.380720834,50.0,0.424127,0.065588647
FOXJ3,3176.0,0.401878681,312.0,0.949685,0.483019096
FOXK2,3108.0,0.440496276,171.0,0.807003,0.144216046
FOXRED1,443.0,0.438630908,167.0,-1.141867,-0.000551768
FSCN1,1184.0,0.396100853,132.0,1.273367,0.287306762
FTH1,530.0,0.425357612,235.0,-2.050523,-0.989681195
FTL,1031.0,0.428438948,199.0,-0.191772,-0.103519633
FTSJ1,638.0,0.457521275,569.0,0.109719,0.134912675
FTSJ3,698.0,0.388239396,646.0,-0.826634,0.81518241
FXN,6365.0,0.40465004,220.0,1.126521,-0.105381899
GABARAPL2,564.0,0.431291441,136.0,0.411522,0.981527346
GABPB1,1320.0,0.423118524,469.0,0.152229,-0.016655868
GALK1,292.0,0.455574511,63.0,0.762274,0.142086356
GANAB,989.0,0.425909644,1027.0,0.581728,0.143105471
GAS6,315.0,0.393865445,183.0,0.15908,-0.09120608
GAS7,6619.0,0.423630168,311.0,-3.19169,-0.395330055
GBE1,708.0,0.404013874,283.0,-1.796987,-0.603190974
GBP1,1735.0,0.42614962,220.0,1.150075,0.597342178
GBP2,5058.0,0.440134196,314.0,0.282578,0.235182183
GBP4,4106.0,0.42983554,116.0,-0.52812,0.055500893
GBP5,1753.0,0.421901204,537.0,-0.816931,0.052939985
GCH1,2011.0,0.419329122,161.0,-0.701555,-0.448355044
GFOD2,622.0,0.396604754,295.0,1.118659,-0.231096219
GGA2,5408.0,0.377812588,83.0,0.012669,-0.077971531
GGCX,5211.0,0.417836117,106.0,0.323315,0.796189472
GIGYF1,2212.0,0.443456438,1210.0,0.891198,0.061179164
GINS3,1415.0,0.387351931,208.0,0.59488,-0.529612896
GLA,1699.0,0.378726947,110.0,-0.914155,0.133834006
GLE1,1357.0,0.383457083,114.0,-0.602393,0.165762992
GLRX,1188.0,0.430296645,211.0,0.246561,-0.905764727
GLRX3,3557.0,0.41418463,539.0,-0.555063,-0.28046766
GLUD1,1558.0,0.392454008,1132.0,0.515117,0.057850894
GLYR1,2033.0,0.39940414,57.0,-0.872314,-0.145330884
GMEB1,4582.0,0.43446142,142.0,1.057577,0.394933179
GMPPA,198.0,0.434966364,375.0,-1.682712,-0.694326368
GMPR,3984.0,0.435743929,114.0,-4.811355,-1.482738701
GMPR2,464.0,0.453637396,704.0,-1.149398,-0.993487753
GNAI1,1947.0,0.435804474,356.0,0.231824,-0.118447043
GNG7,3803.0,0.398730372,237.0,0.794479,0.153873832
GNPDA1,1360.0,0.395964134,67.0,-0.306597,-0.174380194
GOLGA2,1243.0,0.401070546,13.0,0.007699,0.050389122
GON4L,926.0,0.418089888,175.0,0.899268,0.021510595
GOSR1,5968.0,0.408103421,237.0,-0.604469,-0.269151523
GOSR2,3258.0,0.374298057,541.0,-0.369485,0.38455516
GOT2,1054.0,0.444803236,129.0,0.080785,0.541264084
GPS2,97.0,0.431122181,76.0,-1.370688,0.213215116
GPX7,626.0,0.395840774,39.0,2.310882,1.490076467
GRAMD1A,299.0,0.411657297,748.0,0.083151,0.211024014
GRB2,2292.0,0.4413596,358.0,-0.091526,-0.111132475
GSTM4,2467.0,0.390909061,314.0,0.138474,0.600567524
GTF2A2,1070.0,0.420716795,404.0,-0.451727,0.273731099
GTF2E2,604.0,0.365750105,273.0,0.420701,0.242161208
GTF3C2,932.0,0.372227001,397.0,1.312378,0.633269489
GTPBP1,2894.0,0.424954603,154.0,0.427366,0.269547154
GTPBP3,1032.0,0.436547413,95.0,0.797491,0.477921007
GTSE1,680.0,0.368527868,212.0,-0.193615,-1.050285723
HADH,818.0,0.383558671,219.0,0.521834,0.551667223
HADHA,615.0,0.383558671,130.0,0.240732,0.376068886
HAUS5,3319.0,0.378752573,51.0,0.689912,0.306708178
HAUS8,346.0,0.37535995,111.0,0.430836,0.255238714
HCCS,1274.0,0.398607648,275.0,0.123815,0.781282763
HCK,337.0,0.440224323,364.0,-1.438693,-0.08580999
HDAC1,591.0,0.390040122,63.0,0.126822,0.246026237
HDDC3,763.0,0.387287166,29.0,0.589317,0.510871794
HDGF,1342.0,0.465394593,322.0,1.028619,0.687954217
HDLBP,2343.0,0.397687311,375.0,0.603499,0.041431944
HEATR3,1385.0,0.384091545,883.0,1.510082,0.605479478
HEBP2,9119.0,0.359416339,297.0,-0.405444,-0.271476036
HECA,3704.0,0.443714129,285.0,-0.059753,0.172847639
HECTD3,3914.0,0.446742268,98.0,0.179194,-0.497027073
HERC2,726.0,0.429958504,109.0,0.139146,0.006647609
HERC5,379.0,0.393838904,153.0,-0.674151,-0.256914437
HIP1,4874.0,0.430847644,52.0,-1.03468,-0.609160658
HLA-A,4150.0,0.424443523,84.0,1.303648,1.567570603
HLA-C,420.0,0.421684519,65.0,-0.374308,1.493175353
HLA-DRA,409.0,0.420807891,109.0,-1.692841,-0.298080302
HLA-E,1459.0,0.413523771,126.0,-0.560079,0.309407773
HLA-F,121.0,0.407256461,124.0,0.418377,-0.005766796
HMBOX1,3560.0,0.369177113,482.0,-1.047078,-1.51442933
HMBS,266.0,0.451934812,299.0,-0.512889,-0.526862079
HMGB2,3775.0,0.450826504,193.0,-0.407795,0.098929381
HMGCS1,3661.0,0.374424323,345.0,-0.60649,-0.972848907
HMOX1,616.0,0.436401717,107.0,-3.401499,-0.772140981
HNRNPA0,7504.0,0.386421138,284.0,-0.531289,-0.107164209
HNRNPD,1688.0,0.420386111,318.0,0.613455,0.580408538
HNRNPL,1102.0,0.449817015,176.0,-0.108532,0.008860438
HNRNPU,4156.0,0.432126199,218.0,-0.118349,0.328325153
HNRNPUL1,2135.0,0.394022965,339.0,0.277913,0.517525902
HNRNPUL2,2674.0,0.436897081,229.0,0.049996,0.429301539
HSBP1,3274.0,0.4454546,174.0,0.262562,0.004624629
HSD11B1,4482.0,0.426649415,154.0,-1.349578,0.043783418
HSD17B7,398.0,0.431983247,99.0,-0.06561,-0.016575894
HSP90AB1,313.0,0.39509298,251.0,0.269337,-0.241775364
HSPA1L,428.0,0.464100714,183.0,-0.319072,-0.87064091
HSPA4L,7877.0,0.413794867,342.0,0.9261,0.360215605
HSPB11,107.0,0.34538245,284.0,-0.356759,-0.084339183
HTRA2,571.0,0.421976635,602.0,0.660186,0.794303779
HTT,3901.0,0.373695076,145.0,-0.716314,-0.037511889
HUS1,2068.0,0.374612864,131.0,0.424858,0.234403782
HYI,310.0,0.378597605,196.0,0.155909,0.114231384
HYOU1,1409.0,0.403839016,234.0,0.572281,0.099842559
ICAM1,1537.0,0.426062071,319.0,-1.151223,-0.289362333
IER3IP1,3342.0,0.438740024,97.0,0.008691,-0.32092405
IFI16,254.0,0.415211655,290.0,1.263089,0.824463955
IFI30,213.0,0.431523306,62.0,-1.495409,-0.439322105
IFI35,160.0,0.418462024,223.0,-3.083444,-0.643666543
IFI44,267.0,0.403888008,124.0,-1.707237,-0.467419045
IFI44L,5058.0,0.403608012,200.0,-2.412779,-0.439274856
IFIH1,121.0,0.412344512,377.0,-1.011402,-0.373954147
