,3prime,tAI,max_5_UTR_length,TCGA-AN-A0AL,TCGA-AN-A0AL.1
ARHGEF10,1378.0,0.370244255,202.0,-0.187208,0.1247845
ARID2,3145.0,0.362288628,128.0,-1.155496,-0.293862676
ARID3A,3881.0,0.411693449,290.0,-0.981047,0.03324766
ARIH2,3112.0,0.397061561,878.0,-0.192061,-0.057816376
ARL8A,1065.0,0.409602486,171.0,-0.367763,0.259067029
ARRB1,6041.0,0.39512759,224.0,-0.006354,0.192975723
ASF1B,950.0,0.395794233,172.0,1.782952,0.551469202
ASS1,1357.0,0.394201053,356.0,1.736685,0.826226375
ATPAF1,3039.0,0.439253133,510.0,0.151492,-0.275023996
AXL,1863.0,0.417061167,376.0,-0.034932,1.488370526
B4GALT7,4483.0,0.433879574,93.0,0.434961,0.419182545
BAG1,2764.0,0.431693656,501.0,-0.767819,-0.941652821
BAG3,537.0,0.387438444,306.0,0.084918,-0.287361387
BASP1,971.0,0.520859146,259.0,0.121254,-0.085098109
BBS7,1531.0,0.408023089,184.0,-0.789905,-0.103375815
BCAT2,364.0,0.445598481,657.0,0.056061,-0.09809448
BCKDHB,3082.0,0.419736544,88.0,-0.985566,-0.231854774
BCL2,5279.0,0.374049285,493.0,-2.755426,-1.077390075
BCL2L13,4109.0,0.411790332,769.0,-0.16259,-0.027995501
BID,4193.0,0.428633517,498.0,0.538661,0.011081357
BLVRA,3376.0,0.414260839,177.0,-1.15515,-1.005122027
BOLA2,40.0,0.43059393,513.0,-0.603437,-0.818934467
BOLA3,383.0,0.406657227,38.0,0.935478,0.202312147
BRD2,787.0,0.377809737,2066.0,-0.39625,0.126826879
BRD3,3285.0,0.401150236,188.0,-0.683924,-0.210967859
BSPRY,1091.0,0.380011644,48.0,1.881461,0.982850328
BST2,411.0,0.444557266,81.0,-1.279078,-1.328213204
BUB3,1535.0,0.421992618,242.0,0.002276,-0.129777755
C1QB,152.0,0.436596666,340.0,0.716041,0.214560225
C1QC,327.0,0.41150294,283.0,0.839378,0.334341565
C2CD3,671.0,0.360398895,227.0,-0.045103,-0.163277298
C3,5088.0,0.430632158,93.0,1.374249,0.74468863
CAP1,1134.0,0.406948565,416.0,0.161846,-0.067399857
CAPN1,720.0,0.455130071,197.0,1.576457,0.484694108
CAPRIN1,5632.0,0.374918508,189.0,-0.022363,0.261586842
CAPZB,5180.0,0.446052528,622.0,0.126822,-0.124036144
CARD16,437.0,0.41300235,27.0,1.512891,0.047356989
CARHSP1,4898.0,0.362100245,360.0,-0.113424,-0.23527792
CASC3,1778.0,0.370720542,295.0,-0.979999,-0.249607578
CASP1,750.0,0.424742838,44.0,0.320463,-0.152584765
CASP8,1794.0,0.376118708,303.0,0.702934,0.504944627
CAT,629.0,0.397270122,89.0,-0.079442,-0.186092417
CBL,8368.0,0.375957197,142.0,0.226615,0.041144593
CBLL1,3286.0,0.400851504,467.0,-0.466076,0.05081043
CBR3,54.0,0.445176236,228.0,1.103306,-0.326172983
CBS,4385.0,0.477784031,626.0,2.698634,-0.177599545
CBX5,10815.0,0.390902295,318.0,-0.593346,-0.450027531
CBX8,2504.0,0.36735217,118.0,0.673864,0.135462595
CCDC115,2169.0,0.385110507,452.0,-0.403983,-0.199332501
CCDC58,2462.0,0.421830022,75.0,0.247377,0.014395639
CCDC88C,1302.0,0.396031427,154.0,-0.362075,0.020764119
CCL5,886.0,0.462166288,68.0,0.295504,-0.404307917
CCNA2,1206.0,0.409154498,373.0,1.127244,0.211020705
CCNB2,168.0,0.374401461,184.0,1.658893,0.441242543
CCNDBP1,2336.0,0.44393643,231.0,-0.175572,0.619743487
CCS,4244.0,0.460896681,43.0,0.576444,-0.096173877
CCT3,238.0,0.457984718,231.0,-0.27121,0.295275415
CCT4,1361.0,0.393363555,164.0,0.206892,0.35306961
CD14,128.0,0.416321757,392.0,0.599583,0.014402648
CD209,3046.0,0.440000747,67.0,1.246727,-0.338795813
CD36,2894.0,0.410517795,414.0,-0.278187,-0.793588792
CD40,982.0,0.429065654,90.0,0.709062,0.006549968
CD44,3115.0,0.39995987,434.0,-0.168619,-0.060709698
CD63,923.0,0.512738356,403.0,0.075447,-0.040547305
CD74,635.0,0.427357309,187.0,0.274126,0.046119708
CDC26,271.0,0.395637029,359.0,0.828977,-0.282109499
CDC34,560.0,0.46431386,199.0,0.10764,0.626730126
CDC42EP3,3941.0,0.420378821,1009.0,0.390594,-0.138732598
CDCA3,816.0,0.351209268,820.0,0.984098,0.292803516
CDCA8,1353.0,0.384295288,290.0,1.329279,0.322824708
CDIPT,1864.0,0.442654716,541.0,-0.377942,0.075906803
CDK1,2313.0,0.398329505,154.0,1.113175,0.263074081
CDK19,4557.0,0.421511824,180.0,-0.205975,0.229687332
CDK2AP1,766.0,0.439144625,522.0,1.314259,0.226937898
CDK5RAP2,367.0,0.371069462,192.0,-0.057088,0.040262663
CDK5RAP3,284.0,0.469750898,1791.0,-1.218153,-0.477711729
CDKAL1,1365.0,0.417875209,167.0,0.290354,0.449314124
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.404143,0.330444313
CDKN2C,2247.0,0.381912025,1216.0,1.549232,-0.221523084
CEBPD,1714.0,0.430497143,44.0,0.052966,-0.314418617
CENPH,1478.0,0.418392258,87.0,0.230885,-0.148534235
CENPV,301.0,0.385948267,62.0,1.279709,0.341080427
CEP55,939.0,0.397841874,304.0,1.638299,0.402778282
CES3,2100.0,0.377378956,446.0,3.810123,0.956466059
CETN2,868.0,0.433727498,47.0,-0.616008,-0.901762945
CFL1,677.0,0.502791,234.0,1.09381,0.438535832
CHAC2,786.0,0.395629742,277.0,1.08562,0.150693157
CHCHD4,3528.0,0.445497334,326.0,-0.415089,-0.46014554
CHMP4A,296.0,0.447100154,262.0,0.220389,-0.063017436
CHMP5,1241.0,0.442987983,200.0,-0.826751,-0.619458811
CHMP6,980.0,0.489861105,78.0,0.248348,0.021765216
CHTF8,2425.0,0.424551152,142.0,0.500251,0.684972658
CIAPIN1,1024.0,0.451663323,242.0,0.803666,0.470018078
CISD2,5376.0,0.433298698,107.0,0.684261,0.819801264
CKAP4,2872.0,0.386259817,84.0,1.912784,0.945575525
CKS2,300.0,0.317949998,98.0,0.822406,0.63165425
CLCC1,5185.0,0.369704467,150.0,0.37326,0.751838026
CLCN7,1698.0,0.459147749,110.0,-0.351215,0.290703393
CLIC1,290.0,0.4571302,573.0,0.127006,-0.447243569
CLK2,350.0,0.410673686,925.0,-0.677915,0.13976994
CLK3,1233.0,0.4268607,461.0,0.579375,1.008971789
CLPTM1,458.0,0.383990827,351.0,0.776115,0.685944625
CLTA,288.0,0.450950874,514.0,1.340398,0.260530401
CLTB,319.0,0.48548545,210.0,0.283835,-0.255747344
CLTC,3104.0,0.384957863,443.0,0.12874,0.321876634
CNBP,6850.0,0.433298698,206.0,-0.16163,0.275271175
CNPY2,123.0,0.392778455,553.0,0.137098,-0.317579216
CNPY3,1042.0,0.459231502,584.0,0.91369,0.210283936
COG3,1967.0,0.414689223,142.0,-0.512056,-0.245289306
COMMD1,306.0,0.423842833,138.0,-0.137628,-0.169025093
COMMD3,431.0,0.360487018,35.0,-0.624335,0.014168484
COMMD5,498.0,0.445713337,399.0,-0.123204,-0.156531074
COMMD6,1375.0,0.396967837,328.0,-0.240812,-0.209814779
COMMD9,2340.0,0.418062772,89.0,0.073107,-0.082416815
COPB1,446.0,0.381738818,307.0,-0.445617,0.055753697
COPE,165.0,0.478760693,55.0,0.940299,-0.119056237
COQ6,671.0,0.374062527,159.0,0.190088,0.212316519
COQ7,5700.0,0.42379098,133.0,-1.640418,-0.256117385
CORO1A,112.0,0.457388252,435.0,1.695213,-0.547230718
COX17,1735.0,0.484254073,86.0,0.135519,-0.325938642
COX5A,860.0,0.429944966,140.0,1.087945,-0.13434806
COX7A2,302.0,0.441893926,98.0,0.392293,-0.219813439
CPM,5262.0,0.406054343,75.0,-0.448355,-0.625100036
CPSF4,923.0,0.452412439,277.0,-0.066913,0.350548639
CPT1A,2761.0,0.374132033,170.0,0.121481,0.284811768
CPT2,602.0,0.431256564,515.0,0.069058,0.195665031
CRCP,8457.0,0.390198146,145.0,-0.27522,-0.689640735
CRKL,3904.0,0.422225684,509.0,0.030459,0.049601933
CRTAP,5601.0,0.446308827,120.0,-0.330913,0.018887933
CRTC3,3205.0,0.355982524,186.0,-0.004417,0.18862596
CRY2,2337.0,0.383442872,132.0,-0.38327,0.061455763
CRYL1,462.0,0.386242786,79.0,0.339373,0.199005321
CSRP1,1183.0,0.493833101,217.0,0.46273,-0.217334951
CST3,2762.0,0.475763324,186.0,0.314312,-0.091012333
CSTF2,1931.0,0.372934478,58.0,0.130517,0.039984746
CTBP1,800.0,0.464034004,393.0,0.883845,0.23556632
CTNNA1,1216.0,0.412513324,1103.0,-0.395515,0.615578437
CTNNB1,1106.0,0.432073699,448.0,-0.07614,0.967146518
CTNNBIP1,2448.0,0.394834327,307.0,-0.682,-0.324816939
CTPS2,1870.0,0.416273085,744.0,0.036984,0.480495115
CTSG,119.0,0.369503415,37.0,1.807496,-0.684343334
CTSH,1072.0,0.446467856,1192.0,1.800486,0.350297538
CUEDC1,2047.0,0.374410739,719.0,-0.29131,0.015429077
CUX1,1040.0,0.395555213,127.0,-0.403493,-0.010549873
CXCL10,814.0,0.410287201,105.0,1.705285,-1.189722779
CXCL9,2323.0,0.403736618,74.0,-0.246051,-1.920276293
CYBB,2544.0,0.418993019,61.0,-0.125826,-0.003764322
CYTH4,1837.0,0.406296106,377.0,0.394791,-0.348816974
DAB2,1757.0,0.368483127,531.0,0.073962,-0.266772628
DAGLB,721.0,0.377719723,170.0,0.122825,1.279591286
DAP3,768.0,0.366492687,184.0,-0.370269,0.030720998
DAPP1,2082.0,0.348655603,90.0,1.225958,0.324174108
DBI,233.0,0.467027529,479.0,0.733823,0.076303097
DCAF12,1967.0,0.42050769,342.0,-0.500032,0.560180433
DCAF8,1877.0,0.380310979,212.0,-0.816005,-0.33914508
DCP1A,4153.0,0.411936399,381.0,-0.990245,-0.095417693
DCPS,4731.0,0.375605648,329.0,2.70595,0.644035265
DCTN5,10597.0,0.443116252,177.0,-0.667028,-0.18422901
DDAH2,653.0,0.361046801,1104.0,-1.091802,-0.524079042
DDB2,1223.0,0.43604051,195.0,-0.047926,-0.465300879
DDX23,713.0,0.445931172,91.0,0.079432,0.031766118
DDX31,1870.0,0.361830896,544.0,-0.73347,-0.210908642
DDX47,438.0,0.379294484,22.0,-0.314167,0.221262719
DDX54,1704.0,0.467316231,28.0,0.568445,-0.436632922
DDX56,586.0,0.438032149,643.0,0.333371,-6.29e-06
DDX59,217.0,0.413095257,243.0,-0.565079,-0.20048201
DHODH,3463.0,0.371608285,21.0,-0.039718,0.108418835
DHPS,121.0,0.474111752,121.0,0.293401,0.282571581
DHX15,459.0,0.379133957,168.0,0.467058,0.437889964
DHX34,591.0,0.384465978,349.0,-0.064975,-0.101061458
DHX58,357.0,0.440330409,223.0,-0.647941,-1.054197568
DIABLO,719.0,0.425893605,1182.0,0.569035,-0.145229721
DMAP1,63.0,0.471306,301.0,-0.170646,-0.050001625
DMXL2,1274.0,0.389901613,225.0,-0.65654,-0.065777635
DNAJA4,1736.0,0.398301408,169.0,-0.467492,-0.211457737
DNAJC19,1326.0,0.403482491,259.0,0.100259,-0.439410896
DNAJC25,1212.0,0.430964931,56.0,-0.056063,0.108500751
DNAJC8,969.0,0.416719859,33.0,0.408737,0.211426341
DNM1,1255.0,0.393835111,116.0,-0.324342,-0.382044091
DNTTIP2,3564.0,0.408096853,58.0,0.01424,0.012524588
DOCK11,3681.0,0.373818855,63.0,-0.242366,-0.29789899
DOCK2,524.0,0.446250827,52.0,0.750595,-0.419143164
DOK2,438.0,0.384043737,481.0,0.983675,-0.248527205
DPCD,197.0,0.459155016,389.0,-1.678478,-1.014947626
DPF2,2501.0,0.393394442,133.0,0.676365,0.198448749
DPH1,1310.0,0.448716064,341.0,-1.097594,-0.082316641
DPH5,784.0,0.413363166,165.0,-0.547811,-0.077746955
DPY30,562.0,0.438431353,279.0,-0.414026,-0.146713888
DPYSL2,2472.0,0.430530829,431.0,0.617852,-0.296197181
DRAP1,142.0,0.432809908,245.0,0.970376,-0.105738778
DRG1,4594.0,0.444150091,131.0,1.063677,0.984608028
DSN1,5330.0,0.392894937,373.0,0.361451,-0.49177034
DSTN,2786.0,0.375776803,438.0,0.109509,0.299157915
DTL,2265.0,0.372315747,921.0,-0.671434,0.064406667
DTX3L,3456.0,0.408848169,89.0,0.253636,0.117812456
DUSP12,374.0,0.419884133,34.0,0.516321,0.332179763
DUT,1937.0,0.36471409,109.0,0.203755,0.395079274
DYNLT1,514.0,0.420362019,78.0,0.366849,0.56314352
ECH1,191.0,0.389477111,85.0,0.362972,-0.014483791
ECHDC2,2269.0,0.400166641,752.0,-0.730991,-0.460171701
ECM1,322.0,0.43792189,199.0,0.140733,-0.479057099
EDEM2,76.0,0.379021051,100.0,0.810769,0.086180675
EEA1,5374.0,0.405861636,265.0,-0.232549,-0.073763395
EEF1A2,286.0,0.417272363,329.0,-6.126658,-1.011667104
EFTUD2,1331.0,0.444646836,398.0,-0.135929,-0.162119297
EHD1,3363.0,0.446314898,447.0,1.684194,0.466260661
EIF2AK2,8063.0,0.394727306,557.0,0.928219,-0.057042379
EIF2B3,1058.0,0.383118637,239.0,-0.017859,0.003712378
EIF3F,5840.0,0.435728237,33.0,-0.630988,-0.024816699
EIF3L,1718.0,0.380710116,245.0,0.48194,0.170238615
EIF4A3,1120.0,0.381528282,222.0,0.426019,0.03589414
ELAVL1,4910.0,0.437605432,167.0,-0.239496,-0.234867266
EMG1,248.0,0.433768095,143.0,-0.111266,-0.298316657
EMILIN2,2605.0,0.379592019,159.0,0.219301,-0.271679541
ENDOD1,7728.0,0.376426787,118.0,0.322013,1.268895962
ENOSF1,2904.0,0.382279782,622.0,-0.568328,-0.28109355
ENY2,2576.0,0.41756619,146.0,0.173819,-0.424539974
EPSTI1,2106.0,0.391777705,469.0,1.31682,-0.037891169
ERCC1,2342.0,0.45058755,188.0,0.121727,-0.195967153
ERCC6L,4809.0,0.354829683,623.0,0.471474,0.336395202
ERH,415.0,0.383837906,71.0,0.468583,-0.19712338
ERLIN1,2041.0,0.444737514,478.0,-0.757069,-0.118353047
ERP29,1277.0,0.401191178,118.0,0.975986,0.476002142
ETV6,4356.0,0.398240844,274.0,0.94027,0.337297468
EXOC4,1232.0,0.388187525,35.0,-0.581876,0.033641324
EXOC8,6907.0,0.436106501,127.0,-1.332427,-0.038339964
EXOSC1,536.0,0.430105347,451.0,-0.109384,-0.55029203
EXOSC2,3902.0,0.431273517,32.0,-0.458999,-0.451960257
F8A1,571.0,0.46317284,15.0,0.463044,0.164175633
FAAH,2043.0,0.384592892,82.0,-1.135965,-0.395390139
FAF1,4425.0,0.401181969,453.0,0.425354,0.14343397
FAM122A,4542.0,0.40477622,33.0,0.035965,0.072924946
FAM168A,6285.0,0.395008865,285.0,-0.384584,0.168632198
FAM177A1,2165.0,0.411149627,459.0,-0.084981,-0.331477866
FAM192A,1824.0,0.379195199,1475.0,-0.034356,-0.065529103
FAM20B,4428.0,0.4357945,293.0,0.200522,0.496571077
FAM32A,1091.0,0.408676074,42.0,0.320869,0.063769971
FAM50A,286.0,0.482889735,110.0,0.899583,0.22657085
FBP1,248.0,0.397353747,331.0,-0.536968,-0.26275975
FBXL20,9338.0,0.383104745,254.0,-1.470878,-0.248214491
FBXO4,526.0,0.393825218,58.0,-0.001249,0.078086009
FBXO6,503.0,0.42307306,166.0,-0.235277,0.103765574
FCER1G,305.0,0.4202976,25.0,0.35212,0.251822059
FCGRT,309.0,0.433069976,486.0,-0.343318,0.115327561
FDPS,72.0,0.456397562,392.0,0.4789,0.287658058
FDXR,596.0,0.384661194,188.0,-0.619753,-0.737408712
FEN1,1340.0,0.407867196,413.0,1.47164,0.521152082
FERMT3,399.0,0.435119014,149.0,0.98144,-0.325332922
FGD2,907.0,0.441856308,171.0,0.378122,-0.043963283
FGFR1OP2,1663.0,0.396595515,353.0,0.300831,-0.074679822
FGL2,3460.0,0.40966218,40.0,-0.660301,-0.71239924
FKBP1A,1132.0,0.428443098,174.0,0.480892,-0.173916781
FKBPL,24.0,0.377510344,270.0,-0.649699,0.016445113
FLOT1,422.0,0.472159534,339.0,0.005509,-0.226119253
FN3K,442.0,0.389857108,61.0,1.631574,0.600183862
FN3KRP,3667.0,0.380720834,50.0,0.819349,0.210993278
FOXJ3,3176.0,0.401878681,312.0,-0.100155,-0.125382369
FOXK2,3108.0,0.440496276,171.0,0.32786,0.128803143
FOXRED1,443.0,0.438630908,167.0,1.507243,0.907578684
FSCN1,1184.0,0.396100853,132.0,1.539532,-0.122301836
FTH1,530.0,0.425357612,235.0,0.71435,-0.096063919
FTL,1031.0,0.428438948,199.0,0.89362,-0.631742085
FTSJ1,638.0,0.457521275,569.0,0.562839,-0.001386102
FTSJ3,698.0,0.388239396,646.0,0.513287,-0.333649091
FXN,6365.0,0.40465004,220.0,0.64307,-0.023513593
GABARAPL2,564.0,0.431291441,136.0,-0.953501,-0.196075323
GABPB1,1320.0,0.423118524,469.0,0.131478,0.088007768
GALK1,292.0,0.455574511,63.0,0.592159,-0.254161484
GANAB,989.0,0.425909644,1027.0,0.420086,0.02992658
GAS6,315.0,0.393865445,183.0,-0.807485,-0.543959137
GAS7,6619.0,0.423630168,311.0,-0.841199,-0.447067472
GBE1,708.0,0.404013874,283.0,0.436839,0.384306468
GBP1,1735.0,0.42614962,220.0,0.31262,-0.454544715
GBP2,5058.0,0.440134196,314.0,-0.343711,-0.292791776
GBP4,4106.0,0.42983554,116.0,-0.2556,-0.683777251
GBP5,1753.0,0.421901204,537.0,0.531086,-0.80234445
GCH1,2011.0,0.419329122,161.0,0.632148,-0.096227504
GFOD2,622.0,0.396604754,295.0,-0.016359,0.233310054
GGA2,5408.0,0.377812588,83.0,-0.464441,-0.167078588
GGCX,5211.0,0.417836117,106.0,0.370385,0.753917731
GIGYF1,2212.0,0.443456438,1210.0,-0.716351,-0.112846345
GINS3,1415.0,0.387351931,208.0,1.055241,-0.01970966
GLA,1699.0,0.378726947,110.0,-0.360036,-0.69456861
GLE1,1357.0,0.383457083,114.0,0.297711,0.073500658
GLRX,1188.0,0.430296645,211.0,0.487554,-0.443999627
GLRX3,3557.0,0.41418463,539.0,1.064343,0.48422924
GLUD1,1558.0,0.392454008,1132.0,-1.370626,-0.632235269
GLYR1,2033.0,0.39940414,57.0,-0.598761,-0.054680164
GMEB1,4582.0,0.43446142,142.0,0.26403,-0.089557922
GMPPA,198.0,0.434966364,375.0,1.88658,0.234808296
GMPR,3984.0,0.435743929,114.0,2.31405,0.625162945
GMPR2,464.0,0.453637396,704.0,-0.564906,-0.187011437
GNAI1,1947.0,0.435804474,356.0,-0.000892,-0.274236133
GNG7,3803.0,0.398730372,237.0,-0.882389,0.061377737
GNPDA1,1360.0,0.395964134,67.0,-0.737473,-0.506166505
GOLGA2,1243.0,0.401070546,13.0,-0.329525,0.163853741
GON4L,926.0,0.418089888,175.0,-0.869785,-0.364655793
GOSR1,5968.0,0.408103421,237.0,-0.508459,0.182983187
GOSR2,3258.0,0.374298057,541.0,-0.181249,-0.104675966
GOT2,1054.0,0.444803236,129.0,0.451174,0.942288244
GPS2,97.0,0.431122181,76.0,0.451261,-0.015672545
GPX7,626.0,0.395840774,39.0,1.54584,0.226520161
GRAMD1A,299.0,0.411657297,748.0,0.266188,0.622676329
GRB2,2292.0,0.4413596,358.0,0.041231,-0.13525373
GSTM4,2467.0,0.390909061,314.0,0.354402,-0.887453198
GTF2A2,1070.0,0.420716795,404.0,0.520108,0.371784007
GTF2E2,604.0,0.365750105,273.0,0.913847,0.404589363
GTF3C2,932.0,0.372227001,397.0,0.097581,-0.172866837
GTPBP1,2894.0,0.424954603,154.0,1.245806,0.668100525
GTPBP3,1032.0,0.436547413,95.0,-0.821549,-0.635091507
GTSE1,680.0,0.368527868,212.0,3.201898,0.97384103
HADH,818.0,0.383558671,219.0,0.317516,0.428399568
HADHA,615.0,0.383558671,130.0,0.358248,0.388149332
HAUS5,3319.0,0.378752573,51.0,-0.3695,0.04856113
HAUS8,346.0,0.37535995,111.0,0.954396,0.129564932
HCCS,1274.0,0.398607648,275.0,1.85577,1.517902952
HCK,337.0,0.440224323,364.0,0.108789,-0.206626238
HDAC1,591.0,0.390040122,63.0,0.372791,0.353187797
HDDC3,763.0,0.387287166,29.0,-0.108456,-0.125866068
HDGF,1342.0,0.465394593,322.0,0.482001,-0.189611255
HDLBP,2343.0,0.397687311,375.0,-0.090517,-0.126231546
HEATR3,1385.0,0.384091545,883.0,-0.249154,-0.076400141
HEBP2,9119.0,0.359416339,297.0,0.490076,-0.078152678
HECA,3704.0,0.443714129,285.0,-0.283255,0.144975988
HECTD3,3914.0,0.446742268,98.0,0.355242,0.127645582
HERC2,726.0,0.429958504,109.0,-0.225009,0.160426029
HERC5,379.0,0.393838904,153.0,1.413375,0.115733579
HIP1,4874.0,0.430847644,52.0,-0.883275,-0.222572376
HLA-A,4150.0,0.424443523,84.0,1.377925,0.538438404
HLA-C,420.0,0.421684519,65.0,-0.008218,-0.171155908
HLA-DRA,409.0,0.420807891,109.0,-0.257616,-0.203526842
HLA-E,1459.0,0.413523771,126.0,0.30032,-0.4370273
HLA-F,121.0,0.407256461,124.0,1.234969,0.602090013
HMBOX1,3560.0,0.369177113,482.0,-0.147463,-0.911561778
HMBS,266.0,0.451934812,299.0,1.616005,0.43942857
HMGB2,3775.0,0.450826504,193.0,0.178113,-0.227760019
HMGCS1,3661.0,0.374424323,345.0,0.359958,0.688587806
HMOX1,616.0,0.436401717,107.0,0.245521,-0.314717112
HNRNPA0,7504.0,0.386421138,284.0,-0.538516,-0.37863912
HNRNPD,1688.0,0.420386111,318.0,0.87616,0.411581688
HNRNPL,1102.0,0.449817015,176.0,0.324586,-0.122183581
HNRNPU,4156.0,0.432126199,218.0,0.042124,-0.008318331
HNRNPUL1,2135.0,0.394022965,339.0,0.338543,0.116157239
HNRNPUL2,2674.0,0.436897081,229.0,0.51125,0.253540483
HSBP1,3274.0,0.4454546,174.0,0.043488,-0.030720059
HSD17B7,398.0,0.431983247,99.0,0.134377,-0.010525983
HSP90AB1,313.0,0.39509298,251.0,0.10358,-0.042222277
HSPA1L,428.0,0.464100714,183.0,-1.425829,-0.32572503
HSPA4L,7877.0,0.413794867,342.0,-2.007174,-1.265285564
HSPB11,107.0,0.34538245,284.0,0.011199,-0.166842556
HTRA2,571.0,0.421976635,602.0,0.175787,-0.157947305
HTT,3901.0,0.373695076,145.0,0.039454,0.198164637
HUS1,2068.0,0.374612864,131.0,0.568611,0.203326378
HYI,310.0,0.378597605,196.0,-0.107086,-0.21461362
HYOU1,1409.0,0.403839016,234.0,1.967744,0.754516727
ICAM1,1537.0,0.426062071,319.0,1.350044,0.458408988
IER3IP1,3342.0,0.438740024,97.0,-0.60401,0.193422279
IFI16,254.0,0.415211655,290.0,1.384489,0.156489601
IFI30,213.0,0.431523306,62.0,0.82086,-0.190771134
IFI35,160.0,0.418462024,223.0,0.566434,-0.539866899
IFI44,267.0,0.403888008,124.0,1.450552,-0.021955183
IFI44L,5058.0,0.403608012,200.0,1.090714,-0.057728247
IFIH1,121.0,0.412344512,377.0,1.430695,0.567012743
IFIT1,2775.0,0.411248073,495.0,1.149513,-0.181534194
IFIT2,1901.0,0.420797646,175.0,0.814938,-0.257292713
IFIT3,843.0,0.417440574,529.0,1.04849,-0.283093718
IFIT5,2354.0,0.414819429,231.0,-0.276354,-0.376272483
