,3prime,tAI,max_5_UTR_length,TCGA-AO-A12D,TCGA-AO-A12D.1
CDC34,560.0,0.46431386,199.0,-0.436721,0.221647998
CDC42EP3,3941.0,0.420378821,1009.0,1.618397,0.232894204
CDCA3,816.0,0.351209268,820.0,-0.651046,0.283987069
CDCA8,1353.0,0.384295288,290.0,0.016188,-0.056471126
CDIPT,1864.0,0.442654716,541.0,-0.588456,0.241440768
CDK1,2313.0,0.398329505,154.0,0.354135,-0.409346904
CDK19,4557.0,0.421511824,180.0,0.219254,-0.055813435
CDK2AP1,766.0,0.439144625,522.0,-0.591741,0.097732654
CDK5RAP2,367.0,0.371069462,192.0,0.170452,0.252766761
CDK5RAP3,284.0,0.469750898,1791.0,-0.657084,0.096315915
CDKAL1,1365.0,0.417875209,167.0,0.059849,0.023215408
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.846019,-0.279594495
CDKN2C,2247.0,0.381912025,1216.0,-0.63391,0.063296661
CEBPD,1714.0,0.430497143,44.0,-0.864933,-0.077310045
CENPV,301.0,0.385948267,62.0,-0.280091,-0.125310108
CEP55,939.0,0.397841874,304.0,0.090541,-0.150654366
CES3,2100.0,0.377378956,446.0,5.390948,1.229173202
CETN2,868.0,0.433727498,47.0,-0.241099,-0.586492803
CFL1,677.0,0.502791,234.0,0.029998,0.146292227
CHAC2,786.0,0.395629742,277.0,0.403169,-0.249910504
CHCHD4,3528.0,0.445497334,326.0,0.288308,0.101668081
CHMP4A,296.0,0.447100154,262.0,-2.007868,-0.407197934
CHMP5,1241.0,0.442987983,200.0,0.328508,0.054577793
CHMP6,980.0,0.489861105,78.0,-0.716538,-0.057853899
CHTF8,2425.0,0.424551152,142.0,-0.060491,-1.114762965
CIAPIN1,1024.0,0.451663323,242.0,0.046698,-0.042794567
CISD2,5376.0,0.433298698,107.0,-0.143057,0.474491195
CKAP4,2872.0,0.386259817,84.0,0.865349,1.042779549
CKS2,300.0,0.317949998,98.0,-0.461848,-0.222977079
CLCC1,5185.0,0.369704467,150.0,0.305379,0.68131739
CLCN7,1698.0,0.459147749,110.0,-0.543999,0.200420333
CLIC1,290.0,0.4571302,573.0,0.178164,0.025560274
CLK2,350.0,0.410673686,925.0,0.084865,0.20498555
CLK3,1233.0,0.4268607,461.0,-0.279813,-0.296783556
CLPTM1,458.0,0.383990827,351.0,0.222111,0.942128716
CLTA,288.0,0.450950874,514.0,-0.076342,-0.141011053
CLTB,319.0,0.48548545,210.0,-0.591564,0.096514109
CLTC,3104.0,0.384957863,443.0,-0.151418,-0.01267082
CNBP,6850.0,0.433298698,206.0,0.093359,0.455710852
CNPY2,123.0,0.392778455,553.0,-0.101097,-0.018621504
CNPY3,1042.0,0.459231502,584.0,-0.192886,-0.197083112
COG3,1967.0,0.414689223,142.0,0.810493,0.376028362
COMMD1,306.0,0.423842833,138.0,-0.153289,-0.11543864
COMMD3,431.0,0.360487018,35.0,0.18337,-0.052002382
COMMD5,498.0,0.445713337,399.0,-0.355286,0.020665002
COMMD6,1375.0,0.396967837,328.0,0.127087,-0.057425454
COMMD9,2340.0,0.418062772,89.0,-0.444308,-0.11636561
COPB1,446.0,0.381738818,307.0,0.489811,0.412902679
COPE,165.0,0.478760693,55.0,0.354143,0.104777421
COQ6,671.0,0.374062527,159.0,-0.051201,-0.09561884
COQ7,5700.0,0.42379098,133.0,-0.862348,-0.112606102
CORO1A,112.0,0.457388252,435.0,0.997379,-0.152240891
COX17,1735.0,0.484254073,86.0,-0.160774,0.205696901
COX5A,860.0,0.429944966,140.0,-0.397304,0.0942557
COX7A2,302.0,0.441893926,98.0,-0.33011,0.367871452
CPM,5262.0,0.406054343,75.0,0.699904,-0.052742564
CPSF4,923.0,0.452412439,277.0,-0.503345,-0.01043107
CPT1A,2761.0,0.374132033,170.0,-0.429219,-0.235726485
CPT2,602.0,0.431256564,515.0,-0.545158,-0.371293408
CRCP,8457.0,0.390198146,145.0,-0.081118,0.012584044
CRKL,3904.0,0.422225684,509.0,0.159747,0.172621821
CRTAP,5601.0,0.446308827,120.0,-0.067127,0.035750354
CRTC3,3205.0,0.355982524,186.0,0.810707,0.041547373
CRY2,2337.0,0.383442872,132.0,-0.084775,-0.006118078
CRYL1,462.0,0.386242786,79.0,-0.237417,-0.17045292
CSRP1,1183.0,0.493833101,217.0,0.101403,0.264445328
CST3,2762.0,0.475763324,186.0,-0.313322,-0.474752726
CSTF2,1931.0,0.372934478,58.0,-0.528465,-0.010453336
CTBP1,800.0,0.464034004,393.0,-0.60887,-0.201888842
CTNNA1,1216.0,0.412513324,1103.0,0.026748,0.056651553
CTNNB1,1106.0,0.432073699,448.0,0.410645,0.20672547
CTNNBIP1,2448.0,0.394834327,307.0,1.485542,0.258853313
CTPS2,1870.0,0.416273085,744.0,-0.906666,-0.596910314
CTSG,119.0,0.369503415,37.0,-4.329249,-0.754900408
CTSH,1072.0,0.446467856,1192.0,-0.00987,-0.727356959
CUEDC1,2047.0,0.374410739,719.0,-1.186073,-0.438509683
CUX1,1040.0,0.395555213,127.0,-0.25563,0.054421551
CXCL10,814.0,0.410287201,105.0,4.79013,2.405305041
CXCL9,2323.0,0.403736618,74.0,5.113292,1.987655635
CYBB,2544.0,0.418993019,61.0,1.252564,0.290876712
CYP2S1,1051.0,0.420869286,58.0,-0.139837,-0.845711243
CYTH4,1837.0,0.406296106,377.0,0.768997,0.114106201
DAB2,1757.0,0.368483127,531.0,0.585052,-0.08739266
DAGLB,721.0,0.377719723,170.0,-0.063081,0.19405262
DAP3,768.0,0.366492687,184.0,-0.425924,0.035620163
DAPP1,2082.0,0.348655603,90.0,0.086617,-0.24083871
DBI,233.0,0.467027529,479.0,1.141078,0.595159707
DCAF12,1967.0,0.42050769,342.0,0.485546,-0.248078023
DCAF8,1877.0,0.380310979,212.0,-0.202026,0.137138433
DCP1A,4153.0,0.411936399,381.0,-0.099995,-0.098272959
DCPS,4731.0,0.375605648,329.0,0.281325,-0.118939535
DCTN5,10597.0,0.443116252,177.0,-0.124665,0.104590916
DDAH2,653.0,0.361046801,1104.0,-0.781528,-0.126307897
DDB2,1223.0,0.43604051,195.0,-1.131961,-0.387880496
DDX23,713.0,0.445931172,91.0,-0.385594,-0.115014138
DDX31,1870.0,0.361830896,544.0,-0.060776,-0.045931469
DDX47,438.0,0.379294484,22.0,-0.947048,-0.269425971
DDX54,1704.0,0.467316231,28.0,-0.492988,-0.4303596
DDX56,586.0,0.438032149,643.0,-0.468618,-0.039652209
DDX59,217.0,0.413095257,243.0,1.179725,0.213712434
DHODH,3463.0,0.371608285,21.0,-0.128111,0.286292031
DHPS,121.0,0.474111752,121.0,0.049524,-0.111494814
DHX15,459.0,0.379133957,168.0,-0.180771,-0.128607273
DHX34,591.0,0.384465978,349.0,-0.315648,0.012121898
DHX58,357.0,0.440330409,223.0,-0.512575,-0.332860174
DIABLO,719.0,0.425893605,1182.0,-0.44126,-0.132699226
DMAP1,63.0,0.471306,301.0,-0.432732,-0.101291717
DMXL2,1274.0,0.389901613,225.0,0.174967,-0.185988375
DNAJA4,1736.0,0.398301408,169.0,0.375351,-0.285869669
DNAJC19,1326.0,0.403482491,259.0,-0.568486,-0.400763943
DNAJC25,1212.0,0.430964931,56.0,-0.344685,0.206155151
DNAJC8,969.0,0.416719859,33.0,-0.193068,-0.249355666
DNM1,1255.0,0.393835111,116.0,-0.697572,-0.106396632
DNTTIP2,3564.0,0.408096853,58.0,-0.08659,-0.004315325
DOCK11,3681.0,0.373818855,63.0,0.786728,0.131312222
DOCK2,524.0,0.446250827,52.0,1.296355,0.053888292
DOK2,438.0,0.384043737,481.0,1.151379,0.035160562
DPCD,197.0,0.459155016,389.0,-0.710657,-0.17753985
DPF2,2501.0,0.393394442,133.0,-0.587591,0.083213428
DPH1,1310.0,0.448716064,341.0,-0.482441,-0.250910952
DPH5,784.0,0.413363166,165.0,0.008748,0.019620769
DPY30,562.0,0.438431353,279.0,-0.170639,-0.387549722
DPYSL2,2472.0,0.430530829,431.0,-0.300141,-0.318575268
DRAP1,142.0,0.432809908,245.0,-0.522964,-0.308162136
DRG1,4594.0,0.444150091,131.0,-0.436384,-0.204305653
DSN1,5330.0,0.392894937,373.0,-0.466631,-0.403717549
DSTN,2786.0,0.375776803,438.0,-0.057914,0.251382347
DTL,2265.0,0.372315747,921.0,-0.241228,-0.474404761
DTX3L,3456.0,0.408848169,89.0,0.606288,0.100609003
DUSP12,374.0,0.419884133,34.0,-0.099733,0.150643677
DUT,1937.0,0.36471409,109.0,-1.234049,-0.426235249
DYNLT1,514.0,0.420362019,78.0,-0.165714,0.156207906
EBAG9,1437.0,0.39438748,402.0,0.165329,0.338825266
ECH1,191.0,0.389477111,85.0,-0.015199,-0.16702123
ECHDC2,2269.0,0.400166641,752.0,-0.585561,-0.162424787
ECM1,322.0,0.43792189,199.0,3.048569,0.077431345
EDEM2,76.0,0.379021051,100.0,0.209986,-0.089704
EEA1,5374.0,0.405861636,265.0,-0.255158,0.02705921
EEF1A2,286.0,0.417272363,329.0,1.873877,0.54876898
EFTUD2,1331.0,0.444646836,398.0,-0.477681,-0.068023298
EHD1,3363.0,0.446314898,447.0,-0.117301,0.093132166
EIF2AK2,8063.0,0.394727306,557.0,0.8195,0.040728183
EIF2B3,1058.0,0.383118637,239.0,-0.063052,-0.0191549
EIF3F,5840.0,0.435728237,33.0,-0.655315,-0.034639058
EIF3L,1718.0,0.380710116,245.0,-0.021796,0.10796436
EIF4A3,1120.0,0.381528282,222.0,-0.435962,-0.067974276
ELAVL1,4910.0,0.437605432,167.0,0.228129,0.037065022
EMG1,248.0,0.433768095,143.0,-1.588244,-0.403225272
EMILIN2,2605.0,0.379592019,159.0,0.178306,0.020416671
ENDOD1,7728.0,0.376426787,118.0,-0.244178,0.228802782
ENOSF1,2904.0,0.382279782,622.0,0.298382,-0.575651773
ENY2,2576.0,0.41756619,146.0,0.149384,-0.129129381
EPSTI1,2106.0,0.391777705,469.0,1.793371,0.401917155
ERCC1,2342.0,0.45058755,188.0,-0.211338,0.133472727
ERCC6L,4809.0,0.354829683,623.0,0.648016,0.159513544
ERH,415.0,0.383837906,71.0,-0.340882,-0.249312852
ERLIN1,2041.0,0.444737514,478.0,-0.629633,0.117813394
ERP29,1277.0,0.401191178,118.0,0.063855,0.027793674
ETV6,4356.0,0.398240844,274.0,-0.081307,-0.072895183
EXOC4,1232.0,0.388187525,35.0,-0.474518,0.034341165
EXOC8,6907.0,0.436106501,127.0,0.525605,0.129780912
EXOSC1,536.0,0.430105347,451.0,-0.653648,-0.300199208
EXOSC2,3902.0,0.431273517,32.0,-0.497709,-0.210723528
F8A1,571.0,0.46317284,15.0,-0.351459,-0.012545306
FAAH,2043.0,0.384592892,82.0,-0.585414,-0.172279255
FAF1,4425.0,0.401181969,453.0,-0.106315,-0.046587576
FAM122A,4542.0,0.40477622,33.0,-0.312793,-0.02661451
FAM168A,6285.0,0.395008865,285.0,-0.010378,0.009811323
FAM177A1,2165.0,0.411149627,459.0,-0.140969,-0.199546677
FAM192A,1824.0,0.379195199,1475.0,0.272243,-0.037954975
FAM20B,4428.0,0.4357945,293.0,0.545885,0.542554511
FAM32A,1091.0,0.408676074,42.0,0.154593,0.139704915
FAM50A,286.0,0.482889735,110.0,-0.380798,-0.300119405
FBP1,248.0,0.397353747,331.0,-2.309444,-1.109035887
FBXL20,9338.0,0.383104745,254.0,3.426165,1.646991462
FBXO4,526.0,0.393825218,58.0,-0.563281,-0.251629194
FBXO6,503.0,0.42307306,166.0,0.082626,0.097469987
FCER1G,305.0,0.4202976,25.0,0.715124,0.688372565
FCGRT,309.0,0.433069976,486.0,-0.929438,-0.659176766
FCHO1,270.0,0.372951657,283.0,1.032203,0.067234535
FDPS,72.0,0.456397562,392.0,0.268728,0.231701843
FDXR,596.0,0.384661194,188.0,-1.775688,-0.807333825
FEN1,1340.0,0.407867196,413.0,-0.71066,-0.673456342
FERMT3,399.0,0.435119014,149.0,0.858314,0.053985813
FGD2,907.0,0.441856308,171.0,0.88697,0.047954527
FGFR1OP2,1663.0,0.396595515,353.0,-0.420794,0.142531275
FGL2,3460.0,0.40966218,40.0,0.806458,-0.311985581
FKBP1A,1132.0,0.428443098,174.0,-0.146874,0.072375105
FKBPL,24.0,0.377510344,270.0,0.08102,0.094310882
FLOT1,422.0,0.472159534,339.0,-0.204066,0.253054955
FN3K,442.0,0.389857108,61.0,-1.231775,-0.656248073
FN3KRP,3667.0,0.380720834,50.0,-0.959177,-0.37876676
FOXJ3,3176.0,0.401878681,312.0,0.091808,0.071010229
FOXK2,3108.0,0.440496276,171.0,-0.047169,-0.103387612
FOXRED1,443.0,0.438630908,167.0,0.521489,0.253716437
FSCN1,1184.0,0.396100853,132.0,-0.711311,-0.029330168
FTH1,530.0,0.425357612,235.0,-0.033102,-0.24022246
FTL,1031.0,0.428438948,199.0,0.500974,-0.309006749
FTSJ1,638.0,0.457521275,569.0,0.345658,0.327797726
FTSJ3,698.0,0.388239396,646.0,-0.970544,-0.408193542
FXN,6365.0,0.40465004,220.0,-0.14855,-0.029525132
GABARAPL2,564.0,0.431291441,136.0,-0.060285,0.061742104
GABPB1,1320.0,0.423118524,469.0,-0.250703,-0.038584267
GALK1,292.0,0.455574511,63.0,-1.138518,-0.414054021
GANAB,989.0,0.425909644,1027.0,0.154613,0.086022822
GAS6,315.0,0.393865445,183.0,0.338482,0.165370527
GAS7,6619.0,0.423630168,311.0,-0.156173,0.223035209
GBE1,708.0,0.404013874,283.0,0.235927,0.143132847
GBP1,1735.0,0.42614962,220.0,2.178748,0.897268638
GBP2,5058.0,0.440134196,314.0,1.784698,1.033270135
GBP4,4106.0,0.42983554,116.0,2.424538,0.498280963
GBP5,1753.0,0.421901204,537.0,3.179465,0.800364987
GCH1,2011.0,0.419329122,161.0,1.227622,0.349766684
GFOD2,622.0,0.396604754,295.0,0.198816,-0.015116109
GGA2,5408.0,0.377812588,83.0,-0.23123,-0.162590134
GGCX,5211.0,0.417836117,106.0,0.944147,0.974814838
GIGYF1,2212.0,0.443456438,1210.0,-0.779452,-0.129126949
GINS3,1415.0,0.387351931,208.0,-0.243354,-0.85407752
GLA,1699.0,0.378726947,110.0,-0.34108,-0.289001151
GLE1,1357.0,0.383457083,114.0,-0.11464,0.056640295
GLRX,1188.0,0.430296645,211.0,0.331585,-0.400453644
GLRX3,3557.0,0.41418463,539.0,-0.093593,-0.194710938
GLUD1,1558.0,0.392454008,1132.0,-0.482077,-0.318856296
GLYR1,2033.0,0.39940414,57.0,-0.332602,-0.150332365
GMEB1,4582.0,0.43446142,142.0,0.460699,0.096402572
GMPPA,198.0,0.434966364,375.0,0.446777,0.22572128
GMPR,3984.0,0.435743929,114.0,-0.050571,-0.51995685
GMPR2,464.0,0.453637396,704.0,-0.254946,-0.195668724
GNAI1,1947.0,0.435804474,356.0,-0.162197,-0.166317027
GNG7,3803.0,0.398730372,237.0,-0.089653,0.253882023
GNPDA1,1360.0,0.395964134,67.0,-0.23713,-0.283648053
GOLGA2,1243.0,0.401070546,13.0,0.344396,0.501468812
GON4L,926.0,0.418089888,175.0,0.084138,0.048153835
GOSR1,5968.0,0.408103421,237.0,-0.457874,0.083887335
GOSR2,3258.0,0.374298057,541.0,-0.394059,0.043438689
GOT2,1054.0,0.444803236,129.0,-0.248993,-0.466120697
GPS2,97.0,0.431122181,76.0,-0.155772,0.119875158
GPSM2,4697.0,0.401967226,496.0,0.014811,-0.186842767
GPX7,626.0,0.395840774,39.0,-0.734652,-0.292880034
GRAMD1A,299.0,0.411657297,748.0,-0.058039,0.431491017
GRB2,2292.0,0.4413596,358.0,-0.580264,-0.257117947
GSTM4,2467.0,0.390909061,314.0,-0.437285,1.244766729
GTF2A2,1070.0,0.420716795,404.0,-0.299111,0.132600338
GTF2E2,604.0,0.365750105,273.0,-0.138713,-0.193143702
GTF3C2,932.0,0.372227001,397.0,0.202642,-0.165182935
GTPBP1,2894.0,0.424954603,154.0,0.574438,0.331435563
GTPBP3,1032.0,0.436547413,95.0,-0.419241,-0.012304683
GTSE1,680.0,0.368527868,212.0,-0.136354,-0.428199616
HADH,818.0,0.383558671,219.0,-0.704695,-0.345941086
HADHA,615.0,0.383558671,130.0,0.005466,-0.004552351
HAUS5,3319.0,0.378752573,51.0,0.01409,-0.070405839
HAUS8,346.0,0.37535995,111.0,0.043692,-0.171898194
HCCS,1274.0,0.398607648,275.0,-0.448823,0.265991675
HCK,337.0,0.440224323,364.0,0.584296,-0.110041351
HDAC1,591.0,0.390040122,63.0,-1.423958,-0.584374333
HDDC3,763.0,0.387287166,29.0,0.84972,0.08484088
HDGF,1342.0,0.465394593,322.0,-0.103118,-0.076918593
HDLBP,2343.0,0.397687311,375.0,0.661424,0.46777796
HEATR3,1385.0,0.384091545,883.0,0.251093,0.094542748
HEBP2,9119.0,0.359416339,297.0,-0.155699,0.019221
HECA,3704.0,0.443714129,285.0,0.301898,-0.098719034
HECTD3,3914.0,0.446742268,98.0,-0.020701,-0.024071154
HERC2,726.0,0.429958504,109.0,-0.460117,0.063499687
HERC5,379.0,0.393838904,153.0,0.542179,-0.104120645
HERC6,651.0,0.398146132,183.0,0.698985,-0.522310163
HIP1,4874.0,0.430847644,52.0,-0.037369,0.000931763
HLA-A,4150.0,0.424443523,84.0,1.125649,0.437739932
HLA-C,420.0,0.421684519,65.0,1.34247,0.991030829
HLA-DRA,409.0,0.420807891,109.0,1.232714,0.317575206
HLA-E,1459.0,0.413523771,126.0,1.166578,0.714926406
HLA-F,121.0,0.407256461,124.0,0.693361,-0.325886043
HMBOX1,3560.0,0.369177113,482.0,0.047473,-0.206221495
HMBS,266.0,0.451934812,299.0,0.00068,-0.110242338
HMGB2,3775.0,0.450826504,193.0,-1.390955,-0.525525325
HMGCS1,3661.0,0.374424323,345.0,0.254018,0.23721803
HMOX1,616.0,0.436401717,107.0,0.02281,-0.258454172
HNRNPA0,7504.0,0.386421138,284.0,-0.409876,-0.241837206
HNRNPD,1688.0,0.420386111,318.0,-0.653765,-0.240691102
HNRNPL,1102.0,0.449817015,176.0,-0.000169,-0.029105679
HNRNPU,4156.0,0.432126199,218.0,-0.254201,-0.181936792
HNRNPUL1,2135.0,0.394022965,339.0,0.336257,0.097749189
HNRNPUL2,2674.0,0.436897081,229.0,-0.29788,-0.079908982
HSBP1,3274.0,0.4454546,174.0,-0.13542,0.009863111
HSD11B1,4482.0,0.426649415,154.0,-0.301109,-0.303324447
HSD17B7,398.0,0.431983247,99.0,-0.491332,0.202524384
HSP90AB1,313.0,0.39509298,251.0,0.395834,0.207859286
HSPA1L,428.0,0.464100714,183.0,0.168681,0.235007142
HSPA4L,7877.0,0.413794867,342.0,-1.855449,-0.947055685
HSPB11,107.0,0.34538245,284.0,-0.04611,-0.313659277
HTRA2,571.0,0.421976635,602.0,-0.522252,-0.366658231
HTT,3901.0,0.373695076,145.0,-0.795746,0.032231678
HUS1,2068.0,0.374612864,131.0,0.263872,-0.237484792
HYI,310.0,0.378597605,196.0,-1.354425,-0.262522421
