,3prime,tAI,max_5_UTR_length,TCGA-A8-A06Z,TCGA-A8-A06Z.1
CCDC88C,1302.0,0.396031427,154.0,0.796958,0.439327942
CCL5,886.0,0.462166288,68.0,-3.320932,-0.086845343
CCNA2,1206.0,0.409154498,373.0,-0.073474,-0.113709316
CCNB2,168.0,0.374401461,184.0,-0.29096,0.089474573
CCNDBP1,2336.0,0.44393643,231.0,-0.129639,0.073982564
CCS,4244.0,0.460896681,43.0,-0.461801,0.665803294
CCT3,238.0,0.457984718,231.0,-0.062599,-0.233054499
CCT4,1361.0,0.393363555,164.0,-0.633014,-0.432988126
CD14,128.0,0.416321757,392.0,-0.217387,-0.338301653
CD209,3046.0,0.440000747,67.0,1.783966,0.388293829
CD36,2894.0,0.410517795,414.0,-0.518088,-0.684995074
CD44,3115.0,0.39995987,434.0,0.321785,-0.708386299
CD63,923.0,0.512738356,403.0,0.264541,-0.453758108
CD74,635.0,0.427357309,187.0,-1.080143,-0.533070408
CDC26,271.0,0.395637029,359.0,-0.414341,0.680339009
CDC34,560.0,0.46431386,199.0,0.694623,0.057704448
CDCA3,816.0,0.351209268,820.0,0.334279,-0.322985044
CDCA8,1353.0,0.384295288,290.0,1.046048,-0.035508205
CDIPT,1864.0,0.442654716,541.0,0.733055,0.019894229
CDK1,2313.0,0.398329505,154.0,0.583565,0.098172849
CDK19,4557.0,0.421511824,180.0,-0.683186,0.038459838
CDK2AP1,766.0,0.439144625,522.0,-0.747786,-0.496896054
CDK5RAP2,367.0,0.371069462,192.0,-1.089832,-0.06806491
CDK5RAP3,284.0,0.469750898,1791.0,0.313827,-0.406470375
CDKAL1,1365.0,0.417875209,167.0,-0.783484,-0.108075049
CDKN2AIPNL,3639.0,0.409801696,53.0,1.048004,-0.8209569
CDKN2C,2247.0,0.381912025,1216.0,0.310475,-0.920222783
CEBPD,1714.0,0.430497143,44.0,1.194547,0.304631903
CENPH,1478.0,0.418392258,87.0,0.816276,0.472087269
CENPV,301.0,0.385948267,62.0,-6.148928,-1.168836343
CEP55,939.0,0.397841874,304.0,0.494976,-0.08453325
CES3,2100.0,0.377378956,446.0,5.049983,1.241424981
CETN2,868.0,0.433727498,47.0,0.858939,0.551071702
CFL1,677.0,0.502791,234.0,-0.537558,-0.237017448
CHAC2,786.0,0.395629742,277.0,-1.239856,0.938752226
CHCHD4,3528.0,0.445497334,326.0,-0.003818,0.778914693
CHMP4A,296.0,0.447100154,262.0,-0.480108,-0.033450149
CHMP5,1241.0,0.442987983,200.0,0.107118,0.388388125
CHMP6,980.0,0.489861105,78.0,0.013591,-0.958315952
CHTF8,2425.0,0.424551152,142.0,-0.055838,-0.465519707
CIAPIN1,1024.0,0.451663323,242.0,-0.079537,0.088231963
CISD2,5376.0,0.433298698,107.0,0.244803,-0.800202403
CKAP4,2872.0,0.386259817,84.0,-1.08068,-0.953009635
CKS2,300.0,0.317949998,98.0,0.573848,0.637553349
CLCC1,5185.0,0.369704467,150.0,0.906468,0.634878788
CLCN7,1698.0,0.459147749,110.0,0.735919,-0.260086603
CLIC1,290.0,0.4571302,573.0,-0.674141,-0.278890113
CLK2,350.0,0.410673686,925.0,-0.372127,0.595607972
CLK3,1233.0,0.4268607,461.0,-0.362327,0.079999461
CLPTM1,458.0,0.383990827,351.0,1.156457,-0.164336507
CLTA,288.0,0.450950874,514.0,-0.305801,-0.379570352
CLTB,319.0,0.48548545,210.0,0.044597,0.327368015
CLTC,3104.0,0.384957863,443.0,0.912696,-0.075352038
CNBP,6850.0,0.433298698,206.0,0.244138,-0.239505315
CNPY2,123.0,0.392778455,553.0,0.122714,0.144319105
CNPY3,1042.0,0.459231502,584.0,-0.252519,-0.108605271
COG3,1967.0,0.414689223,142.0,0.082334,0.155578291
COMMD1,306.0,0.423842833,138.0,-1.031413,-0.00977764
COMMD3,431.0,0.360487018,35.0,1.611103,-0.647025992
COMMD5,498.0,0.445713337,399.0,0.596857,-0.05634048
COMMD6,1375.0,0.396967837,328.0,-0.901894,-0.932499002
COMMD9,2340.0,0.418062772,89.0,-0.165797,-0.343401957
COPB1,446.0,0.381738818,307.0,0.070598,0.124192813
COPE,165.0,0.478760693,55.0,0.735369,0.199173002
COQ6,671.0,0.374062527,159.0,0.302907,0.446941636
COQ7,5700.0,0.42379098,133.0,0.867279,0.082428823
CORO1A,112.0,0.457388252,435.0,-1.226849,-0.476230371
COX17,1735.0,0.484254073,86.0,1.564523,2.151004033
COX5A,860.0,0.429944966,140.0,-0.060845,-0.134453426
COX7A2,302.0,0.441893926,98.0,0.657123,-1.044154324
CPM,5262.0,0.406054343,75.0,0.325179,0.319574142
CPSF4,923.0,0.452412439,277.0,0.004696,-0.223827701
CPT1A,2761.0,0.374132033,170.0,0.201063,-0.496117695
CPT2,602.0,0.431256564,515.0,1.035183,0.694390759
CRCP,8457.0,0.390198146,145.0,0.530643,0.679278518
CRKL,3904.0,0.422225684,509.0,-0.101183,-0.279746407
CRTAP,5601.0,0.446308827,120.0,-0.146319,-0.684228069
CRTC3,3205.0,0.355982524,186.0,-0.905824,0.031214901
CRYL1,462.0,0.386242786,79.0,-3.412152,-0.602369102
CSRP1,1183.0,0.493833101,217.0,-0.669965,-0.417606803
CST3,2762.0,0.475763324,186.0,0.529595,0.454934958
CSTF2,1931.0,0.372934478,58.0,0.197128,0.192005128
CTBP1,800.0,0.464034004,393.0,0.134322,0.126468383
CTNNA1,1216.0,0.412513324,1103.0,-0.09884,0.336287484
CTNNB1,1106.0,0.432073699,448.0,-0.822967,-0.442531185
CTNNBIP1,2448.0,0.394834327,307.0,0.056002,-0.185331847
CTPS2,1870.0,0.416273085,744.0,-0.267356,-0.16322312
CTSG,119.0,0.369503415,37.0,-0.729627,-0.979599986
CTSH,1072.0,0.446467856,1192.0,0.497296,0.73115957
CUEDC1,2047.0,0.374410739,719.0,0.345699,-0.260256786
CUX1,1040.0,0.395555213,127.0,-0.584341,-0.267569139
CXCL10,814.0,0.410287201,105.0,-1.696485,-0.20106778
CXCL9,2323.0,0.403736618,74.0,-2.490609,-1.830748869
CYBB,2544.0,0.418993019,61.0,-0.431622,-0.727119574
CYP2S1,1051.0,0.420869286,58.0,-1.26307,-0.758869459
CYTH4,1837.0,0.406296106,377.0,-0.404662,1.086605545
DAB2,1757.0,0.368483127,531.0,-1.130456,-0.284578337
DAGLB,721.0,0.377719723,170.0,0.546002,0.573380129
DAP3,768.0,0.366492687,184.0,0.388376,0.316560491
DAPP1,2082.0,0.348655603,90.0,-2.003467,-0.26119408
DBI,233.0,0.467027529,479.0,1.290448,1.507805221
DCAF8,1877.0,0.380310979,212.0,0.316916,0.32871261
DCP1A,4153.0,0.411936399,381.0,-0.044129,0.054279086
DCPS,4731.0,0.375605648,329.0,-1.197779,-0.183568808
DCTN5,10597.0,0.443116252,177.0,0.013937,0.427082941
DDAH2,653.0,0.361046801,1104.0,-1.313662,-0.333405498
DDB2,1223.0,0.43604051,195.0,-0.55903,0.326888771
DDX23,713.0,0.445931172,91.0,0.701764,0.435312688
DDX31,1870.0,0.361830896,544.0,-0.279921,0.122900106
DDX47,438.0,0.379294484,22.0,0.066158,-0.260265635
DDX54,1704.0,0.467316231,28.0,-0.144647,-0.015156919
DDX56,586.0,0.438032149,643.0,0.552575,-0.204140302
DDX59,217.0,0.413095257,243.0,0.121242,0.229521306
DHODH,3463.0,0.371608285,21.0,0.11102,-0.409346409
DHPS,121.0,0.474111752,121.0,0.736961,-0.105150267
DHX15,459.0,0.379133957,168.0,0.394968,0.407907856
DHX34,591.0,0.384465978,349.0,-0.049684,-0.079531235
DHX58,357.0,0.440330409,223.0,-0.048756,0.223688983
DIABLO,719.0,0.425893605,1182.0,0.085485,-0.25178484
DMAP1,63.0,0.471306,301.0,-0.07251,-0.111376471
DMXL2,1274.0,0.389901613,225.0,0.340364,0.338856306
DNAJA4,1736.0,0.398301408,169.0,-0.634512,-0.223352201
DNAJC19,1326.0,0.403482491,259.0,1.472175,1.108309723
DNAJC25,1212.0,0.430964931,56.0,-0.360943,-0.022077117
DNAJC8,969.0,0.416719859,33.0,0.520207,1.004239508
DNM1,1255.0,0.393835111,116.0,-2.330036,-0.255548871
DNTTIP2,3564.0,0.408096853,58.0,0.353696,-0.019876009
DOCK11,3681.0,0.373818855,63.0,-2.132445,-0.166236549
DOCK2,524.0,0.446250827,52.0,-1.03976,-0.325687838
DOK2,438.0,0.384043737,481.0,-0.370995,0.23167122
DPCD,197.0,0.459155016,389.0,0.629917,-0.04676813
DPF2,2501.0,0.393394442,133.0,-0.608939,0.272231251
DPH1,1310.0,0.448716064,341.0,1.319506,0.773983644
DPH5,784.0,0.413363166,165.0,0.736326,0.405530087
DPY30,562.0,0.438431353,279.0,0.625878,-0.991309539
DPYSL2,2472.0,0.430530829,431.0,-1.745054,-0.627928949
DRAP1,142.0,0.432809908,245.0,-0.336236,-0.468938655
DRG1,4594.0,0.444150091,131.0,0.101224,-0.121745725
DSN1,5330.0,0.392894937,373.0,-0.308828,0.056945869
DSTN,2786.0,0.375776803,438.0,0.579666,-0.034083275
DTX3L,3456.0,0.408848169,89.0,0.302584,0.137833083
DUSP12,374.0,0.419884133,34.0,-0.70592,-0.172926455
DUT,1937.0,0.36471409,109.0,-0.203204,0.259002805
DYNLT1,514.0,0.420362019,78.0,-1.039427,-0.633755524
EBAG9,1437.0,0.39438748,402.0,1.151989,-0.626930836
ECH1,191.0,0.389477111,85.0,0.495433,0.302169776
ECHDC2,2269.0,0.400166641,752.0,0.624148,1.317651472
ECM1,322.0,0.43792189,199.0,0.259664,-0.388448252
EEA1,5374.0,0.405861636,265.0,0.138803,0.319857572
EEF1A2,286.0,0.417272363,329.0,3.942548,2.468459869
EFTUD2,1331.0,0.444646836,398.0,0.889876,0.194478742
EHD1,3363.0,0.446314898,447.0,-1.394036,-0.64389145
EIF2AK2,8063.0,0.394727306,557.0,-0.418099,-0.316684337
EIF2B3,1058.0,0.383118637,239.0,0.960908,0.288037935
EIF3F,5840.0,0.435728237,33.0,-0.588369,0.065600572
EIF3L,1718.0,0.380710116,245.0,-0.260408,0.017733748
EIF4A3,1120.0,0.381528282,222.0,0.337034,0.010122032
ELAVL1,4910.0,0.437605432,167.0,-0.278032,-0.469103991
EMG1,248.0,0.433768095,143.0,0.681228,-0.178876471
EMILIN2,2605.0,0.379592019,159.0,-0.507958,0.405015301
ENDOD1,7728.0,0.376426787,118.0,-0.461991,-0.516046845
ENOSF1,2904.0,0.382279782,622.0,0.909372,0.250172011
ENY2,2576.0,0.41756619,146.0,0.94084,0.795116173
EPSTI1,2106.0,0.391777705,469.0,-1.487522,-0.260202359
ERCC1,2342.0,0.45058755,188.0,-0.131895,0.046781346
ERCC6L,4809.0,0.354829683,623.0,0.658816,0.318886592
ERH,415.0,0.383837906,71.0,-0.083235,-0.875855293
ERLIN1,2041.0,0.444737514,478.0,-0.501037,0.099447583
ERP29,1277.0,0.401191178,118.0,0.15188,-0.801276623
ETV6,4356.0,0.398240844,274.0,-0.4114,-0.22539367
EXOC4,1232.0,0.388187525,35.0,0.011688,0.140650343
EXOC8,6907.0,0.436106501,127.0,0.581083,0.184753343
EXOSC1,536.0,0.430105347,451.0,0.321115,-0.02539475
EXOSC2,3902.0,0.431273517,32.0,-0.363473,-0.115545931
F8A1,571.0,0.46317284,15.0,0.361067,-0.401351316
FAAH,2043.0,0.384592892,82.0,1.312599,-0.014133876
FAF1,4425.0,0.401181969,453.0,0.544096,0.559694966
FAM122A,4542.0,0.40477622,33.0,-0.274939,0.110530497
FAM168A,6285.0,0.395008865,285.0,-0.136382,-1.304967
FAM177A1,2165.0,0.411149627,459.0,-0.544747,0.080053462
FAM192A,1824.0,0.379195199,1475.0,-0.005042,0.485432842
FAM20B,4428.0,0.4357945,293.0,0.079935,0.142135453
FAM32A,1091.0,0.408676074,42.0,-0.369513,-1.645763489
FAM50A,286.0,0.482889735,110.0,0.875516,0.464320425
FBP1,248.0,0.397353747,331.0,1.186122,-0.379014655
FBXL20,9338.0,0.383104745,254.0,0.553574,-0.51649991
FBXO4,526.0,0.393825218,58.0,0.083583,0.089368624
FBXO6,503.0,0.42307306,166.0,0.877044,-0.543707575
FCER1G,305.0,0.4202976,25.0,-0.484213,-1.40354297
FCGRT,309.0,0.433069976,486.0,-1.881148,-0.719434313
FDPS,72.0,0.456397562,392.0,0.042993,-0.666295115
FDXR,596.0,0.384661194,188.0,0.477625,-0.392002329
FEN1,1340.0,0.407867196,413.0,0.118046,-0.231339844
FERMT3,399.0,0.435119014,149.0,-0.585447,-0.460710578
FGD2,907.0,0.441856308,171.0,-1.036956,-0.109676705
FGFR1OP2,1663.0,0.396595515,353.0,0.152328,0.089841167
FGL2,3460.0,0.40966218,40.0,-1.078449,0.683323369
FKBP1A,1132.0,0.428443098,174.0,0.141463,0.427055332
FKBPL,24.0,0.377510344,270.0,-0.255493,-0.337345268
FLOT1,422.0,0.472159534,339.0,-0.480403,-0.516638161
FN3K,442.0,0.389857108,61.0,0.541132,-0.055475207
FN3KRP,3667.0,0.380720834,50.0,0.079293,-0.265716532
FOXJ3,3176.0,0.401878681,312.0,0.745224,0.839036118
FOXK2,3108.0,0.440496276,171.0,0.622116,0.482771493
FOXRED1,443.0,0.438630908,167.0,-0.567538,0.166284835
FSCN1,1184.0,0.396100853,132.0,-0.964958,-0.419462397
FTH1,530.0,0.425357612,235.0,0.598372,0.051488521
FTL,1031.0,0.428438948,199.0,-0.530711,-0.477089131
FTSJ1,638.0,0.457521275,569.0,0.411406,-0.241497815
FTSJ3,698.0,0.388239396,646.0,0.308221,-0.13874353
FXN,6365.0,0.40465004,220.0,0.057682,0.598362891
GABARAPL2,564.0,0.431291441,136.0,0.612982,-0.033979381
GABPB1,1320.0,0.423118524,469.0,-0.465547,0.053511766
GALK1,292.0,0.455574511,63.0,0.98986,0.139293626
GANAB,989.0,0.425909644,1027.0,0.174427,-0.23782462
GAS7,6619.0,0.423630168,311.0,-1.868515,0.360381205
GBE1,708.0,0.404013874,283.0,-0.06142,0.120501085
GBP1,1735.0,0.42614962,220.0,-2.097286,-0.579573069
GBP2,5058.0,0.440134196,314.0,-1.072027,-0.568929494
GBP4,4106.0,0.42983554,116.0,-0.485016,-0.013240033
GBP5,1753.0,0.421901204,537.0,-2.976486,-0.612054124
GFOD2,622.0,0.396604754,295.0,-0.025696,-0.305583477
GGA2,5408.0,0.377812588,83.0,0.519254,0.02134095
GGCX,5211.0,0.417836117,106.0,1.342919,0.140473864
GIGYF1,2212.0,0.443456438,1210.0,-0.350688,0.140092529
GINS3,1415.0,0.387351931,208.0,-0.410138,-0.356655105
GLA,1699.0,0.378726947,110.0,0.112955,-0.253540819
GLE1,1357.0,0.383457083,114.0,0.916967,-0.058539272
GLRX,1188.0,0.430296645,211.0,0.978545,0.084298895
GLRX3,3557.0,0.41418463,539.0,0.055438,-0.366594026
GLUD1,1558.0,0.392454008,1132.0,0.529517,0.907421436
GLYR1,2033.0,0.39940414,57.0,0.364238,-0.335526199
GMEB1,4582.0,0.43446142,142.0,-0.207728,0.397027921
GMPPA,198.0,0.434966364,375.0,0.194543,0.289340456
GMPR,3984.0,0.435743929,114.0,0.944941,0.48668327
GMPR2,464.0,0.453637396,704.0,0.094257,0.260351376
GNAI1,1947.0,0.435804474,356.0,-1.261092,-0.838012008
GNG7,3803.0,0.398730372,237.0,-3.036183,-1.474839589
GNPDA1,1360.0,0.395964134,67.0,0.332475,0.121787466
GOLGA2,1243.0,0.401070546,13.0,0.733191,0.724199783
GON4L,926.0,0.418089888,175.0,0.052573,0.081126456
GOSR1,5968.0,0.408103421,237.0,0.359958,-0.902413763
GOSR2,3258.0,0.374298057,541.0,0.434851,-0.968074357
GOT2,1054.0,0.444803236,129.0,0.514594,-0.571843366
GPS2,97.0,0.431122181,76.0,0.785617,-0.214307298
GPX7,626.0,0.395840774,39.0,-2.343076,-0.32073666
GRAMD1A,299.0,0.411657297,748.0,0.857321,0.212850614
GRB2,2292.0,0.4413596,358.0,0.22066,-0.566084192
GSTM4,2467.0,0.390909061,314.0,0.027119,1.63991687
GTF2A2,1070.0,0.420716795,404.0,-0.36582,-0.140181265
GTF2E2,604.0,0.365750105,273.0,-1.376362,0.224296096
GTF3C2,932.0,0.372227001,397.0,-0.249037,-0.226169426
GTPBP1,2894.0,0.424954603,154.0,-0.423153,-0.230857263
GTPBP3,1032.0,0.436547413,95.0,0.60456,-0.486687373
GTSE1,680.0,0.368527868,212.0,0.208292,-0.216915776
HADH,818.0,0.383558671,219.0,-0.336136,-0.479224573
HADHA,615.0,0.383558671,130.0,-0.522946,-0.199424183
HAUS5,3319.0,0.378752573,51.0,-0.580744,-0.444663725
HAUS8,346.0,0.37535995,111.0,-0.414409,-0.159643504
HCCS,1274.0,0.398607648,275.0,1.318341,0.084932022
HCK,337.0,0.440224323,364.0,-0.910787,-0.666985165
HDAC1,591.0,0.390040122,63.0,1.437213,0.875160879
HDDC3,763.0,0.387287166,29.0,0.227886,0.514237626
HDGF,1342.0,0.465394593,322.0,-0.250001,0.103745377
HDLBP,2343.0,0.397687311,375.0,-0.59441,-0.106004543
HEATR3,1385.0,0.384091545,883.0,-0.28989,0.064584296
HEBP2,9119.0,0.359416339,297.0,-0.827878,-0.501923631
HECA,3704.0,0.443714129,285.0,-0.318028,0.294415405
HECTD3,3914.0,0.446742268,98.0,0.906813,-0.158309075
HERC2,726.0,0.429958504,109.0,-0.16755,0.301639791
HERC5,379.0,0.393838904,153.0,-2.196483,-0.587260702
HERC6,651.0,0.398146132,183.0,-3.015713,-1.264169807
HIP1,4874.0,0.430847644,52.0,0.525839,0.175357676
HLA-A,4150.0,0.424443523,84.0,-0.884084,-1.232367007
HLA-C,420.0,0.421684519,65.0,-0.551538,0.290170539
HLA-DRA,409.0,0.420807891,109.0,-1.104568,0.115770732
HLA-E,1459.0,0.413523771,126.0,-1.300986,-0.002423263
HLA-F,121.0,0.407256461,124.0,-1.706289,-0.857335573
HMBOX1,3560.0,0.369177113,482.0,-0.455238,-1.848599873
HMBS,266.0,0.451934812,299.0,0.123233,-0.081962468
HMGB2,3775.0,0.450826504,193.0,-0.285205,-0.08614372
HMGCS1,3661.0,0.374424323,345.0,0.097248,-0.17200204
HMOX1,616.0,0.436401717,107.0,-0.52517,-0.780167304
HNRNPA0,7504.0,0.386421138,284.0,-0.191542,0.019304804
HNRNPD,1688.0,0.420386111,318.0,-0.45186,-0.087414769
HNRNPL,1102.0,0.449817015,176.0,0.230401,0.013955841
HNRNPU,4156.0,0.432126199,218.0,-0.047351,0.177651578
HNRNPUL1,2135.0,0.394022965,339.0,-0.285212,-0.287742129
HNRNPUL2,2674.0,0.436897081,229.0,-0.593876,-0.140609566
HSBP1,3274.0,0.4454546,174.0,0.420551,0.122345774
HSD17B7,398.0,0.431983247,99.0,0.570424,-0.277902882
HSP90AB1,313.0,0.39509298,251.0,0.104257,0.092882013
HSPA4L,7877.0,0.413794867,342.0,-0.926602,-0.444011561
HSPB11,107.0,0.34538245,284.0,1.052844,1.221085479
HTRA2,571.0,0.421976635,602.0,-0.464008,0.448567164
HTT,3901.0,0.373695076,145.0,1.199238,0.124115075
HUS1,2068.0,0.374612864,131.0,0.661874,-0.051693008
HYI,310.0,0.378597605,196.0,0.255993,-0.322462565
HYOU1,1409.0,0.403839016,234.0,0.972291,-0.459656519
ICAM1,1537.0,0.426062071,319.0,-2.536414,-0.57141039
IER3IP1,3342.0,0.438740024,97.0,0.484207,0.692089392
IFI16,254.0,0.415211655,290.0,-2.003927,-0.422295086
IFI30,213.0,0.431523306,62.0,-0.201969,0.427889601
IFI35,160.0,0.418462024,223.0,0.319215,-0.437842835
IFI44,267.0,0.403888008,124.0,-0.741313,-0.492188124
IFI44L,5058.0,0.403608012,200.0,-1.596511,-0.220604446
IFIH1,121.0,0.412344512,377.0,-0.045477,-0.244462174
IFIT1,2775.0,0.411248073,495.0,0.236899,-0.924799211
IFIT2,1901.0,0.420797646,175.0,-0.043364,-0.510766448
IFIT3,843.0,0.417440574,529.0,-0.425238,-1.032272823
IFIT5,2354.0,0.414819429,231.0,0.008138,-0.356567372
IFT27,109.0,0.4030938,426.0,-0.579314,0.020520296
IGFBP3,1605.0,0.43060006,132.0,-0.129138,-0.299674319
IGFBP7,558.0,0.392734536,34.0,-1.338297,-0.426505951
IKBKE,745.0,0.435100597,714.0,0.263669,-0.161066387
IL16,3965.0,0.367979445,2395.0,-2.364678,-0.32824379
