,3prime,tAI,max_5_UTR_length,TCGA-AO-A0JC,TCGA-AO-A0JC.1
DUSP12,374.0,0.419884133,34.0,0.266462,-0.191383967
DUT,1937.0,0.36471409,109.0,0.317694,-0.206974939
DYNLT1,514.0,0.420362019,78.0,-0.678358,-0.478835078
EBAG9,1437.0,0.39438748,402.0,-0.0052,-0.058933
ECH1,191.0,0.389477111,85.0,0.204413,-0.086161748
ECHDC2,2269.0,0.400166641,752.0,0.373143,0.561753345
ECM1,322.0,0.43792189,199.0,-1.487299,-0.81955926
EDEM2,76.0,0.379021051,100.0,0.291126,-0.430685572
EEA1,5374.0,0.405861636,265.0,-0.297105,-0.208403333
EEF1A2,286.0,0.417272363,329.0,-3.234502,-0.431577083
EFTUD2,1331.0,0.444646836,398.0,-0.123017,0.059570098
EHD1,3363.0,0.446314898,447.0,1.732114,0.456543014
EIF2AK2,8063.0,0.394727306,557.0,-0.111953,-0.563649836
EIF2B3,1058.0,0.383118637,239.0,-0.287621,-0.158142059
EIF3F,5840.0,0.435728237,33.0,0.657048,0.105929411
EIF3L,1718.0,0.380710116,245.0,0.325244,0.277770899
EIF4A3,1120.0,0.381528282,222.0,-0.69913,0.014752934
ELAVL1,4910.0,0.437605432,167.0,-0.174653,-0.109760146
EMG1,248.0,0.433768095,143.0,0.181775,-0.158171608
EMILIN2,2605.0,0.379592019,159.0,0.254103,-0.095031546
ENDOD1,7728.0,0.376426787,118.0,-0.552245,-0.511429097
ENOSF1,2904.0,0.382279782,622.0,0.251489,0.804448514
ENY2,2576.0,0.41756619,146.0,-0.70664,-0.165453836
EPSTI1,2106.0,0.391777705,469.0,1.971454,0.073622126
ERCC1,2342.0,0.45058755,188.0,-0.137569,-0.123737246
ERCC6L,4809.0,0.354829683,623.0,0.16035,0.759212695
ERH,415.0,0.383837906,71.0,-0.22287,0.277146055
ERLIN1,2041.0,0.444737514,478.0,-0.76617,0.170314339
ERP29,1277.0,0.401191178,118.0,0.480342,0.093366986
ETV6,4356.0,0.398240844,274.0,0.282598,-0.142618356
EXOC4,1232.0,0.388187525,35.0,-0.482477,0.112657497
EXOC8,6907.0,0.436106501,127.0,0.161484,0.117385168
EXOSC1,536.0,0.430105347,451.0,0.527969,-0.036663141
EXOSC2,3902.0,0.431273517,32.0,0.093338,0.088070645
F8A1,571.0,0.46317284,15.0,-0.124868,0.19130183
FAAH,2043.0,0.384592892,82.0,-0.769986,0.561990029
FAF1,4425.0,0.401181969,453.0,-0.192666,-0.043338007
FAM122A,4542.0,0.40477622,33.0,0.273785,-0.315212577
FAM168A,6285.0,0.395008865,285.0,-1.212192,-0.577011855
FAM177A1,2165.0,0.411149627,459.0,-1.027764,0.04269602
FAM192A,1824.0,0.379195199,1475.0,0.716213,-0.193485995
FAM20B,4428.0,0.4357945,293.0,-0.578671,0.607167092
FAM32A,1091.0,0.408676074,42.0,-0.032957,-0.023820419
FAM50A,286.0,0.482889735,110.0,0.08197,-0.249376468
FBP1,248.0,0.397353747,331.0,-0.388362,1.242424462
FBXL20,9338.0,0.383104745,254.0,-0.462785,0.055287832
FBXO4,526.0,0.393825218,58.0,0.490402,0.663832282
FBXO6,503.0,0.42307306,166.0,0.745647,0.425052173
FCER1G,305.0,0.4202976,25.0,0.733181,0.374400821
FCGRT,309.0,0.433069976,486.0,0.327645,0.358284103
FCHO1,270.0,0.372951657,283.0,3.848086,0.52810562
FDPS,72.0,0.456397562,392.0,-0.612845,0.181710596
FDXR,596.0,0.384661194,188.0,0.096907,-0.249521402
FEN1,1340.0,0.407867196,413.0,-0.385545,-0.351854145
FERMT3,399.0,0.435119014,149.0,3.294194,0.3257337
FGD2,907.0,0.441856308,171.0,3.958215,0.2384115
FGFR1OP2,1663.0,0.396595515,353.0,0.889251,0.220911756
FGL2,3460.0,0.40966218,40.0,1.470154,0.020336524
FKBP1A,1132.0,0.428443098,174.0,0.368303,-0.222724556
FKBPL,24.0,0.377510344,270.0,-0.549207,0.316360829
FLOT1,422.0,0.472159534,339.0,-0.167844,0.280532157
FN3K,442.0,0.389857108,61.0,-1.37477,0.005453489
FN3KRP,3667.0,0.380720834,50.0,-0.762737,-0.29876124
FOXJ3,3176.0,0.401878681,312.0,0.013251,0.129905053
FOXK2,3108.0,0.440496276,171.0,-0.440454,-0.241187823
FOXRED1,443.0,0.438630908,167.0,0.268995,-0.026107401
FSCN1,1184.0,0.396100853,132.0,1.091524,-0.33833434
FTH1,530.0,0.425357612,235.0,-0.747067,-0.322253866
FTL,1031.0,0.428438948,199.0,0.209196,0.021146055
FTSJ1,638.0,0.457521275,569.0,0.09127,-0.177192968
FTSJ3,698.0,0.388239396,646.0,-0.253087,0.023039696
FXN,6365.0,0.40465004,220.0,-0.113085,0.052744309
GABARAPL2,564.0,0.431291441,136.0,0.17074,-0.446808685
GABPB1,1320.0,0.423118524,469.0,0.421196,0.413958234
GALK1,292.0,0.455574511,63.0,-0.198824,-0.311264333
GANAB,989.0,0.425909644,1027.0,-0.629533,-0.0366923
GAS6,315.0,0.393865445,183.0,-0.409211,-0.000987128
GAS7,6619.0,0.423630168,311.0,0.230744,0.04018453
GBE1,708.0,0.404013874,283.0,-0.708692,0.069451856
GBP1,1735.0,0.42614962,220.0,1.862809,0.004174443
GBP2,5058.0,0.440134196,314.0,1.272863,-0.059452688
GBP4,4106.0,0.42983554,116.0,2.466123,0.126367633
GBP5,1753.0,0.421901204,537.0,3.774194,-0.092226476
GFOD2,622.0,0.396604754,295.0,-0.560049,-0.098631088
GGA2,5408.0,0.377812588,83.0,1.459461,0.691708886
GGCX,5211.0,0.417836117,106.0,-1.01462,0.687837539
GIGYF1,2212.0,0.443456438,1210.0,0.84592,0.021301477
GINS3,1415.0,0.387351931,208.0,-0.135243,-1.176689182
GLA,1699.0,0.378726947,110.0,0.29419,0.269893779
GLE1,1357.0,0.383457083,114.0,0.000595,0.044530556
GLRX,1188.0,0.430296645,211.0,0.753005,0.556874711
GLRX3,3557.0,0.41418463,539.0,-0.03837,-0.231818899
GLUD1,1558.0,0.392454008,1132.0,-0.30989,0.178512736
GLYR1,2033.0,0.39940414,57.0,-0.245926,0.075467246
GMEB1,4582.0,0.43446142,142.0,-0.018409,0.229948514
GMPPA,198.0,0.434966364,375.0,-0.319917,0.663321618
GMPR,3984.0,0.435743929,114.0,-0.399154,-0.115423015
GMPR2,464.0,0.453637396,704.0,0.065752,0.720592249
GNAI1,1947.0,0.435804474,356.0,0.122952,-0.510490922
GNG7,3803.0,0.398730372,237.0,2.152098,0.317979593
GNPDA1,1360.0,0.395964134,67.0,-0.125588,0.665210601
GOLGA2,1243.0,0.401070546,13.0,-0.699049,0.113821301
GON4L,926.0,0.418089888,175.0,0.178947,0.22143801
GOSR1,5968.0,0.408103421,237.0,-0.438502,0.599677146
GOSR2,3258.0,0.374298057,541.0,-0.291649,0.508564318
GOT2,1054.0,0.444803236,129.0,-0.336689,-0.779869765
GPS2,97.0,0.431122181,76.0,0.878616,-0.141121134
GPX7,626.0,0.395840774,39.0,0.668783,-0.818729475
GRAMD1A,299.0,0.411657297,748.0,0.354294,0.339165853
GRB2,2292.0,0.4413596,358.0,0.662543,0.092122208
GSTM4,2467.0,0.390909061,314.0,0.007872,-0.098393289
GTF2A2,1070.0,0.420716795,404.0,-0.015284,-0.207652173
GTF2E2,604.0,0.365750105,273.0,0.679546,-0.21612062
GTF3C2,932.0,0.372227001,397.0,-0.196502,0.051285084
GTPBP1,2894.0,0.424954603,154.0,0.394139,-0.024799445
GTPBP3,1032.0,0.436547413,95.0,-0.00068,0.299262073
HADH,818.0,0.383558671,219.0,-1.047249,-0.321491415
HADHA,615.0,0.383558671,130.0,-0.136594,0.040341233
HAUS5,3319.0,0.378752573,51.0,0.974654,-0.011233774
HAUS8,346.0,0.37535995,111.0,0.713227,-0.664498338
HCCS,1274.0,0.398607648,275.0,-0.158914,-0.370924599
HCK,337.0,0.440224323,364.0,1.935148,0.025180694
HDAC1,591.0,0.390040122,63.0,0.87077,0.162962921
HDDC3,763.0,0.387287166,29.0,0.218783,0.297296575
HDGF,1342.0,0.465394593,322.0,-0.984914,0.247045217
HDLBP,2343.0,0.397687311,375.0,-1.113166,-0.262036616
HEATR3,1385.0,0.384091545,883.0,0.039592,-0.027044465
HEBP2,9119.0,0.359416339,297.0,-0.611214,0.441710659
HECA,3704.0,0.443714129,285.0,1.30748,-0.043671644
HECTD3,3914.0,0.446742268,98.0,0.021058,0.305881918
HERC2,726.0,0.429958504,109.0,-0.246019,0.092614448
HERC5,379.0,0.393838904,153.0,1.348695,-0.473575054
HIP1,4874.0,0.430847644,52.0,-1.174761,0.085076319
HLA-A,4150.0,0.424443523,84.0,1.804472,-1.089119109
HLA-C,420.0,0.421684519,65.0,1.317166,0.674678289
HLA-DRA,409.0,0.420807891,109.0,2.432239,-0.287959288
HLA-E,1459.0,0.413523771,126.0,1.948561,0.221875585
HLA-F,121.0,0.407256461,124.0,2.982165,0.12488694
HMBOX1,3560.0,0.369177113,482.0,0.441144,-0.348927054
HMBS,266.0,0.451934812,299.0,0.124985,0.07925761
HMGB2,3775.0,0.450826504,193.0,1.24613,-0.113014029
HMGCS1,3661.0,0.374424323,345.0,-0.894721,-0.823736994
HMOX1,616.0,0.436401717,107.0,0.656873,-0.266255414
HNRNPA0,7504.0,0.386421138,284.0,-0.047947,0.200401625
HNRNPD,1688.0,0.420386111,318.0,0.880376,-0.038158234
HNRNPL,1102.0,0.449817015,176.0,0.306051,0.093100278
HNRNPU,4156.0,0.432126199,218.0,0.056505,-0.056599091
HNRNPUL1,2135.0,0.394022965,339.0,0.168166,-0.172867161
HNRNPUL2,2674.0,0.436897081,229.0,0.171659,0.062903849
HSBP1,3274.0,0.4454546,174.0,-0.829483,-0.260402744
HSD11B1,4482.0,0.426649415,154.0,2.800728,-0.468019261
HSD17B7,398.0,0.431983247,99.0,-0.154141,0.580386072
HSP90AB1,313.0,0.39509298,251.0,-1.03077,-0.383349748
HSPA4L,7877.0,0.413794867,342.0,-1.532435,-0.067780443
HSPB11,107.0,0.34538245,284.0,0.866737,-0.116631323
HTRA2,571.0,0.421976635,602.0,0.367861,-0.162512766
HTT,3901.0,0.373695076,145.0,-0.045136,0.109476644
HUS1,2068.0,0.374612864,131.0,0.220229,0.413846487
HYI,310.0,0.378597605,196.0,-0.447618,0.508213701
HYOU1,1409.0,0.403839016,234.0,-0.664458,-0.316058577
ICAM1,1537.0,0.426062071,319.0,1.324636,-0.108984359
IER3IP1,3342.0,0.438740024,97.0,-0.52576,0.515136413
IFI16,254.0,0.415211655,290.0,2.16736,-0.150543372
IFI30,213.0,0.431523306,62.0,0.383707,-0.489519594
IFI35,160.0,0.418462024,223.0,0.193614,0.279387761
IFI44,267.0,0.403888008,124.0,1.400661,-1.135969651
IFI44L,5058.0,0.403608012,200.0,1.662706,-0.94307265
IFIH1,121.0,0.412344512,377.0,0.694136,-0.345758156
IFIT1,2775.0,0.411248073,495.0,-0.537842,-0.949521957
IFIT2,1901.0,0.420797646,175.0,0.387898,-1.023087351
IFIT3,843.0,0.417440574,529.0,-0.002827,-0.965694561
IFIT5,2354.0,0.414819429,231.0,0.765729,0.191028924
IFITM1,159.0,0.431550176,180.0,0.65954,-0.37965344
IFT27,109.0,0.4030938,426.0,0.434761,0.224571058
IGFBP3,1605.0,0.43060006,132.0,0.472288,-0.71297802
IGFBP7,558.0,0.392734536,34.0,0.367326,-0.720090573
IKBKE,745.0,0.435100597,714.0,2.029265,-0.418684257
IL16,3965.0,0.367979445,2395.0,4.222391,0.705328876
IL17RA,5874.0,0.376798811,133.0,-0.028404,0.475344428
IL1RN,1145.0,0.411881061,408.0,-0.314564,-0.274977725
IL4I1,16.0,0.4139018,621.0,2.623717,-0.293830853
ILF2,656.0,0.426220446,239.0,-0.799503,-0.076623663
IMPA2,2898.0,0.383680893,242.0,-0.925266,-0.293148604
INO80,5209.0,0.374025479,351.0,0.415451,0.543100584
