,3prime,tAI,max_5_UTR_length,TCGA-AO-A0J9,TCGA-AO-A0J9.1
CDKN2AIPNL,3639.0,0.409801696,53.0,0.324787,0.218117276
CDKN2C,2247.0,0.381912025,1216.0,0.833218,0.624765288
CEBPD,1714.0,0.430497143,44.0,-0.229431,-0.712334723
CENPV,301.0,0.385948267,62.0,0.393236,0.333461738
CEP55,939.0,0.397841874,304.0,0.528063,-0.276368595
CETN2,868.0,0.433727498,47.0,0.836109,0.004715262
CFL1,677.0,0.502791,234.0,0.420218,-0.49701293
CHAC2,786.0,0.395629742,277.0,-0.963385,-0.131967701
CHCHD4,3528.0,0.445497334,326.0,-0.021461,0.308688551
CHMP4A,296.0,0.447100154,262.0,0.207913,0.32406747
CHMP5,1241.0,0.442987983,200.0,-0.03414,-0.049359023
CHMP6,980.0,0.489861105,78.0,0.161238,-0.137021317
CHTF8,2425.0,0.424551152,142.0,-0.557375,-0.057342747
CIAPIN1,1024.0,0.451663323,242.0,-0.585245,-0.072383443
CISD2,5376.0,0.433298698,107.0,0.236725,-0.464106756
CKAP4,2872.0,0.386259817,84.0,0.248934,0.311767473
CKS2,300.0,0.317949998,98.0,1.004627,-0.570657444
CLCC1,5185.0,0.369704467,150.0,-0.041032,0.10211885
CLCN7,1698.0,0.459147749,110.0,-0.004981,0.026084062
CLIC1,290.0,0.4571302,573.0,0.260138,-0.11749629
CLK2,350.0,0.410673686,925.0,0.573656,0.177656691
CLK3,1233.0,0.4268607,461.0,0.081817,-0.353188378
CLPTM1,458.0,0.383990827,351.0,-0.346494,-0.107013555
CLTA,288.0,0.450950874,514.0,1.012754,0.260045333
CLTB,319.0,0.48548545,210.0,1.323498,0.205114455
CLTC,3104.0,0.384957863,443.0,-0.7526,-0.11779785
CNBP,6850.0,0.433298698,206.0,0.044612,0.063992532
CNPY2,123.0,0.392778455,553.0,0.882717,0.09919419
CNPY3,1042.0,0.459231502,584.0,1.108863,0.286138729
COG3,1967.0,0.414689223,142.0,-0.466496,0.338086123
COMMD1,306.0,0.423842833,138.0,0.753846,0.151310763
COMMD3,431.0,0.360487018,35.0,0.875989,0.02504221
COMMD5,498.0,0.445713337,399.0,0.196898,0.278168058
COMMD6,1375.0,0.396967837,328.0,0.988367,0.273607198
COMMD9,2340.0,0.418062772,89.0,0.865644,0.06141537
COPB1,446.0,0.381738818,307.0,-0.854198,0.018799208
COPE,165.0,0.478760693,55.0,0.301499,-0.025317744
COQ6,671.0,0.374062527,159.0,0.056481,-0.066445951
COQ7,5700.0,0.42379098,133.0,0.145151,0.126995418
CORO1A,112.0,0.457388252,435.0,1.502132,2.58e-05
COX17,1735.0,0.484254073,86.0,1.189421,0.004385308
COX5A,860.0,0.429944966,140.0,0.200051,-0.398997528
COX7A2,302.0,0.441893926,98.0,0.575582,-0.215722247
CPM,5262.0,0.406054343,75.0,1.881923,0.403766138
CPSF4,923.0,0.452412439,277.0,0.012199,-0.098874936
CPT1A,2761.0,0.374132033,170.0,-0.170388,-0.353088286
CPT2,602.0,0.431256564,515.0,-0.766465,-0.111405969
CRCP,8457.0,0.390198146,145.0,-0.553097,0.174474612
CRKL,3904.0,0.422225684,509.0,-0.451257,-0.134559917
CRTAP,5601.0,0.446308827,120.0,1.196724,0.337374493
CRTC3,3205.0,0.355982524,186.0,0.061763,0.261211236
CRYL1,462.0,0.386242786,79.0,0.031595,0.347177318
CSRP1,1183.0,0.493833101,217.0,0.661395,-0.34616542
CST3,2762.0,0.475763324,186.0,1.762909,0.363602755
CSTF2,1931.0,0.372934478,58.0,-0.418234,-0.072322921
CTBP1,800.0,0.464034004,393.0,0.540592,-0.044192943
CTNNA1,1216.0,0.412513324,1103.0,0.139987,-0.803027463
CTNNB1,1106.0,0.432073699,448.0,-0.841593,-0.723736154
CTNNBIP1,2448.0,0.394834327,307.0,-0.26303,-0.482761986
CTPS2,1870.0,0.416273085,744.0,-0.624534,-0.305042457
CTSG,119.0,0.369503415,37.0,0.58069,0.592136179
CTSH,1072.0,0.446467856,1192.0,-0.084802,-0.301567409
CUEDC1,2047.0,0.374410739,719.0,-0.736654,0.144889089
CUX1,1040.0,0.395555213,127.0,0.162006,0.217249882
CXCL10,814.0,0.410287201,105.0,-0.235822,-1.29751973
CYBB,2544.0,0.418993019,61.0,0.00388,0.118013716
CYTH4,1837.0,0.406296106,377.0,0.840767,-0.05529133
DAB2,1757.0,0.368483127,531.0,0.84492,0.307168717
DAGLB,721.0,0.377719723,170.0,-0.212959,-0.26867525
DAP3,768.0,0.366492687,184.0,0.400183,-0.453473749
DAPP1,2082.0,0.348655603,90.0,0.258839,0.189907995
DBI,233.0,0.467027529,479.0,0.370885,-0.510047448
DCAF12,1967.0,0.42050769,342.0,-0.18833,-0.225763959
DCAF8,1877.0,0.380310979,212.0,0.226272,0.297921706
DCP1A,4153.0,0.411936399,381.0,-0.401816,-0.147251155
DCPS,4731.0,0.375605648,329.0,0.283407,-0.095025875
DCTN5,10597.0,0.443116252,177.0,-0.61946,0.092585958
DDAH2,653.0,0.361046801,1104.0,1.665499,0.376052787
DDB2,1223.0,0.43604051,195.0,-0.092855,0.080589909
DDX23,713.0,0.445931172,91.0,-0.134661,0.28823661
DDX31,1870.0,0.361830896,544.0,-1.025027,-0.175820143
DDX47,438.0,0.379294484,22.0,0.408896,-0.073525214
DDX54,1704.0,0.467316231,28.0,-0.050017,-0.054369244
DDX56,586.0,0.438032149,643.0,0.090675,0.007668525
DDX59,217.0,0.413095257,243.0,-0.056999,0.081052907
DHODH,3463.0,0.371608285,21.0,0.083658,-0.03947662
DHPS,121.0,0.474111752,121.0,0.179439,-0.513624387
DHX15,459.0,0.379133957,168.0,-0.863021,-0.047614995
DHX34,591.0,0.384465978,349.0,0.014773,-0.112902508
DHX58,357.0,0.440330409,223.0,0.306623,-0.537464047
DIABLO,719.0,0.425893605,1182.0,0.763161,0.828657562
DMAP1,63.0,0.471306,301.0,0.370277,0.172818505
DMXL2,1274.0,0.389901613,225.0,-0.238856,-0.05515722
DNAJA4,1736.0,0.398301408,169.0,-0.949485,-0.574555507
DNAJC19,1326.0,0.403482491,259.0,0.406529,0.393028123
DNAJC25,1212.0,0.430964931,56.0,-0.006012,-0.366015778
DNAJC8,969.0,0.416719859,33.0,0.290227,0.183002434
DNM1,1255.0,0.393835111,116.0,0.625901,0.320686289
DNTTIP2,3564.0,0.408096853,58.0,0.164317,-0.002951999
DOCK11,3681.0,0.373818855,63.0,1.456678,0.485539682
DOCK2,524.0,0.446250827,52.0,0.243751,0.185047971
DOK2,438.0,0.384043737,481.0,1.997863,-0.073971928
DPCD,197.0,0.459155016,389.0,0.885475,0.326749572
DPF2,2501.0,0.393394442,133.0,-0.207756,-0.033352777
DPH1,1310.0,0.448716064,341.0,-0.281631,-0.326974789
DPH5,784.0,0.413363166,165.0,0.477113,-0.143159259
DPY30,562.0,0.438431353,279.0,0.533472,-0.089472594
DPYSL2,2472.0,0.430530829,431.0,0.887441,0.153840171
DRAP1,142.0,0.432809908,245.0,1.023672,0.304362363
DRG1,4594.0,0.444150091,131.0,-0.060119,0.083290406
DSN1,5330.0,0.392894937,373.0,0.159916,0.37041877
DSTN,2786.0,0.375776803,438.0,0.044178,-0.067012033
DTL,2265.0,0.372315747,921.0,0.59165,-0.380263663
DTX3L,3456.0,0.408848169,89.0,-0.160556,-0.072001951
DUSP12,374.0,0.419884133,34.0,-0.207261,0.369445523
DUT,1937.0,0.36471409,109.0,-0.103805,-0.204493674
DYNLT1,514.0,0.420362019,78.0,0.395777,0.14611839
EBAG9,1437.0,0.39438748,402.0,-0.514514,-0.627714791
ECH1,191.0,0.389477111,85.0,1.343992,-0.158595078
ECHDC2,2269.0,0.400166641,752.0,0.592497,-0.181843751
ECM1,322.0,0.43792189,199.0,1.293067,0.309972551
EDEM2,76.0,0.379021051,100.0,0.204889,-0.306013
EEA1,5374.0,0.405861636,265.0,-0.391529,0.447445913
EEF1A2,286.0,0.417272363,329.0,1.341389,-0.10638671
EFTUD2,1331.0,0.444646836,398.0,-0.334554,0.072465619
EHD1,3363.0,0.446314898,447.0,-0.045044,-0.198839766
EIF2AK2,8063.0,0.394727306,557.0,-0.308436,-0.365876698
EIF2B3,1058.0,0.383118637,239.0,-0.322082,-0.292864781
EIF3F,5840.0,0.435728237,33.0,0.340686,-0.220753721
EIF3L,1718.0,0.380710116,245.0,0.362735,-0.135552062
EIF4A3,1120.0,0.381528282,222.0,-0.400978,0.062557314
ELAVL1,4910.0,0.437605432,167.0,0.164617,-0.031224043
EMG1,248.0,0.433768095,143.0,1.131206,0.011736536
EMILIN2,2605.0,0.379592019,159.0,0.52728,0.335345008
ENDOD1,7728.0,0.376426787,118.0,-0.737729,-0.4737877
ENOSF1,2904.0,0.382279782,622.0,0.958817,0.172750022
ENY2,2576.0,0.41756619,146.0,0.075085,0.027118409
EPSTI1,2106.0,0.391777705,469.0,0.210917,-0.141786044
ERCC1,2342.0,0.45058755,188.0,0.659945,-0.12698304
ERCC6L,4809.0,0.354829683,623.0,-0.227919,-0.202835818
ERH,415.0,0.383837906,71.0,0.98641,-0.065367013
ERLIN1,2041.0,0.444737514,478.0,-0.671727,0.053204767
ERP29,1277.0,0.401191178,118.0,0.595598,-0.168062338
ETV6,4356.0,0.398240844,274.0,0.526236,0.16422195
EXOC4,1232.0,0.388187525,35.0,-0.46018,0.189807379
EXOC8,6907.0,0.436106501,127.0,-0.227023,0.224250404
EXOSC1,536.0,0.430105347,451.0,1.443593,0.195291195
EXOSC2,3902.0,0.431273517,32.0,-0.203656,-0.054354628
F8A1,571.0,0.46317284,15.0,0.554927,0.059434516
FAAH,2043.0,0.384592892,82.0,-0.25745,-0.583748103
FAF1,4425.0,0.401181969,453.0,-0.101212,-0.243469489
FAM122A,4542.0,0.40477622,33.0,-0.00262,0.143877716
FAM168A,6285.0,0.395008865,285.0,-1.255243,0.077551164
FAM177A1,2165.0,0.411149627,459.0,-0.138025,-0.315540608
FAM192A,1824.0,0.379195199,1475.0,0.378545,0.064758747
FAM20B,4428.0,0.4357945,293.0,-0.016486,0.147294288
FAM32A,1091.0,0.408676074,42.0,0.477945,-0.133285983
FAM50A,286.0,0.482889735,110.0,1.038732,0.029388844
FBP1,248.0,0.397353747,331.0,1.126947,0.455106063
FBXL20,9338.0,0.383104745,254.0,-0.364166,0.650369152
FBXO4,526.0,0.393825218,58.0,0.445075,0.277957608
FBXO6,503.0,0.42307306,166.0,-0.021993,-0.710993192
FCER1G,305.0,0.4202976,25.0,2.487896,0.020550234
FCGRT,309.0,0.433069976,486.0,0.653842,0.408156971
FDPS,72.0,0.456397562,392.0,0.094809,-0.064822038
FDXR,596.0,0.384661194,188.0,-0.231212,-0.355604932
FEN1,1340.0,0.407867196,413.0,-1.007724,-0.249544636
FERMT3,399.0,0.435119014,149.0,1.704901,0.198123416
FGD2,907.0,0.441856308,171.0,0.753218,-0.1361199
FGFR1OP2,1663.0,0.396595515,353.0,0.523049,0.103259489
FGL2,3460.0,0.40966218,40.0,-0.328925,-0.142596561
FKBP1A,1132.0,0.428443098,174.0,1.073987,-0.003179323
FKBPL,24.0,0.377510344,270.0,0.248884,0.082689706
FLOT1,422.0,0.472159534,339.0,0.647995,-0.348322101
FN3K,442.0,0.389857108,61.0,0.734314,0.063311078
FN3KRP,3667.0,0.380720834,50.0,0.586364,0.479663877
FOXJ3,3176.0,0.401878681,312.0,-0.625581,0.011960726
FOXK2,3108.0,0.440496276,171.0,-0.227339,-0.014950811
FOXRED1,443.0,0.438630908,167.0,0.398197,-0.340082534
FSCN1,1184.0,0.396100853,132.0,0.607901,0.044626054
FTH1,530.0,0.425357612,235.0,0.781993,0.323485844
FTL,1031.0,0.428438948,199.0,2.955924,0.301280516
FTSJ1,638.0,0.457521275,569.0,-0.093219,-0.333852918
FTSJ3,698.0,0.388239396,646.0,-0.429882,-0.155607706
FXN,6365.0,0.40465004,220.0,0.427754,0.307090426
GABARAPL2,564.0,0.431291441,136.0,0.018008,-0.289134331
GABPB1,1320.0,0.423118524,469.0,-0.1918,0.195657594
GALK1,292.0,0.455574511,63.0,0.013716,-0.244949055
GANAB,989.0,0.425909644,1027.0,-0.572436,-0.187904407
GAS6,315.0,0.393865445,183.0,0.202472,-0.285303992
GAS7,6619.0,0.423630168,311.0,0.920567,0.676596945
GBE1,708.0,0.404013874,283.0,0.937799,0.203008724
GBP1,1735.0,0.42614962,220.0,0.639977,-0.10368549
GBP2,5058.0,0.440134196,314.0,1.012653,0.143282601
GBP4,4106.0,0.42983554,116.0,0.544471,-0.006761714
GBP5,1753.0,0.421901204,537.0,0.867521,-0.61915034
GFOD2,622.0,0.396604754,295.0,-0.067848,-0.026397603
GGA2,5408.0,0.377812588,83.0,0.117446,0.305488407
GGCX,5211.0,0.417836117,106.0,-0.660833,-0.200642704
GIGYF1,2212.0,0.443456438,1210.0,0.731891,0.020852386
GINS3,1415.0,0.387351931,208.0,0.215728,-0.265413909
GLA,1699.0,0.378726947,110.0,0.610788,-0.060490265
GLE1,1357.0,0.383457083,114.0,-0.406731,-0.070630655
GLRX,1188.0,0.430296645,211.0,1.587684,-0.006064561
GLRX3,3557.0,0.41418463,539.0,0.401114,-0.03270065
GLUD1,1558.0,0.392454008,1132.0,0.300375,0.176094877
GLYR1,2033.0,0.39940414,57.0,-0.157975,0.281297164
GMEB1,4582.0,0.43446142,142.0,-0.35507,-0.014270254
GMPPA,198.0,0.434966364,375.0,0.130299,0.04461348
GMPR,3984.0,0.435743929,114.0,-0.143845,-0.849178297
GMPR2,464.0,0.453637396,704.0,0.065354,0.062265038
GNAI1,1947.0,0.435804474,356.0,1.306874,0.581655419
GNG7,3803.0,0.398730372,237.0,-0.314573,-0.086200607
GNPDA1,1360.0,0.395964134,67.0,0.626562,0.455276179
GOLGA2,1243.0,0.401070546,13.0,-0.32287,-0.10446681
GON4L,926.0,0.418089888,175.0,-0.137016,0.192777857
GOSR1,5968.0,0.408103421,237.0,-0.31734,0.095816616
GOSR2,3258.0,0.374298057,541.0,-0.386137,-0.007186575
GOT2,1054.0,0.444803236,129.0,-0.042102,0.022948417
GPS2,97.0,0.431122181,76.0,1.18799,0.266906763
GPSM2,4697.0,0.401967226,496.0,-0.083477,-0.153251156
GPX7,626.0,0.395840774,39.0,0.733373,-0.106015339
GRAMD1A,299.0,0.411657297,748.0,0.389154,0.294168706
GRB2,2292.0,0.4413596,358.0,-0.324375,-0.095402922
GSTM4,2467.0,0.390909061,314.0,0.622981,-0.799266552
GTF2A2,1070.0,0.420716795,404.0,-0.102241,0.517084574
GTF2E2,604.0,0.365750105,273.0,0.195921,-0.220326859
GTF3C2,932.0,0.372227001,397.0,-0.068119,0.2907911
GTPBP1,2894.0,0.424954603,154.0,-0.513127,-0.196996572
GTPBP3,1032.0,0.436547413,95.0,-0.138682,0.059598689
GTSF1,222.0,0.36097632,86.0,4.028249,-0.410469391
HADH,818.0,0.383558671,219.0,0.546431,0.260458851
HADHA,615.0,0.383558671,130.0,0.100518,-0.026098459
HAUS5,3319.0,0.378752573,51.0,0.785868,0.227551311
HAUS8,346.0,0.37535995,111.0,0.874959,0.196587175
HCCS,1274.0,0.398607648,275.0,-0.520407,-0.50096729
HCK,337.0,0.440224323,364.0,0.929465,0.214602847
HDAC1,591.0,0.390040122,63.0,-0.450428,-0.044368676
HDDC3,763.0,0.387287166,29.0,-0.207969,-0.035541147
HDGF,1342.0,0.465394593,322.0,-0.089999,-0.127176937
HDLBP,2343.0,0.397687311,375.0,-0.320932,-0.112110407
HEATR3,1385.0,0.384091545,883.0,-1.075925,0.10374707
HEBP2,9119.0,0.359416339,297.0,1.39876,-0.085496888
HECA,3704.0,0.443714129,285.0,-0.084813,0.093360277
HECTD3,3914.0,0.446742268,98.0,0.354118,-0.013441909
HERC2,726.0,0.429958504,109.0,-0.792176,-0.094340592
HERC5,379.0,0.393838904,153.0,-0.097312,-0.507059882
HERC6,651.0,0.398146132,183.0,-1.609115,-0.398909777
HIP1,4874.0,0.430847644,52.0,-0.326848,0.317764561
HLA-A,4150.0,0.424443523,84.0,1.341593,-1.145617597
HLA-C,420.0,0.421684519,65.0,-0.162667,-0.636632166
HLA-DRA,409.0,0.420807891,109.0,1.174848,0.478243951
HLA-E,1459.0,0.413523771,126.0,0.346066,-0.183698074
HLA-F,121.0,0.407256461,124.0,1.161837,-0.339648641
HMBOX1,3560.0,0.369177113,482.0,-0.597076,-0.518230464
HMBS,266.0,0.451934812,299.0,0.373787,-0.075287917
HMGB2,3775.0,0.450826504,193.0,1.047911,0.155591106
HMGCS1,3661.0,0.374424323,345.0,-0.662845,-0.515583107
HMOX1,616.0,0.436401717,107.0,1.804115,0.480669316
HNRNPA0,7504.0,0.386421138,284.0,0.884118,0.057876119
HNRNPD,1688.0,0.420386111,318.0,0.755483,-0.262136457
HNRNPL,1102.0,0.449817015,176.0,0.670085,-0.084768103
HNRNPU,4156.0,0.432126199,218.0,0.22094,-0.03058622
HNRNPUL1,2135.0,0.394022965,339.0,0.173812,0.02080908
HNRNPUL2,2674.0,0.436897081,229.0,-0.327382,-0.081410108
HSBP1,3274.0,0.4454546,174.0,0.100481,-0.279341234
HSD17B7,398.0,0.431983247,99.0,-0.000774,0.215018353
HSP90AB1,313.0,0.39509298,251.0,-0.777704,-0.480323518
HSPA4L,7877.0,0.413794867,342.0,-1.021779,-0.348094916
HSPB11,107.0,0.34538245,284.0,0.212086,-0.199428679
HTRA2,571.0,0.421976635,602.0,0.359001,-0.033468632
HTT,3901.0,0.373695076,145.0,-0.452504,0.139681036
HUS1,2068.0,0.374612864,131.0,-0.121599,-0.052535398
HYI,310.0,0.378597605,196.0,1.125421,0.320657965
HYOU1,1409.0,0.403839016,234.0,-0.891933,-0.36096768
ICAM1,1537.0,0.426062071,319.0,0.078456,-0.144096952
IER3IP1,3342.0,0.438740024,97.0,0.282317,0.012086662
IFI16,254.0,0.415211655,290.0,0.654021,0.174386091
IFI30,213.0,0.431523306,62.0,2.398645,-0.116226113
IFI35,160.0,0.418462024,223.0,0.765885,0.321088323
IFI44,267.0,0.403888008,124.0,0.14087,-0.756188226
IFI44L,5058.0,0.403608012,200.0,0.003596,-1.274314788
IFIH1,121.0,0.412344512,377.0,-0.235287,-0.377280544
IFIT1,2775.0,0.411248073,495.0,0.046438,-0.691075069
IFIT2,1901.0,0.420797646,175.0,0.366194,-0.623676686
IFIT3,843.0,0.417440574,529.0,0.343485,-0.707229845
IFIT5,2354.0,0.414819429,231.0,0.68405,0.103401754
IFITM1,159.0,0.431550176,180.0,0.49171,-0.770424826
IFT27,109.0,0.4030938,426.0,0.668948,-0.116657844
IGFBP3,1605.0,0.43060006,132.0,0.889239,-0.294370715
