,3prime,tAI,max_5_UTR_length,TCGA-A8-A09G,TCGA-A8-A09G.1
AXL,1863.0,0.417061167,376.0,-0.547495,-0.635775722
B4GALT7,4483.0,0.433879574,93.0,0.164338,0.720025109
BAG1,2764.0,0.431693656,501.0,-0.210359,0.379896663
BAG3,537.0,0.387438444,306.0,-0.210123,-0.607682835
BASP1,971.0,0.520859146,259.0,-0.889482,-1.36256242
BBS7,1531.0,0.408023089,184.0,-1.379711,-0.367800935
BCAT2,364.0,0.445598481,657.0,-0.889496,-0.690977665
BCKDHB,3082.0,0.419736544,88.0,0.268013,0.443478368
BCL2,5279.0,0.374049285,493.0,-2.883691,-1.81260185
BCL2L13,4109.0,0.411790332,769.0,0.082946,-0.132867132
BID,4193.0,0.428633517,498.0,0.024649,0.405666998
BLVRA,3376.0,0.414260839,177.0,-0.104085,0.116842104
BOLA2,40.0,0.43059393,513.0,-0.002702,-0.187577098
BOLA3,383.0,0.406657227,38.0,-0.111343,-0.157407309
BRD2,787.0,0.377809737,2066.0,0.075871,-0.17828441
BRD3,3285.0,0.401150236,188.0,0.283114,0.117030209
BSPRY,1091.0,0.380011644,48.0,0.682773,0.526054005
BST2,411.0,0.444557266,81.0,-1.407632,-1.924427605
BUB3,1535.0,0.421992618,242.0,-0.127816,0.034573709
C1QB,152.0,0.436596666,340.0,0.59426,0.058491612
C1QC,327.0,0.41150294,283.0,0.40635,-0.306610988
C2CD3,671.0,0.360398895,227.0,0.484629,0.165005534
C3,5088.0,0.430632158,93.0,-0.024926,0.253509281
CAP1,1134.0,0.406948565,416.0,0.853942,-0.046564044
CAPN1,720.0,0.455130071,197.0,-0.014583,0.269621037
CAPRIN1,5632.0,0.374918508,189.0,0.202043,-0.093970263
CAPZB,5180.0,0.446052528,622.0,-0.544511,-0.009558384
CARD16,437.0,0.41300235,27.0,0.141306,0.257789513
CARHSP1,4898.0,0.362100245,360.0,-0.57055,-0.480663781
CASC3,1778.0,0.370720542,295.0,-0.895208,-0.831481474
CASP1,750.0,0.424742838,44.0,0.283645,0.400214801
CASP8,1794.0,0.376118708,303.0,0.924612,0.516706222
CAT,629.0,0.397270122,89.0,1.23844,0.393104078
CBL,8368.0,0.375957197,142.0,-0.212029,-0.023702008
CBLL1,3286.0,0.400851504,467.0,0.374319,0.144232254
CBR3,54.0,0.445176236,228.0,2.641429,1.867639848
CBS,4385.0,0.477784031,626.0,-2.552411,-1.103842047
CBX5,10815.0,0.390902295,318.0,0.8635,0.497002029
CBX8,2504.0,0.36735217,118.0,-0.024938,-0.273481576
CCDC115,2169.0,0.385110507,452.0,-0.841251,0.558821763
CCDC125,2554.0,0.359965106,322.0,1.533869,0.700770325
CCDC58,2462.0,0.421830022,75.0,-0.11392,0.077707521
CCDC88C,1302.0,0.396031427,154.0,0.862588,0.031529604
CCL5,886.0,0.462166288,68.0,0.784253,-0.514195964
CCNA2,1206.0,0.409154498,373.0,0.06148,-0.792458076
CCNB2,168.0,0.374401461,184.0,0.892033,0.048918186
CCNDBP1,2336.0,0.44393643,231.0,-0.282672,-0.012773724
CCS,4244.0,0.460896681,43.0,-0.18756,0.444241427
CCT3,238.0,0.457984718,231.0,0.092775,0.083220383
CCT4,1361.0,0.393363555,164.0,-0.241602,0.105177718
CD14,128.0,0.416321757,392.0,-0.392617,0.336354397
CD209,3046.0,0.440000747,67.0,1.562766,0.104314636
CD36,2894.0,0.410517795,414.0,0.902929,0.561762236
CD44,3115.0,0.39995987,434.0,1.735428,-0.007483278
CD63,923.0,0.512738356,403.0,-0.344543,-1.146360479
CD74,635.0,0.427357309,187.0,0.408354,0.246450599
CDC25C,437.0,0.364786128,387.0,0.375514,0.805400037
CDC26,271.0,0.395637029,359.0,0.301556,-0.471432144
CDC34,560.0,0.46431386,199.0,-0.867948,-0.369767246
CDC42EP3,3941.0,0.420378821,1009.0,-1.232391,-0.463035267
CDCA3,816.0,0.351209268,820.0,0.254098,-0.841067346
CDCA8,1353.0,0.384295288,290.0,0.630297,-0.330030183
CDIPT,1864.0,0.442654716,541.0,-1.167866,-2.111806879
CDK1,2313.0,0.398329505,154.0,0.834124,0.156402853
CDK19,4557.0,0.421511824,180.0,0.255576,0.156653539
CDK2AP1,766.0,0.439144625,522.0,-0.666299,0.280540157
CDK5RAP2,367.0,0.371069462,192.0,0.466613,0.645559043
CDK5RAP3,284.0,0.469750898,1791.0,-0.479041,-0.068347342
CDKAL1,1365.0,0.417875209,167.0,-0.175416,0.308622917
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.109129,0.427243546
CDKN2C,2247.0,0.381912025,1216.0,0.252095,0.016563046
CEBPD,1714.0,0.430497143,44.0,-1.49098,0.104069469
CENPH,1478.0,0.418392258,87.0,0.464452,-0.164208673
CENPV,301.0,0.385948267,62.0,-4.110265,-1.550695648
CEP55,939.0,0.397841874,304.0,0.989974,-0.234531066
CES3,2100.0,0.377378956,446.0,6.180553,2.128843921
CETN2,868.0,0.433727498,47.0,-0.056624,-0.086054735
CFL1,677.0,0.502791,234.0,-0.137195,-0.138596812
CHAC2,786.0,0.395629742,277.0,1.415979,0.689484195
CHCHD4,3528.0,0.445497334,326.0,0.133478,-0.824603552
CHMP4A,296.0,0.447100154,262.0,0.511006,0.132259322
CHMP5,1241.0,0.442987983,200.0,-0.885853,-0.458317472
CHMP6,980.0,0.489861105,78.0,-0.400441,-0.084763361
CHTF8,2425.0,0.424551152,142.0,-0.290691,-0.143059731
CIAPIN1,1024.0,0.451663323,242.0,-0.013521,-0.666312871
CISD2,5376.0,0.433298698,107.0,-0.700141,-0.212744187
CKAP4,2872.0,0.386259817,84.0,1.913154,1.058305962
CKS2,300.0,0.317949998,98.0,0.546252,0.094819279
CLCC1,5185.0,0.369704467,150.0,1.090914,0.135943087
CLCN7,1698.0,0.459147749,110.0,-0.253599,-0.521766267
CLIC1,290.0,0.4571302,573.0,-0.18881,-0.237566777
CLK2,350.0,0.410673686,925.0,-0.449575,0.141076761
CLK3,1233.0,0.4268607,461.0,0.169806,0.739591869
CLPTM1,458.0,0.383990827,351.0,0.374911,-0.077995995
CLTA,288.0,0.450950874,514.0,0.246025,-0.383084776
CLTB,319.0,0.48548545,210.0,-0.680864,-0.793603434
CLTC,3104.0,0.384957863,443.0,3.629632,0.554528568
CNBP,6850.0,0.433298698,206.0,-0.27926,-1.031090349
CNPY2,123.0,0.392778455,553.0,0.697163,0.725158038
CNPY3,1042.0,0.459231502,584.0,0.087166,0.543191291
COG3,1967.0,0.414689223,142.0,0.010049,0.50281276
COMMD1,306.0,0.423842833,138.0,-0.138452,0.375100142
COMMD3,431.0,0.360487018,35.0,0.966115,0.388256287
COMMD5,498.0,0.445713337,399.0,-0.326593,0.59186893
COMMD6,1375.0,0.396967837,328.0,-0.975488,0.606825664
COMMD9,2340.0,0.418062772,89.0,-0.328393,0.218565373
COPB1,446.0,0.381738818,307.0,0.960256,0.523377284
COPE,165.0,0.478760693,55.0,0.203057,0.734272309
COQ6,671.0,0.374062527,159.0,0.652521,1.111277128
COQ7,5700.0,0.42379098,133.0,0.031866,0.095163241
CORO1A,112.0,0.457388252,435.0,0.579512,-0.265835703
COX17,1735.0,0.484254073,86.0,-0.059045,-0.964587903
COX5A,860.0,0.429944966,140.0,0.660148,0.164273106
COX7A2,302.0,0.441893926,98.0,0.764597,1.680101522
CPM,5262.0,0.406054343,75.0,-0.324047,-0.130565217
CPSF4,923.0,0.452412439,277.0,-0.009644,-0.191040043
CPT1A,2761.0,0.374132033,170.0,2.457052,1.2402225
CPT2,602.0,0.431256564,515.0,0.456512,0.21699636
CRCP,8457.0,0.390198146,145.0,0.695088,-0.156287112
CRKL,3904.0,0.422225684,509.0,-0.049184,0.178437279
CRTAP,5601.0,0.446308827,120.0,-0.878057,-0.256415314
CRTC3,3205.0,0.355982524,186.0,-0.153968,0.215695483
CRYL1,462.0,0.386242786,79.0,-0.253044,0.202781793
CSRP1,1183.0,0.493833101,217.0,-0.454983,-0.932826874
CST3,2762.0,0.475763324,186.0,-1.736621,0.121921032
CSTF2,1931.0,0.372934478,58.0,0.394889,-0.239907422
CTBP1,800.0,0.464034004,393.0,-0.384363,0.141409611
CTNNA1,1216.0,0.412513324,1103.0,0.371721,-0.682588016
CTNNB1,1106.0,0.432073699,448.0,0.534594,-1.067805784
CTNNBIP1,2448.0,0.394834327,307.0,1.469442,0.933658845
CTPS2,1870.0,0.416273085,744.0,0.363235,0.665371635
CTSG,119.0,0.369503415,37.0,-0.658202,-0.634313329
CTSH,1072.0,0.446467856,1192.0,0.700853,0.839236865
CUEDC1,2047.0,0.374410739,719.0,0.115696,0.265955455
CUX1,1040.0,0.395555213,127.0,0.341832,-0.297483863
CXCL10,814.0,0.410287201,105.0,1.529733,-0.813383834
CXCL9,2323.0,0.403736618,74.0,3.163127,0.898073043
CYBB,2544.0,0.418993019,61.0,0.913337,-0.3199293
CYTH4,1837.0,0.406296106,377.0,0.479016,0.458998427
DAB2,1757.0,0.368483127,531.0,-0.121611,-0.301893483
DAGLB,721.0,0.377719723,170.0,0.492455,0.402745851
DAP3,768.0,0.366492687,184.0,0.438498,0.730476195
DAPP1,2082.0,0.348655603,90.0,0.808683,0.084566556
DBI,233.0,0.467027529,479.0,1.798505,1.018464856
DCAF8,1877.0,0.380310979,212.0,0.054419,0.387504847
DCP1A,4153.0,0.411936399,381.0,-0.128649,0.46654621
DCPS,4731.0,0.375605648,329.0,-0.231521,0.163239455
DCTN5,10597.0,0.443116252,177.0,0.039267,-0.019869053
DDAH2,653.0,0.361046801,1104.0,-1.068674,0.047139667
DDB2,1223.0,0.43604051,195.0,-0.789678,-0.028018787
DDX23,713.0,0.445931172,91.0,0.295702,0.094224768
DDX31,1870.0,0.361830896,544.0,-0.008142,0.150007133
DDX47,438.0,0.379294484,22.0,-0.964078,-0.534798903
DDX54,1704.0,0.467316231,28.0,0.120097,0.176380424
DDX56,586.0,0.438032149,643.0,-0.448135,0.086551677
DDX59,217.0,0.413095257,243.0,0.168311,0.448666488
DHODH,3463.0,0.371608285,21.0,-0.677794,0.076866549
DHPS,121.0,0.474111752,121.0,-0.392872,0.154010853
DHX15,459.0,0.379133957,168.0,-0.021324,-0.189335009
DHX34,591.0,0.384465978,349.0,-0.568693,-0.739718492
DHX58,357.0,0.440330409,223.0,2.084619,1.136889962
DIABLO,719.0,0.425893605,1182.0,0.307988,0.038774838
DMAP1,63.0,0.471306,301.0,-0.000931,0.199188395
DMXL2,1274.0,0.389901613,225.0,0.92394,-0.040202915
DNAJA4,1736.0,0.398301408,169.0,2.152868,0.932045497
DNAJC14,1509.0,0.37755465,204.0,-0.120865,-1.284385026
DNAJC19,1326.0,0.403482491,259.0,-0.482006,-0.618392805
DNAJC25,1212.0,0.430964931,56.0,0.525815,0.48455586
DNAJC8,969.0,0.416719859,33.0,-0.195308,-0.473719815
DNM1,1255.0,0.393835111,116.0,-1.143995,0.228149724
DNTTIP2,3564.0,0.408096853,58.0,-0.021246,-0.090655092
DOCK11,3681.0,0.373818855,63.0,0.216872,0.117246488
DOCK2,524.0,0.446250827,52.0,1.017107,0.516395495
DOK2,438.0,0.384043737,481.0,0.594673,0.50185088
DPCD,197.0,0.459155016,389.0,0.012547,-0.606480796
DPF2,2501.0,0.393394442,133.0,-0.302203,0.21575795
DPH1,1310.0,0.448716064,341.0,-0.311135,0.485365223
DPH5,784.0,0.413363166,165.0,-0.751656,0.262191526
DPY30,562.0,0.438431353,279.0,-0.70753,0.276152886
DPYSL2,2472.0,0.430530829,431.0,-0.931511,0.096185148
DRAP1,142.0,0.432809908,245.0,-0.357811,-0.537626511
DRG1,4594.0,0.444150091,131.0,0.227383,0.211624324
DSN1,5330.0,0.392894937,373.0,0.742721,0.371527819
DSTN,2786.0,0.375776803,438.0,0.107093,-0.189068598
DTL,2265.0,0.372315747,921.0,0.75382,0.294772976
DTX3L,3456.0,0.408848169,89.0,0.630483,-0.146064309
DUSP12,374.0,0.419884133,34.0,-0.107576,0.383864222
DUT,1937.0,0.36471409,109.0,0.262636,-0.210097921
DYNLT1,514.0,0.420362019,78.0,0.563941,0.57262942
EBAG9,1437.0,0.39438748,402.0,-0.564119,0.297439748
ECH1,191.0,0.389477111,85.0,1.112902,0.514674673
ECHDC2,2269.0,0.400166641,752.0,0.038268,0.80620061
ECM1,322.0,0.43792189,199.0,-2.02761,-0.732045075
EDEM2,76.0,0.379021051,100.0,0.722937,0.672018425
EEA1,5374.0,0.405861636,265.0,0.296213,-0.076730135
EEF1A2,286.0,0.417272363,329.0,-3.905975,-1.786063443
EFTUD2,1331.0,0.444646836,398.0,-0.419927,0.096078976
EHD1,3363.0,0.446314898,447.0,-0.046989,0.250302229
EIF2AK2,8063.0,0.394727306,557.0,0.303828,-0.141395272
EIF2B3,1058.0,0.383118637,239.0,0.13135,0.429406874
EIF3F,5840.0,0.435728237,33.0,-0.17322,0.153162558
EIF3L,1718.0,0.380710116,245.0,-0.140821,0.099969086
EIF4A3,1120.0,0.381528282,222.0,0.016825,0.056394369
ELAVL1,4910.0,0.437605432,167.0,-0.312377,-0.457743543
EMG1,248.0,0.433768095,143.0,-0.204365,0.410170273
EMILIN2,2605.0,0.379592019,159.0,-0.075348,0.036911262
ENDOD1,7728.0,0.376426787,118.0,-0.06595,-0.498224235
ENOSF1,2904.0,0.382279782,622.0,-0.247669,-0.658285424
ENY2,2576.0,0.41756619,146.0,0.071427,0.185786909
EPSTI1,2106.0,0.391777705,469.0,0.458812,-1.265406246
ERCC1,2342.0,0.45058755,188.0,-0.307479,-0.096748843
ERCC6L,4809.0,0.354829683,623.0,0.874082,0.298656277
ERH,415.0,0.383837906,71.0,-0.028718,-0.356304925
ERLIN1,2041.0,0.444737514,478.0,0.177519,-0.246472805
ERP29,1277.0,0.401191178,118.0,0.779954,0.797706372
ETV6,4356.0,0.398240844,274.0,2.636697,1.690523111
EXOC4,1232.0,0.388187525,35.0,-0.15132,-0.091495164
EXOC8,6907.0,0.436106501,127.0,0.701114,0.198903711
EXOSC1,536.0,0.430105347,451.0,0.086972,-0.329774806
EXOSC2,3902.0,0.431273517,32.0,-0.110278,0.010912974
F8A1,571.0,0.46317284,15.0,-0.428801,0.004612341
FAAH,2043.0,0.384592892,82.0,-0.072521,0.166886607
FAF1,4425.0,0.401181969,453.0,0.005982,0.099205507
FAM122A,4542.0,0.40477622,33.0,0.1409,0.4769545
FAM168A,6285.0,0.395008865,285.0,0.024719,-0.780726058
FAM177A1,2165.0,0.411149627,459.0,0.321591,0.911619728
FAM192A,1824.0,0.379195199,1475.0,-0.517478,-0.672060191
FAM20B,4428.0,0.4357945,293.0,0.405658,-0.416779926
FAM32A,1091.0,0.408676074,42.0,-0.52912,-0.712428185
FAM50A,286.0,0.482889735,110.0,-0.265276,-0.046305851
FBP1,248.0,0.397353747,331.0,0.205234,0.63788277
FBXL20,9338.0,0.383104745,254.0,-0.170309,-1.619361241
FBXO4,526.0,0.393825218,58.0,0.636671,0.937683088
FBXO6,503.0,0.42307306,166.0,0.709322,-0.599261311
FCER1G,305.0,0.4202976,25.0,-0.237275,-0.48927224
FCGRT,309.0,0.433069976,486.0,-1.511222,0.319395742
FDPS,72.0,0.456397562,392.0,1.332188,0.977290436
FDXR,596.0,0.384661194,188.0,-0.484267,-0.335700563
FEN1,1340.0,0.407867196,413.0,0.629482,0.350028238
FERMT3,399.0,0.435119014,149.0,0.475072,0.252195255
FGD2,907.0,0.441856308,171.0,0.62025,0.399617101
FGFR1OP2,1663.0,0.396595515,353.0,-0.961792,0.287529599
FGL2,3460.0,0.40966218,40.0,0.681664,-0.006954986
FKBP1A,1132.0,0.428443098,174.0,-0.325133,0.151078733
FKBPL,24.0,0.377510344,270.0,0.313299,0.465611817
FLOT1,422.0,0.472159534,339.0,-0.813679,-0.307716562
FN3K,442.0,0.389857108,61.0,0.093764,-0.058636538
FN3KRP,3667.0,0.380720834,50.0,0.531956,-0.219697072
FOXJ3,3176.0,0.401878681,312.0,0.505149,-0.147673095
FOXK2,3108.0,0.440496276,171.0,0.190797,0.396872681
FOXRED1,443.0,0.438630908,167.0,0.895085,0.847185528
FSCN1,1184.0,0.396100853,132.0,-0.857279,-0.588747638
FTH1,530.0,0.425357612,235.0,-0.239771,-0.275367017
FTL,1031.0,0.428438948,199.0,-0.728097,-0.795867661
FTSJ1,638.0,0.457521275,569.0,0.082132,0.180175711
FTSJ3,698.0,0.388239396,646.0,0.43545,0.027556088
FXN,6365.0,0.40465004,220.0,-0.122781,-0.247647832
GABARAPL2,564.0,0.431291441,136.0,-0.974586,0.240774472
GABPB1,1320.0,0.423118524,469.0,0.24223,-1.071916096
GALK1,292.0,0.455574511,63.0,-1.186271,-0.317524511
GANAB,989.0,0.425909644,1027.0,0.829301,-0.074432507
GAS6,315.0,0.393865445,183.0,-1.615506,-0.317817747
GAS7,6619.0,0.423630168,311.0,-0.298216,-0.311798802
GBE1,708.0,0.404013874,283.0,0.127943,-0.201660021
GBP1,1735.0,0.42614962,220.0,0.931192,-0.090480691
GBP2,5058.0,0.440134196,314.0,0.328456,0.336174728
GBP4,4106.0,0.42983554,116.0,1.552115,0.371810355
GBP5,1753.0,0.421901204,537.0,1.889661,0.323753303
GCH1,2011.0,0.419329122,161.0,-0.626564,0.48562032
GFOD2,622.0,0.396604754,295.0,-0.72515,-0.048959259
GGA2,5408.0,0.377812588,83.0,-0.162084,-0.549053647
GGCX,5211.0,0.417836117,106.0,1.402674,0.033110656
GIGYF1,2212.0,0.443456438,1210.0,-0.070829,0.128660857
GINS3,1415.0,0.387351931,208.0,0.82177,-0.175221653
GLA,1699.0,0.378726947,110.0,-0.334552,0.113431297
GLE1,1357.0,0.383457083,114.0,0.235156,0.125037691
GLRX,1188.0,0.430296645,211.0,1.498709,0.60315808
GLRX3,3557.0,0.41418463,539.0,0.293408,0.229507231
GLUD1,1558.0,0.392454008,1132.0,-0.184315,0.144846599
GLYR1,2033.0,0.39940414,57.0,-0.163744,0.233780571
GMEB1,4582.0,0.43446142,142.0,0.615472,0.511121885
GMPPA,198.0,0.434966364,375.0,1.08001,0.747388392
GMPR,3984.0,0.435743929,114.0,-0.980476,-0.876959637
GMPR2,464.0,0.453637396,704.0,-0.683324,0.019156516
GNG7,3803.0,0.398730372,237.0,-1.474991,-0.66639722
GNPDA1,1360.0,0.395964134,67.0,-0.183245,0.222518202
GOLGA2,1243.0,0.401070546,13.0,0.573487,0.002323454
GON4L,926.0,0.418089888,175.0,0.208732,-0.557928792
GOSR1,5968.0,0.408103421,237.0,0.339637,-0.056876095
GOSR2,3258.0,0.374298057,541.0,0.141747,0.133996989
GOT2,1054.0,0.444803236,129.0,-1.101564,-0.772956176
GPS2,97.0,0.431122181,76.0,-0.817212,0.16952686
GPSM2,4697.0,0.401967226,496.0,0.460549,0.50805493
GPX7,626.0,0.395840774,39.0,-1.096008,-0.096991746
GRAMD1A,299.0,0.411657297,748.0,0.126432,-0.314718741
GRB2,2292.0,0.4413596,358.0,0.585692,0.059872308
GSTM4,2467.0,0.390909061,314.0,-0.429778,0.061073856
GTF2A2,1070.0,0.420716795,404.0,-0.142433,-1.232778013
GTF2E2,604.0,0.365750105,273.0,0.05412,-0.49012307
GTF3C2,932.0,0.372227001,397.0,-0.014885,0.05410021
GTPBP1,2894.0,0.424954603,154.0,0.05158,0.238811012
GTPBP3,1032.0,0.436547413,95.0,-0.609715,0.0
GTSE1,680.0,0.368527868,212.0,1.087656,-2.133729442
GTSF1,222.0,0.36097632,86.0,3.065542,1.261120788
HADH,818.0,0.383558671,219.0,-1.063072,-0.732003961
HADHA,615.0,0.383558671,130.0,0.129243,0.458339398
HAUS5,3319.0,0.378752573,51.0,0.144703,0.177068971
HAUS8,346.0,0.37535995,111.0,-0.068366,-0.498609966
HCCS,1274.0,0.398607648,275.0,0.158752,-0.391348854
HCK,337.0,0.440224323,364.0,-0.136793,0.02336402
HDAC1,591.0,0.390040122,63.0,-0.077226,-0.097900456
HDDC3,763.0,0.387287166,29.0,-0.621594,-0.271093508
HDGF,1342.0,0.465394593,322.0,-0.494163,-0.425074603
HDLBP,2343.0,0.397687311,375.0,0.708257,0.339074503
HEATR3,1385.0,0.384091545,883.0,0.070463,-0.173669581
HEBP2,9119.0,0.359416339,297.0,0.950843,1.048818452
HECA,3704.0,0.443714129,285.0,-0.029253,-0.520157757
HECTD3,3914.0,0.446742268,98.0,0.210197,0.168335479
HERC2,726.0,0.429958504,109.0,0.377884,-0.268526939
HERC5,379.0,0.393838904,153.0,-0.522319,-0.123064832
HERC6,651.0,0.398146132,183.0,0.631695,-1.529650615
HIP1,4874.0,0.430847644,52.0,-1.025627,-0.705632964
HLA-A,4150.0,0.424443523,84.0,0.59996,-2.13680546
HLA-C,420.0,0.421684519,65.0,1.730078,0.977201526
HLA-DRA,409.0,0.420807891,109.0,0.677518,0.582049664
HLA-E,1459.0,0.413523771,126.0,0.836059,1.114278605
HLA-F,121.0,0.407256461,124.0,0.992977,-0.189381526
HMBOX1,3560.0,0.369177113,482.0,1.499649,-0.727306237
HMBS,266.0,0.451934812,299.0,0.225539,0.30488115
HMGB2,3775.0,0.450826504,193.0,-0.688032,-1.240103732
HMGCS1,3661.0,0.374424323,345.0,1.647296,1.122616913
HMOX1,616.0,0.436401717,107.0,-0.154823,-0.198637283
HNRNPA0,7504.0,0.386421138,284.0,0.051355,-0.301028478
HNRNPD,1688.0,0.420386111,318.0,-0.477855,-0.78365529
HNRNPL,1102.0,0.449817015,176.0,-0.015843,-0.143284135
HNRNPU,4156.0,0.432126199,218.0,0.230975,0.113457967
HNRNPUL1,2135.0,0.394022965,339.0,0.005711,0.038068232
HNRNPUL2,2674.0,0.436897081,229.0,-0.029831,0.010068477
HSBP1,3274.0,0.4454546,174.0,-0.546793,-0.330118116
HSD11B1,4482.0,0.426649415,154.0,-0.079728,-0.574963529
HSD17B7,398.0,0.431983247,99.0,-0.739205,-0.167655772
HSP90AB1,313.0,0.39509298,251.0,0.242673,0.194546891
HSPA4L,7877.0,0.413794867,342.0,-3.714427,-1.178115037
HSPB11,107.0,0.34538245,284.0,0.210833,0.730652861
HTRA2,571.0,0.421976635,602.0,-0.140499,0.188663444
HTT,3901.0,0.373695076,145.0,-0.425768,-0.147896217
HUS1,2068.0,0.374612864,131.0,0.521529,0.578195775
HYI,310.0,0.378597605,196.0,0.011308,0.556429058
HYOU1,1409.0,0.403839016,234.0,1.705468,0.526426055
ICAM1,1537.0,0.426062071,319.0,-0.258848,-0.06913461
IER3IP1,3342.0,0.438740024,97.0,-0.277887,0.13009202
IFI16,254.0,0.415211655,290.0,-0.648378,-0.116482269
IFI30,213.0,0.431523306,62.0,0.457101,-0.398007023
IFI35,160.0,0.418462024,223.0,-0.721763,0.273012804
IFI44,267.0,0.403888008,124.0,0.315603,-0.304122217
IFI44L,5058.0,0.403608012,200.0,0.22499,0.07342537
IFIH1,121.0,0.412344512,377.0,1.251364,0.448115234
IFIT1,2775.0,0.411248073,495.0,0.583814,-0.484662496
IFIT2,1901.0,0.420797646,175.0,0.833693,-0.120227396
