,3prime,tAI,max_5_UTR_length,TCGA-AR-A0TR,TCGA-AR-A0TR.1
APOBEC3B,339.0,0.43450554,55.0,-2.070568,-0.320450613
APOBEC3C,1979.0,0.381716897,103.0,0.675188,-0.34405398
APOBEC3G,322.0,0.410940579,404.0,-0.908423,-0.435426888
APOL2,1195.0,0.42932248,477.0,-1.607616,-1.207445784
ARF6,2971.0,0.462806813,621.0,0.371281,0.216739046
ARFIP2,2430.0,0.403729309,291.0,0.41836,-0.004517979
ARHGAP17,2624.0,0.371011524,117.0,-0.524613,-0.635827132
ARHGAP30,773.0,0.384451823,645.0,-0.152291,-0.712034731
ARHGEF10,1378.0,0.370244255,202.0,0.7387,-0.254160413
ARID2,3145.0,0.362288628,128.0,1.309912,0.642121397
ARID3A,3881.0,0.411693449,290.0,-0.308198,-0.556492918
ARIH2,3112.0,0.397061561,878.0,0.232135,-0.287520296
ARL8A,1065.0,0.409602486,171.0,0.094145,-0.020013987
ARRB1,6041.0,0.39512759,224.0,1.118198,0.282531591
ASF1B,950.0,0.395794233,172.0,-1.750849,-1.21594439
ASS1,1357.0,0.394201053,356.0,-1.35299,-1.895888803
ATPAF1,3039.0,0.439253133,510.0,0.554082,0.347404729
ATRIP,162.0,0.417082642,462.0,0.652474,0.66595937
AXL,1863.0,0.417061167,376.0,-2.360185,-0.502797839
B4GALT7,4483.0,0.433879574,93.0,-0.252141,0.78918157
BAG1,2764.0,0.431693656,501.0,-0.072702,0.082760044
BAG3,537.0,0.387438444,306.0,-0.805716,-0.383125563
BASP1,971.0,0.520859146,259.0,-2.529262,-1.033988483
BBS7,1531.0,0.408023089,184.0,-0.275913,0.163728468
BCAT2,364.0,0.445598481,657.0,0.243389,0.292377221
BCKDHB,3082.0,0.419736544,88.0,0.269727,0.258198931
BCL2,5279.0,0.374049285,493.0,1.461379,0.951872583
BCL2L13,4109.0,0.411790332,769.0,-0.798056,-0.198944925
BID,4193.0,0.428633517,498.0,-1.265677,-0.807458308
BLVRA,3376.0,0.414260839,177.0,-0.308508,-0.211790996
BOLA2,40.0,0.43059393,513.0,-0.683641,-0.442302833
BOLA3,383.0,0.406657227,38.0,-0.657068,-0.053490231
BRD2,787.0,0.377809737,2066.0,0.990291,0.368635511
BRD3,3285.0,0.401150236,188.0,1.3417,0.355768483
BSPRY,1091.0,0.380011644,48.0,0.49165,0.389922015
BST2,411.0,0.444557266,81.0,-0.153474,0.918481798
BUB3,1535.0,0.421992618,242.0,-0.373248,0.187829966
C1QB,152.0,0.436596666,340.0,-1.471986,-1.272487091
C1QC,327.0,0.41150294,283.0,-1.224612,-1.429777171
C2CD3,671.0,0.360398895,227.0,0.34833,0.379651539
C3,5088.0,0.430632158,93.0,-1.171228,-1.688753771
CAP1,1134.0,0.406948565,416.0,-0.281106,-0.664184397
CAPN1,720.0,0.455130071,197.0,0.091815,-0.17012726
CAPRIN1,5632.0,0.374918508,189.0,0.35551,-0.199236492
CAPZB,5180.0,0.446052528,622.0,-0.183147,-0.235600428
CARD16,437.0,0.41300235,27.0,-1.838158,-0.415917694
CARHSP1,4898.0,0.362100245,360.0,-1.092313,-0.69535669
CASC3,1778.0,0.370720542,295.0,0.462315,0.074414045
CASP1,750.0,0.424742838,44.0,-1.711328,-0.986287657
CASP8,1794.0,0.376118708,303.0,0.373774,-0.277844278
CAT,629.0,0.397270122,89.0,0.495588,-0.759952663
CBL,8368.0,0.375957197,142.0,0.749963,-0.019748073
CBLL1,3286.0,0.400851504,467.0,0.922453,0.431014795
CBR3,54.0,0.445176236,228.0,-1.282543,-1.497254008
CBS,4385.0,0.477784031,626.0,-3.692629,-1.400860333
CBX5,10815.0,0.390902295,318.0,0.255395,0.174199555
CBX8,2504.0,0.36735217,118.0,0.00226,0.665649056
CCDC115,2169.0,0.385110507,452.0,0.444547,-0.051580652
CCDC125,2554.0,0.359965106,322.0,1.87726,1.021495649
CCDC58,2462.0,0.421830022,75.0,-0.197703,0.23829482
CCDC88C,1302.0,0.396031427,154.0,0.770174,0.413486892
CCL5,886.0,0.462166288,68.0,-1.382358,-1.305128724
CCNA2,1206.0,0.409154498,373.0,-2.22071,-0.736353189
CCNDBP1,2336.0,0.44393643,231.0,0.074317,-0.307289078
CCS,4244.0,0.460896681,43.0,-0.055787,0.258347541
CCT3,238.0,0.457984718,231.0,-0.153124,-0.2789223
CCT4,1361.0,0.393363555,164.0,0.09587,-0.059185738
CD14,128.0,0.416321757,392.0,-1.466377,-0.785500305
CD209,3046.0,0.440000747,67.0,0.245776,-1.588445854
CD36,2894.0,0.410517795,414.0,-2.213653,-1.600934904
CD40,982.0,0.429065654,90.0,-1.579025,-0.207776061
CD44,3115.0,0.39995987,434.0,1.045051,0.065959343
CD63,923.0,0.512738356,403.0,-0.14138,0.323946603
CD74,635.0,0.427357309,187.0,-1.285102,-0.436586378
CDC25C,437.0,0.364786128,387.0,-1.003372,-1.294181641
CDC26,271.0,0.395637029,359.0,-0.674772,-0.168086103
CDC34,560.0,0.46431386,199.0,-0.354039,0.004007955
CDC42EP3,3941.0,0.420378821,1009.0,-2.042994,-0.940420643
CDCA3,816.0,0.351209268,820.0,-3.247155,-0.132581189
CDCA8,1353.0,0.384295288,290.0,-1.057441,-0.630219111
CDIPT,1864.0,0.442654716,541.0,-0.246258,0.548792386
CDK1,2313.0,0.398329505,154.0,-1.728348,-0.962135594
CDK19,4557.0,0.421511824,180.0,-0.678383,0.271158471
CDK2AP1,766.0,0.439144625,522.0,-0.837733,-1.370353484
CDK5RAP2,367.0,0.371069462,192.0,0.745722,0.189483407
CDK5RAP3,284.0,0.469750898,1791.0,0.432277,0.2973489
CDKAL1,1365.0,0.417875209,167.0,-0.122624,-0.038768113
CDKN2AIPNL,3639.0,0.409801696,53.0,0.735883,-0.109991324
CDKN2C,2247.0,0.381912025,1216.0,-1.598007,-0.170474292
CEBPD,1714.0,0.430497143,44.0,-3.141275,0.497378266
CENPH,1478.0,0.418392258,87.0,0.11336,-0.345232929
CENPV,301.0,0.385948267,62.0,-2.653649,-0.579596643
CEP55,939.0,0.397841874,304.0,-2.156087,-0.661851714
CETN2,868.0,0.433727498,47.0,-0.055587,-0.10228603
CFL1,677.0,0.502791,234.0,-0.56909,-0.747390685
CHAC2,786.0,0.395629742,277.0,-0.841725,-0.891710686
CHCHD4,3528.0,0.445497334,326.0,0.026192,0.706831642
CHMP4A,296.0,0.447100154,262.0,0.650551,0.554818568
CHMP5,1241.0,0.442987983,200.0,-0.162501,-0.300530443
CHMP6,980.0,0.489861105,78.0,-0.437882,-0.08478888
CHTF8,2425.0,0.424551152,142.0,0.788744,-0.410638606
CIAPIN1,1024.0,0.451663323,242.0,0.677603,0.254887771
CISD2,5376.0,0.433298698,107.0,-0.685409,0.196618173
CKAP4,2872.0,0.386259817,84.0,0.009632,0.290335272
CKS2,300.0,0.317949998,98.0,-0.423322,-0.115112213
CLCC1,5185.0,0.369704467,150.0,0.752411,0.614089132
CLCN7,1698.0,0.459147749,110.0,0.630458,0.511705288
CLIC1,290.0,0.4571302,573.0,-0.379605,-0.4433311
CLK2,350.0,0.410673686,925.0,0.527871,-0.151841507
CLK3,1233.0,0.4268607,461.0,0.10326,0.078659076
CLPTM1,458.0,0.383990827,351.0,0.208836,0.738634338
CLTA,288.0,0.450950874,514.0,-0.4436,-0.107848549
CLTB,319.0,0.48548545,210.0,-0.600458,-0.129825509
CLTC,3104.0,0.384957863,443.0,-0.020725,-0.396654808
CNBP,6850.0,0.433298698,206.0,0.056415,-0.009941518
CNPY2,123.0,0.392778455,553.0,0.352032,0.078669373
CNPY3,1042.0,0.459231502,584.0,-0.576534,-0.728054045
COG3,1967.0,0.414689223,142.0,0.402002,0.499583614
COMMD1,306.0,0.423842833,138.0,0.035393,-0.660252479
COMMD3,431.0,0.360487018,35.0,-0.250413,-0.44668259
COMMD5,498.0,0.445713337,399.0,-0.312294,-0.019295259
COMMD6,1375.0,0.396967837,328.0,-0.496932,-0.252257103
COMMD9,2340.0,0.418062772,89.0,-0.382821,-0.288115611
COPB1,446.0,0.381738818,307.0,1.151171,0.107639708
COPE,165.0,0.478760693,55.0,-0.180153,-0.157495584
COQ6,671.0,0.374062527,159.0,0.006094,0.610221981
COQ7,5700.0,0.42379098,133.0,0.648516,0.941627854
CORO1A,112.0,0.457388252,435.0,-0.381171,-0.679443343
COX17,1735.0,0.484254073,86.0,0.050036,0.17892291
COX5A,860.0,0.429944966,140.0,-0.586165,0.122395938
COX7A2,302.0,0.441893926,98.0,-0.631047,0.285871605
CPM,5262.0,0.406054343,75.0,-2.010123,-0.463826132
CPSF4,923.0,0.452412439,277.0,0.591954,0.027894291
CPT1A,2761.0,0.374132033,170.0,-0.015563,-0.260667037
CPT2,602.0,0.431256564,515.0,0.601833,0.194134781
CRCP,8457.0,0.390198146,145.0,0.709049,1.118237986
CRKL,3904.0,0.422225684,509.0,-0.73856,-0.76033273
CRTAP,5601.0,0.446308827,120.0,0.205524,-1.199148549
CRTC3,3205.0,0.355982524,186.0,-0.624647,-0.593644631
CRY2,2337.0,0.383442872,132.0,0.310234,1.322142874
CRYL1,462.0,0.386242786,79.0,-0.426784,0.006840623
CSRP1,1183.0,0.493833101,217.0,-1.33996,-1.426808993
CST3,2762.0,0.475763324,186.0,0.785541,0.315060357
CSTF2,1931.0,0.372934478,58.0,0.631163,0.327506827
CTBP1,800.0,0.464034004,393.0,-1.168695,-0.570912813
CTNNA1,1216.0,0.412513324,1103.0,-0.44451,0.380061178
CTNNB1,1106.0,0.432073699,448.0,0.427985,0.799959303
CTNNBIP1,2448.0,0.394834327,307.0,-0.588824,-0.851259646
CTPS2,1870.0,0.416273085,744.0,-0.268871,-0.143010127
CTSG,119.0,0.369503415,37.0,0.255851,-1.315337456
CTSH,1072.0,0.446467856,1192.0,-0.179274,0.425813069
CUEDC1,2047.0,0.374410739,719.0,0.187787,-0.481945414
CUX1,1040.0,0.395555213,127.0,0.883528,0.309520505
CXCL10,814.0,0.410287201,105.0,-2.444024,-1.40280544
CXCL9,2323.0,0.403736618,74.0,-0.444932,-1.600150869
CYBB,2544.0,0.418993019,61.0,-1.264847,-0.286380552
CYP2S1,1051.0,0.420869286,58.0,-2.508921,-0.423685112
CYTH4,1837.0,0.406296106,377.0,-0.813648,-0.29453407
DAB2,1757.0,0.368483127,531.0,-2.640201,-1.365516239
DAGLB,721.0,0.377719723,170.0,-0.080489,0.25130676
DAP3,768.0,0.366492687,184.0,0.484596,-0.128158153
DAPP1,2082.0,0.348655603,90.0,-0.46917,-0.758281082
DBI,233.0,0.467027529,479.0,0.076684,-0.449562366
DCAF12,1967.0,0.42050769,342.0,-0.160981,0.248114984
DCAF8,1877.0,0.380310979,212.0,0.765106,0.477492007
DCP1A,4153.0,0.411936399,381.0,0.398585,-0.186922224
DCPS,4731.0,0.375605648,329.0,0.271498,0.19046824
DCTN5,10597.0,0.443116252,177.0,0.3288,-0.058889866
DDAH2,653.0,0.361046801,1104.0,0.305251,0.120127375
DDB2,1223.0,0.43604051,195.0,0.023606,0.10912079
DDX23,713.0,0.445931172,91.0,0.267887,0.201516958
DDX31,1870.0,0.361830896,544.0,0.640297,0.270762134
DDX47,438.0,0.379294484,22.0,-0.933882,-0.15536881
DDX54,1704.0,0.467316231,28.0,0.318878,0.719820692
DDX56,586.0,0.438032149,643.0,0.104751,0.060153742
DDX59,217.0,0.413095257,243.0,0.230522,0.193377147
DHODH,3463.0,0.371608285,21.0,1.090652,0.648987871
DHPS,121.0,0.474111752,121.0,0.66741,-0.01351359
DHX15,459.0,0.379133957,168.0,-0.355664,-0.04206135
DHX34,591.0,0.384465978,349.0,0.526924,-0.090967932
DHX58,357.0,0.440330409,223.0,-0.497406,-0.231877285
DIABLO,719.0,0.425893605,1182.0,0.277045,0.825017952
DMAP1,63.0,0.471306,301.0,0.145381,0.20552554
DMXL2,1274.0,0.389901613,225.0,0.317136,-0.22956588
DNAJA4,1736.0,0.398301408,169.0,-0.262678,-0.191239131
DNAJC14,1509.0,0.37755465,204.0,0.687726,1.080939672
DNAJC19,1326.0,0.403482491,259.0,1.225254,0.696158935
DNAJC25,1212.0,0.430964931,56.0,0.402947,0.348526519
DNAJC8,969.0,0.416719859,33.0,0.024885,0.322435995
DNM1,1255.0,0.393835111,116.0,-2.702969,-1.367225602
DNTTIP2,3564.0,0.408096853,58.0,0.308298,0.328004043
DOCK11,3681.0,0.373818855,63.0,-2.098745,-0.939103854
DOCK2,524.0,0.446250827,52.0,-0.74052,-0.508752292
DOK2,438.0,0.384043737,481.0,-1.127895,-1.035207929
DPCD,197.0,0.459155016,389.0,0.269817,0.347671524
DPF2,2501.0,0.393394442,133.0,0.341195,0.175457726
DPH1,1310.0,0.448716064,341.0,0.804496,0.048947254
DPH5,784.0,0.413363166,165.0,0.914028,0.269872528
DPY30,562.0,0.438431353,279.0,-0.271514,-0.21946635
DPYSL2,2472.0,0.430530829,431.0,-0.318586,-0.355592748
DRAP1,142.0,0.432809908,245.0,0.105105,0.556147985
DRG1,4594.0,0.444150091,131.0,-0.799278,-0.42821315
DSN1,5330.0,0.392894937,373.0,-0.376705,0.096929048
DSTN,2786.0,0.375776803,438.0,-0.338836,-0.612837325
DTL,2265.0,0.372315747,921.0,-2.014565,-1.385761585
DTX3L,3456.0,0.408848169,89.0,-0.381189,-0.315482448
DUSP12,374.0,0.419884133,34.0,0.307592,0.060447362
DUT,1937.0,0.36471409,109.0,-0.618178,-0.344790919
DYNLT1,514.0,0.420362019,78.0,-1.098351,-0.677838334
EBAG9,1437.0,0.39438748,402.0,-0.425333,-0.040162103
ECH1,191.0,0.389477111,85.0,0.263663,-0.027851891
ECHDC2,2269.0,0.400166641,752.0,0.757371,0.400013811
ECM1,322.0,0.43792189,199.0,-2.254249,-1.419117865
EDEM2,76.0,0.379021051,100.0,-0.586101,-0.449653277
EEA1,5374.0,0.405861636,265.0,0.66277,0.115292503
EEF1A2,286.0,0.417272363,329.0,0.930308,-0.506867182
EFTUD2,1331.0,0.444646836,398.0,0.214849,0.093871278
EHD1,3363.0,0.446314898,447.0,0.115037,-0.334740605
EIF2AK2,8063.0,0.394727306,557.0,-0.037067,-0.337959036
EIF2B3,1058.0,0.383118637,239.0,0.316404,0.105385975
EIF3F,5840.0,0.435728237,33.0,0.346434,-0.213997839
EIF3L,1718.0,0.380710116,245.0,0.23236,-0.047221917
EIF4A3,1120.0,0.381528282,222.0,-0.224261,-0.001182397
ELAVL1,4910.0,0.437605432,167.0,0.189222,0.219957059
EMG1,248.0,0.433768095,143.0,-1.193291,0.075136244
EMILIN2,2605.0,0.379592019,159.0,-2.581668,-0.931605433
ENDOD1,7728.0,0.376426787,118.0,0.501749,0.991028254
ENOSF1,2904.0,0.382279782,622.0,0.804599,0.273716384
ENY2,2576.0,0.41756619,146.0,-0.421414,-0.113010147
EPSTI1,2106.0,0.391777705,469.0,-1.784241,-0.375231417
ERCC1,2342.0,0.45058755,188.0,0.35284,0.40709668
ERCC6L,4809.0,0.354829683,623.0,-0.914318,-0.583483755
ERH,415.0,0.383837906,71.0,-0.471303,-0.299704598
ERLIN1,2041.0,0.444737514,478.0,0.012074,0.461965869
ERP29,1277.0,0.401191178,118.0,0.39602,-0.499467646
ETV6,4356.0,0.398240844,274.0,-1.077912,-0.797787981
EXOC4,1232.0,0.388187525,35.0,0.517125,0.325991627
EXOC8,6907.0,0.436106501,127.0,0.847732,0.30208186
EXOSC1,536.0,0.430105347,451.0,-0.124975,0.197451074
EXOSC2,3902.0,0.431273517,32.0,0.662184,-0.033736313
F8A1,571.0,0.46317284,15.0,-0.735105,-0.636861006
FAAH,2043.0,0.384592892,82.0,0.877495,0.790468916
FAF1,4425.0,0.401181969,453.0,-0.059718,-0.143715151
FAM122A,4542.0,0.40477622,33.0,0.812439,0.163641409
FAM168A,6285.0,0.395008865,285.0,-0.315976,-0.342691206
FAM177A1,2165.0,0.411149627,459.0,0.319023,0.023064423
FAM192A,1824.0,0.379195199,1475.0,0.77478,0.838817734
FAM20B,4428.0,0.4357945,293.0,0.879067,0.831444764
FAM32A,1091.0,0.408676074,42.0,-0.259188,0.314633542
FAM50A,286.0,0.482889735,110.0,-0.101108,-0.029454837
FBP1,248.0,0.397353747,331.0,1.076745,0.575669988
FBXL20,9338.0,0.383104745,254.0,0.991001,0.865055847
FBXO4,526.0,0.393825218,58.0,0.327021,0.409142516
FBXO6,503.0,0.42307306,166.0,-0.370343,0.063359365
FCER1G,305.0,0.4202976,25.0,-1.959721,0.164281593
FCGRT,309.0,0.433069976,486.0,0.420056,0.11751236
FCHO1,270.0,0.372951657,283.0,-1.022931,-0.252009025
FDPS,72.0,0.456397562,392.0,-0.386557,-0.387720568
FDXR,596.0,0.384661194,188.0,-1.039382,-0.583321317
FEN1,1340.0,0.407867196,413.0,-0.785273,-0.685299356
FERMT3,399.0,0.435119014,149.0,-1.218373,-1.046551603
FGD2,907.0,0.441856308,171.0,-0.474951,-0.100432259
FGFR1OP2,1663.0,0.396595515,353.0,-0.498928,-0.463992342
FGL2,3460.0,0.40966218,40.0,-0.870039,-0.206750478
FKBP1A,1132.0,0.428443098,174.0,-0.768252,-0.210357049
FKBPL,24.0,0.377510344,270.0,0.547849,0.402650079
FLOT1,422.0,0.472159534,339.0,0.066765,0.62333733
FN3K,442.0,0.389857108,61.0,0.220326,0.30246508
FN3KRP,3667.0,0.380720834,50.0,-0.322026,-0.037413727
FOXJ3,3176.0,0.401878681,312.0,0.629568,0.320827732
FOXK2,3108.0,0.440496276,171.0,-0.099816,0.03221767
FOXRED1,443.0,0.438630908,167.0,0.492002,-0.323635008
FSCN1,1184.0,0.396100853,132.0,-2.044156,-1.176629081
FTH1,530.0,0.425357612,235.0,-0.262195,-0.585041697
FTL,1031.0,0.428438948,199.0,-1.548183,-1.463293388
FTSJ1,638.0,0.457521275,569.0,-0.367866,-0.352923993
FTSJ3,698.0,0.388239396,646.0,0.142528,0.508349847
FXN,6365.0,0.40465004,220.0,0.389012,0.938238687
GABARAPL2,564.0,0.431291441,136.0,0.86452,-0.936559679
GABPB1,1320.0,0.423118524,469.0,-0.212356,0.068845821
GALK1,292.0,0.455574511,63.0,-1.539845,-0.416503016
GANAB,989.0,0.425909644,1027.0,0.520599,-0.193570545
GAS6,315.0,0.393865445,183.0,-1.885848,-0.293123292
GAS7,6619.0,0.423630168,311.0,-2.829796,-0.937397451
GBE1,708.0,0.404013874,283.0,-0.892646,-0.561681305
GBP1,1735.0,0.42614962,220.0,-2.693502,-1.480159651
GBP2,5058.0,0.440134196,314.0,-3.125567,-1.462863685
GBP4,4106.0,0.42983554,116.0,-1.467725,-0.690994373
GBP5,1753.0,0.421901204,537.0,-1.196797,-1.174990059
GCH1,2011.0,0.419329122,161.0,-0.610697,-0.338554112
GFOD2,622.0,0.396604754,295.0,0.626383,0.161187891
GGA2,5408.0,0.377812588,83.0,0.35293,0.156712157
GGCX,5211.0,0.417836117,106.0,0.287693,0.225414166
GIGYF1,2212.0,0.443456438,1210.0,0.700277,0.499363019
GINS3,1415.0,0.387351931,208.0,-0.496403,-0.879509173
GLA,1699.0,0.378726947,110.0,-1.543463,-0.892745554
GLE1,1357.0,0.383457083,114.0,1.04586,0.536120625
GLRX,1188.0,0.430296645,211.0,1.990797,0.998637526
GLRX3,3557.0,0.41418463,539.0,-0.501237,-0.349064962
GLUD1,1558.0,0.392454008,1132.0,-0.017265,-0.136494964
GLYR1,2033.0,0.39940414,57.0,0.827623,0.185288043
GMEB1,4582.0,0.43446142,142.0,0.633823,0.04683322
GMPPA,198.0,0.434966364,375.0,-0.082759,-0.302090011
GMPR,3984.0,0.435743929,114.0,-1.192195,0.144861479
GMPR2,464.0,0.453637396,704.0,0.651733,0.72849592
GNAI1,1947.0,0.435804474,356.0,-2.55803,-0.246647887
GNG7,3803.0,0.398730372,237.0,-0.11645,0.491787924
GNPDA1,1360.0,0.395964134,67.0,-0.53873,-0.522186837
GOLGA2,1243.0,0.401070546,13.0,1.141284,0.485052489
GON4L,926.0,0.418089888,175.0,0.756382,0.12295021
GOSR1,5968.0,0.408103421,237.0,0.518676,0.916582795
GOSR2,3258.0,0.374298057,541.0,0.860354,0.954362858
GOT2,1054.0,0.444803236,129.0,1.85709,1.345825225
GPS2,97.0,0.431122181,76.0,-0.682251,-0.049445597
GPX7,626.0,0.395840774,39.0,-3.448751,-1.529430089
GRAMD1A,299.0,0.411657297,748.0,-0.273009,0.002651429
GRB2,2292.0,0.4413596,358.0,-0.192138,-0.306547295
GSTM4,2467.0,0.390909061,314.0,0.497093,0.119722955
GTF2A2,1070.0,0.420716795,404.0,-0.884853,0.590829802
GTF2E2,604.0,0.365750105,273.0,-0.363822,-0.033969073
GTF3C2,932.0,0.372227001,397.0,0.39625,0.200112342
GTPBP1,2894.0,0.424954603,154.0,-0.376148,-0.206718589
GTPBP3,1032.0,0.436547413,95.0,0.042937,-0.122680908
GTSE1,680.0,0.368527868,212.0,-2.310575,0.452275794
HADH,818.0,0.383558671,219.0,0.366171,0.357144609
HADHA,615.0,0.383558671,130.0,0.032176,-0.275819921
HAUS5,3319.0,0.378752573,51.0,0.063773,-0.105685612
HAUS8,346.0,0.37535995,111.0,-0.744838,-0.574508602
HCCS,1274.0,0.398607648,275.0,0.089927,-0.393799653
HCK,337.0,0.440224323,364.0,-1.601421,-0.629220338
HDAC1,591.0,0.390040122,63.0,0.491109,0.667961714
HDDC3,763.0,0.387287166,29.0,-0.230987,0.73264831
HDGF,1342.0,0.465394593,322.0,-0.151015,-0.144172494
HDLBP,2343.0,0.397687311,375.0,0.690497,-0.435644489
HEATR3,1385.0,0.384091545,883.0,0.971958,0.362458356
HEBP2,9119.0,0.359416339,297.0,-1.012596,-0.238109219
HECA,3704.0,0.443714129,285.0,-0.22672,0.408697244
HECTD3,3914.0,0.446742268,98.0,-0.661139,-0.129482468
HERC2,726.0,0.429958504,109.0,0.319118,0.236388995
HERC5,379.0,0.393838904,153.0,-2.59963,-0.469293487
HERC6,651.0,0.398146132,183.0,-3.019285,-0.408886164
HIP1,4874.0,0.430847644,52.0,1.196946,0.403140983
HLA-A,4150.0,0.424443523,84.0,-1.535328,-0.190926308
HLA-C,420.0,0.421684519,65.0,-0.312864,0.45004126
HLA-DRA,409.0,0.420807891,109.0,-1.208555,-0.373912474
HLA-E,1459.0,0.413523771,126.0,-1.031278,-0.212834539
HLA-F,121.0,0.407256461,124.0,-1.369543,-0.763721342
HMBOX1,3560.0,0.369177113,482.0,1.68442,-0.872759141
HMBS,266.0,0.451934812,299.0,0.194459,-0.076614283
HMGB2,3775.0,0.450826504,193.0,-0.330874,0.508343108
HMGCS1,3661.0,0.374424323,345.0,0.619336,-0.647971903
HMOX1,616.0,0.436401717,107.0,-2.074681,-0.540001531
HNRNPA0,7504.0,0.386421138,284.0,0.518565,0.220912323
HNRNPD,1688.0,0.420386111,318.0,-0.309722,-0.633230419
HNRNPL,1102.0,0.449817015,176.0,0.233384,0.134494057
HNRNPU,4156.0,0.432126199,218.0,0.437943,0.22807592
HNRNPUL1,2135.0,0.394022965,339.0,0.233703,0.520813393
HNRNPUL2,2674.0,0.436897081,229.0,0.195258,0.094960221
HSBP1,3274.0,0.4454546,174.0,0.696058,-0.247211948
HSD17B7,398.0,0.431983247,99.0,0.47193,0.544089697
HSP90AB1,313.0,0.39509298,251.0,0.338921,-0.323268275
HSPA1L,428.0,0.464100714,183.0,0.120394,0.216886411
HSPA4L,7877.0,0.413794867,342.0,-0.858378,-0.930463622
HSPB11,107.0,0.34538245,284.0,0.505433,-0.324204654
HTRA2,571.0,0.421976635,602.0,-0.237726,-0.125044103
HTT,3901.0,0.373695076,145.0,0.528384,-0.412142429
HUS1,2068.0,0.374612864,131.0,0.242909,0.529559943
HYI,310.0,0.378597605,196.0,0.425952,0.641704529
HYOU1,1409.0,0.403839016,234.0,0.667196,-0.383335617
ICAM1,1537.0,0.426062071,319.0,-1.928552,-1.40331654
IER3IP1,3342.0,0.438740024,97.0,0.552253,1.121027809
